,Book number,P,phi Er,phi,blend_calculated,fuel ,oxidizer,blend,T_in C,T_in,U,T,CO2,CO2 Er,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,X_CH4,CH4 Er,HCN,HCN Er, HNCO,HNCO Er,HCHO,HCHO Er,H2,H2 Er,O2,O2 Er,P,phi Er,phi,blend_calculated,fuel ,oxidizer,blend,T_in,U,T,CO2,CO2 Er,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,X_CH4,CH4 Er,HCN,HCN Er, HNCO,HNCO Er,HCHO,HCHO Er,H2,H2 Er,O2,O2 Er
1,10,0.101391381,0.005081316,0.748250084,0.780205947,"NH3:0.219794053, H2: 0.780205947","""O2: 0.21, N2: 0.79""",0.1,23.5125,296.6625,0.538924728,571.0055556,67332.26849,2392.593325,29.03879573,74.95607236,149890.9571,7711.116778,5223.555676,210.7435012,139.1755771,15.89187117,-0.534318539,14.98669096,0.831768031,0.30318489,-0.720964856,7.493467157,-0.070288158,7.493405308,21.19146472,15.00775048,-0.03017775,14.98667242,-3.475363624,0.344398394,4.264358294,0.40780225,0.100738103,0.005449485,1.149990863,0.780324421,"NH3:0.219675579, H2: 0.780324421","""O2: 0.21, N2: 0.79""",0.1,297.5635803,0.850881162,679.2302469,68869.06229,2894.654042,30908.16241,71.90055569,195945.6681,7465.269616,4680.560016,369.8457411,1.976782439,18.02970815,6.315793085,14.3440356,4.131873026,0.831998095,-0.247313079,10.59356007,0.334358444,7.171369351,1.917971252,11.86875376,-0.129651713,14.33821019,-0.757881315,0.816730538,0.198520698,0.503111076
0,10,0.101391381,0.005091546,0.749090449,0.780309509,"NH3:0.219690491, H2: 0.780309509","""O2: 0.21, N2: 0.79""",0.1,23.48473282,296.6347328,0.538428652,570.2474555,67332.26849,2392.593325,21.28802784,74.90635021,151678.9889,7746.642731,5348.356604,214.574099,139.9064468,15.87577687,-0.100664762,14.98046799,0.329669067,0.301938644,-0.614243166,7.490348541,0.035108786,7.490300091,20.88865393,15.00082973,-0.081807325,14.98046764,-2.78106322,0.320743528,4.208904038,0.406676689,0.100891423,0.00563042,1.251005717,0.780497502,"NH3:0.21950249825, H2: 0.78049750175","""O2: 0.21, N2: 0.79""",0.1,297.6940115,0.676505036,657.0888842,60190.66576,2123.189219,41732.21264,65.85244329,195459.8361,6720.929475,3394.198515,385.8109963,1.285152451,35.15338102,5.028168199,13.16957185,4.685629859,1.037041588,-0.341121968,11.29164441,0.403476193,6.585606013,1.506756214,9.429794946,-0.113287841,13.16233031,1.343053617,2.193996353,0.228229858,0.429587828
2,10,0.101391381,0.00467261,0.799163404,0.780275077,"NH3:0.219724923, H2: 0.780275077","""O2: 0.21, N2: 0.79""",0.1,23.36831683,296.5183168,0.629290046,585.7572607,71857.54747,2396.687168,29.44629453,75.82624264,160125.0149,7953.318766,5898.038881,231.0374777,145.0557205,16.10758596,-0.41737923,15.15768443,0.208186912,0.305497356,-0.599447344,7.578948393,-0.072947918,7.578908351,23.96843422,15.18341793,-0.075081758,15.1576742,-2.710402165,0.35114889,2.98359395,0.395613056,0.100738103,0.004727919,1.303582973,0.780442073,"NH3:0.219557927, H2: 0.780442073","""O2: 0.21, N2: 0.79""",0.1,297.3650794,0.576655767,646.248545,56652.06579,2415.719941,48900.41665,72.18523152,194479.9756,8084.541704,2091.354167,228.9920581,0.432531887,15.72312462,4.200294547,14.43256757,7.429497234,0.541306702,-0.174590065,10.63592653,1.712032303,7.215010006,1.588666454,11.96403657,-0.24983843,14.42627671,2.153807696,0.91150481,0.147827646,0.666845173
3,10,0.101391381,0.004682017,0.799950191,0.780202449,"NH3:0.219797551, H2: 0.780202449","""O2: 0.21, N2: 0.79""",0.1,23.46438356,296.6143836,0.629120798,588.5993151,71857.54747,2396.687168,29.37958705,75.89721971,158052.2855,7912.967572,5820.361652,228.9991219,145.7220328,16.14647503,-0.586434317,15.16884909,0.3302391,0.305821001,-0.765563846,7.584549486,-0.194348874,7.584490916,23.32228318,15.19334099,-0.038611446,15.16882934,-3.407475527,0.374070868,2.903358101,0.395179323,0.101044744,0.004772461,1.34945223,0.780475405,"NH3:0.219524595, H2: 0.780475405","""O2: 0.21, N2: 0.79""",0.1,297.7503837,0.485960485,623.8239011,53513.67222,2949.88283,52809.18739,70.60584689,191388.4922,7667.738547,909.5690467,505.9779772,1.168021138,18.57322019,3.313451393,14.11975326,23.05005818,0.760180889,-0.262980166,12.22196248,41.93532333,7.062763973,2.457372931,9.949910257,0.031006674,14.1149409,2.864125281,0.771442522,0.215277714,0.590577088
4,10,0.101391381,0.004363067,0.848527981,0.780307783,"NH3:0.219692217, H2: 0.780307783","""O2: 0.21, N2: 0.79""",0.1,23.47297297,296.622973,0.719623147,609.613964,76636.23235,2511.600412,62.14164218,79.29990475,171864.4188,8560.916361,6423.705748,256.3544271,140.0746668,16.76812585,-0.138318231,15.84035545,0.109489754,0.319305829,-0.64512043,7.920297234,-0.026197762,7.920252635,25.13251444,15.86891257,-0.013521143,15.8403539,-2.698700601,0.396335334,1.509292527,0.401786606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,0.101391381,0.004384728,0.850223506,0.780344881,"NH3:0.219655119, H2: 0.780344881","""O2: 0.21, N2: 0.79""",0.1,23.41594203,296.565942,0.718181294,606.744686,76636.23235,2511.600412,62.98286827,79.34199029,168827.8169,8483.986854,6316.003878,252.9195999,141.1764051,16.8045492,-0.528759634,15.84539819,0.307195337,0.319538189,-0.83595318,7.922839594,-0.108128727,7.922768867,25.06028822,15.87387882,-0.088805478,15.84538337,-3.489544275,0.42039607,1.534591873,0.402059242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,0.101391381,0.004178409,0.898986633,0.780362117,"NH3:0.219637883, H2: 0.780362117","""O2: 0.21, N2: 0.79""",0.1,23.51081081,296.6608108,0.801280909,634.6608108,81294.4044,2603.463324,160.9650899,81.37411395,179305.3384,8868.295681,6594.082161,263.4744156,114.745518,16.89225975,-0.005694022,16.20611592,0.259549865,0.32691451,-0.751902875,8.10319408,-0.074413565,8.103139817,24.64454092,16.23310122,0.000730003,16.2061159,-3.481301214,0.459444652,0.181158533,0.407338284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,0.101391381,0.00421031,0.90081612,0.780358959,"NH3:0.219641041, H2: 0.780358959","""O2: 0.21, N2: 0.79""",0.1,23.41315789,296.5631579,0.799633425,630.3074561,81294.4044,2603.463324,164.4285108,81.29553531,183370.8971,8972.25004,6776.864761,269.5170028,113.661874,16.84959699,0.199698484,16.19182407,0.138501057,0.326543497,-0.669830225,8.096036589,-0.037802734,8.095992805,26.46794314,16.22283768,0.015533567,16.1918229,-2.659399871,0.435234714,0.279491116,0.407050224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,22,0.101351384,0.00208629,0.649418254,0.780343716,"NH3:0.219656284, H2: 0.780343716","""O2: 0.21, N2: 0.79""",0.1,25.29690722,298.4469072,0.342652801,613.1121993,60999.26219,2340.801689,12.61966063,68.92098954,136931.1607,6880.712177,4262.536717,167.5490019,111.093267,14.3460178,5.897501909,13.78549388,0.490660328,0.277496086,-0.457840764,13.78395019,0.035371143,6.89201277,27.91868884,7.291212855,-0.079391898,13.78393679,-3.173300669,0.301116791,6.515937671,0.414995387,0.101044744,0.004572246,0.650427383,0.780265187,"NH3:0.219734813, H2: 0.780265187","""O2: 0.21, N2: 0.79""",0.1,297.5153551,0.342209939,596.7419523,62395.36354,2426.280344,9.384001056,64.41093141,138518.8874,6289.453494,4129.285283,256.8317159,119.6068451,29.87500885,2.841131528,13.31488109,2.179743582,2.202047863,1.094293585,13.14002235,0.25171946,6.435650288,23.97134489,8.13341413,-0.188056202,12.8635638,-2.194521097,1.928654804,6.110799535,0.599457376
18,22,0.101351384,0.002089705,0.650763785,0.780343716,"NH3:0.219656284, H2: 0.780343716","""O2: 0.21, N2: 0.79""",0.1,25.28390805,298.4339081,0.342132965,623.1967433,60999.26219,2340.801689,12.16380422,69.08318017,139586.153,6971.258581,4362.196295,171.4519458,111.4022922,14.38474004,5.723172405,13.8178672,0.435643669,0.278053851,-0.317424537,13.81640106,0.10358754,6.908240804,27.6279729,7.293498211,-0.112929576,13.81639481,-2.599438683,0.294427168,6.491473463,0.415698278,0.100983415,0.004311725,0.700367549,0.780548311,"NH3:0.2194516886, H2: 0.7805483114","""O2: 0.21, N2: 0.79""",0.1,297.2109272,0.444168838,600.3254333,65938.66152,1909.060892,11.83554111,65.13348274,145590.4419,7303.255726,4565.99856,559.4046012,125.5964056,28.42324282,-0.729997413,13.03071678,2.29962174,1.599022077,-0.286692434,13.02451116,0.246831538,6.517094996,26.4764972,7.647446986,-0.182380403,13.02343766,-2.211739066,1.713619057,5.364338023,0.389730882
