P,phi Er,phi,fuel,oxidizer,blend,T_in,U,T,CO2,CO2 Er,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,X_CH4,CH4 Er,HCN,HCN Er, HNCO,HNCO Er,HCHO,HCHO Er,H2,H2 Er,O2,O2 Er
0.101044744,0.004572246,0.650427383,"NH3: 0.219734813, CH4: 0.780265187","O2: 0.21, N2: 0.79",0.1,297.5153551,0.342209939,596.7419523,62395.36354,2426.280344,9.384001056,64.41093141,138518.8874,6289.453494,4129.285283,256.8317159,119.6068451,29.87500885,2.841131528,13.31488109,2.179743582,2.202047863,1.094293585,13.14002235,0.25171946,6.435650288,23.97134489,8.13341413,-0.188056202,12.8635638,-2.194521097,1.928654804,6.110799535,0.599457376
0.100738103,0.007076426,0.656287833,"NH3: 0.219673587, CH4: 0.780326413","O2: 0.21, N2: 0.79",0.1,296.55,0.339320079,571.5364583,64345.77237,2342.013711,5.800636425,69.25602734,139406.5196,7102.027158,4028.936754,165.2081532,96.37779478,14.30719417,-0.092685131,13.85118261,3.993092996,0.313984408,0.053944669,13.85118046,0.378826883,6.925657586,22.90186203,6.977361328,-0.324237726,13.85119038,-2.588217839,0.296800792,5.747885545,0.405989062
0.100983415,0.004311725,0.700367549,"NH3: 0.219451689, CH4: 0.780548311","O2: 0.21, N2: 0.79",0.1,297.2109272,0.444168838,600.3254333,65938.66152,1909.060892,11.83554111,65.13348274,145590.4419,7303.255726,4565.99856,559.4046012,125.5964056,28.42324282,-0.729997413,13.03071678,2.29962174,1.599022077,-0.286692434,13.02451116,0.246831538,6.517094996,26.4764972,7.647446986,-0.182380403,13.02343766,-2.211739066,1.713619057,5.364338023,0.389730882
0.101099977,0.005764175,0.750578264,"NH3: 0.219672924, CH4: 0.780327076","O2: 0.21, N2: 0.79",0.1,297.031258,0.536662132,585.0540173,67835.91778,2647.09571,20.06633348,67.8830963,150817.3944,6964.027877,5008.861114,386.3558881,138.7026763,27.2893314,-0.665799238,13.55313231,1.454854562,0.829690077,-0.408567658,11.40932615,0.167424316,6.778290366,25.82166611,9.811746834,-0.164009059,13.54822083,-2.448138725,1.702604787,4.568660599,0.456188522
0.101160289,0.004790308,0.800183585,"NH3: 0.219690749, CH4: 0.780309251","O2: 0.21, N2: 0.79",0.1,297.0470749,0.627843206,599.3263048,72262.76415,2855.754957,31.18601693,71.11925602,160891.1816,7837.506936,5625.456523,482.1408823,136.0972963,17.97915612,-0.903856192,14.22169068,1.041348989,0.744887798,-0.490696657,11.69173818,0.117903427,7.112186059,28.95141853,10.55274157,-0.130139843,14.21680226,-2.798171288,0.799990662,3.536231968,0.596853446
0.101160289,0.004528862,0.849195507,"NH3: 0.219654736, CH4: 0.780345264","O2: 0.21, N2: 0.79",0.1,297.2330309,0.718275692,621.1009191,76834.62249,2929.706366,68.62858745,72.39812778,170073.4342,7897.308726,6124.222953,489.0328795,130.9122999,18.36973831,-0.79944281,14.44044682,0.844352512,0.632858865,-0.465675261,11.79675559,-0.027332431,7.218749522,31.04786566,10.99198505,-0.146443457,14.43383833,-2.758101013,1.140720761,2.389958014,0.770723249
0.101160289,0.005056376,0.90079026,"NH3: 0.219564702, CH4: 0.780435298","O2: 0.21, N2: 0.79",0.1,297.3215748,0.79919341,643.0923283,81573.10163,2971.727726,177.3847701,79.29626007,181615.3203,8725.920356,6469.884755,471.0772312,104.5044463,18.88106122,-0.480761032,15.29359383,0.84551605,0.603955356,-0.533267219,12.58920509,0.00206348,7.643695051,33.04050583,12.1826524,-0.105238189,15.28630446,-2.864694941,1.232596036,1.310115274,0.931938647
0.101044744,0.00432591,0.951692776,"NH3: 0.219603048, CH4: 0.780396952","O2: 0.21, N2: 0.79",0.1,297.9267036,0.864961084,670.5512541,86028.17783,3108.186585,598.7062845,118.737627,192081.6185,8357.831428,6460.36285,528.4405748,53.84197412,31.80590163,1.038899259,14.84061285,1.099086592,0.35042772,-0.462105663,14.84013865,-0.042220722,7.41837438,35.23312264,8.349915376,-0.06902028,14.83597829,-2.669130858,1.281590319,0.959777326,0.426478254
0.101044744,0.004260478,0.999082629,"NH3: 0.219493262, CH4: 0.780506738","O2: 0.21, N2: 0.79",0.1,298.133103,0.909599962,688.533589,86559.34928,2606.599647,4051.274117,1709.144348,196693.7757,8571.118305,6345.408984,533.3409477,7.668632141,15.70992852,10.24948548,14.82869858,1.415373986,0.637129238,-0.498462984,14.81469089,-0.029244344,7.41548597,7.187228143,8.234639013,-0.078796166,14.81293651,-2.617709472,1.217715917,0.442285893,0.429499305
0.101351384,0.005309855,1.099132474,"NH3: 0.219496699, CH4: 0.780503301","O2: 0.21, N2: 0.79",0.1,299.1141447,0.901267223,692.8098904,73494.24801,2514.357753,19259.87732,789.9834049,195101.7072,9578.376837,5804.540909,271.5525299,4.34320809,15.92993479,7.699722508,15.93001954,4.052734702,0.419101805,-0.78566422,15.93172557,-0.156463958,7.963508308,1.611340509,8.286444386,0.091178839,15.92684472,-3.035167598,0.344178916,0.591948183,0.39994992
