P,phi Er,phi,blend_calculated,fuel,oxidizer,blend,T_in,U,T,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,X_CH4,CH4 Er,HCN,HCN Er, HNCO,HNCO Er,HCHO,HCHO Er,H2,H2 Er,O2,O2 Er
101118.0709,0.004276,0.749025806,0.371579887,"NH3: 0.628420113243972, CH4: 0.371579886756029","O2: 0.21, N2: 0.79",0.4,297.9956357,0.200524206,531.0143264,4.55988926,80.93074176,188707.8856,8759.020653,6045.057845,219.3450121,129.3154353,16.84814399,-0.320511485,16.18754671,1.778332137,1.751842914,-0.75214381,8.095000886,-0.11046394,8.100087272,24.89533949,16.20925716,-0.279625682,16.18607306,-3.426542712,0.343737679,2.465813629,0.415381791
101118.0709,0.003903828,0.799425766,0.37177602,"NH3: 0.628223980139151, CH4: 0.371776019860849","O2: 0.21, N2: 0.79",0.4,297.8767397,0.236118485,549.8542689,9.085538228,80.35740928,199765.174,8969.381668,6853.888509,256.6628638,135.3942883,16.89331469,-0.613807971,16.07442514,0.774493925,0.339298165,-0.853287284,8.036533713,-0.067203745,8.044129222,28.28835752,16.10056659,-0.29884879,16.07134629,-3.310580953,0.33962195,1.786581708,0.408067552
101118.0709,0.003606884,0.849112157,0.371736585,"NH3: 0.628263415432456, CH4: 0.371736584567544","O2: 0.21, N2: 0.79",0.4,297.8741691,0.273551173,567.9462993,26.17555429,80.68010767,213545.2495,9274.918834,7407.119837,257.7484544,121.4057166,16.70433534,-0.801809086,16.13800596,1.239922807,0.707988671,-0.921847543,8.068949319,0.054737688,8.08476938,32.07480441,16.17129391,-0.268997536,16.1350276,-3.212925338,0.339363568,0.696423307,0.406676197
101118.0709,0.003438053,0.89960907,0.371921374,"NH3: 0.628078625570844, CH4: 0.371921374429156","O2: 0.21, N2: 0.79",0.4,297.8802921,0.306328655,581.7130393,78.25026884,80.79346838,224912.5131,9590.395946,7483.020639,260.8434311,86.26136591,16.40936649,-0.58945572,16.14611955,2.277406882,1.675624955,-0.842293245,8.071384245,0.258191318,8.124300753,36.01304842,16.18647038,-0.257506658,16.14148949,-3.133850009,0.33848801,-0.07484221,0.406532099
101118.0709,0.003387694,0.949345778,0.371919409,"NH3: 0.628080590710153, CH4: 0.371919409289847","O2: 0.21, N2: 0.79",0.4,297.7402849,0.330349042,594.118017,441.2597497,83.58946264,234948.3686,11035.50877,7266.931327,294.6108247,27.66964827,16.32196739,3.491737454,16.23255519,4.810961922,4.091038653,-0.906219037,8.116081578,1.20544891,8.330162873,29.47667245,16.27007397,-0.197562362,16.22933927,-3.080691506,0.347356134,-0.828953347,0.410628353
100981.4159,0.003465186,0.999168612,0.371901023,"NH3: 0.628098976903648, CH4: 0.371901023096352","O2: 0.21, N2: 0.79",0.4,297.4582808,0.342758508,600.3005094,4878.722272,190.5528545,237369.8583,10548.84641,6566.005413,256.2307862,3.06089923,15.07759569,7.99708558,15.02166067,3.681323886,1.513812978,-0.575390401,7.509570846,-0.055761539,7.509125757,2.806786037,15.01827798,-0.256992087,15.01794742,-2.754260631,0.316825246,-0.418485528,0.376896473
101254.726,0.003447659,0.999611425,0.371854278,"NH3: 0.628145721982657, CH4: 0.371854278017343","O2: 0.21, N2: 0.79",0.4,296.5359334,0.342623906,596.7554082,4946.771942,194.4555847,236659.2906,10057.60947,6582.154676,236.6296767,4.300142344,16.14312774,7.640450295,16.14928386,3.085944869,1.310216365,-0.487310229,8.067854786,-0.067417883,8.067300978,2.550626202,16.13025315,-0.109216146,16.1300357,-3.059114519,0.337712768,-1.751325465,0.412504977
101118.0709,0.003643624,1.049835515,0.371911113,"NH3: 0.628088886514407, CH4: 0.371911113485593","O2: 0.21, N2: 0.79",0.4,297.3355022,0.344686985,598.6676129,11711.36999,394.4312028,235997.9483,9954.567803,5496.689679,185.8611788,3.564121904,14.83856549,5.787456917,14.7174626,2.578405767,0.551805305,-0.579848392,7.3569931,-0.11460195,7.3562858,2.38326059,14.71165367,-0.145288464,14.71147176,-2.179089601,0.304057457,-1.247014872,0.373600774
101118.0709,0.003945469,1.099501409,0.371814849,"NH3: 0.6281851512765, CH4: 0.3718148487235","O2: 0.21, N2: 0.79",0.4,297.5477225,0.33572715,594.5147128,16176.6056,470.6645664,234539.894,9411.62011,3915.92543,164.604968,3.294346251,14.78896644,4.982088836,14.69755147,3.627634052,0.459844442,-0.442324873,7.347532893,0.011535733,7.348123692,2.21858042,14.69271995,-0.165365598,14.69256061,-1.697057882,0.301723507,-1.310521464,0.373629555
100981.4159,0.004563815,1.161460842,0.371903697,"NH3: 0.62809630277658, CH4: 0.37190369722342","O2: 0.21, N2: 0.79",0.4,298.070574,0.311328565,588.4784057,22509.46513,2778.30735,234837.5045,9673.135645,1475.793515,864.6809505,2.17452749,13.88148146,4.593738173,13.8338133,104.2097562,198.673662,-0.197541358,6.910395426,44.78967471,88.02415029,3.826841575,13.77856311,-0.050758665,13.77737935,0.207905367,0.281890656,-0.743060136,0.351170268
101026.9675,0.005015981,1.198966703,0.372055535,"NH3: 0.627944465210539, CH4: 0.372055534789461","O2: 0.21, N2: 0.79",0.4,298.0022535,0.292718764,580.7354825,12572.77696,24032.78023,111079.6664,211426.2048,84.8217564,161.0583698,2.049927348,12.78103429,2.934806806,13.72484968,222.2416855,409.4257701,0.709175193,6.328915449,94.81379264,175.033069,4.340790829,12.37364911,0.266671568,12.36995827,-0.173271068,0.251288091,-0.971302289,0.318318639
