phi,phi Er,blend,T_in,T,U,P,CO,CO Er,CO2,CO2 Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,HCN,HCN Er,O2,O2 Er,
0.851900364,0.003250542,E_NH3_0.6,296.2272899,543.646897,0.177640155,101708.1441,8.481692455,139.9530288,32010.58547,3165.570528,211306.0079,16240.93117,5640.549367,214.6707057,95.68466856,26.93001865,5.162602029,26.76780663,1.816000385,0.665380694,0.691180956,14.59019134,2.509974954,0.738710818,
0.900017397,0.009575234,E_NH3_0.6,296.7130479,562.0858348,0.188335007,101708.1441,15.76016007,111.1483263,34491.30174,2859.212503,226195.3923,18254.51392,5920.249079,216.96921,80.59647565,26.28828465,-0.707297552,26.17464537,1.835403926,1.390770609,0.847644218,14.43574762,1.554570182,0.732685108,
0.951056623,0.003843467,E_NH3_0.6,296.2281135,572.9278673,0.22317364,102126.9185,152.1447785,208.0679815,36079.80768,2936.611695,239457.4046,19130.71074,5719.820808,208.1721932,22.92732517,26.15513697,2.705870364,26.1467376,0.34432026,0.553790776,0.694286835,14.42002129,0.747437673,0.731138501,
1.004691391,0.00459263,E_NH3_0.6,296.6358935,577.1543712,0.236724294,102126.9185,2627.890095,2029.130982,35050.57923,4456.80904,247637.0816,14062.52405,4935.356079,196.2741446,1.548514291,25.83979005,5.569800874,25.84561712,0.989841338,0.521818879,0.301776045,14.35252828,0.197788488,0.725173104,
1.051822912,0.003737576,E_NH3_0.6,296.8854079,578.2011098,0.243256138,101708.1441,5030.57804,3523.543163,33969.38869,6060.078067,251493.2805,14227.68546,3706.97412,100,1.678096386,20,4.845542169,20,2.59750988,0.4,0.349620173,14.30350273,0.033142544,0.720126689,
1.10469329,0.006411745,E_NH3_0.6,296.3319986,582.5486496,0.239813616,101708.1441,7413.61088,1931.135932,33277.03114,5208.952262,252839.1787,14217.8186,1940.133916,100,0.639062937,20,3.946083916,20,3.192238182,0.4,0.579160026,14.20330296,-0.008734593,0.720125231,
1.15394654,0.006679808,E_NH3_0.6,296.3944612,579.6051919,0.230944819,102126.9185,10349.80384,939.5971196,30709.35447,4468.852257,252076.2253,13154.7928,449.1796,10,0.224,20,3.8212,20,79.790904,10,0.65396398,14.31249022,-0.05204375,0.723742545,
1.201020125,0.002963689,E_NH3_0.6,297.1443194,566.7478599,0.218499742,102126.9185,13311.53433,1395.169376,28667.33953,2742.200679,249352.2951,12972.2875,80.91499464,10,1.380900322,20,6.640257235,20,409741.7754,100,0.436259926,14.64252233,-0.059897608,0.733621567,
1.255083532,0.007368009,E_NH3_0.6,296.6088131,565.7169418,0.199896949,101708.1441,14397.64972,740.5049375,29299.21547,2160.29387,253393.0259,15627.85911,47.03532545,17.71106135,3.995777577,31.75441221,6.499139,31.77737178,1118130.353,765332.2209,0.6213203,15.329312,0.128479685,0.74,
1.300807772,0.002781302,E_NH3_0.6,296.9287484,553.7017676,0.183510042,101708.1441,16078.7385,912.1549985,31218.6692,2838.574612,248383.4916,14307.54911,-2.633518608,16.43357544,13.51251362,32.75418493,3.860390367,32.75449779,4809339.939,264315.4493,311.8990544,181.3709693,-0.015671712,0.737670083,
