P,phi Er,phi,blend_calculated,fuel ,oxidizer,blend,T_in,U,T,CO2,CO2 Er,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,X_CH4,CH4 Er,HCN,HCN Er, HNCO,HNCO Er,HCHO,HCHO Er,H2,H2 Er,O2,O2 Er
99258.229,0.001727237,0.800830124,0.208306414,"NH3: 0.791693585788322, CH4: 0.208306414211678","""O2: 0.21, N2: 0.79""",0.6,297.8851485,0.186069114,538.7582508,32471.33162,1993.111857,-4.692241379,92.61889876,227918.3649,11356.73121,5802.729557,252.4317947,128.5987728,19.37794933,1.007358879,18.52396315,-0.564126355,1.555792213,-0.410733817,9.262243096,-0.904103649,9.263137464,26.17779609,18.57563946,-0.025953373,18.52371878,-3.910111245,0.929381944,1.96631963,0.470556781
99258.229,0.001926617,0.850173811,0.20828315,"NH3: 0.791716850460789, CH4: 0.208283149539211","""O2: 0.21, N2: 0.79""",0.6,297.8450495,0.178638061,543.7551155,34278.13897,1984.81022,-0.09866157,95.8512734,239339.8202,12913.56336,6157.274356,323.0175078,119.6614543,19.98638268,1.996007428,19.17146038,14.7000438,11.21438335,-0.86724643,9.585623081,4.462252247,9.936974117,18.8422791,19.18686998,0.017713997,19.17021481,-3.98587725,0.419045964,1.135456432,0.482114476
99891.5085,0.005382514,0.899056012,0.208247938,"NH3: 0.791752061515411, CH4: 0.208247938484589","""O2: 0.21, N2: 0.79""",0.6,297.2099194,0.203167645,568.5147784,34483.19861,1910.751868,26.20039358,77.76508243,245121.2418,10125.46925,6103.90596,220.3851869,96.42288321,22.58552457,0.535182266,15.53545535,2.553210514,1.208432978,-0.775678222,7.749010215,0.171840041,7.74224467,28.83184217,15.49891756,-0.230778917,15.46693718,-2.996647221,0.32744552,1.075708571,0.388519963
99891.5085,0.005215059,0.949726015,0.208434434,"NH3: 0.791565566264891, CH4: 0.208434433735109","""O2: 0.21, N2: 0.79""",0.6,297.1067472,0.223501454,581.0860324,35807.4336,1861.977521,199.273276,148.0164188,263301.7273,12962.68392,5925.842359,231.6026237,34.74851816,21.74633025,3.227877903,15.33356203,1.433236962,1.377982954,-0.82963815,7.665995357,0.427170293,7.662354598,23.47416073,15.34591242,-0.188045156,15.32402022,-2.737849702,0.326118481,0.158960055,0.383957477
99574.86875,0.005240564,0.950337331,0.208318026,"NH3: 0.791681974456772, CH4: 0.208318025543228","""O2: 0.21, N2: 0.79""",0.6,297.6338981,0.223690869,571.7496301,36072.01691,1925.894344,160.9058753,125.3223992,263076.7455,12311.23244,5951.081298,237.255759,43.76660934,22.67548703,3.867350367,16.75582727,2.791869522,1.768214897,-0.974813177,8.373913312,0.353495097,8.366520712,20.64674524,16.74637898,-0.145990028,16.73005494,-3.284489609,0.354613987,0.042569719,0.419010837
99891.5085,0.005250437,1.0003369,0.208310307,"NH3: 0.791689692756651, CH4: 0.208310307243349","""O2: 0.21, N2: 0.79""",0.6,297.0527334,0.237030264,584.9273641,34110.3945,1980.533087,3446.3589,905.1176478,269264.3192,17715.11583,5090.350743,195.3367917,1.937636839,15.26450706,7.02226534,15.33195458,4.038899245,3.516009777,-0.181897499,7.624777398,0.436342185,7.62442192,2.742780578,15.24609784,-0.244695789,15.24568579,-2.533186915,0.318779276,-0.171858498,0.381982656
99680.41533,0.005399628,1.049597736,0.208302888,"NH3: 0.79169711164477, CH4: 0.20830288835523","""O2: 0.21, N2: 0.79""",0.6,297.6362409,0.243134543,583.9707719,31191.67734,1678.384824,7924.504798,1052.439447,263131.8586,9689.961074,3897.22711,218.1346405,4.503533522,15.02549128,5.992537258,14.86545609,3.664491691,1.196035611,-0.368481689,7.415873394,0.470797145,7.421214295,2.902500331,14.82407262,-0.175549573,14.82365437,-1.865113155,0.31285546,-0.335588548,0.371743249
99680.41533,0.005763817,1.099913844,0.208235631,"NH3: 0.791764368651892, CH4: 0.208235631348108","""O2: 0.21, N2: 0.79""",0.6,297.6021345,0.24074955,581.3286171,28921.15337,1719.423938,10897.35784,347.5214138,260391.6076,9995.910563,2231.925601,272.6603258,3.534837073,14.97685762,5.162280146,14.80852592,5.107588014,1.707478751,-0.225638245,7.38599169,0.709018156,7.403493023,2.441744789,14.76488358,-0.140891546,14.76459934,-1.574316398,0.310624584,-0.391752513,0.3703785
99680.41533,0.006314483,1.150186481,0.208241818,"NH3: 0.791758181910196, CH4: 0.208241818089804","""O2: 0.21, N2: 0.79""",0.6,297.697272,0.231807102,575.284819,27863.94053,1486.003501,13531.70192,460.1394625,255130.2958,11860.04855,730.8205859,245.1621311,4.010896031,15.50041037,4.617093386,15.1542746,28.29768186,17.03656119,0.906964843,7.609755201,18.4656364,13.45493875,3.132515495,15.13484544,-0.101850557,15.13453291,-1.367577828,0.317811219,-0.48513121,0.379999401
99680.41533,0.007056532,1.199157725,0.208222994,"NH3: 0.79177700579505, CH4: 0.20822299420495","""O2: 0.21, N2: 0.79""",0.6,297.8085218,0.218162522,571.0577581,30344.83871,1348.016335,16329.22574,985.0639567,259940.1427,9810.178,91.15651061,8.915965534,4.254470001,15.689112,7.751903436,15.51843664,1016.900414,164.3669511,1.68545597,7.74338674,302.4531603,63.91308205,12.67410948,15.4827258,0.781087789,15.48107454,-0.848169887,0.320679673,-0.500267768,0.388956249
