,equivalence ratio error,eq,blend,T1[℃],Uout[m/s],Tw[K],X_CO2,delta_X_CO2,X_CO,delta_X_CO,X_H2O,delta_X_H2O,X_NO,delta_X_NO,X_NO2,delta_X_NO2,X_N2O,delta_X_N2O,X_NH3,delta_X_NH3,X_CH4,delta_X_CH4,X_HCN,delta_X_HCN,X_HNCO,delta_X_HNCO,X_HCHO,delta_X_HCHO,X_H2,delta_X_H2,X_O2,delta_X_O2,P,phi Er,phi,blend_calculated,fuel ,oxidizer,blend,T_in,U,T,CO2,CO2 Er,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,X_CH4,CH4 Er,HCN,HCN Er, HNCO,HNCO Er,HCHO,HCHO Er,H2,H2 Er,O2,O2 Er
99258.229,0.001727578,0.800819761,0.208256191,297.9321782,0.1860637,539.000165,32471.33162,760.75908,-4.564603069,92.67811601,228147.194,8263.88143,5784.222226,159.475816,129.7028246,18.76247249,0.944681635,18.53562396,-1.632205873,0.372742609,-0.465026765,9.267816896,-1.006774263,9.267840322,26.77565601,18.54530335,-0.028321078,18.53561344,-4.501946816,0.384672568,1.952445195,0.465404149,99258.229,0.001727237,0.800830124,0.208306414,"NH3: 0.791693585788322, CH4: 0.208306414211678","""O2: 0.21, N2: 0.79""",0.2,297.8851485,0.186069114,538.7582508,32471.33162,1993.111857,-4.692241379,92.61889876,227918.3649,11356.73121,5802.729557,252.4317947,128.5987728,19.37794933,1.007358879,18.52396315,-0.564126355,1.555792213,-0.410733817,9.262243096,-0.904103649,9.263137464,26.17779609,18.57563946,-0.025953373,18.52371878,-3.910111245,0.929381944,1.96631963,0.470556781
99258.229,0.001726896,0.800840487,0.208356638,297.8381188,0.1860745,538.5163366,32471.33162,3225.464633,-4.819879689,92.55932972,227689.5357,14440.35766,5821.236888,342.6666674,127.4947209,19.86741538,1.070036124,18.51187818,0.503953162,0.37264776,-0.356440869,9.256032781,-0.801433035,9.25615851,25.57993617,18.56747118,-0.023585667,18.51182351,-3.318275673,0.423317804,1.980194065,0.474890879,99258.229,0.001926617,0.850173811,0.20828315,"NH3: 0.791716850460789, CH4: 0.208283149539211","""O2: 0.21, N2: 0.79""",0.2,297.8450495,0.178638061,543.7551155,34278.13897,1984.81022,-0.09866157,95.8512734,239339.8202,12913.56336,6157.274356,323.0175078,119.6614543,19.98638268,1.996007428,19.17146038,14.7000438,11.21438335,-0.86724643,9.585623081,4.462252247,9.936974117,18.8422791,19.18686998,0.017713997,19.17021481,-3.98587725,0.419045964,1.135456432,0.482114476
99258.229,0.001926177,0.850032936,0.208326479,297.8272277,0.1786304,543.3414191,34278.13897,786.9579112,-0.278051438,95.95516265,236321.293,8759.388916,6037.657916,172.742965,121.1577553,19.40609562,2.141250364,19.19109861,6.795105912,0.41604837,-0.80975826,9.59554282,2.617776015,9.595713922,19.77761442,19.19676842,-0.025905907,19.1910347,-4.631324247,0.399810597,1.121579392,0.480531598,99891.5085,0.005382514,0.899056012,0.208247938,"NH3: 0.791752061515411, CH4: 0.208247938484589","""O2: 0.21, N2: 0.79""",1.2,297.2099194,0.203167645,568.5147784,34483.19861,1910.751868,26.20039358,77.76508243,245121.2418,10125.46925,6103.90596,220.3851869,96.42288321,22.58552457,0.535182266,15.53545535,2.553210514,1.208432978,-0.775678222,7.749010215,0.171840041,7.74224467,28.83184217,15.49891756,-0.230778917,15.46693718,-2.996647221,0.32744552,1.075708571,0.388519963
99258.229,0.001927057,0.850314687,0.20823982,297.8628713,0.1786457,544.1688119,34278.13897,3182.662528,0.080728298,95.74671267,242358.3473,15615.77112,6276.890796,377.6173712,118.1651532,20.34199409,1.850764493,19.14962136,22.60498168,1.357431961,-0.9247346,9.575013777,6.306728479,9.581279529,17.90694378,19.17697155,0.061333902,19.14939493,-3.340430253,0.438281332,1.149333471,0.483697355,99891.5085,0.005215059,0.949726015,0.208434434,"NH3: 0.791565566264891, CH4: 0.208434433735109","""O2: 0.21, N2: 0.79""",2.2,297.1067472,0.223501454,581.0860324,35807.4336,1861.977521,199.273276,148.0164188,263301.7273,12962.68392,5925.842359,231.6026237,34.74851816,21.74633025,3.227877903,15.33356203,1.433236962,1.377982954,-0.82963815,7.665995357,0.427170293,7.662354598,23.47416073,15.34591242,-0.188045156,15.32402022,-2.737849702,0.326118481,0.158960055,0.383957477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99574.86875,0.005240564,0.950337331,0.208318026,"NH3: 0.791681974456772, CH4: 0.208318025543228","""O2: 0.21, N2: 0.79""",3.2,297.6338981,0.223690869,571.7496301,36072.01691,1925.894344,160.9058753,125.3223992,263076.7455,12311.23244,5951.081298,237.255759,43.76660934,22.67548703,3.867350367,16.75582727,2.791869522,1.768214897,-0.974813177,8.373913312,0.353495097,8.366520712,20.64674524,16.74637898,-0.145990028,16.73005494,-3.284489609,0.354613987,0.042569719,0.419010837
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99891.5085,0.005250437,1.0003369,0.208310307,"NH3: 0.791689692756651, CH4: 0.208310307243349","""O2: 0.21, N2: 0.79""",4.2,297.0527334,0.237030264,584.9273641,34110.3945,1980.533087,3446.3589,905.1176478,269264.3192,17715.11583,5090.350743,195.3367917,1.937636839,15.26450706,7.02226534,15.33195458,4.038899245,3.516009777,-0.181897499,7.624777398,0.436342185,7.62442192,2.742780578,15.24609784,-0.244695789,15.24568579,-2.533186915,0.318779276,-0.171858498,0.381982656
100524.788,0.005339998,0.897976887,0.20827494,296.3169492,0.2030138,583.4607345,34281.2616,639.6953347,33.25325514,66.98827755,242347.3813,5459.929896,6032.29212,96.61281181,82.40128942,13.43107922,-0.628002159,13.39743982,2.811070819,0.269818805,-0.272851809,6.698720773,0.425943867,6.698720665,32.97211541,13.40281294,-0.362096372,13.39743829,-2.684428966,0.269875656,1.216794417,0.335213649,99680.41533,0.005399628,1.049597736,0.208302888,"NH3: 0.79169711164477, CH4: 0.20830288835523","""O2: 0.21, N2: 0.79""",5.2,297.6362409,0.243134543,583.9707719,31191.67734,1678.384824,7924.504798,1052.439447,263131.8586,9689.961074,3897.22711,218.1346405,4.503533522,15.02549128,5.992537258,14.86545609,3.664491691,1.196035611,-0.368481689,7.415873394,0.470797145,7.421214295,2.902500331,14.82407262,-0.175549573,14.82365437,-1.865113155,0.31285546,-0.335588548,0.371743249
100524.788,0.005337807,0.898008802,0.208138373,296.3544118,0.2029695,583.1303922,34281.2616,3074.314456,33.20848671,66.99007217,245034.3701,11218.22809,6087.924585,261.9133955,82.59966862,13.8270788,-0.820010096,13.39526923,0.946466729,0.270549223,-0.469232226,6.697675119,0.547062505,6.697642771,32.81934332,13.46389731,-0.312934946,13.39522151,-2.199680859,0.285976735,1.255816482,0.338487692,99680.41533,0.005763817,1.099913844,0.208235631,"NH3: 0.791764368651892, CH4: 0.208235631348108","""O2: 0.21, N2: 0.79""",6.2,297.6021345,0.24074955,581.3286171,28921.15337,1719.423938,10897.35784,347.5214138,260391.6076,9995.910563,2231.925601,272.6603258,3.534837073,14.97685762,5.162280146,14.80852592,5.107588014,1.707478751,-0.225638245,7.38599169,0.709018156,7.403493023,2.441744789,14.76488358,-0.140891546,14.76459934,-1.574316398,0.310624584,-0.391752513,0.3703785
99258.229,0.005426141,0.900098743,0.208306914,298.120297,0.2033611,554.1160066,34685.13563,737.2927003,19.3643627,87.70027564,244481.4701,7879.296774,6124.925067,151.6675937,111.0118278,17.68252553,1.742197704,17.53991617,2.723146627,0.354970307,-1.326406684,8.769989356,-0.179977518,8.769945707,25.28636838,17.5472834,-0.1781902,17.53988412,-4.066836222,0.360676346,0.913024949,0.438900833,99680.41533,0.006314483,1.150186481,0.208241818,"NH3: 0.791758181910196, CH4: 0.208241818089804","""O2: 0.21, N2: 0.79""",7.2,297.697272,0.231807102,575.284819,27863.94053,1486.003501,13531.70192,460.1394625,255130.2958,11860.04855,730.8205859,245.1621311,4.010896031,15.50041037,4.617093386,15.1542746,28.29768186,17.03656119,0.906964843,7.609755201,18.4656364,13.45493875,3.132515495,15.13484544,-0.101850557,15.13453291,-1.367577828,0.317811219,-0.48513121,0.379999401
99258.229,0.005426109,0.900139615,0.208271526,298.0480198,0.2033262,553.3519802,34685.13563,3134.580492,18.97546978,87.68146314,248621.7455,14580.63924,6170.482068,339.7497719,109.678747,18.47650353,1.846543613,17.53540724,3.732157881,0.398788057,-1.03422217,8.767918262,-0.105668689,8.767677368,24.24954157,17.58167658,-0.069894151,17.53520481,-3.035642835,0.393253344,0.917198435,0.441477678,99680.41533,0.007056532,1.199157725,0.208222994,"NH3: 0.79177700579505, CH4: 0.20822299420495","""O2: 0.21, N2: 0.79""",8.2,297.8085218,0.218162522,571.0577581,30344.83871,1348.016335,16329.22574,985.0639567,259940.1427,9810.178,91.15651061,8.915965534,4.254470001,15.689112,7.751903436,15.51843664,1016.900414,164.3669511,1.68545597,7.74338674,302.4531603,63.91308205,12.67410948,15.4827258,0.781087789,15.48107454,-0.848169887,0.320679673,-0.500267768,0.388956249
