phi,phi Er,fuel,blend,oxidizer,T_in,T,U,P,T_max,,,,,,,,,,,,,,
0.9,0,"NH3: 0, CH4: 1",ICFD_1bar_0.2,"O2: 0.21, N2: 0.79",298,598.4354049,0.2,100000,2137.269303,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 1.579658482",ICFD_1bar_0.2,"O2: 0.21, N2: 0.79",298,584.8922053,0.2,100000,2088.900733,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.592371931",ICFD_1bar_0.2,"O2: 0.21, N2: 0.79",298,575.7592161,0.2,100000,2056.282915,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.263276414",ICFD_1bar_0.2,"O2: 0.21, N2: 0.79",298,567.4796665,0.2,100000,2026.713095,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.098728655",ICFD_1bar_0.2,"O2: 0.21, N2: 0.79",298,559.4861336,0.2,100000,1998.164763,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0",ICFD_1bar_0.2,"O2: 0.21, N2: 0.79",298,551.5629337,0.2,100000,1969.86762,,,,,,,,,,,,,,
0.9,0,"NH3: 0, CH4: 1",ICFD_5bar_0.2,"O2: 0.21, N2: 0.79",298,602.5483564,0.2,500000,2151.958416,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 1.579658482",ICFD_5bar_0.2,"O2: 0.21, N2: 0.79",298,589.7936962,0.2,500000,2106.406058,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.592371931",ICFD_5bar_0.2,"O2: 0.21, N2: 0.79",298,580.0867247,0.2,500000,2071.738303,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.263276414",ICFD_5bar_0.2,"O2: 0.21, N2: 0.79",298,570.9212211,0.2,500000,2039.004361,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.098728655",ICFD_5bar_0.2,"O2: 0.21, N2: 0.79",298,562.1608197,0.2,500000,2007.717213,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0",ICFD_5bar_0.2,"O2: 0.21, N2: 0.79",298,553.7380213,0.2,500000,1977.63579,,,,,,,,,,,,,,
0.9,0,"NH3: 0, CH4: 1",ICFD_1bar_0.25,"O2: 0.21, N2: 0.79",298,598.4354049,0.25,100000,2137.269303,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 1.579658482",ICFD_1bar_0.25,"O2: 0.21, N2: 0.79",298,584.8922053,0.25,100000,2088.900733,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.592371931",ICFD_1bar_0.25,"O2: 0.21, N2: 0.79",298,575.7592161,0.25,100000,2056.282915,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.263276414",ICFD_1bar_0.25,"O2: 0.21, N2: 0.79",298,567.4796665,0.25,100000,2026.713095,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.098728655",ICFD_1bar_0.25,"O2: 0.21, N2: 0.79",298,559.4861336,0.25,100000,1998.164763,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0",ICFD_1bar_0.25,"O2: 0.21, N2: 0.79",298,551.5629337,0.25,100000,1969.86762,,,,,,,,,,,,,,
0.9,0,"NH3: 0, CH4: 1",ICFD_5bar_0.25,"O2: 0.21, N2: 0.79",298,602.5483564,0.25,500000,2151.958416,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 1.579658482",ICFD_5bar_0.25,"O2: 0.21, N2: 0.79",298,589.7936962,0.25,500000,2106.406058,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.592371931",ICFD_5bar_0.25,"O2: 0.21, N2: 0.79",298,580.0867247,0.25,500000,2071.738303,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.263276414",ICFD_5bar_0.25,"O2: 0.21, N2: 0.79",298,570.9212211,0.25,500000,2039.004361,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.098728655",ICFD_5bar_0.25,"O2: 0.21, N2: 0.79",298,562.1608197,0.25,500000,2007.717213,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0",ICFD_5bar_0.25,"O2: 0.21, N2: 0.79",298,553.7380213,0.25,500000,1977.63579,,,,,,,,,,,,,,
0.9,0,"NH3: 0, CH4: 1",ICFD_1bar_0.3,"O2: 0.21, N2: 0.79",298,598.4354049,0.3,100000,2137.269303,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 1.579658482",ICFD_1bar_0.3,"O2: 0.21, N2: 0.79",298,584.8922053,0.3,100000,2088.900733,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.592371931",ICFD_1bar_0.3,"O2: 0.21, N2: 0.79",298,575.7592161,0.3,100000,2056.282915,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.263276414",ICFD_1bar_0.3,"O2: 0.21, N2: 0.79",298,567.4796665,0.3,100000,2026.713095,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.098728655",ICFD_1bar_0.3,"O2: 0.21, N2: 0.79",298,559.4861336,0.3,100000,1998.164763,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0",ICFD_1bar_0.3,"O2: 0.21, N2: 0.79",298,551.5629337,0.3,100000,1969.86762,,,,,,,,,,,,,,
0.9,0,"NH3: 0, CH4: 1",ICFD_5bar_0.3,"O2: 0.21, N2: 0.79",298,602.5483564,0.3,500000,2151.958416,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 1.579658482",ICFD_5bar_0.3,"O2: 0.21, N2: 0.79",298,589.7936962,0.3,500000,2106.406058,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.592371931",ICFD_5bar_0.3,"O2: 0.21, N2: 0.79",298,580.0867247,0.3,500000,2071.738303,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.263276414",ICFD_5bar_0.3,"O2: 0.21, N2: 0.79",298,570.9212211,0.3,500000,2039.004361,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.098728655",ICFD_5bar_0.3,"O2: 0.21, N2: 0.79",298,562.1608197,0.3,500000,2007.717213,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0",ICFD_5bar_0.3,"O2: 0.21, N2: 0.79",298,553.7380213,0.3,500000,1977.63579,,,,,,,,,,,,,,
0.9,0,"NH3: 0, CH4: 1",ICFD_1bar_0.35,"O2: 0.21, N2: 0.79",298,598.4354049,0.35,100000,2137.269303,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 1.579658482",ICFD_1bar_0.35,"O2: 0.21, N2: 0.79",298,584.8922053,0.35,100000,2088.900733,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.592371931",ICFD_1bar_0.35,"O2: 0.21, N2: 0.79",298,575.7592161,0.35,100000,2056.282915,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.263276414",ICFD_1bar_0.35,"O2: 0.21, N2: 0.79",298,567.4796665,0.35,100000,2026.713095,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.098728655",ICFD_1bar_0.35,"O2: 0.21, N2: 0.79",298,559.4861336,0.35,100000,1998.164763,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0",ICFD_1bar_0.35,"O2: 0.21, N2: 0.79",298,551.5629337,0.35,100000,1969.86762,,,,,,,,,,,,,,
0.9,0,"NH3: 0, CH4: 1",ICFD_5bar_0.35,"O2: 0.21, N2: 0.79",298,602.5483564,0.35,500000,2151.958416,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 1.579658482",ICFD_5bar_0.35,"O2: 0.21, N2: 0.79",298,589.7936962,0.35,500000,2106.406058,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.592371931",ICFD_5bar_0.35,"O2: 0.21, N2: 0.79",298,580.0867247,0.35,500000,2071.738303,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.263276414",ICFD_5bar_0.35,"O2: 0.21, N2: 0.79",298,570.9212211,0.35,500000,2039.004361,,,,,,,,,,,,,,
0.9,0,"NH3: 1, CH4: 0.098728655",ICFD_5bar_0.35,"O2: 0.21, N2: 0.79",298,562.1608197,0.35,500000,2007.717213,,,,,,,,,,,,,,
