phi,phi Er,fuel,blend,oxidizer,T_in,T,U,P,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,O2,O2 Er,HCN,HCN Er,HNCO,HNCO Er,CO2,CO2 Er
0.650427383,0.004510809,"CH4: 0.780265187191891 ,NH3: 0.219734812808109",0.1NH3,"O2: 0.21, N2: 0.79",297.5153551,596.7419523,0.342209938,101044.7438,9.384001055,64.41093141,138518.8874,6289.453487,4129.285283,256.831716,119.6068451,29.87500886,2.841131528,13.31488109,2.179743582,2.202047863,6.110799535,0.599457376,0.25171946,6.435650287,23.97134489,8.133414129,62395.36354,2426.280342
0.700631052,0.004665188,"CH4: 0.78046357196508 ,NH3: 0.21953642803492",0.1NH3,"O2: 0.21, N2: 0.80",297.0121395,596.5505092,0.443425903,100947.6092,11.92683876,66.48434234,144218.6656,7587.70561,4465.713653,497.4899047,121.5892093,25.58362511,-0.73805938,13.2997516,1.868667204,1.507776597,5.365868165,0.39162518,0.181578676,6.651772659,25.75116107,9.366516404,66131.87331,2045.330322
0.751024051,0.005171308,"CH4: 0.780415035473192 ,NH3: 0.219584964526808",0.1NH3,"O2: 0.21, N2: 0.81",296.9093813,588.7562899,0.535708478,101046.2252,19.19656934,68.26292851,150044.3501,7169.650139,4901.686854,406.1377328,134.654458,25.99717173,-0.739410673,13.63188067,1.290605521,0.801997508,4.585397778,0.440532279,0.116019305,6.817364851,26.03053207,10.65503659,68422.06178,2799.320382
0.800183585,0.00471842,"CH4: 0.780309250620502 ,NH3: 0.219690749379498",0.1NH3,"O2: 0.21, N2: 0.82",297.0470749,599.3263048,0.627843204,101160.2895,31.18601693,71.11925603,160891.1816,7837.506937,5625.456524,482.1408821,136.0972963,17.97915611,-0.903856192,14.22169068,1.041348989,0.744887798,3.536231968,0.596853446,0.117903427,7.112186059,28.95141853,10.55274157,72262.76415,2855.75496
0.849195507,0.00442167,"CH4: 0.78034526360706 ,NH3: 0.21965473639294",0.1NH3,"O2: 0.21, N2: 0.83",297.2330309,621.1009191,0.71827569,101160.2895,68.62858745,72.39812778,170073.4342,7897.308727,6124.222953,489.0328796,130.9122999,18.3697383,-0.79944281,14.44044682,0.844352512,0.632858865,2.389958014,0.77072325,-0.027332431,7.218749522,31.04786566,10.99198505,76834.62249,2929.706366
0.90079026,0.004256461,"CH4: 0.780435298262134 ,NH3: 0.219564701737866",0.1NH3,"O2: 0.21, N2: 0.84",297.3215748,643.0923284,0.799193409,101160.2895,177.3847701,79.29626007,181615.3203,8725.920355,6469.884755,471.0772313,104.5044463,18.88106121,-0.480761032,15.29359383,0.845516049,0.603955356,1.310115274,0.931938647,0.00206348,7.643695051,33.04050583,12.1826524,81573.10163,2971.727726
0.951692776,0.004234081,"CH4: 0.780396951443701 ,NH3: 0.219603048556299",0.1NH3,"O2: 0.21, N2: 0.85",297.9267036,670.5512541,0.864961082,101044.7438,598.7062844,118.737627,192081.6185,8357.831428,6460.36285,528.4405748,53.84197412,17.6153439,1.038899259,14.84061285,1.099086592,0.35042772,0.959777326,0.426478254,-0.042220722,7.41837438,35.23312264,8.349915375,86028.17783,3108.186586
0.999082629,0.004202979,"CH4: 0.780506738103437 ,NH3: 0.219493261896563",0.1NH3,"O2: 0.21, N2: 0.86",298.133103,688.533589,0.909599959,101044.7438,3603.354002,1400.539851,196693.7757,8571.118306,6345.408984,533.3409476,7.668632142,15.70992852,10.24948548,14.82869858,1.415373986,0.637129238,0.442285893,0.429499305,-0.029244344,7.41548597,7.187228143,8.234639013,86559.34927,2606.599645
1.099323402,0.004730812,"CH4: 0.780501743928085 ,NH3: 0.219498256071915",0.1NH3,"O2: 0.21, N2: 0.88",297.9066863,692.5227462,0.902012447,101104.7387,20193.60743,1313.842541,194557.8506,8800.239426,5383.648132,534.0704133,3.425160854,14.80115526,7.281752577,14.77270874,5.846401183,2.108785892,0.3491838,0.464986789,0.021852041,7.401446224,1.512567879,10.9374325,75464.58858,3256.669252
1.14903232,0.005275368,"CH4: 0.780392281961462 ,NH3: 0.219607718038538",0.1NH3,"O2: 0.21, N2: 0.89",298.305896,679.5714368,0.850313071,101044.7438,28600.26831,2813.327253,195232.26,9105.838987,4950.107122,397.6598875,2.964017381,14.9133828,6.586580618,14.86070247,4.35269742,0.390090802,0.374014315,0.425355547,0.088712132,7.431706727,1.67266923,7.564118631,68722.88015,2395.688383
1.199819932,0.006053806,"CH4: 0.780405818588332 ,NH3: 0.219594181411668",0.1NH3,"O2: 0.21, N2: 0.90",298.3270202,676.5422318,0.771840813,101044.7438,36360.04533,3155.365092,200408.8488,5301.551753,4347.591655,374.2758282,1.181488856,10.01764783,5.204795337,10,3.982464577,0.271672333,0.324124987,0.287433033,0.455499107,5.004402746,1.392301075,5.093443534,62921.805,291.3021684
1.251005717,0.00727358,"CH4: 0.780497502002113 ,NH3: 0.219502497997887",0.1NH3,"O2: 0.21, N2: 0.91",297.6940115,657.0888842,0.676505034,100891.4235,41732.21263,2079.636817,195459.8361,7479.19831,3394.198515,295.5530347,1.28515245,11.90292663,5.028168199,11.89983361,4.685629859,0.390684721,0.228229858,0.321449977,0.403476193,5.950170866,1.506756214,5.987566711,60190.66576,1545.402048
1.302254524,0.008860683,"CH4: 0.780449850064111 ,NH3: 0.219550149935889",0.1NH3,"O2: 0.21, N2: 0.92",297.6608867,642.079653,0.576560073,100891.4235,47637.33285,2076.210679,194079.711,7951.530991,2233.793551,288.1727452,0.923652408,11.92855705,4.296613154,11.89845146,6.601650065,1.246478645,0.199954793,0.32431933,1.328124094,5.970230468,1.446034254,5.983539188,56632.15092,1516.971564
1.351774921,0.0109623,"CH4: 0.780452696060542 ,NH3: 0.219547303939458",0.1NH3,"O2: 0.21, N2: 0.79",297.5245011,627.5963913,0.485778619,100891.4235,54236.17371,2609.93762,190050.5206,7474.737043,729.9581226,307.5013458,0.857187094,11.92373468,3.439026044,11.88514546,32.59884263,15.86348566,0.156976819,0.33076026,62.66372584,33.97376163,2.774061826,6.027743719,53587.61685,1544.775781
