phi,phi Er,fuel,blend,oxidizer,T_in,T,U,P,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,O2,O2 Er,HCN,HCN Er,HNCO,HNCO Er,CO2,CO2 Er
0.64987396,0.00831493,"CH4:0.612096943490917 , NH3:0.387903056509083",0.2NH3,"O2: 0.21, N2: 0.79",297.3401876,524.0008899,0.286398527,101391.381,10.92113644,86.24044165,148076.4959,8032.97755,4839.173751,207.455862,128.7809145,17.87301262,41.67331094,17.33743287,-0.502196044,0.359035612,5.255477898,0.470083595,1.295768858,8.625098416,23.16706382,17.268433,52185.9562,1791.460484
0.699533012,0.007899135,"CH4:0.612220808259477 , NH3:0.387779191740523",0.2NH3,"O2: 0.21, N2: 0.79",297.834618,540.7784952,0.327161046,101371.3827,8.488687271,83.98215263,158057.0839,8584.938633,5996.241367,232.8499834,134.7291818,18.28771059,-0.539091457,16.79956523,-0.019010203,0.593519408,4.879259454,1.019970456,0.479783381,8.415826084,27.53585815,17.44525051,55233.3298,1755.159676
0.749940011,0.007228185,"CH4:0.612139067809774 , NH3:0.387860932190226",0.2NH3,"O2: 0.21, N2: 0.79",297.8464894,558.4945964,0.385745402,101371.3827,12.93996899,82.46328252,164179.4311,10008.33595,6676.774631,315.6588934,141.7411965,18.36140008,-1.097203723,16.49842801,0.092286154,0.537341309,3.636805965,1.145151095,0.483478944,8.269522054,29.37507325,17.30326388,61661.6441,2610.206964
0.799922992,0.006579633,"CH4:0.612068498620634 , NH3:0.387931501379366",0.2NH3,"O2: 0.21, N2: 0.79",297.7412027,581.1211762,0.455036467,101371.3827,28.58296389,82.0246774,175838.7405,10232.98986,7329.483156,336.5896517,141.9008404,17.80943123,-1.172300057,16.41151542,0.311694751,0.546978259,2.541648486,1.209485409,0.477500563,8.235479103,33.13251241,17.4662039,65596.1168,2586.289419
0.850677808,0.004712958,"CH4:0.612064452990133 , NH3:0.387935547009867",0.2NH3,"O2: 0.21, N2: 0.79",296.9081258,586.2950378,0.524104857,101191.398,36.78501102,91.18383052,179294.8389,11221.99891,7468.868117,404.181407,151.5825546,20.53713251,-0.918290812,18.24069057,1.331690849,0.934229637,2.458752215,1.237178523,0.440774741,9.128239925,32.66580679,18.89597166,66696.6275,2533.361017
0.90046392,0.00471882,"CH4:0.612136651506036 , NH3:0.387863348493964",0.2NH3,"O2: 0.21, N2: 0.79",296.9777731,600.7585604,0.565764681,101191.398,82.4060444,90.71114011,187464.2983,11300.87969,7727.056278,395.3120294,128.5850699,19.76584045,-0.815961329,18.11759406,0.936191467,1.011355889,1.362561292,1.317260741,0.458215695,9.06572939,34.95814376,18.67934024,71092.0157,2853.835573
0.949716489,0.004378494,"CH4:0.612254497862018 , NH3:0.387745502137982",0.2NH3,"O2: 0.21, N2: 0.79",297.0730954,617.3071041,0.637668324,101191.398,256.4856125,96.72924919,197641.0839,11683.14815,7850.018603,407.9595282,84.06774023,18.84034774,0.1401266,18.20927575,0.702165097,0.986954027,0.366286034,1.471677535,0.308172292,9.118141634,36.74884166,18.9941748,74597.7115,2906.880601
0.999527631,0.004175882,"CH4:0.612232650256003 , NH3:0.387767349743997",0.2NH3,"O2: 0.21, N2: 0.79",296.9429373,636.6089235,0.664366288,101164.7336,1568.756217,631.7917142,207588.5717,12363.11031,7579.199177,410.7316127,17.80274935,19.15628629,8.914838917,18.22998903,0.624748766,1.1086511,-0.703434604,1.580408263,0.332088733,9.05139873,17.37416681,18.92862599,76967.645,2978.948568
1.049174239,0.003251035,"CH4:0.612135113397983 , NH3:0.387864886602017",0.2NH3,"O2: 0.21, N2: 0.79",296.9807058,635.9363282,0.670580882,101369.1607,6892.68582,574.62241,208604.5005,11341.36987,7194.246816,345.2320961,3.684438282,17.39147411,10.46537207,17.38166359,1.705940608,0.631469397,-0.766708404,1.10782459,-0.009614609,8.689506357,2.006505722,17.38628043,71926.3213,2792.246788
1.09941892,0.004309615,"CH4:0.611987375081853 , NH3:0.388012624918147",0.2NH3,"O2: 0.21, N2: 0.79",297.5655141,637.6975425,0.647131957,101358.0505,15198.46114,1134.85146,208118.5929,11919.46095,6509.790758,325.8231846,3.485654331,17.71430561,8.04657093,17.71300758,2.067674337,0.455974317,-0.510676597,1.271510147,-0.008651652,8.857701165,1.677874943,17.71923636,66425.6177,2908.396024
1.148836453,0.004873919,"CH4:0.61204858893016 , NH3:0.38795141106984",0.2NH3,"O2: 0.21, N2: 0.79",297.6450175,635.366377,0.601813352,101358.0505,21024.51381,1078.073354,210658.5042,11573.54764,5637.818262,245.8481154,3.551856205,17.55008433,6.900623359,17.55019579,2.32229838,0.46010962,-0.523342142,1.251571208,0.040325773,8.774592106,1.834412269,17.55107574,59950.2799,2366.628287
1.199407704,0.005742647,"CH4:0.612237581894819 , NH3:0.387762418105181",0.2NH3,"O2: 0.21, N2: 0.79",297.7291096,629.8121144,0.538478856,101358.0505,27283.06475,1374.876719,211279.4473,10666.0163,4352.677006,201.9903173,2.760561805,16.67607646,5.907690666,16.61020352,2.552776337,0.427574103,-0.430933421,1.10059199,0.047359813,8.304435953,1.310681302,16.61548327,55053.7408,2376.924699
1.249329628,0.006929312,"CH4:0.612166594457466 , NH3:0.387833405542534",0.2NH3,"O2: 0.21, N2: 0.79",297.0269905,618.5681883,0.46403298,101202.5082,35841.75287,1528.186243,212627.9418,10528.08113,2181.797558,483.7439777,1.721519223,13.61565849,4.254381052,13.54207526,5.276117882,2.149361672,-0.46091374,0.664284903,2.16138658,7.118307892,1.652934178,13.57530976,50693.4138,1901.031996
1.299281624,0.013054853,"CH4:0.612224535086828 , NH3:0.387775464913172",0.2NH3,"O2: 0.21, N2: 0.79",297.3284152,595.1865371,0.395196882,101375.3824,46211.68,761.1337681,206103.769,6037.723924,107.806748,10.31749001,2.711579963,12.71734178,7.005025875,12.62744684,802.4389926,71.83756818,1.806605348,4.175874318,669.2526689,16.6307279,16.39111466,12.66781598,49492.9201,825.4896783
