phi,phi Er,P,fuel,oxidizer,blend,T_in,T,U,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,H2,H2 Er,dynamic_viscosity,Re
0.939498606,0.003102841,101325,NH3:1,"O2: 0.21, N2: 0.79",0,297.866,586.8825333,0.129940621,3.701694356,122.0488166,310876.4761,8919.985979,2988.736414,123.0306179,4.972320118,24.42261355,4.981134752,24.41027447,4.029151804,1.041666655,0,0.244524012,1.56E-05,333.4334667
0.949175285,0.00329381,101325,NH3:1,"O2: 0.21, N2: 0.79",0,296.8516129,594.3123656,0.1297908,6.272379376,113.8689378,309459.1967,8266.156329,2875.322953,114.3946513,3.42640869,22.7807249,4.948327953,22.77429044,5.753930978,1.30890532,0,0.227869165,1.55E-05,335.1332437
0.960184841,0.003154252,101325,NH3:1,"O2: 0.21, N2: 0.79",0,297.6354962,609.1698473,0.130054549,9.999831433,106.0777705,312671.9838,7693.172069,2681.934191,106.4414085,2.556878868,21.22818245,4.531764551,21.21890975,3.187831534,1.514380181,0,0.21233831,1.56E-05,334.2399168
0.979643687,0.00318926,101325,NH3:1,"O2: 0.21, N2: 0.79",0,297.8590909,616.180303,0.130228787,17.90919283,100.000048,310899.8206,7310.242363,2261.307608,100.1744739,2.63857997,20.0122027,3.798908819,20.00358265,2.963757997,2.569634407,0.851300299,0.200322438,1.56E-05,334.2762922
0.989920905,0.003176387,101325,NH3:1,"O2: 0.21, N2: 0.79",0,297.6872414,616.3228736,0.130098714,22.84739496,100.0003224,310235.9076,7302.279226,1995.874734,100.1745116,2.536316527,20.01159088,3.440938375,20.00660326,1.587870168,0.539375899,1.058146779,0.2005421,1.56E-05,334.3144069
1.000848886,0.003243032,101325,NH3:1,"O2: 0.21, N2: 0.79",0,297.5190141,614.5661972,0.129939198,28.11397775,100.00061,309080.3213,7328.917073,1706.711613,100.2066723,2.493073713,20.01358001,3.280556328,20.01064269,1.73739847,0.518398634,1.249135744,0.201107864,1.67E-05,310.7278531
1.001305224,0.003380125,101325,NH3:1,"O2: 0.21, N2: 0.79",0,297.0759843,607.7363517,0.129684752,27.04938291,100.0011932,309110.9161,7364.895038,1688.05875,100.4070506,2.54789557,20.01460261,4.14346519,20.02454425,10.28336139,1.892450875,1.270837816,0.203281719,1.55E-05,334.5192949
1.019186738,0.003328147,101325,NH3:1,"O2: 0.21, N2: 0.79",0,297.2704918,610.4448087,0.129724848,35.84991961,100.0019842,306710.7331,7260.043502,1174.570804,100.9016759,2.589614148,20.00997707,2.974549839,20.00132704,5.26213955,1.440892006,1.628913183,0.203687961,1.55E-05,334.2658924
1.038392492,0.003360378,101325,NH3:1,"O2: 0.21, N2: 0.79",0,297.2649254,609.9761194,0.129833488,44.23059271,100.0032885,306283.5714,7335.143207,662.7094985,101.9222321,2.403297872,20.01030103,2.93112462,20.0264465,6.822721429,1.358762901,1.991929027,0.208016105,1.55E-05,334.5997735
1.050882449,0.003356909,101325,NH3:1,"O2: 0.21, N2: 0.79",0,297.2763158,609.5630326,0.129944705,50.35554896,100.001809,305471.5415,7287.108335,425.8733101,21.44906302,2.50078635,20.00781549,2.796988131,20.00168462,32.57053116,10.2271065,2.262935312,0.205698984,1.55E-05,334.8863964
1.060300257,0.003427317,101325,NH3:1,"O2: 0.21, N2: 0.79",0,297.1049618,609.1156489,0.129985117,55.14476551,100.0019683,304554.0741,7329.96912,246.0686369,23.18923565,2.383691377,20.00909958,4.464326778,20.10300832,158.6087685,17.82673104,2.446588654,0.208392722,1.55E-05,334.9948894
1.070005799,0.003425502,101325,NH3:1,"O2: 0.21, N2: 0.79",0,297.0453846,608.5884615,0.129861802,59.13738462,100.0045229,303695.3938,7315.95698,142.3022631,22.96596999,2.636507692,20.00731619,5.438861538,20.01226223,453.6987585,10.85619366,2.632884308,0.20723187,1.55E-05,335.1915322
1.079780333,0.003456102,101325,NH3:1,"O2: 0.21, N2: 0.79",0,297.0306202,607.7138243,0.1298518,64.17652582,100.0012377,302432.0266,7337.770047,79.13249139,13.13362972,3.290704225,20.01305946,5.217965571,20.00062846,836.3676056,100.0772575,2.825149452,0.204431843,1.55E-05,335.2175266
1.089947653,0.003488693,101325,NH3:1,"O2: 0.21, N2: 0.79",0,296.9265152,607.2939394,0.129870867,67.75723338,100.0017206,303039.3648,7366.265819,55.01081298,13.00343224,3.27179289,20.00824677,5.335981453,20.00133597,1382.013014,100.4879294,2.978109892,0.204769612,1.55E-05,335.5025947
1.100162596,0.003518188,101325,NH3:1,"O2: 0.21, N2: 0.79",0,296.9321705,606.6518088,0.129855613,68.40143533,100.0032416,302044.6325,7293.416138,40.24988486,12.98212464,3.311577287,20.01232081,4.9179653,20.00244643,2016.597697,102.3084059,3.14863612,0.206074845,1.55E-05,335.4740912
1.130028846,0.003600725,101325,NH3:1,"O2: 0.21, N2: 0.79",0,296.8246269,604.5109453,0.129745439,77.80808477,100.00395,299105.8226,7317.640945,15.17650863,10.58386126,4.135180534,20.00752504,4.232621664,20.00388265,4464.490816,115.4568843,3.60308697,0.207461926,1.55E-05,335.4756334
