phi,phi Er,fuel,oxidizer,blend,T_in,T,U,P,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,H2,H2 Er,O2,O2 Er,dynamic_viscosity,Re
0.83038489,0.002920749,"NH3:0.9, H2:0.1","O2: 0.21, N2: 0.79",0.1,296.6941652,505.7769898,0.165602534,101058.076,-0.368677283,100.0000166,286739.1178,7117.317945,4517.056854,100.475201,102.6438455,4.008178898,0.375330069,2.000103213,1.19417513,0.436478464,-0.103437324,0.200006555,2.786942005,0.250063087,1.94E-05,341.3034799
0.850386362,0.003077326,"NH3:0.9, H2:0.1","O2: 0.21, N2: 0.79",0.1,296.5362425,510.9972082,0.173215634,101058.076,-0.249619595,100.0000213,264139.0603,7453.032795,4772.459582,101.5195536,109.5944733,4.058572888,0.355065822,2.000084999,2.275000177,0.43701562,-0.076968479,0.200014339,2.564807979,0.250223005,1.95E-05,355.4105024
0.899528248,0.005466334,"NH3:0.9, H2:0.1","O2: 0.21, N2: 0.79",0.1,296.55,548.3044977,0.195013434,101058.076,-0.435348837,100.0200162,270515.794,9112.596838,4569.969502,106.8761073,88.8411794,4.056247616,0.459305648,2.000232468,0.224128239,0.43181845,0.008227243,0.210008035,1.854349834,0.251046174,1.99E-05,392.143171
0.949139785,0.005415137,"NH3:0.9, H2:0.1","O2: 0.21, N2: 0.79",0.1,296.7,570.8110924,0.211743555,101058.076,-0.148936877,100.0000535,289284.5581,9227.163627,4450.223987,105.3077121,44.81404983,4.022852095,0.964069767,2.00015379,0.715881728,0.427537366,0.01707907,0.200004985,0.907189369,0.250272764,2.01E-05,421.2710068
1.000324969,0.002748804,"NH3:0.9, H2:0.1","O2: 0.21, N2: 0.79",0.1,297.3100962,585.6070246,0.222146603,101058.076,12.49578073,100.0004909,313118.2326,7249.677254,3700.204485,100.9558808,4.32207309,4.010793278,4.065451827,2.000567973,5.936175415,0.417839939,0.636561462,0.201016173,0.273837542,0.250122975,2.01E-05,441.3635051
1.051014449,0.005969544,"NH3:0.9, H2:0.1","O2: 0.21, N2: 0.79",0.1,296.8,595.4044369,0.234586865,101058.076,39.92538206,100.0099927,309302.495,7345.296622,2503.848771,119.1241369,4.082312292,4.007468492,2.326368771,2.000578267,11.76815282,0.684240514,1.755631562,0.216566416,0.228574086,0.250255994,2.05E-05,456.9102218
1.098083066,0.003045387,"NH3:0.9, H2:0.1","O2: 0.21, N2: 0.79",0.1,295.4169142,587.3681793,0.233455974,101058.076,67.84637874,100.0004589,296967.3688,7539.370694,1080.893621,104.8786905,3.72986711,4.017940529,1.167142857,2.000590077,12.47555548,0.454139684,3.105494684,0.203746096,0.168669435,0.250079545,2.05E-05,454.6517183
1.143979077,0.007802646,"NH3:0.9, H2:0.1","O2: 0.21, N2: 0.79",0.1,295.47,584.1233883,0.236629103,101058.076,83.00342193,100.0014785,302749.7674,7329.328318,204.1659867,12.53542932,4.435578073,4.014691298,1.992259136,2.001262991,182.4851395,16.72237482,3.860363787,0.200778074,0.123515282,0.250112391,2.09E-05,452.3669565
1.149938165,0.003207283,"NH3:0.9, H2:0.1","O2: 0.21, N2: 0.79",0.1,295.9741265,580.5153633,0.231461345,101058.076,87.88462552,100.0004538,321231.6342,7021.438021,107.8444057,10.89617711,4.821058458,4.010657467,2.890410854,2.000579396,107.4981332,31.33885147,4.252605156,0.201170236,0.152516396,0.250160045,0.000020752,446.146704
1.197710705,0.003618628,"NH3:0.9, H2:0.1","O2: 0.21, N2: 0.79",0.1,296.8348333,560.9445556,0.223850937,101058.076,98.06920672,100.0001874,319368.3442,7128.247646,22.42486857,10.0142897,7.327128425,4.005906589,2.053645298,2.000291302,379.3801701,140.72342,5.149760717,0.20046876,0.15745594,0.250095773,2.09E-05,427.4772848
