phi,phi Er,fuel,oxidizer,blend,T_in,T,U,P,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,H2,H2 Er,O2,O2 Er,dynamic_viscosity,Re
0.648300715,0.003628878,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.3240741,484.7467078,0.198093657,100791.432,-0.189433004,176.8069812,217143.5561,22959.85142,3811.674133,251.296197,117.9820862,35.79708327,140.6300467,36.2892255,19.09589175,10.90115143,0,0.298324157,5.22752426,0.506001038,1.83E-05,433.2606746
0.665071193,0.003598915,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.3985294,489.5232843,0.205915075,100791.432,-0.226360924,177.1089989,220395.7473,22983.39005,4256.254281,266.823959,125.1228868,35.91238786,33.93228842,35.45355972,15.75323898,9.002152926,0,0.298358691,4.939046017,0.500395549,1.83E-05,448.9739066
0.687574701,0.003534193,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.4140845,493.613615,0.218063218,100791.432,-0.153708293,176.5938191,226752.7127,23191.0209,4662.56757,280.4752406,135.789836,35.89370938,5.453958246,35.31896429,14.3667013,8.247923281,0,0.297186296,4.490633552,0.489569128,1.84E-05,473.4957811
0.69954037,0.004488131,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.23,427.1768713,0.244875764,101724.686,-0.625088053,141.4533334,246806.4625,13358.79713,4912.049291,227.7752587,123.3698702,7.250352704,7.235710224,2.862035598,1.612626357,0.58975205,-0.092224564,0.282919576,4.972245165,0.397150025,1.85E-05,530.5493844
0.701401031,0.003489965,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.45,499.5408805,0.225991659,100791.432,-0.221220399,177.0242166,231270.5872,23228.58318,4889.121287,289.5312515,138.5840377,36.00290794,2.101086405,35.40457979,11.27052875,6.495597167,0,0.297023446,4.238987064,0.485791092,1.85E-05,489.4680089
0.701552633,0.004522688,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.23,427.830636,0.246122148,101724.686,-0.55428092,141.2257497,246634.1547,13334.15188,4914.080434,227.8280507,122.5694151,7.228485321,7.172031029,2.913003069,1.361973409,0.598760112,-0.084335245,0.282458664,4.936939901,0.396283726,1.85E-05,533.0531743
0.718853047,0.003457559,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.5,503.8060847,0.234770071,100791.432,-0.245408332,176.3801477,235886.2279,23452.68906,5146.858671,297.9849004,143.5774816,35.91158451,0.685967493,35.27521075,10.11016613,5.872038001,0,0.2948382,3.88328673,0.477474366,1.85E-05,506.8598524
0.737818465,0.003520706,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.5586735,508.0607143,0.240693564,100791.432,-0.252047747,176.5857747,241809.7019,23522.48019,5378.618879,307.2011996,146.1029493,35.97593535,0.50803542,35.31628721,8.809627527,5.142907638,0,0.295508704,3.552952371,0.473058673,1.86E-05,517.8543736
0.748208474,0.004249143,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.14,436.6758924,0.285810695,101724.686,-0.624553428,141.2764073,262269.007,13723.87057,5658.017761,249.1727827,134.5132826,7.497346831,0.189309104,2.828320957,1.748210795,0.596697002,-0.102781209,0.282568488,4.039750219,0.382418273,1.86E-05,613.7634075
0.753396318,0.003512349,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.5925,512.5994444,0.244478419,100791.432,-0.09823844,177.0406013,246449.6643,23600.76627,5555.270922,314.8438103,146.8504423,36.07931296,0.456883959,35.40763102,7.576674998,4.452505286,0,0.294298882,3.281549222,0.469296517,1.86E-05,524.5101107
0.789254238,0.003752506,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.6725,517.4427083,0.241887234,100791.432,-0.20078036,176.7448534,255154.8747,23872.67531,5796.518582,323.7171796,143.9734493,35.99001649,0.407424437,35.3488772,6.525573776,3.888523643,0,0.291965034,2.700685055,0.460394198,1.88E-05,515.5948247
0.797442954,0.004425096,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.4281609,444.1426108,0.213927657,102071.3232,-0.378573383,25.01965297,268375.9585,13658.33316,6068.305036,255.7691605,131.3967252,7.334046881,0.280886658,2.771016484,-0.12288085,0.57593228,-0.113672159,0.276578869,3.12672214,0.365134801,1.88E-05,455.3251285
0.799709379,0.0042682,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,296.21,442.4595575,0.306345165,101724.686,-0.524889994,140.9662924,274401.3666,14000.94775,6077.926928,261.2332313,128.6747122,7.326943544,0.198037323,2.825194919,2.960178192,0.596544448,-0.110260618,0.281955219,3.084982871,0.369805908,1.88E-05,651.7611844
