phi,phi Er,blend,T_in,T,U,P,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,H2,H2 Er,O2,O2 Er,dynamic_viscosity,Re,,
0.5693312977,0.0000000000,0.3000000000,294.8909090909,490.8557851240,0.2355261907,101325.0000000000,219254.5204293700,14464.3364421414,4919.5213623809,278.1566025249,136.4040036510,28.4112907369,730.3058965102,45.2484564876,4.9632534106,0.6035742408,-0.0916453607,0.5522399552,7.0746020732,0.7727052223,0.0000172788,545.2370889936,,
0.5696805682,0.0000000000,0.3000000000,294.6776859504,490.6741046832,0.2362664152,101325.0000000000,230835.0744682630,15794.5740920987,4952.3722868242,298.5676063422,135.3693581575,29.4899061568,643.6186537939,44.4793814978,5.3508310047,0.6383696463,-0.0996325288,0.5721558901,7.0149326323,0.8057724069,0.0000172788,546.9506896408,,
0.5849537388,0.0000000000,0.3000000000,294.8995867769,502.7794765840,0.2474909619,101325.0000000000,221157.8101355100,8254.2626153317,5592.0665295613,123.0165559584,171.7308438506,23.1268253223,284.0944584674,23.1906309275,4.6754438321,0.4631637617,-0.0429685418,0.4618002353,6.6515701072,0.5794571597,0.0000173255,571.3898450854,,
0.5850065392,0.0000000000,0.3000000000,294.7603305785,499.1190082645,0.2474618007,101325.0000000000,222651.8149059180,9499.6843910037,5661.3511902205,146.3520815291,157.6527486901,26.1668384080,251.6954183653,26.2673161607,5.9473338561,0.5266512203,-0.0748269309,0.5220359588,6.7326987188,0.6572802494,0.0000173257,571.3173229825,,
0.5990618824,0.0000000000,0.3000000000,294.9847107438,501.8382920110,0.2497325936,101325.0000000000,226897.4996400930,9497.8016570877,6062.5389778677,148.2141588474,160.6172474487,26.1328929458,97.1877510044,26.0904522947,4.6076177849,0.5240707018,-0.0717011930,0.5213187951,6.4978741587,0.6560239679,0.0000173676,575.1699927067,,
0.6146893744,0.0000000000,0.3000000000,294.2471074380,513.4840220386,0.2571891743,101325.0000000000,227108.0103843030,8833.4813866890,5858.3577018549,134.1768016390,157.2299727894,24.5429608237,34.8378517092,24.5010841499,4.2078570743,0.4915544440,-0.0628077308,0.4899787547,6.2783048410,0.6152779523,0.0000174139,590.7666818212,,
0.6447819894,0.0000000000,0.3000000000,295.0371900826,517.7053719008,0.2675474274,101325.0000000000,241818.4012955850,15366.3809195535,6658.4565198326,356.4192139718,160.6058652447,28.7873943336,3.1014309860,27.6761470394,4.6047433974,0.5983107964,-0.0970519954,0.5535351876,5.8057830230,0.7488256244,0.0000175026,611.4453339346,,
0.6451290048,0.0000000000,0.3000000000,293.8851239669,518.4333333333,0.2668492837,101325.0000000000,242747.4719137270,15192.4635691075,6664.7164011316,351.0590827979,155.2684375417,28.4637314244,2.7563783684,27.4506082081,10.1270451599,0.7365223531,-0.0974131068,0.5490259717,5.7143043874,0.7400672529,0.0000175036,609.8143311592,,
0.6993829903,0.0000000000,0.3000000000,295.9326446281,496.9161157025,0.2831769049,101325.0000000000,275515.6162519720,19759.6568658006,7185.6742597590,459.9363998927,157.0275016452,31.8828952156,-1.5180470563,30.4395836215,3.0646031098,0.6363083240,-0.1371681945,0.6088452851,4.8940282203,0.8163840354,0.0000176617,641.3367190819,,
0.7002137561,0.0000000000,0.3000000000,294.1599173554,494.6993112948,0.2818359501,101325.0000000000,239241.2826806300,18685.3822677417,7376.4205797501,493.1460641036,177.5754484868,33.1206112360,-1.1874206537,31.1464004207,10.1885364030,0.8976255290,-0.1193642142,0.6229722020,4.9261850183,0.8390198801,0.0000176641,638.2129634859,,
0.7494094566,0.0000000000,0.3000000000,295.9252066116,505.1607438017,0.3009305876,101325.0000000000,271204.4874421640,22452.7560001579,8031.1158713062,594.2198031229,164.4582535283,34.8755254676,-2.2847069521,32.8569706953,8.0151306858,0.8698465896,-0.1582672504,0.6572277374,3.9966246794,0.8691843467,0.0000178053,676.0476854110,,
0.7501325861,0.0000000000,0.3000000000,294.4524793388,504.3887052342,0.2999479385,101325.0000000000,264973.5065227640,22619.8449591240,8101.4450025371,615.6702796643,167.6803856363,35.4861642772,-1.6326301776,33.2982794644,7.6840814850,0.8715323394,-0.1533356512,0.6660557904,3.8318424482,0.8783921869,0.0000178073,673.7621329178,,
0.7992536035,0.0000000000,0.3000000000,296.5227272727,512.2807162534,0.3048324033,101325.0000000000,282553.0445687640,25818.3417643296,8435.6857301608,701.4429900605,149.1229063713,36.8427144857,-2.4204021042,34.8302275423,11.4727847901,1.1572513007,-0.1836967263,0.6967507678,3.0866516134,0.9055418564,0.0000179464,679.4274708669,,
0.7994927209,0.0000000000,0.3000000000,294.6904958678,513.0626721763,0.3047513963,101325.0000000000,288011.8648745750,26904.4185508904,8521.4686375073,728.7606141138,153.4349350065,37.5404188375,-1.6480043896,35.3161135374,3.5348946412,0.7647922833,-0.1842079963,0.7064823252,3.0901846628,0.9193727697,0.0000179464,679.2469179518,,
0.8499536174,0.0000000000,0.3000000000,296.5123966942,524.6681818182,0.3411800701,101325.0000000000,293377.2717809100,28314.2680554982,8699.1603487584,773.1164712716,127.4192250549,37.6436480134,-2.5464792535,35.9973336715,13.3984396079,1.3635805524,-0.1954732482,0.7201314278,2.2618822262,0.9209063151,0.0000180880,754.4881011012,,
0.8501729796,0.0000000000,0.3000000000,294.7871900826,523.6608815427,0.3394528477,101325.0000000000,301017.9689279300,30049.6818351433,8694.1717041824,805.6949787058,126.3085923950,38.4559691832,-1.8831975763,36.7287195110,5.1872698780,0.8710126647,-0.1943784037,0.7347758861,2.0089948444,0.9359308913,0.0000180880,750.6685087985,,
0.9003379917,0.0000000000,0.3000000000,296.5417355372,537.3706611570,0.3723374876,101325.0000000000,319386.8571591370,30238.9311847744,8549.0303911909,757.6908364180,83.2694296521,36.6407369412,-2.2166909104,35.9329493581,17.6688007575,1.6825061971,-0.1984113543,0.7188518718,1.3782318782,0.9061151877,0.0000182268,817.1196730089,,
0.9004205719,0.0000000000,0.3000000000,294.3020661157,538.7676308540,0.3717644396,101325.0000000000,319072.3681785810,29723.5939023776,8531.9940276074,743.1421638584,76.1112791408,36.2070288962,-1.8714860541,35.6307662239,7.9760936319,0.9811795751,-0.2043513965,0.7128177785,1.3108714166,0.8976309862,0.0000182268,815.8620807094,,
