phi,phi Er,fuel,oxidizer,blend,T_in,T,U,P,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,H2,H2 Er,O2,O2 Er,dynamic_viscosity,Re
0.584953739,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,294.8995868,502.7794766,0.247490962,101325,221157.8101,8254.262615,5592.06653,123.016556,171.7308439,23.12682532,284.0944585,23.19063093,4.675443832,0.463163762,-0.042968542,0.461800235,6.651570107,0.57945716,1.73255E-05,571.3898451
0.599061882,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,294.9847107,501.838292,0.249732594,101325,226897.4996,9497.801657,6062.538978,148.2141588,160.6172474,26.13289295,97.187751,26.09045229,4.607617785,0.524070702,-0.071701193,0.521318795,6.497874159,0.656023968,1.73676E-05,575.1699927
0.614689374,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,294.2471074,513.484022,0.257189174,101325,227108.0104,8833.481387,5858.357702,134.1768016,157.2299728,24.54296082,34.83785171,24.50108415,4.207857074,0.491554444,-0.062807731,0.489978755,6.278304841,0.615277952,1.74139E-05,590.7666818
0.644781989,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,295.0371901,517.7053719,0.267547427,101325,241818.4013,15366.38092,6658.45652,356.419214,160.6058652,28.78739433,3.101430986,27.67614704,4.604743397,0.598310796,-0.097051995,0.553535188,5.805783023,0.748825624,1.75026E-05,611.4453339
0.69938299,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,295.9326446,496.9161157,0.283176905,101325,275515.6163,19759.65687,7185.67426,459.9363999,157.0275016,31.88289522,-1.518047056,30.43958362,3.06460311,0.636308324,-0.137168195,0.608845285,4.89402822,0.816384035,1.76617E-05,641.3367191
0.700213756,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,294.1599174,494.6993113,0.28183595,101325,239241.2827,18685.38227,7376.42058,493.1460641,177.5754485,33.12061124,-1.187420654,31.14640042,10.1885364,0.897625529,-0.119364214,0.622972202,4.926185018,0.83901988,1.76641E-05,638.2129635
0.750132586,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,294.4524793,504.3887052,0.299947939,101325,264973.5065,22619.84496,8101.445003,615.6702797,167.6803856,35.48616428,-1.632630178,33.29827946,7.684081485,0.871532339,-0.153335651,0.66605579,3.831842448,0.878392187,1.78073E-05,673.7621329
0.799253604,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,296.5227273,512.2807163,0.304832403,101325,282553.0446,25818.34176,8435.68573,701.4429901,149.1229064,36.84271449,-2.420402104,34.83022754,11.47278479,1.157251301,-0.183696726,0.696750768,3.086651613,0.905541856,1.79464E-05,679.4274709
0.85017298,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,294.7871901,523.6608815,0.339452848,101325,301017.9689,30049.68184,8694.171704,805.6949787,126.3085924,38.45596918,-1.883197576,36.72871951,5.187269878,0.871012665,-0.194378404,0.734775886,2.008994844,0.935930891,0.000018088,750.6685088
0.900337992,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,296.5417355,537.3706612,0.372337488,101325,319386.8572,30238.93118,8549.030391,757.6908364,83.26942965,36.64073694,-2.21669091,35.93294936,17.66880076,1.682506197,-0.198411354,0.718851872,1.378231878,0.906115188,1.82268E-05,817.119673
0.95007358,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,295.0202479,550.9841598,0.398799619,101325,331493.8915,27970.37263,8184.249385,647.7233884,15.42135806,33.99376105,7.044693929,33.97761199,12.15134916,1.150180934,-0.056245117,0.679480619,0.397400318,0.849875908,0.000018362,868.749935
0.999448041,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,296.4640496,565.4217631,0.425686055,101325,319449.3124,19933.11578,7116.674815,409.1926019,3.259057376,28.83283357,7.217310025,28.83491579,11.00201669,0.826451739,1.012252887,0.579212963,0.428833451,0.721176791,1.84944E-05,920.6802744
1.000334135,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,294.1818182,542.9409091,0.424488397,101325,325853.1296,22333.62081,7050.305023,451.2178763,-0.541531188,30.40549618,7.516350689,30.40885181,8.481351777,0.79434687,0.99978096,0.611086459,0.392750249,0.760505292,1.84944E-05,918.0899619
1.050238003,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,295.0607438,576.8528926,0.443660114,101325,300192.7415,8083.953424,5354.933058,117.5300922,-0.847994117,22.34694736,6.501734427,22.34699044,10.45053062,0.452564721,2.481435814,0.447258,0.223819544,0.558675743,1.86281E-05,952.6677259
1.1002915,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,293.8896694,573.3909091,0.44290155,101325,315664.629,7188.056209,3453.907088,101.6393808,0.585590682,20.02690859,5.103477537,20.02692492,5.126386689,0.401372291,3.679810649,0.400968177,0.2382198,0.500674152,1.87595E-05,944.3772935
1.149936747,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,295.1190083,583.3253444,0.428861124,101325,310857.7221,7179.899181,1702.426789,100.4642613,1.367121464,20.01940267,4.113660566,20.01941223,9.655542596,0.403335999,4.879508153,0.401142963,0.172923128,0.500485796,1.88847E-05,908.376924
1.200536831,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,294.5615702,574.6822314,0.404347238,101325,290545.6356,7158.487354,343.4109684,10.15864561,0.372562396,20.02004666,3.959933444,20.02005652,87.40245591,10.01971733,6.127377704,0.401590837,0.109442929,0.500501468,1.90162E-05,850.5337588
1.250565414,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,294.6285124,566.4768595,0.379999828,101325,279152.0765,7149.077326,27.90812646,10.01387316,0.452462562,20.02576715,5.543510815,20.02578654,2733.16589,101.0736189,7.268975541,0.402190375,0.125743428,0.500644577,1.91418E-05,794.0749091
1.299725738,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,294.811157,536.1353994,0.355182715,101325,319229.1259,32244.6914,0.349953152,18.57247741,0.873523166,37.14498624,3.092884496,37.14599864,8670.703924,822.7061964,8.397057333,1.074404003,0.095529448,0.928664444,1.92631E-05,737.5400945
1.351073799,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,295.0409091,517.6997245,0.329720843,101325,306143.6737,64485.80302,-12.17464269,26.89081012,1.130271986,53.55774103,3.200647597,53.56114119,12875.70228,2608.792895,7.92766854,1.923595149,0.046466935,1.338964166,1.93883E-05,680.2479022
1.399563907,0,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",0.3,295.2280992,508.0104683,0.305782862,101325,268917.8001,78142.97601,-18.88626031,31.67533368,0.465600475,62.46824205,2.324052643,62.47147158,15053.79055,4211.265584,7.167775611,2.357858021,0.011653264,1.561706059,1.95064E-05,627.0411777
