phi,phi Er,blend,T_in,fuel,oxidizer,T,U,P,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,H2,H2 Er,O2,O2 Er,dynamic_viscosity,Re
0.569331298,0,0.3,294.8909091,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",490.8557851,0.235526191,101325,219254.5204,14464.33644,4919.521362,278.1566025,136.4040037,28.41129074,730.3058965,45.24845649,4.963253411,0.603574241,-0.091645361,0.552239955,7.074602073,0.772705222,1.72788E-05,545.237089
0.569680568,0,0.3,294.677686,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",490.6741047,0.236266415,101325,230835.0745,15794.57409,4952.372287,298.5676063,135.3693582,29.48990616,643.6186538,44.4793815,5.350831005,0.638369646,-0.099632529,0.57215589,7.014932632,0.805772407,1.72788E-05,546.9506896
0.584953739,0,0.3,294.8995868,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",502.7794766,0.247490962,101325,221157.8101,8254.262615,5592.06653,123.016556,171.7308439,23.12682532,284.0944585,23.19063093,4.675443832,0.463163762,-0.042968542,0.461800235,6.651570107,0.57945716,1.73255E-05,571.3898451
0.585006539,0,0.3,294.7603306,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",499.1190083,0.247461801,101325,222651.8149,9499.684391,5661.35119,146.3520815,157.6527487,26.16683841,251.6954184,26.26731616,5.947333856,0.52665122,-0.074826931,0.522035959,6.732698719,0.657280249,1.73257E-05,571.317323
0.599061882,0,0.3,294.9847107,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",501.838292,0.249732594,101325,226897.4996,9497.801657,6062.538978,148.2141588,160.6172474,26.13289295,97.187751,26.09045229,4.607617785,0.524070702,-0.071701193,0.521318795,6.497874159,0.656023968,1.73676E-05,575.1699927
0.614689374,0,0.3,294.2471074,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",513.484022,0.257189174,101325,227108.0104,8833.481387,5858.357702,134.1768016,157.2299728,24.54296082,34.83785171,24.50108415,4.207857074,0.491554444,-0.062807731,0.489978755,6.278304841,0.615277952,1.74139E-05,590.7666818
0.644781989,0,0.3,295.0371901,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",517.7053719,0.267547427,101325,241818.4013,15366.38092,6658.45652,356.419214,160.6058652,28.78739433,3.101430986,27.67614704,4.604743397,0.598310796,-0.097051995,0.553535188,5.805783023,0.748825624,1.75026E-05,611.4453339
0.645129005,0,0.3,293.885124,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",518.4333333,0.266849284,101325,242747.4719,15192.46357,6664.716401,351.0590828,155.2684375,28.46373142,2.756378368,27.45060821,10.12704516,0.736522353,-0.097413107,0.549025972,5.714304387,0.740067253,1.75036E-05,609.8143312
0.69938299,0,0.3,295.9326446,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",496.9161157,0.283176905,101325,275515.6163,19759.65687,7185.67426,459.9363999,157.0275016,31.88289522,-1.518047056,30.43958362,3.06460311,0.636308324,-0.137168195,0.608845285,4.89402822,0.816384035,1.76617E-05,641.3367191
0.700213756,0,0.3,294.1599174,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",494.6993113,0.28183595,101325,239241.2827,18685.38227,7376.42058,493.1460641,177.5754485,33.12061124,-1.187420654,31.14640042,10.1885364,0.897625529,-0.119364214,0.622972202,4.926185018,0.83901988,1.76641E-05,638.2129635
0.749409457,0,0.3,295.9252066,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",505.1607438,0.300930588,101325,271204.4874,22452.756,8031.115871,594.2198031,164.4582535,34.87552547,-2.284706952,32.8569707,8.015130686,0.86984659,-0.15826725,0.657227737,3.996624679,0.869184347,1.78053E-05,676.0476854
0.750132586,0,0.3,294.4524793,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",504.3887052,0.299947939,101325,264973.5065,22619.84496,8101.445003,615.6702797,167.6803856,35.48616428,-1.632630178,33.29827946,7.684081485,0.871532339,-0.153335651,0.66605579,3.831842448,0.878392187,1.78073E-05,673.7621329
0.799253604,0,0.3,296.5227273,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",512.2807163,0.304832403,101325,282553.0446,25818.34176,8435.68573,701.4429901,149.1229064,36.84271449,-2.420402104,34.83022754,11.47278479,1.157251301,-0.183696726,0.696750768,3.086651613,0.905541856,1.79464E-05,679.4274709
0.799492721,0,0.3,294.6904959,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",513.0626722,0.304751396,101325,288011.8649,26904.41855,8521.468638,728.7606141,153.434935,37.54041884,-1.64800439,35.31611354,3.534894641,0.764792283,-0.184207996,0.706482325,3.090184663,0.91937277,1.79464E-05,679.246918
0.849953617,0,0.3,296.5123967,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",524.6681818,0.34118007,101325,293377.2718,28314.26806,8699.160349,773.1164713,127.4192251,37.64364801,-2.546479254,35.99733367,13.39843961,1.363580552,-0.195473248,0.720131428,2.261882226,0.920906315,0.000018088,754.4881011
0.85017298,0,0.3,294.7871901,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",523.6608815,0.339452848,101325,301017.9689,30049.68184,8694.171704,805.6949787,126.3085924,38.45596918,-1.883197576,36.72871951,5.187269878,0.871012665,-0.194378404,0.734775886,2.008994844,0.935930891,0.000018088,750.6685088
0.900337992,0,0.3,296.5417355,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",537.3706612,0.372337488,101325,319386.8572,30238.93118,8549.030391,757.6908364,83.26942965,36.64073694,-2.21669091,35.93294936,17.66880076,1.682506197,-0.198411354,0.718851872,1.378231878,0.906115188,1.82268E-05,817.119673
0.900420572,0,0.3,294.3020661,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",538.7676309,0.37176444,101325,319072.3682,29723.5939,8531.994028,743.1421639,76.11127914,36.2070289,-1.871486054,35.63076622,7.976093632,0.981179575,-0.204351397,0.712817779,1.310871417,0.897630986,1.82268E-05,815.8620807
0.95007358,0,0.3,295.0202479,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",550.9841598,0.398799619,101325,331493.8915,27970.37263,8184.249385,647.7233884,15.42135806,33.99376105,7.044693929,33.97761199,12.15134916,1.150180934,-0.056245117,0.679480619,0.397400318,0.849875908,0.000018362,868.749935
0.95050461,0,0.3,296.4942149,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",553.453719,0.399935726,101325,327119.2422,27136.58223,8132.924502,630.7257125,18.34468447,33.66069995,6.031092729,33.6357819,9.557040584,0.981196572,-0.074007464,0.672677964,0.575894997,0.84192014,0.000018362,871.2248442
0.999448041,0,0.3,296.4640496,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",565.4217631,0.425686055,101325,319449.3124,19933.11578,7116.674815,409.1926019,3.259057376,28.83283357,7.217310025,28.83491579,11.00201669,0.826451739,1.012252887,0.579212963,0.428833451,0.721176791,1.84944E-05,920.6802744
1.000334135,0,0.3,294.1818182,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",542.9409091,0.424488397,101325,325853.1296,22333.62081,7050.305023,451.2178763,-0.541531188,30.40549618,7.516350689,30.40885181,8.481351777,0.79434687,0.99978096,0.611086459,0.392750249,0.760505292,1.84944E-05,918.0899619
1.049970447,0,0.3,296.3446281,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",578.5548209,0.445222434,101325,301920.733,8197.532239,5402.257228,119.3487767,2.289936318,22.61192299,6.199992047,22.61195975,9.913849136,0.457648295,2.424469324,0.452563712,0.348122128,0.565303298,1.86281E-05,956.0224833
1.050238003,0,0.3,295.0607438,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",576.8528926,0.443660114,101325,300192.7415,8083.953424,5354.933058,117.5300922,-0.847994117,22.34694736,6.501734427,22.34699044,10.45053062,0.452564721,2.481435814,0.447258,0.223819544,0.558675743,1.86281E-05,952.6677259
1.1002915,0,0.3,293.8896694,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",573.3909091,0.44290155,101325,315664.629,7188.056209,3453.907088,101.6393808,0.585590682,20.02690859,5.103477537,20.02692492,5.126386689,0.401372291,3.679810649,0.400968177,0.2382198,0.500674152,1.87595E-05,944.3772935
1.10045317,0,0.3,295.0657025,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",581.535124,0.442964327,101325,291508.2696,7162.62291,3493.984875,101.6823997,-0.119351082,20.0284676,5.321214642,20.02848559,15.61153627,0.408241462,3.813315474,0.40103122,0.18357188,0.500712547,1.87595E-05,944.5111498
1.148867472,0,0.3,294.335124,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",579.0376033,0.427240939,101325,295330.9334,7164.177637,1814.726672,100.5271604,0.379201331,20.02195997,4.530748752,20.02197291,15.80086988,0.408289018,4.904200333,0.401202078,0.133333444,0.500549448,1.88847E-05,904.9451853
1.149936747,0,0.3,295.1190083,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",583.3253444,0.428861124,101325,310857.7221,7179.899181,1702.426789,100.4642613,1.367121464,20.01940267,4.113660566,20.01941223,9.655542596,0.403335999,4.879508153,0.401142963,0.172923128,0.500485796,1.88847E-05,908.376924
1.200536831,0,0.3,294.5615702,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",574.6822314,0.404347238,101325,290545.6356,7158.487354,343.4109684,10.15864561,0.372562396,20.02004666,3.959933444,20.02005652,87.40245591,10.01971733,6.127377704,0.401590837,0.109442929,0.500501468,1.90162E-05,850.5337588
1.201105465,0,0.3,295.4442149,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",579.4212121,0.405728371,101325,289087.4775,7156.586286,294.1919085,10.11875431,0.491597338,20.01897195,3.991480865,20.01898191,120.1650483,10.02779877,6.22978203,0.401609185,0.151393844,0.500474877,1.90162E-05,853.4389349
1.250565414,0,0.3,294.6285124,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",566.4768595,0.379999828,101325,279152.0765,7149.077326,27.90812646,10.01387316,0.452462562,20.02576715,5.543510815,20.02578654,2733.16589,101.0736189,7.268975541,0.402190375,0.125743428,0.500644577,1.91418E-05,794.0749091
1.250881775,0,0.3,295.6020661,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",572.9549587,0.381331473,101325,282931.9501,7152.258996,27.33439767,10.01302747,1.546855241,20.02415814,5.383677205,20.02417503,2844.767471,101.1436501,7.289136107,0.402167041,0.16691381,0.500604624,1.91418E-05,796.8576093
1.29951856,0,0.3,295.9280992,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",541.1347107,0.356398522,101325,324161.6889,30597.30013,-0.630346561,17.96148318,2.339524816,35.92336667,3.058219954,35.92376649,8685.822664,768.7095635,8.328766623,1.014813386,0.172864889,0.89819325,1.92631E-05,740.0647282
1.299725738,0,0.3,294.811157,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",536.1353994,0.355182715,101325,319229.1259,32244.6914,0.349953152,18.57247741,0.873523166,37.14498624,3.092884496,37.14599864,8670.703924,822.7061964,8.397057333,1.074404003,0.095529448,0.928664444,1.92631E-05,737.5400945
1.350672663,0,0.3,296.0210744,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",517.0001377,0.330566885,101325,310366.5789,65881.86224,-13.81843408,27.04246808,4.717716023,53.80052008,3.538589093,53.79677615,13103.72228,2679.080025,7.919784492,1.937230136,0.179269987,1.345293352,1.93883E-05,681.993375
1.351073799,0,0.3,295.0409091,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",517.6997245,0.329720843,101325,306143.6737,64485.80302,-12.17464269,26.89081012,1.130271986,53.55774103,3.200647597,53.56114119,12875.70228,2608.792895,7.92766854,1.923595149,0.046466935,1.338964166,1.93883E-05,680.2479022
1.399563907,0,0.3,295.2280992,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",508.0104683,0.305782862,101325,268917.8001,78142.97601,-18.88626031,31.67533368,0.465600475,62.46824205,2.324052643,62.47147158,15053.79055,4211.265584,7.167775611,2.357858021,0.011653264,1.561706059,1.95064E-05,627.0411777
1.399883827,0,0.3,296.1768595,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",506.6318182,0.306276227,101325,271443.7695,81125.82099,-20.37819734,32.21977246,0.56749449,63.36559573,2.225959577,63.36861692,14876.33451,4288.414869,6.939342658,2.363444602,0.176085132,1.584943249,1.95064E-05,628.0528756
