phi,phi Er,fuel,blend,T_in,T,U,P,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,H2,H2 Er,O2,O2 Er,dynamic_viscosity,Re
0.648300715,0.003628878,"CH4: 0.612351787, NH3: 0.387648213",0.2NH3,296.3240741,484.7467078,0.198093657,100791.432,-0.189433004,176.8069812,217143.5561,22959.85142,3811.674133,251.296197,117.9820862,35.79708327,140.6300467,36.2892255,19.09589175,10.90115143,0,0.298324157,5.22752426,0.506001038,1.83E-05,433.2606746
0.687574701,0.003534193,"CH4: 0.612351787, NH3: 0.387648214",0.2NH3,296.4140845,493.613615,0.218063218,100791.432,-0.153708293,176.5938191,226752.7127,23191.0209,4662.56757,280.4752406,135.789836,35.89370938,5.453958246,35.31896429,14.3667013,8.247923281,0,0.297186296,4.490633552,0.489569128,1.84E-05,473.4957811
0.701552633,0.004522688,"CH4: 0.612351787, NH3: 0.387648215",0.2NH3,296.23,427.830636,0.246122148,101724.686,-0.55428092,141.2257497,246634.1547,13334.15188,4914.080434,227.8280507,122.5694151,7.228485321,7.172031029,2.913003069,1.361973409,0.598760112,-0.084335245,0.282458664,4.936939901,0.396283726,1.85E-05,533.0531743
0.737818465,0.003520706,"CH4: 0.612351787, NH3: 0.387648216",0.2NH3,296.5586735,508.0607143,0.240693564,100791.432,-0.252047747,176.5857747,241809.7019,23522.48019,5378.618879,307.2011996,146.1029493,35.97593535,0.50803542,35.31628721,8.809627527,5.142907638,0,0.295508704,3.552952371,0.473058673,1.86E-05,517.8543736
0.753396318,0.003512349,"CH4: 0.612351787, NH3: 0.387648217",0.2NH3,296.5925,512.5994444,0.244478419,100791.432,-0.09823844,177.0406013,246449.6643,23600.76627,5555.270922,314.8438103,146.8504423,36.07931296,0.456883959,35.40763102,7.576674998,4.452505286,0,0.294298882,3.281549222,0.469296517,1.86E-05,524.5101107
0.789254238,0.003752506,"CH4: 0.612351787, NH3: 0.387648218",0.2NH3,296.6725,517.4427083,0.241887234,100791.432,-0.20078036,176.7448534,255154.8747,23872.67531,5796.518582,323.7171796,143.9734493,35.99001649,0.407424437,35.3488772,6.525573776,3.888523643,0,0.291965034,2.700685055,0.460394198,1.88E-05,515.5948247
0.805892891,0.004248799,"CH4: 0.612351787, NH3: 0.387648219",0.2NH3,296.7090278,520.5979167,0.236942403,100791.432,-0.142141687,176.8804713,259466.0554,23959.26894,5881.519688,327.2867272,139.0579263,35.9744955,0.377747075,35.37550035,7.265598667,4.287340543,0,0.291629928,2.456687733,0.45893279,1.88E-05,503.5436234
0.848939565,0.004524404,"CH4: 0.612351787, NH3: 0.387648220",0.2NH3,296.18,449.0567514,0.315656733,101724.686,-0.475306016,141.0936558,288130.2442,14369.9504,6224.632986,265.9736511,115.7301243,7.061708005,0.251040325,2.82501178,8.181535727,0.770129439,-0.115743577,0.282214785,2.254427525,0.362641774,1.90E-05,665.6726589
0.900395628,0.004617099,"CH4: 0.612351787, NH3: 0.387648221",0.2NH3,295.6,458.2683521,0.33755166,101724.686,-0.30840234,138.6560413,324920.6595,15084.74414,5824.28893,249.0734302,73.38649032,6.238558713,0.520953509,2.776938271,4.584321783,0.615610456,-0.131171646,0.277347879,1.283125555,0.350196761,1.91E-05,705.3694906
0.945390252,0.004646379,"CH4: 0.612351787, NH3: 0.387648222",0.2NH3,297.6387974,473.2779517,0.240919822,102071.3232,1.527569437,25.06003381,304795.162,8174.356416,5450.974177,117.9254242,17.65085186,4.613980094,3.960074077,2.244818766,5.247627741,0.52814794,0.030185731,0.224313337,0.506748,0.280748583,1.93E-05,499.4679503
