,phi,grid,T_in,T,P,vel,blend,H2,NH3,NO,N2O,O2,H,O,OH,HO2,H2O,H2O2,NO2,HNO,N,NNH,NH2,NH,H2NO,N2,fuel.NH3,fuel.H2,oxidizer.O2,oxidizer.N2
0,0.789254238,1027,296.6725,517.4427083,100791.432,0.241887234,0.2,1.2427504212504385e-05,7.015234489007938e-13,0.00459673275863048,1.939130373459454e-05,0.027071011842927054,8.954297992808241e-10,4.898160378155008e-09,1.2818547781800993e-05,5.238603910230173e-09,0.256323731509623,6.966938487465802e-06,7.046875686908934e-05,3.799943419049786e-09,2.4695400393670357e-16,8.455840195166436e-16,2.2338174285050266e-16,3.1201791568577633e-16,1.4483003637067566e-13,0.7118864360047484,0.8,0.2,0.21,0.79
0,0.805892891,972,296.7090278,520.5979167,100791.432,0.236942403,0.2,1.3629773733202116e-05,2.7625419347452953e-13,0.004853319423178779,4.225127644015735e-06,0.024590843486166337,1.1375286552963656e-09,5.183297442652381e-09,1.3274090694868662e-05,5.381545542341073e-09,0.25973535922438773,7.034761877563927e-06,6.96288491546635e-05,4.802625008598236e-09,4.394870441133079e-17,3.734299634249844e-17,1.0871895689891231e-16,4.162469462737995e-17,1.580285290022278e-13,0.7107126687577316,0.8,0.2,0.21,0.79
0,0.848939565,994,296.18,449.0567514,101724.686,0.315656733,0.2,3.722389775706886e-05,8.079112128384085e-13,0.005111444644100023,5.159801197491975e-07,0.016170028656385203,2.0301063180932336e-09,1.6129984630573244e-09,1.4433492476233786e-05,6.218063782760207e-09,0.2701527964427924,1.2094272443615343e-05,6.697834342912106e-05,1.3241549504239459e-08,2.7855386329806647e-16,3.7126920399019766e-16,3.350802188603942e-16,2.9665677059499406e-16,4.508230884156669e-13,0.7084344611665185,0.8,0.2,0.21,0.79
0,0.900395628,961,295.6,458.2683521,101724.686,0.33755166,0.2,0.0001109985649551518,5.278026552214733e-12,0.005182604357525954,2.469586454549597e-07,0.007449020717109857,1.951122766981855e-08,2.628465453897104e-09,1.699677734914571e-05,1.4167713197239787e-08,0.2819803657590215,1.29736945752312e-05,4.107690629086125e-05,9.547176399283405e-08,-1.6507709096952526e-16,2.1903710977893365e-16,6.657666858230641e-16,-1.6197124701982384e-16,1.7391293700102786e-12,0.7052055844783389,0.8,0.2,0.21,0.79
0,0.945390252,943,297.6387974,473.2779517,102071.3232,0.240919822,0.2,0.0004027759578551821,7.3075370811938e-11,0.004966461241129885,6.804968791838916e-07,0.0019713947517799087,1.8084941397737715e-07,5.29740576964039e-10,6.590959663747877e-06,2.2398119130787308e-08,0.2900150055698783,2.8829060338265357e-06,1.041271774930106e-05,1.8788842001466686e-06,2.296050323582594e-14,3.379099655644989e-14,2.307725983375816e-14,2.4560977044195802e-14,9.225814989950952e-12,0.7026217126551513,0.8,0.2,0.21,0.79
0,0.952058541,939,297.607429,473.207429,102071.3232,0.240061319,0.2,0.0006893800221958101,2.490591900023417e-10,0.0048695950490724085,1.0486887434407745e-06,0.0012074386142527263,2.376230050344785e-07,6.267847264539565e-11,2.2335025624435006e-06,1.8076359660784578e-08,0.29100478995954576,7.50819867927742e-07,6.266115669540742e-06,5.794299582165536e-06,3.0926554733531225e-17,8.055013258980804e-15,3.963353566394102e-15,9.937395548820434e-17,1.4893684129050987e-11,0.7022124469024997,0.8,0.2,0.21,0.79
0,1.000031381,977,296.399322,475.3188136,102071.3232,0.254376387,0.2,0.007515894596405695,6.92326573465774e-08,0.0037258010992889602,2.2060659114269284e-06,1.7286802220791326e-05,3.1710763500052596e-07,2.2458685797799854e-14,5.5221321093781284e-09,4.413830844797967e-10,0.29069579927584005,2.267450491380081e-09,8.835303582158263e-08,1.6205545139431803e-05,1.9317779839123623e-16,1.2689743712634554e-14,3.0526961712806123e-15,7.008428927466433e-16,7.788945119562475e-11,0.6980263236129713,0.8,0.2,0.21,0.79
0,1.044810754,913,297.2,477.8405844,101724.686,0.399093947,0.2,0.016787938403687412,5.341056227457413e-07,0.001956560882802564,1.5423572815800642e-06,2.2267817478236578e-06,2.499148972076135e-06,7.366967265552707e-13,3.6903432273058227e-09,8.000083609060111e-10,0.2879479189610793,1.4997066691052098e-09,1.6703304775833705e-08,1.434820217603912e-05,-1.8360473722206756e-17,9.832245848913797e-14,3.4027009141277124e-15,7.434748571068408e-15,2.1107201007471575e-10,0.6932864082513498,0.8,0.2,0.21,0.79
0,1.049323311,905,298.1900998,585.9600943,102071.3232,0.24247845,0.2,0.016693170809180216,3.659631696439223e-07,0.0020815348733592173,1.580999342042992e-06,1.9210338284718035e-06,2.3463342174460355e-06,3.4993880504719192e-12,2.6031683005253094e-09,4.362591974407896e-10,0.28971308339259244,8.574793018736337e-10,8.492251075067052e-09,9.929109760018292e-06,1.6741361305868148e-15,2.6379609539257235e-13,7.599169223042656e-14,1.256680071560516e-13,1.0249620931238252e-10,0.69149605498893,0.8,0.2,0.21,0.79
0,1.053619005,899,297.24,480.1584582,101724.686,0.405951996,0.2,0.018362200116209846,1.3374497556042554e-06,0.001621069635120796,1.3469712725171498e-06,1.585775887843508e-06,3.5610360237392944e-06,1.6554108024084276e-12,3.63047390296108e-09,9.48243956913114e-10,0.2875649777842089,1.4515550266726243e-09,1.2305958284486831e-08,1.2904046045858602e-05,7.143261861694791e-16,1.4522731167723874e-13,8.036207415987611e-15,1.4052823324822918e-14,8.235113052038255e-10,0.692430998023909,0.8,0.2,0.21,0.79
0,1.07438295,887,297.0366815,475.6795387,102071.3232,0.264841378,0.2,0.020637256301695713,8.90218466998456e-07,0.0011638645720604011,9.794945580665351e-07,7.809255373690425e-07,3.566324628147889e-06,1.3688585341767236e-12,1.9112377628898027e-09,6.530400908761892e-10,0.2873211143979865,1.0250798358778447e-09,6.454215604856906e-09,1.0201884969359012e-05,-8.910321486135802e-15,1.2723442992096253e-13,-6.2512553950617195e-15,3.3299264088810784e-15,2.334076928988564e-10,0.690861335601632,0.8,0.2,0.21,0.79
0,1.077042108,882,297.0077519,474.9684109,102071.3232,0.264314906,0.2,0.021092583142749057,1.1218183708660168e-06,0.0010800034889421656,9.206470595514502e-07,7.047422774741117e-07,3.995033160990175e-06,1.7882912813667766e-12,1.941859416974026e-09,7.029622579130148e-10,0.2871908108285949,1.0290138263592388e-09,5.8963827971340185e-09,9.784954793133415e-06,9.580791516992911e-16,1.506648819836516e-13,3.07754647656189e-15,1.495198970144239e-14,3.467756077400038e-10,0.6906200654251001,0.8,0.2,0.21,0.79
0,1.09802846,911,297.19,478.0343468,101724.686,0.406418289,0.2,0.025361148197461245,0.0008043638007870947,0.0001867858467717555,1.2794934072280911e-05,2.2477845660174768e-07,1.9563974173754064e-05,5.459799310225593e-10,3.081410477016681e-09,2.0189400472892858e-09,0.2854678947469622,7.839174750741817e-10,1.2583874967549445e-09,2.207209764890349e-06,6.718711098632907e-12,7.683178701361761e-13,1.0325193620382631e-12,1.0055163402713703e-12,4.841482620909269e-07,0.6881445246651275,0.8,0.2,0.21,0.79
0,1.101303302,913,297.21,478.9139327,101724.686,0.409270326,0.2,0.025770412918696514,0.0010586223019154258,0.00014753997937861323,1.4091193897345706e-05,2.2243447160498757e-07,2.0085233510461318e-05,1.0523360392163893e-09,3.070324324342621e-09,2.1373018574896905e-09,0.28526809854960195,7.121170749069766e-10,1.3628861449795584e-09,1.7412974553913188e-06,2.4681132136046935e-11,7.959672877696451e-13,1.397827162805613e-12,2.3814607435707927e-12,6.280708604246869e-07,0.6877185496559906,0.8,0.2,0.21,0.79
0,1.144506611,932,297.21,447.7755,101724.686,0.381853677,0.2,0.0294283406848117,0.0050869842530462065,2.552042669064978e-05,1.4427772613880328e-05,3.6918996643349703e-07,1.2486372647845106e-05,1.8322504921160816e-08,2.9249035087427097e-09,4.7929495833352645e-09,0.28254322111971053,2.550018011770471e-10,5.960990437071536e-09,3.406572565615874e-07,9.891325690058638e-09,3.1297331959059864e-13,2.200938876648504e-12,1.840951370770466e-10,2.952891050994315e-06,0.6828853142979202,0.8,0.2,0.21,0.79
0,1.152092602,945,297.8613145,578.7259567,102071.3232,0.240504456,0.2,0.03284693120922924,0.003532698925895622,2.311667209694716e-05,1.0216263985319292e-05,1.0500476225189245e-07,1.4991829470881764e-05,2.021405210174689e-08,3.213489178951372e-09,8.003192023715456e-10,0.2837181325637547,2.528100834499178e-10,6.867782578586461e-10,1.6118874008846413e-07,1.9116262861685252e-08,1.555589329312252e-12,4.916270280216464e-10,6.17031867925138e-10,1.5089870135167245e-06,0.6798520919611252,0.8,0.2,0.21,0.79
0,1.199645936,937,297.6809917,573.1913223,102071.3232,0.231748139,0.2,0.036192452992833996,0.009279757075425079,7.936283247400959e-06,8.70768290411684e-06,1.583619373619322e-07,7.677985003191314e-06,2.29043415743249e-08,1.3660192705503843e-09,1.1743652249620772e-09,0.28087236063012855,1.0836471761617246e-10,4.903188424187553e-10,5.3294758027567955e-08,9.078767942636231e-08,7.203824383158424e-13,1.2710796542829133e-09,3.484305549442811e-09,4.7714572389636025e-06,0.6736260026493286,0.8,0.2,0.21,0.79
0,1.240922069,927,297.3282392,466.8547619,102071.3232,0.238367546,0.2,0.036427385116467766,0.01525322038736197,4.801499817933656e-06,7.981534168638296e-06,2.9075680478467517e-07,5.0737714089657896e-06,2.16763343322148e-08,5.418168298579316e-10,3.306286430496699e-09,0.27776109994815207,7.375458342878064e-11,1.88077848892866e-09,5.3143600978671046e-08,9.189276967574014e-08,1.541690520464493e-13,1.3038187843903385e-11,2.2863818502878658e-09,8.712500386857267e-06,0.6705312596705156,0.8,0.2,0.21,0.79
