,phi,grid,T_in,T,P,vel,blend,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,H2NO,N2H2,HONO,N2H3,N2H4,NH2OH,fuel.NH3,fuel.H2,oxidizer.O2,oxidizer.N2
0,0.753396318,1042,296.5925,512.5994444,100791.432,0.244478419,0.2,8.168059650911388e-06,3.7920383193023857e-10,2.1925719525469158e-08,0.032147235022243974,1.0387553915464046e-05,0.24853702628799765,4.469423918733632e-09,4.019393957274156e-06,-1.546030219617213e-15,-1.4113492071460347e-15,-2.3026663138596975e-15,-1.367762737566587e-15,-2.966160197385207e-15,-1.8282304902499668e-15,1.5542412303476675e-14,1.0256441061527944e-12,-3.172449596850162e-15,-1.8087324721605126e-15,-1.8452390963469218e-15,-2.1286439012635914e-15,-1.2569768939153483e-15,-1.481825172675049e-15,-8.327565059994386e-16,-2.0908779710201188e-15,-1.38640152451314e-15,-2.3157060206263298e-15,-2.005993952088593e-15,-2.7419925038998614e-15,-1.8944001692351837e-15,-1.6126935978607174e-15,-2.946157532231671e-15,-2.7016336528288645e-15,-3.4826890872773503e-15,6.39813439979386e-13,-1.370583034307415e-15,0.0053572743744175755,0.00010531226143579845,2.647257103982491e-05,1.6400968740187615e-08,-1.8975059940494927e-15,-2.4439848425980936e-16,-2.0110501039659006e-15,-1.894480629054672e-15,1.747613534443904e-15,-1.5096970691581093e-15,-8.170754317429605e-16,-4.043269541582237e-15,0.7137935881560985,1.8726368598885515e-15,-2.3299650620874143e-15,-1.9672254745956755e-15,-3.618367765093616e-15,-2.077426305677657e-15,-2.6687567575575653e-15,-2.0716563894292143e-15,3.7811629182646837e-06,1.0157674571255884e-16,-1.1994755056442027e-15,6.69197940094765e-06,0.8,0.2,0.21,0.79
0,0.789254238,987,296.6725,517.4427083,100791.432,0.241887234,0.2,9.150091845163572e-06,5.407780162466487e-10,2.366709891351335e-08,0.026822323860130018,1.1325941404798404e-05,0.255848363706903,4.5838674726261085e-09,4.196818251543471e-06,1.4972518554112604e-16,1.5636945152251004e-16,1.175771888394021e-16,1.5862350727156096e-16,-7.240726267953806e-17,5.704425129069641e-17,-6.950360061772632e-17,2.14310187100716e-12,7.029974548309275e-17,-1.5640147946836747e-16,1.338788470545378e-16,2.843140909771726e-17,1.168630497474527e-16,1.5316527699391407e-16,5.379077776123789e-17,1.2272505358543985e-16,1.4594820202100663e-16,3.1226043621297835e-18,5.089300280733985e-17,9.903177373460737e-17,5.137006241216691e-17,5.003240749337183e-19,9.3547510790923e-17,1.0620015223303948e-16,8.366553355578867e-17,1.9818663642508795e-13,1.7147907352901474e-16,0.006049624598015601,0.0001054398192182698,6.784643949289107e-07,2.4035575350033442e-08,1.3085648846025002e-16,-1.6001880358251448e-16,9.406804255915452e-17,1.3149103647134289e-16,-6.647200108795563e-16,-2.0595074804208958e-17,-1.238713371815068e-16,5.209096531238135e-17,0.711139227129348,1.9854389030433378e-15,6.4417005995819025e-18,5.526620483820506e-17,-8.041311479082907e-17,3.532543593808719e-17,-1.4911135838461373e-17,3.5119934593686113e-17,3.2038101519172526e-06,2.0424233624069478e-16,1.3947616639396034e-16,6.412930672318184e-06,0.8,0.2,0.21,0.79
0,0.805892891,980,296.7090278,520.5979167,100791.432,0.236942403,0.2,1.0427802414065501e-05,6.970142377485346e-10,2.5275228643758688e-08,0.024212308345307614,1.1790603578847812e-05,0.2594410298631376,4.830976789655153e-09,4.307717823972095e-06,-4.724519117765733e-16,-4.93083803245442e-16,-3.905094577036636e-16,-4.993668055770606e-16,-8.536216091765911e-17,-2.740549415247773e-16,-6.535077245891934e-17,-1.717525832780322e-12,-2.638901506676563e-16,2.2651410678757504e-16,-4.285406240444888e-16,-2.307228601526351e-16,-2.3611900675996693e-16,-4.82582223068101e-16,-3.5126637400295766e-16,-3.9985517680142416e-16,-2.932451636869772e-16,-2.1784436162239728e-16,-2.7070097801886445e-16,-3.5176247018027007e-16,-2.645884650316264e-16,-2.6056956876471126e-16,-3.400668121255811e-16,-3.6663399248290773e-16,-2.3458322538214776e-16,2.351325051742229e-13,-4.7839255096474435e-16,0.0062273739505690345,0.00010415407651803077,2.3027220234301576e-07,3.036655665766634e-08,-4.186876052913923e-16,-2.7992309932487204e-16,-3.1702300933012883e-16,-4.2129791981172946e-16,-2.7104959238582817e-16,-2.743289753219437e-16,-6.064849104219329e-17,-2.4811069612139834e-16,0.7099790279345316,1.377222284677538e-15,-2.166584659201311e-16,-2.65914387520515e-16,-1.0091774637032999e-16,-2.4506673113653863e-16,-1.9831851295818055e-16,-2.430022156259053e-16,2.9490462139002748e-06,-3.1503858034459825e-16,-2.26276914478168e-16,6.339219419078293e-06,0.8,0.2,0.21,0.79
0,0.848939565,1047,296.18,449.0567514,101724.686,0.315656733,0.2,3.145043219371958e-05,1.348995916277386e-09,2.1945516699317506e-08,0.015674779793172992,1.336894878183845e-05,0.2700083856028604,6.510456287684218e-09,7.0131467426665745e-06,-2.874473614976062e-15,-2.8785696975510012e-15,-2.847174109190162e-15,-2.878021980308281e-15,-1.7889686106308097e-15,-1.6935347036595895e-15,1.0699482720251817e-14,9.772725736556395e-14,-2.7549567120413226e-15,1.335877236074299e-15,-2.844185797454211e-15,-1.9521072235014733e-15,-5.781819538581458e-16,-2.8772842272860918e-15,-1.974028081720541e-15,-2.8316129351935704e-15,-1.0668719895691016e-15,-1.8682530500736088e-15,-1.7887429593005098e-15,-2.800578090258205e-15,-1.7141525300413586e-15,-1.6670613419007064e-15,-2.808007961139688e-15,-2.831204076348982e-15,-2.5185597254476708e-15,2.015540046186774e-12,-2.8600147784571806e-15,0.006359841546880105,9.792790032630086e-05,2.451302414089584e-07,1.1799155997047735e-07,-2.8498260981643553e-15,-1.82127562538345e-15,-1.7906360584436044e-15,-2.8498755538533004e-15,1.0157806983029079e-16,-1.6718187118836646e-15,9.083365499777858e-17,-2.777828693511606e-15,0.7077974162868353,5.831064164857987e-15,-2.0525720687968753e-15,-1.805928267135786e-15,-1.9313586292784547e-15,-1.944920414755769e-15,-2.1620492832651275e-15,-2.089039568409816e-15,3.0747897645444164e-06,-8.349826645846972e-16,-8.5417243384968065e-16,6.348623620846879e-06,0.8,0.2,0.21,0.79
0,0.900395628,1120,295.6,458.2683521,101724.686,0.33755166,0.2,0.00012116763568154178,1.5844328930866288e-08,3.477587347632883e-08,0.0067810176047364305,1.6115951167448824e-05,0.28215265476832835,1.266306509801903e-08,8.094386441585479e-06,-2.8520894763224053e-14,-2.9183477531815307e-14,-2.712303523897043e-14,-2.926751769914939e-14,-2.42481981199936e-15,-5.178723399944317e-15,1.5335577883919092e-13,-2.8948340129033313e-12,-2.0630840081444398e-14,6.462926102008314e-14,-2.5889403894826105e-14,-6.645796426423985e-15,1.7103651027177814e-14,-2.892975691798405e-14,-5.979522735590426e-15,-2.5265608959350456e-14,-5.003885708767214e-15,-3.83335144682795e-15,-6.4787993774770954e-15,-2.5866055378488295e-14,-5.364201665835304e-15,-5.532430626361778e-15,-2.5892958269931328e-14,-2.7019805965880972e-14,-2.085360212302296e-14,2.555964268378568e-11,-2.888768952875434e-14,0.006292984127385833,5.288298405174828e-05,4.074914425317297e-07,9.762869990033058e-07,-2.564852276407208e-14,-1.5278774871766913e-14,-9.174813657813292e-15,-2.591211316170736e-14,2.1905179735689937e-14,-5.201224962338271e-15,1.9557804754928096e-14,-2.5199989608270757e-14,0.7045634408804605,4.163504718881418e-14,-8.780284798683174e-15,-6.48580172382854e-15,-4.988702368459904e-15,-6.8583860683752366e-15,-1.176844023868769e-14,-1.841318688907857e-14,3.772215873104585e-06,1.5716293358059897e-14,9.689201209311313e-15,6.422361709353137e-06,0.8,0.2,0.21,0.79
0,0.945390252,1106,297.6387974,473.2779517,102071.3232,0.240919822,0.2,0.0006173153041517184,1.4051463604969512e-07,3.1711875612322224e-09,0.0014995510809476629,4.573525798272693e-06,0.28990108704894313,1.0354892763114018e-08,1.3788534829979692e-06,-3.5978966554068755e-14,-3.6843513439893677e-14,-3.458615535375e-14,-3.691210681825392e-14,1.8091989591543085e-15,-9.09643412157927e-15,1.5870521913907852e-13,-8.557606251995865e-14,-1.573776907112056e-14,7.217654810322296e-14,-2.687117070930824e-14,-4.979527616077939e-15,1.7143015559367936e-14,-3.662963669010745e-14,1.6028801705187007e-14,-2.5046559751014962e-14,-2.561876215842361e-15,-5.198790972603851e-15,-7.569099634194182e-15,-3.273801873934843e-14,-5.738191431756949e-15,-6.508180333441251e-15,-3.291909389866405e-14,-3.4323704864042203e-14,-5.88708988448146e-15,5.860209382679515e-10,-3.255887863843441e-14,0.006006233890549831,8.767856808064291e-06,1.4191002830133547e-06,9.763902966256628e-06,-2.3966258247079963e-14,-7.764644264107607e-14,-6.014056432599077e-15,-2.6113460946435707e-14,4.002136108356238e-14,-6.594723145349118e-15,2.8096862434468165e-14,-3.304420210525443e-14,0.7019404184557864,-1.201695868327403e-14,-8.128703146895955e-15,-6.391192621698835e-15,-3.0834702082119035e-15,-6.94006141716079e-15,-1.0103126136331358e-14,-3.2920405791213197e-14,2.804319043565062e-06,4.187019176483118e-14,1.25954902149179e-13,6.532034767559483e-06,0.8,0.2,0.21,0.79
0,0.952058541,1109,297.607429,473.207429,102071.3232,0.240061319,0.2,0.0010654458297453425,1.4971986213848647e-07,4.4364283273172434e-10,0.000885279082683696,1.6855269057297162e-06,0.2906303493125409,6.437696794508241e-09,4.021188680646685e-07,-2.3912122281034514e-14,-2.411455163044265e-14,-2.3415356278705728e-14,-2.411735773349481e-14,-1.3885408505989409e-14,-2.9647403867437755e-14,3.997981654840307e-14,2.0882466066809993e-14,-1.1225163134126143e-14,-5.7007263510497945e-15,-1.712826071323393e-14,-1.8378290472080093e-14,-1.7530461206549888e-14,-2.410648941120463e-14,9.096581147106681e-15,-1.628287453510707e-14,-2.7125687959021056e-14,-1.684272697256459e-14,-1.7264749673399936e-14,-2.2161308301206447e-14,-1.6878037411238396e-14,-1.6805931590910657e-14,-2.248575459739304e-14,-2.2983058654422695e-14,5.959598615943358e-15,1.6934177477528508e-09,-1.9361379242790144e-14,0.005900283250260366,4.8951256064832965e-06,1.9387066223640144e-06,1.2986933186765838e-05,-1.428066947865871e-14,4.685793619415482e-15,-1.643344707654912e-14,-1.621801680868338e-14,-6.124431592197427e-15,-1.7455390877196835e-14,1.344381014674406e-14,-2.2587222061087082e-14,0.7014879189963695,-2.7368556211161422e-14,-1.4951305492572512e-14,-1.4527404487663925e-14,-1.6516397833757242e-14,-1.7081332743789544e-14,-1.0384308794334582e-14,-2.236055225229103e-14,2.0738682930556084e-06,1.4082894654376551e-14,1.8571056672487377e-13,6.582954652234442e-06,0.8,0.2,0.21,0.79
0,1.000031381,1138,296.399322,475.3188136,102071.3232,0.254376387,0.2,0.008598134981972415,1.5464593429069657e-07,2.803522488890799e-13,1.8701544378322845e-05,4.877446803593109e-09,0.289541506567827,1.7073094558560666e-10,2.3398891236254794e-09,2.1522228734350617e-15,2.234441838754909e-15,2.0547801151318784e-15,2.2385616757304473e-15,-7.978817363885233e-16,1.7863395842436408e-15,-1.0194792884205678e-13,-5.036541421475382e-13,-2.133974002573116e-16,-1.5427395956023897e-15,3.1494704955396543e-16,1.291603909120589e-16,-1.809831976004572e-15,2.218043956270805e-15,-1.3594463532043424e-15,2.365719901124961e-16,1.124727936849841e-15,1.2636140080875804e-16,4.411014346437465e-16,1.91968306052173e-15,4.937368138833544e-16,2.0724121036091813e-16,1.9289476681082768e-15,2.5042993692732897e-15,6.152964686958738e-15,7.582262385921528e-08,7.612713776446801e-15,0.004759207129025574,9.770723726706813e-08,2.2808282335555626e-06,1.2258831113372873e-05,2.4611951945010605e-16,2.212734388209063e-15,-2.2522217552210103e-16,-9.223540235177748e-17,-2.458431318634423e-15,3.0328983862852826e-16,-8.706527558907536e-16,2.085857561139508e-15,0.697060027787247,-1.1310226620654908e-15,-2.0375274289873734e-16,1.6299562254438298e-16,-8.706675535904589e-18,3.336605660955803e-16,1.518331877042519e-11,1.999965393874573e-15,3.938086172215915e-07,1.864802164488949e-13,3.0975236133549153e-13,7.1529423362194146e-06,0.8,0.2,0.21,0.79
0,1.044810754,1002,297.2,477.8405844,101724.686,0.399093947,0.2,0.018522704950445917,1.1838923083775468e-06,1.5916271854010013e-12,3.439619977253644e-06,3.4623767459747203e-09,0.28633660485159435,3.60993656928697e-10,1.879307654076859e-09,1.2365939276082898e-15,1.0801240314554976e-15,1.4073600486106663e-15,1.0728086874877328e-15,1.1105595636121557e-16,7.540578382649273e-16,-3.4742729215274445e-13,-1.218174188950401e-12,2.761187686759605e-16,-9.235501458303258e-16,5.838322140312297e-16,5.015834005071097e-16,1.0176409844506368e-15,1.101706992628557e-15,-2.8119761627812043e-16,5.381187835012753e-16,8.39350418259212e-16,7.265370779587546e-16,7.838754836336564e-16,1.5177462930329654e-15,7.534551724948305e-16,7.142329006454371e-16,1.5857210853639996e-15,8.066577836472542e-15,2.2909179665127378e-14,2.88618196748772e-07,4.5106195086155886e-14,0.0030559778300713234,2.3332726892374465e-08,2.0405587444387036e-06,1.239297337437519e-05,1.346722716943294e-15,-3.680257379233639e-17,5.278855593003909e-16,4.76877936736154e-16,-3.860213676018171e-16,7.72384479820713e-16,2.528149092727086e-15,1.3677969544140466e-15,0.692057218328953,2.1887309934959355e-15,6.967466828405154e-16,1.8067934370083082e-15,7.167216730612492e-16,7.870769537847343e-16,1.1824627634585375e-11,1.1273871052481858e-15,1.995887725270269e-07,8.904428478781407e-13,6.617987549330938e-13,7.91973864805619e-06,0.8,0.2,0.21,0.79
0,1.049323311,1024,298.1900998,585.9600943,102071.3232,0.24247845,0.2,0.01817035612433128,8.462424905353823e-07,1.7187125973257563e-12,2.218532850899659e-06,1.1580721159339784e-09,0.28830763837815715,1.214422925390519e-10,6.202208608404274e-10,-3.173440023112588e-15,-2.962310520656685e-15,-3.3985194514067653e-15,-2.946355956252558e-15,-1.9596494065255303e-15,-1.4568455034727558e-15,1.6986713624564748e-15,6.4022055310436555e-15,-2.9475817323366618e-15,-1.0912384797968411e-15,-2.4834621451135584e-15,-2.983391209041798e-15,-5.497278019852158e-16,-2.980552571431682e-15,-8.16057526153619e-16,-2.610134272573831e-15,-1.4511939333949725e-15,-2.903952298419449e-15,-1.6779630950980584e-15,-3.4703023839173255e-15,-2.4291767426681453e-15,-2.128194901194495e-15,-3.5038898941606597e-15,5.923746116132111e-14,2.470666645795055e-14,2.949176438089978e-07,8.680196262671418e-14,0.003220251019308233,1.0622500872821298e-08,1.6945634941635612e-06,8.36252332113857e-06,-3.878021719454636e-15,8.436841770920972e-16,-2.5459474913527473e-15,-2.577265837380497e-15,8.506147867587023e-16,-1.9276500533343593e-15,3.008826976501219e-15,-3.3389021593884157e-15,0.6902804344979934,-1.475412084725532e-14,-2.6167901943097787e-15,-1.705655674797979e-15,-2.2102492149235717e-15,-1.9050134333005305e-15,2.6741444081141454e-11,-3.2471404979446032e-15,1.8777364357871374e-07,4.031199805289655e-13,3.7449288201101374e-13,7.7028751992285e-06,0.8,0.2,0.21,0.79
