,phi,grid,T_in,T,P,vel,blend,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,NO,N2O,NO2,NH3,HNO,N,N2H,NH2,NH,H2NO,fuel.NH3,fuel.H2,oxidizer.O2,oxidizer.N2
0,0.753396318,1026,296.5925,512.5994444,100791.432,0.244478419,0.2,0.7143034114794995,-5.195582410428044e-15,-4.553835508418949e-15,4.5061651763330066e-10,0.03352581129371885,1.1116733850149485e-05,4.12919878246327e-09,9.072884136571261e-06,0.24762276652008502,3.990254067174621e-09,6.077190782545273e-06,-1.8964942092884385e-14,-8.175790659209666e-13,2.2984441743388943e-15,6.643920817158917e-17,6.307749816409457e-16,-7.480291753689734e-15,2.130012832886539e-15,2.4292933269775503e-15,6.469419010570311e-15,9.497482659664623e-16,2.235392727610527e-15,6.140834926134509e-16,2.4276986533886217e-15,-5.35491962732336e-17,2.045904085207181e-15,-1.274008501353747e-14,2.231972963754852e-15,1.1517715393501949e-15,-5.181133391396073e-15,1.945113567252524e-15,6.841060780499692e-16,2.4133964834593834e-15,2.3881163606440565e-15,7.004500864522952e-17,-8.696885911722984e-16,1.7313371726458631e-15,6.753133301660103e-16,2.2450258801722916e-15,2.0084921992896383e-15,1.343823024767916e-15,2.5852485179353686e-15,8.018848036504779e-16,1.1186433650759146e-15,1.750208485038576e-15,6.349277915963674e-16,1.672075993552953e-15,2.332757744612077e-15,1.0325071862188084e-15,-4.500562585522525e-15,6.695553282248529e-16,2.359199112981144e-15,2.4165022459170545e-15,1.0466363337509619e-15,-1.6718944657228e-15,2.4245650740001255e-15,-3.3885146003402368e-15,2.227691463452374e-15,0.004369241670178867,8.122455955537734e-05,7.126654818330854e-05,1.3094893832526083e-12,2.5493073623051716e-09,2.2871565638071134e-15,2.4324349695503054e-15,2.172901156953752e-15,2.3026966756864162e-15,1.3161650034470576e-13,0.8,0.2,0.21,0.79
0,0.789254238,946,296.6725,517.4427083,100791.432,0.241887234,0.2,0.7117420030897789,3.384508243608517e-15,2.4779777421708546e-15,7.367103278358094e-10,0.027965251655280954,1.2224035930300065e-05,4.666831889351211e-09,1.1055838647271113e-05,0.2552332898305568,4.299980990383093e-09,6.3819165677365836e-06,3.1096906659495765e-15,1.3884718122231358e-13,-4.0150587992005175e-16,-4.602949568341748e-16,-1.8883115983321544e-16,-9.65681843987187e-17,-3.9246794627274535e-16,-4.0968404826933694e-16,1.0611737419264594e-15,-4.368165878622915e-16,-3.973635242175316e-16,-2.897493444257503e-16,-4.093654445869573e-16,-2.881331641058782e-17,-3.9114477659933173e-16,-5.47506010020866e-16,-3.9830212810202526e-16,-4.157275343109455e-16,3.2063027504658487e-15,-3.888137505696089e-16,-3.449993872824919e-16,-4.0829724816446923e-16,-4.063662804306376e-16,-3.440454432829017e-17,-3.772846139628782e-16,-3.8376624007694205e-16,-3.502511583809003e-16,8.610572457670818e-17,-3.897883376118338e-16,-3.9048930700225006e-16,3.4060474696165415e-17,-3.6012831669781726e-16,-2.9609890645931543e-16,1.6373501693247745e-16,-2.995461237638061e-16,-3.917953741284462e-16,-4.037030596587171e-16,-3.783194299601443e-16,-3.780913520805108e-16,-3.741798425022323e-16,-4.047361708516519e-16,-4.0826574153168626e-16,1.7212232677803807e-15,2.261858452545764e-16,-4.090134674026743e-16,-2.437515683850152e-16,-3.9819361184464873e-16,0.004953031109308207,5.257756382781571e-06,7.149095401892165e-05,2.2094862368143482e-13,4.109482202258803e-09,-4.0334615931032754e-16,-4.043511224014324e-16,-3.4699456957155466e-16,-4.0407940294759614e-16,1.6146331747902553e-13,0.8,0.2,0.21,0.79
0,0.805892891,932,296.7090278,520.5979167,100791.432,0.236942403,0.2,0.7105816870500702,-4.256176203274818e-15,-3.2281064945308796e-15,9.759652360111994e-10,0.02530654978369588,1.2730058484624138e-05,5.0891565659334114e-09,1.2531569977867519e-05,0.25887711734122554,4.586317175047653e-09,6.50485621693675e-06,1.0685060148648709e-14,-7.071617477894657e-13,-1.7518698514198136e-15,-4.693987116138068e-16,-7.544910489240025e-16,4.560451205778717e-15,-1.289966962846816e-15,-2.258860156871504e-15,-5.78777909292668e-15,-8.964988714357788e-16,-1.656173832079189e-15,-7.96461967967027e-16,-2.234338915608798e-15,-8.311332276642622e-17,-1.4835876143492067e-15,6.026194402493834e-15,-1.6878569870416666e-15,-9.48692456719765e-16,-4.397883198083413e-15,-1.3793060272974647e-15,-7.904224959821382e-16,-2.1437029914946472e-15,-2.011386810930547e-15,-5.108959965196786e-16,-1.4845886270657948e-16,-1.3324626040138762e-15,-8.27110515483747e-16,-2.2496936733847925e-15,-1.4465095776254965e-15,-1.0719175469494565e-15,-2.571393915595261e-16,-7.907975267295821e-16,-7.772204423329483e-16,-4.105547609965044e-16,-7.965578997382176e-16,-1.1951405003759922e-15,-1.8674350584510384e-15,-4.574329025101465e-16,9.786077983458896e-16,-8.370417259365103e-16,-1.9209941900143952e-15,-2.1347141606773254e-15,-7.534329346040805e-16,7.712921760303536e-16,-2.2079947116571804e-15,2.3870457566714373e-15,-1.686976531039131e-15,0.005131122815033932,1.2209685581123582e-06,7.051964297668557e-05,1.6724868147083404e-13,5.2627220616480146e-09,-1.878850802805094e-15,-2.245529479029289e-15,-1.4353549416018835e-15,-1.9019617110846162e-15,1.8557863541985003e-13,0.8,0.2,0.21,0.79
0,0.848939565,935,296.18,449.0567514,101724.686,0.315656733,0.2,0.7083389491073572,7.694821685784068e-14,-5.825051811269715e-14,1.6666292396628614e-09,0.016880231363385918,1.3834022708088246e-05,1.6338253123800475e-09,3.359116443731523e-05,0.26928630449820706,5.220565501268929e-09,1.1175473300765334e-05,1.5361381406151854e-14,1.1005153282105871e-11,-2.58663845901434e-15,-4.140105529367883e-15,-4.091645395421186e-15,-5.890275701299269e-15,-1.6423038889339414e-15,-3.4905412611971133e-15,2.654715834074669e-14,-4.267994020918029e-15,-2.6725207166205173e-15,-3.2404869702806764e-15,-3.451289401757973e-15,-3.1399495207598117e-15,-2.3031308276595166e-15,-2.4569630612697515e-14,-2.5075816298923364e-15,-3.472748147779526e-15,8.716655163624066e-14,-2.669414722450277e-15,-4.03746377514609e-15,-3.247979626111659e-15,-2.9562538035493782e-15,-4.236730293830054e-15,-5.2226303541671745e-15,-3.6333224982596616e-15,-3.3918794097426234e-15,1.936992994329606e-14,-2.7089643386252306e-15,-3.943217246428523e-15,-1.5347962652456495e-14,-5.461425830306349e-15,-5.373457383164755e-15,-1.1142413689750664e-14,-3.025403711589892e-15,-2.9380489981392695e-15,-2.7483602634881547e-15,-2.391415547475653e-15,7.707524462322672e-15,-3.1155239064627843e-15,-2.7969785017486157e-15,-3.1984553906931397e-15,8.881862095042127e-15,3.504364418645528e-15,-3.4804652104622863e-15,-7.83158066339579e-15,-2.463736596903797e-15,0.00536725373519276,2.4258542670458015e-07,6.839571801896081e-05,8.265398563450351e-13,1.3798603931659631e-08,-2.859984672674732e-15,-3.469902853036432e-15,-2.424936103773365e-15,-2.9421186947992984e-15,5.126790093123711e-13,0.8,0.2,0.21,0.79
0,0.900395628,911,295.6,458.2683521,101724.686,0.33755166,0.2,0.7051485719219773,-5.3330923615228716e-14,-5.4554303807865284e-14,1.545424669628771e-08,0.007966598513461024,1.629964230825852e-05,2.693881861287502e-09,0.00010104286881205172,0.2813542852502439,1.1890150174806225e-08,1.2093113850145261e-05,3.391063930769863e-14,-4.372179523067637e-12,-1.2096935408344561e-14,-6.916001645695422e-15,-7.087714868699694e-15,1.1672272738039185e-14,-9.722721545962754e-15,-1.3081458763792189e-14,-3.8895358628909895e-15,-7.202619044194259e-15,-1.1649287562307896e-14,-7.252880582706094e-15,-1.3082192639823402e-14,-3.680134324740496e-15,-1.0426884206798934e-14,4.156836751826557e-14,-1.1811320862199238e-14,-8.454239006207326e-15,-5.108273938161124e-14,-9.485288824259829e-15,-7.166468344670608e-15,-1.3047324149145311e-14,-1.2541977812947255e-14,-5.92068753869047e-15,-4.6323790748080275e-15,-8.475329721284238e-15,-7.335620963589303e-15,-6.179755378735016e-15,-9.401242200965913e-15,-7.860834087686202e-15,-1.1503971722792704e-14,-8.520220819455456e-15,-8.473679769535314e-15,-1.193438387132843e-14,-7.262979205375269e-15,-8.955777710762685e-15,-1.2087173235843503e-14,-7.38627774786681e-15,8.36499737000809e-15,-7.409457323910827e-15,-1.2238333070987864e-14,-1.291686578401951e-14,-6.644464487997816e-15,-5.077836467940893e-15,-1.3066713933924345e-14,3.3415011016388808e-15,-1.0652297471618748e-14,0.005357756096457306,2.9321297906743184e-07,4.293557339757305e-05,5.879919398890993e-12,9.376525636098e-08,-1.280244730911447e-14,-1.2978866455353421e-14,-1.0971638408392771e-14,-1.2866418292139052e-14,1.9423034591044728e-12,0.8,0.2,0.21,0.79
0,0.945390252,916,297.6387974,473.2779517,102071.3232,0.240919822,0.2,0.702592220666097,1.6743600523661706e-15,-7.332585391554713e-15,1.3762442626096037e-07,0.0022543770246271143,6.971153193846667e-06,6.629389169046453e-10,0.00035700929534997726,0.2896839981772576,1.9193074171740578e-08,3.1407291381350483e-06,4.653595543687769e-13,-2.718764446490606e-12,1.2594964310386322e-14,3.303527123081257e-14,2.9427501067363094e-14,1.059409090119355e-13,2.3213154094928574e-14,5.357402615684404e-15,7.294182207675983e-14,2.530639038812639e-14,1.630019301933545e-14,2.7886492062928626e-14,5.490571894081794e-15,4.159410014445626e-14,1.4681317600512725e-14,7.550014470545044e-14,8.466755779487644e-15,2.2966599000882895e-14,3.2455657803396314e-15,1.9671482466846206e-14,2.961823077739534e-14,6.2701378008251905e-15,1.1773926225627972e-14,3.84305663472862e-14,3.523780030528386e-14,1.5014719368743747e-14,2.7557576796283915e-14,3.733515548114208e-14,1.9637591545653448e-14,1.8572625951398536e-14,2.235272192635806e-14,2.7046104542709324e-14,2.3162029376672717e-14,-1.078143731828838e-14,2.7837913213585748e-14,2.1952228880686666e-14,1.3741733371815906e-14,2.714300391344744e-14,9.005605534889857e-14,2.509504478651233e-14,1.2812426364251894e-14,1.0019538094976894e-14,1.7909713701413103e-14,3.7488752924625625e-14,6.2319875289623065e-15,8.71737230708519e-14,1.6184214142598182e-14,0.0050882226783601665,8.385583285159526e-07,1.1436630871135231e-05,7.609752710624873e-11,1.6275204200615662e-06,8.030240882844725e-15,7.013002768379773e-15,1.511524531341375e-14,7.723770165357311e-15,1.080203946109641e-11,0.8,0.2,0.21,0.79
0,0.952058541,927,297.607429,473.207429,102071.3232,0.240061319,0.2,0.702182851667681,3.2463082282943585e-15,1.0213687057903238e-15,1.8298478796737054e-07,0.00141691428484363,2.481399675993783e-06,8.614109615728802e-11,0.0006066286625693938,0.2907843450464166,1.5982725338170337e-08,8.74646312968442e-07,-1.3671547138615457e-13,2.3257642904260977e-12,-2.506359089459937e-14,-2.0402484331611002e-14,-1.2872919451370104e-14,1.5280828496529758e-14,-1.486072498600208e-14,-3.39005809691503e-14,3.556656654594472e-14,-2.1691833472487275e-14,-2.3743920386302925e-14,-4.76857038408688e-15,-3.36380242739141e-14,-1.0508473182624137e-14,-2.4565060547457975e-14,-1.3997550554260153e-14,-3.016239691560486e-14,-2.241754495283709e-14,2.2748967130535703e-15,-2.292680906986658e-14,-2.108499597487093e-14,-3.240892303026972e-14,-2.552667706371732e-14,-3.799872945437556e-15,-1.913164917686663e-14,-2.404753292852741e-14,-2.065012433333776e-14,-2.0910513206973343e-14,-2.28350232572489e-14,-2.3233383193632226e-14,-2.0083481635624983e-14,-2.1405297608280933e-14,-2.284401657557406e-14,-2.175376427782649e-14,-2.0265939961238563e-14,-2.2910757472091287e-14,-2.4738679741472644e-14,-2.1549442708070214e-14,-1.7806731096116104e-14,-2.1248604778503445e-14,-2.5078664431138435e-14,-2.699939035716715e-14,-1.2623756842486898e-14,-1.9465095918901887e-14,-3.242125418118336e-14,-2.5655577171311526e-14,-2.3563620711048477e-14,0.004992328168097409,1.3108697848158874e-06,6.935457418262478e-06,2.5210863592873843e-10,5.130472202843541e-06,-2.988098539381198e-14,-3.1626075078635725e-14,-2.2231137676836264e-14,-3.020601382667614e-14,1.801142759251671e-11,0.8,0.2,0.21,0.79
0,1.000031381,955,296.399322,475.3188136,102071.3232,0.254376387,0.2,0.69796572667525,-5.784082026896208e-15,-6.918237931946566e-15,2.3337326930304738e-07,1.8814621122605646e-05,4.358915302910436e-09,1.3478318867131457e-14,0.007375528965403078,0.29070942825805207,3.3788978792969246e-10,2.116172083003433e-09,-6.832638058080154e-14,-6.259647295797968e-13,4.295155802230337e-17,2.1178731907947148e-16,1.6335148090265775e-15,-7.718224177719773e-16,-8.865700082578354e-16,1.10718628499644e-15,-1.4150997938543085e-16,3.2463304817564444e-17,1.956126497953967e-16,3.2055261219792388e-15,1.0885527673719458e-15,-5.270222915399515e-16,3.872982878377491e-16,5.446299140103509e-17,8.49345045261984e-16,1.4984161119279942e-16,-5.589447346753371e-15,5.752017085890991e-17,1.8548338238597668e-16,1.0016105140910003e-15,7.032071871089049e-17,1.300150343787755e-16,2.692000340562002e-16,2.013023864393133e-16,-1.3863764402111113e-16,1.940501326327919e-17,5.306434734907866e-17,8.465301490029484e-17,2.343597194737595e-16,1.5887900236907277e-16,5.4597764817054834e-17,5.635881558679396e-16,2.4439645608955e-16,1.3128686771373107e-16,-1.2171995125344206e-16,-7.053538585617392e-18,5.977381907334138e-17,3.450641546878016e-17,6.038464486091139e-16,1.064563188594603e-16,2.5771792885895254e-16,-1.286547685784959e-17,3.126834394121537e-16,-1.5521518841272773e-15,7.193314268172306e-17,0.003909926004803766,2.986256329251961e-06,8.820495310517278e-08,7.631813526107692e-08,1.7184428117395945e-05,7.58696056797335e-16,4.128201640444084e-15,3.942403370843946e-15,1.3112070734512592e-15,8.226709901941248e-11,0.8,0.2,0.21,0.79
0,1.044810754,903,297.2,477.8405844,101724.686,0.399093947,0.2,0.6930463158849481,-1.3914014933083949e-15,-2.969015679348521e-16,1.5262656257917628e-06,2.497038077843367e-06,2.39299761050941e-09,2.2391372581691467e-13,0.016856674354488198,0.2877356679008088,4.67054279206686e-10,1.2146138165393562e-09,-5.160765462925411e-13,-1.8078276117664528e-12,1.061069307303244e-15,1.0808201326732453e-15,-6.144467740772999e-17,5.777095283170742e-16,1.0221525893622233e-15,1.028061615103335e-15,9.570997417814599e-16,1.0287468611444232e-15,1.061095473241356e-15,2.5175238429411155e-16,1.0142569917260568e-15,1.4169370872007806e-15,7.797282622574936e-16,9.565470459609512e-16,9.838564445349916e-16,1.0571509927715516e-15,-1.5764569129318796e-15,1.0203354099305844e-15,1.0124295828626775e-15,9.584112688032117e-16,1.0354099218707533e-15,9.437398915262408e-16,8.239645011672379e-16,8.481773083240684e-16,1.5531193107700146e-15,1.1468197944097587e-15,1.0270841641266958e-15,9.090960958574552e-16,9.833560369434602e-16,1.0114842841264178e-15,9.932371164690531e-16,7.888989102412445e-16,9.356238756925462e-16,8.965166165663546e-16,8.760170112914229e-16,9.910363525401287e-16,9.584319668356406e-16,9.488239316850485e-16,1.3316621066420694e-15,1.1333294696170371e-15,9.434698974032266e-16,1.2327562838578584e-15,9.134154868907406e-16,1.2710435324259634e-15,9.82363071484568e-16,0.002337950463409661,2.3970449770938717e-06,1.7027898965562373e-08,4.3964017621395183e-07,1.651018573911105e-05,8.560563569620372e-16,2.1789697998255464e-14,5.534540703619672e-15,7.982341744303691e-15,1.212084890678417e-10,0.8,0.2,0.21,0.79
0,1.049323311,915,298.1900998,585.9600943,102071.3232,0.24247845,0.2,0.6912957371762365,-2.630606847811246e-17,8.397621225971035e-17,1.513048015572868e-06,2.0436351424771968e-06,1.6653996829094294e-09,1.4839185614231306e-12,0.01675001647927355,0.2895217723382939,2.6205621474676017e-10,6.676980343165602e-10,-1.2279353810340138e-12,-4.60836745636506e-12,-3.5401729108419206e-16,-1.2294915750674331e-15,1.0335278622652066e-15,-1.4707539009187583e-15,-4.432984567141305e-16,-1.6859547260035415e-16,-1.2003158047805431e-15,-2.932824443084946e-16,-4.777448387255317e-16,-6.315964272339353e-16,-1.621598282891876e-16,-8.178643053400894e-16,-1.4592301461840884e-16,-7.129162076448565e-16,-1.4276684269619831e-16,-4.1798726567543623e-16,-2.561372219178119e-16,-4.0679941697846545e-16,-3.220417845937913e-16,-1.4951389469770673e-16,-4.821241916098539e-16,-4.60664223655138e-16,-3.7602137006827137e-16,-1.1951362546699427e-16,-6.678703585852052e-16,-3.5396567075444177e-16,-4.2028403005042716e-16,-1.4287300171463135e-16,-5.170787354504376e-16,-4.734714062974674e-16,-3.5987572013974836e-16,-7.941800141983806e-16,-5.12844334837157e-16,-6.233714997376097e-16,-7.6650165543763e-16,-1.3756828891687048e-16,-7.127011352523181e-16,-4.93513868348101e-16,-5.185631893249863e-16,-3.8343370112485735e-16,-5.578023654855213e-16,-3.1835926920845977e-16,-1.1736194425962379e-16,-3.891160067328741e-16,-4.822038451404199e-16,0.0024146354593099304,2.3327352225201703e-06,8.48310524460311e-09,4.0804454626008985e-07,1.1529889775565036e-05,2.359844529158426e-16,7.032966822293214e-14,6.511200218368203e-14,1.2192841133720762e-13,1.2003934308998903e-10,0.8,0.2,0.21,0.79
