,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,AR,N2,H,H2,HE,O,OH,H2O,HO2,H2O2,O2,OH*,N,NH,NH2,NH3,NNH,N2H2,N2H3,N2H4,H2NN,NO,N2O,NO2,HNO,HON,HONO,H2NO,HNOH,NH2OH,HNO2,HONO2,NO3,HNO3,CO,CO2,CH4,C2H6
0,0.687574701,909,296.4140845,493.613615,100791.432,0.218063218,0.2,,,2.2653087005707235e-15,0.7185479390169588,2.1551878255426734e-16,7.429159041248559e-06,2.67738033756213e-15,5.177334589440856e-13,8.168194381870817e-12,0.23010372966377443,2.0932613699135823e-14,3.562391880666143e-07,0.046156700626539204,3.8253493061551654e-16,2.1977176817810015e-16,1.8165161562714364e-16,1.6633873631046605e-17,2.2389547361508937e-13,3.8162295944975545e-16,-2.0573343547671098e-16,-1.5785797645644735e-16,-2.165996854440172e-16,-1.6429484773985793e-16,0.0049794975605776575,1.7361045024971268e-05,0.00011813193405210693,2.749420537777717e-09,-1.8877345939460068e-16,6.605754779346968e-05,5.053510239065244e-14,1.7994809430536724e-16,-1.4188390130528844e-16,3.073198994835201e-08,1.3157131229677302e-06,4.4688558383611e-16,1.4480035201301163e-06,2.2796356260263464e-15,2.2790075876368374e-15,2.2950994630106216e-15,2.2879950637189812e-15
0,0.69954037,906,296.23,427.1768713,101724.686,0.244875764,0.2,,,2.633302161581037e-15,0.7180384549526178,2.7986148324390166e-16,9.678805780869416e-06,2.1573482691741874e-15,7.631574065922461e-14,3.651397415445397e-13,0.23292744259058823,2.8533503809600552e-15,4.3108877883840236e-07,0.04367655957954571,5.290208812698967e-16,4.91554861559258e-16,4.819123437068228e-16,3.909223944687263e-16,2.8265270668803854e-13,5.286995342112991e-16,1.2709970134393504e-17,5.670460913361991e-17,2.2883355675743294e-17,8.620032690663032e-17,0.005128164040943224,1.4691170644982949e-05,0.00012495640263775142,4.72316960176497e-09,1.0572767644381386e-16,7.607550630875995e-05,7.508252852515718e-14,6.604972674955969e-16,1.014642261593233e-16,3.6792525781318776e-08,1.6603067478065207e-06,5.520749118556487e-16,1.8440388890279699e-06,2.572321763496782e-15,2.6776135605433984e-15,2.4627794149504598e-15,2.626926703738635e-15
0,0.701401031,886,296.45,499.5408805,100791.432,0.225991659,0.2,,,-6.031263716805812e-16,0.7174252071307363,8.121661009629938e-16,8.039006143554878e-06,-1.4892507843448114e-16,8.258817803607435e-13,1.4209569771843676e-11,0.23338832514104701,3.002214576692638e-14,3.670810888579145e-07,0.043731075670161275,1.675383208792908e-16,1.1575066278471645e-16,1.0288389459551445e-16,3.13872241312779e-17,1.3071417495367253e-13,1.6713789174857072e-16,-1.0521483803637874e-16,-9.217177869730909e-17,-9.23543752909711e-17,-8.557112270737858e-17,0.005248775512018422,6.2368911406281545e-06,0.0001198623414295997,3.4294843919679826e-09,-8.690966190365566e-17,6.924774051560261e-05,6.135155738951082e-14,4.1225697286877893e-16,-6.16712881217382e-17,3.2724430775428435e-08,1.343123071785033e-06,2.9966838480585437e-16,1.4841934754093097e-06,-5.970429439414353e-16,-6.178522109864145e-16,-5.767038051275955e-16,-6.256763055458318e-16
0,0.701552633,900,296.23,427.830636,101724.686,0.246122148,0.2,,,-8.373717984912907e-16,0.717881731397921,-3.0304411511597684e-16,9.774554528930375e-06,-7.101982253123025e-16,8.10689077818251e-14,3.9523647563109683e-13,0.23338838643088977,2.7464400302864552e-15,4.325834768349675e-07,0.043332753478013145,-5.554139753510662e-16,-5.087138461238146e-16,-4.981586351562064e-16,-4.1692665933528964e-16,2.5959988098279154e-13,-5.550704169185428e-16,-2.64815731087163e-16,-2.1753361527986726e-16,-2.8232823188684984e-16,-2.3443375485858146e-16,0.00516896264522326,1.2662157615143161e-05,0.00012516735170702142,4.865258019043214e-09,-2.8414492823881756e-16,7.657573143694651e-05,7.683800786950483e-14,3.9441276384395874e-16,-2.0108441384104088e-16,3.711735942901655e-08,1.6632508337286733e-06,-5.199671687223596e-16,1.8484349307541685e-06,-8.310066077622782e-16,-8.480877257334902e-16,-8.385403263151231e-16,-8.504439196555453e-16
0,0.718853047,865,296.5,503.8060847,100791.432,0.234770071,0.2,,,1.868036920320832e-15,0.7160780853259264,2.4496608781458237e-15,9.150965208473645e-06,2.074322239065721e-15,1.351766664135901e-12,2.4623767573641517e-11,0.23754721055396133,4.418355252482637e-14,3.869709605661367e-07,0.04063398490505672,-2.98855301801371e-16,-1.2876147555901368e-16,-8.794558450269535e-17,8.346115922117698e-17,9.565232226515409e-14,-2.971887237242781e-16,2.7635249076037695e-16,3.3245745162169326e-16,2.7980980036852884e-16,3.270470331019041e-16,0.005530988989904598,1.7695254210603093e-06,0.0001218551163422898,4.626156993613984e-09,2.94854619425498e-16,7.356682359899107e-05,8.166243367947801e-14,9.839170623086803e-16,3.0004762105182867e-16,3.540762460987928e-08,1.4022241688148577e-06,-4.2085724974428546e-17,1.5585394560546474e-06,1.887645733778339e-15,1.8194757478498382e-15,1.8929918314505843e-15,1.8098454659720723e-15
0,0.737818465,850,296.5586735,508.0607143,100791.432,0.240693564,0.2,,,-2.457182961872048e-16,0.71465166499163,6.062204440873956e-15,1.0600320626475001e-05,-3.2863247273278026e-16,2.172248941445836e-12,4.1851986475978497e-11,0.24205395371902616,6.57539119111236e-14,4.0901384959311875e-07,0.037286463276753674,6.856967944688309e-16,7.153688460576976e-16,7.185157718300494e-16,7.07050393289447e-16,9.634168424721821e-14,6.862116925766913e-16,4.515715035321837e-16,4.64969923539395e-16,4.454405304588183e-16,5.263534654886554e-16,0.005792100246609773,5.48947253627897e-07,0.00012314425620276807,6.337057129840847e-09,6.278207827346437e-16,7.797533899158227e-05,1.1117116608159544e-13,1.3533664088975529e-15,5.066333604613642e-16,3.81649456170561e-08,1.460999332667813e-06,9.989789076440376e-16,1.6343434092708356e-06,-2.4091902112565576e-16,-2.332976397351375e-16,-2.4515555938215594e-16,-2.2810558986048904e-16
0,0.748208474,835,296.14,436.6758924,101724.686,0.285810695,0.2,,,-2.6521727670206496e-15,0.7144044551677271,1.179268981022643e-15,1.5663585913622757e-05,-3.696553462172933e-14,4.690124073162256e-13,2.838443152203865e-12,0.2446652411493684,9.867939256706954e-15,5.309236009384503e-07,0.03481955571582137,1.2910090429702317e-15,1.131977424612569e-15,1.103343076807219e-15,9.308404367442516e-16,1.8590445532043162e-13,1.3005309874181934e-15,7.251496284514527e-16,7.315059195164821e-16,8.026638430402775e-16,6.900869000680618e-16,0.005866617421361181,7.6744356005133e-07,0.0001299780832688283,1.244090588025257e-08,7.139453000945742e-16,9.290675361881451e-05,2.0157251480009664e-13,2.485650503441005e-15,8.345628161999541e-16,4.741855566566345e-08,1.979364971465039e-06,1.3541210799992914e-15,2.2445276510800085e-06,-2.9197552061829036e-15,8.04159206482615e-16,-4.4636018881748905e-15,1.8727971274175436e-15
0,0.753396318,842,296.5925,512.5994444,100791.432,0.244478419,0.2,,,3.9082972031466485e-14,0.7135049030314446,1.3207195743026177e-14,1.2160679363641396e-05,1.1688852431573249e-14,3.3386720794508855e-12,6.760436043373676e-11,0.24576156976740884,9.719609268123813e-14,4.3003921744435806e-07,0.03454009168960651,8.695297709279808e-16,9.36790411198729e-16,9.508294797722399e-16,9.845781694927499e-16,1.1290885690420191e-13,8.781574942540516e-16,1.1981568792058519e-15,1.2199164140600724e-15,1.2346537634178765e-15,1.191346982926559e-15,0.005971981220154462,3.3731176708699235e-07,0.00012360964207779344,8.2873051991226e-09,1.1113450146838195e-15,8.16524540949978e-05,1.467280670726885e-13,2.4015983783180737e-15,1.2661423067779222e-15,4.045903103400144e-08,1.5131952976409392e-06,1.3392068676424169e-15,1.7021517284725302e-06,3.1299173660320104e-14,4.109584062382728e-14,1.6873811548405102e-14,3.348476628596565e-14
0,0.789254238,832,296.6725,517.4427083,100791.432,0.241887234,0.2,,,-5.985029266262132e-15,0.7110006203490155,5.3820369974401275e-14,1.668954682049326e-05,-6.091902037227993e-15,6.489211417933767e-12,1.3778090616665555e-10,0.2541046751370058,1.9520605443659887e-13,4.758835684410016e-07,0.028383812671677115,-4.482151979020297e-16,-4.196126841979257e-16,-4.1040142662116237e-16,-3.55504017105191e-16,1.736977571682018e-13,-4.478838504450141e-16,-2.243037533470014e-16,-1.9417858300379948e-16,-2.5007920109869747e-16,-1.8864934023295744e-16,0.006279526250731203,2.5583164718734757e-07,0.00012139742392102706,1.5092485221971535e-08,-6.3572301683414e-17,8.908439286984468e-05,2.739964038002901e-13,2.148800395787307e-15,-1.5542456363836426e-16,4.510070538668934e-08,1.5904355905694967e-06,3.0030503686573655e-16,1.8117390330430943e-06,-6.356990533981095e-15,-5.756260215671167e-15,-6.8318035557583916e-15,-6.135769883059842e-15
0,0.797442954,848,297.4281609,444.1426108,102071.3232,0.213927657,0.2,,,-2.0046784165197643e-16,0.7111092879326256,1.9829539205484262e-16,1.4695251644986577e-05,4.3502970667081834e-16,2.2833584830404613e-13,1.954851576482223e-12,0.25474321762690294,9.377066845805303e-15,4.5464460929236617e-07,0.027600290480625105,-4.0281144192052503e-16,-4.2989053637851853e-16,-4.3674851259740427e-16,-4.735369780049235e-16,1.5587518025755755e-13,-4.0307009994275053e-16,-1.8475427262160568e-16,-2.405115282158949e-16,-1.8962360408382883e-16,-2.4563494356570785e-16,0.006320361991703833,2.278304492596969e-07,0.00012020625244565129,1.4165348845028991e-08,-1.7343738690686916e-16,8.794377791737679e-05,2.2391948659075872e-13,1.691495308705717e-15,-9.638956134752757e-17,4.4676971591455934e-08,1.5224611768105796e-06,-3.713707475299017e-16,1.7329050081662399e-06,-1.801485161976828e-16,-2.4418499521856614e-16,-1.396647638710187e-16,-2.5983342152459997e-16
0,0.799709379,839,296.21,442.4595575,101724.686,0.306345165,0.2,,,2.02016763028444e-15,0.7108409893266989,1.1647408228627662e-14,2.7550443390214845e-05,2.006331070117708e-15,2.051549147011811e-12,1.3991337474386294e-11,0.25687495670520116,3.7951513236775835e-14,6.51887383615705e-07,0.025692218236398463,3.3471789044747985e-16,3.058617560885721e-16,3.0207736643546386e-16,2.8840994561543136e-16,4.1093487454731237e-13,3.3513214285211393e-16,2.1189512187767803e-16,2.2157591230770585e-16,1.836859731637489e-16,2.249314044677681e-16,0.006324094350873693,3.164454118780482e-07,0.00012454503770751847,3.479560678647631e-08,9.48624090952801e-16,0.00010977217267835731,6.60963310416928e-13,6.3268460971140184e-15,4.502886842905629e-16,5.8131916206961926e-08,2.2264826751209717e-06,5.555889699528183e-16,2.5859668709250144e-06,2.0178753659508314e-15,2.0236369204609437e-15,2.0126213526634963e-15,2.0342074228972692e-15
0,0.805892891,842,296.7090278,520.5979167,100791.432,0.236942403,0.2,,,5.340262042974485e-16,0.7098810952999185,1.1191414479805473e-13,1.95780636079561e-05,1.0092275199546926e-15,8.862129764954846e-12,1.9278117573960022e-10,0.2579145394957982,2.884407782269531e-13,4.974941585020763e-07,0.02559683413677187,3.3219337475043997e-16,2.0349421467258615e-16,1.6674885258707955e-16,1.93762420971708e-17,2.196306610720414e-13,3.311008756988322e-16,-3.680801107309041e-17,2.3171248228445866e-18,-5.332871120923913e-17,-1.6932747484085778e-18,0.006372865248497667,2.440534301827443e-07,0.0001186703419717554,2.0142768886541865e-08,2.239948276098756e-16,9.216436663594301e-05,3.799410614383236e-13,3.3041899113069427e-15,5.2193344859396624e-17,4.6994408815522986e-08,1.605083007108253e-06,1.2558651899287453e-15,1.839076371880776e-06,5.445969000583454e-16,5.459436565283473e-16,5.567363644944773e-16,5.396539312896776e-16
