,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,H2,H,O,O2,OH,H2O,HO2,H2O2,OHV,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,N2H2,H2NN,N2H3,N2H4,H2NO,HNO2,HONO2,HNOH,HONO,HON,NO3,N2O4,N2O3,CO,CO2,CH4,C2H6,HE,AR,N2
0,0.5693312977,851,294.8909090909,490.855785124,101325.0,0.2355261907,0.3,,,2.828541616482501e-06,3.99297885810027e-15,3.041038940634214e-15,0.06940937452002968,4.9242583294910975e-14,0.20019889488753076,1.3352188980890488e-14,4.642442552754242e-08,2.6694919438867228e-15,2.9660513651990185e-15,3.1220547851207283e-15,2.1918972500435164e-15,1.1723698274472617e-10,2.6761778917985757e-15,0.005133595256835317,0.00016777729368697895,0.00035421521685266864,1.8171656053890093e-12,-1.521276108062332e-13,3.0079396225081543e-15,2.8703886585865852e-15,2.803775031308068e-15,2.8349905768254276e-14,6.6912128744841625e-09,-2.444140043757541e-14,3.976433826010261e-15,2.0704226520619218e-05,2.880648886170335e-15,1.0857760395471418e-14,2.033127735737841e-11,6.561092320653447e-15,-2.6413758949695277e-14,-2.549509364771824e-14,-2.7010753278825033e-14,-2.514615612779794e-14,-3.5516668014391534e-14,-2.641904085880042e-14,0.7247125568021019
0,0.5849537388,848,294.8995867769,502.779476584,101325.0,0.2474909619,0.3,,,2.8738726319237695e-06,3.280737830867761e-17,1.1274945498895926e-16,0.06657777916756118,7.147946316895654e-14,0.2041159039056346,1.3675024106143576e-14,4.724501533737919e-08,3.3586043612693205e-17,8.870083046055115e-17,4.009776878362289e-17,1.1877039224313166e-16,2.2586536079707166e-11,3.3895896608416616e-17,0.005533838846459957,0.00016822551019815842,0.00017973998260996065,3.2542551840200612e-12,3.86265212107942e-15,8.078438671057922e-17,6.23478783189221e-17,4.643970724580104e-17,9.950096840864422e-15,7.078515160660667e-09,-2.10184731863939e-15,2.1737476753285975e-16,2.2067074175881838e-05,7.766295565116314e-17,9.081273269047392e-15,1.481783467942457e-11,9.7916877076803e-15,-2.07344807025977e-15,-2.091870367522543e-15,-2.072963475396866e-15,-2.0979537801467098e-15,-1.932497046343393e-15,-2.0784638724190088e-15,0.723399517276435
0,0.5990618824,844,294.9847107438,501.838292011,101325.0,0.2497325936,0.3,,,2.826218804365918e-06,-1.111978178408386e-16,-1.2546158002445805e-16,0.06411867659123245,8.466160937034305e-14,0.20746211715184426,1.7621920679536017e-14,4.71694031818913e-08,-2.116308711594972e-16,-1.8548756870509451e-16,-1.9894401724398367e-16,-1.442503376907069e-16,5.099812425952411e-12,-2.1165081607278407e-16,0.005856341112843465,0.00016708399052237227,8.313337109354323e-05,4.6412886392126604e-12,9.58310394262286e-16,-8.754362706298033e-17,-2.0205045527724378e-16,-1.1449076075923203e-16,2.926744817533705e-15,7.369806685277588e-09,9.784950787474202e-16,-8.743775927578615e-17,2.30488003102182e-05,-8.327388383866478e-17,8.343014796625533e-15,1.489739295876491e-11,1.094440995594511e-14,7.944638963857254e-16,8.840184461469607e-16,7.309454120908338e-16,8.619876228532233e-16,5.845673102983611e-16,8.261172728863447e-16,0.7222867181993716
0,0.6146893744,841,294.247107438,513.4840220386,101325.0,0.2571891743,0.3,,,3.0082032664069905e-06,1.5894112156634185e-16,1.3853423598219736e-16,0.061185823588707916,1.6567457807839824e-13,0.21146411074238475,2.936821446305202e-14,4.908646728956614e-08,6.445366099945562e-17,1.0089634353776824e-16,1.0156928176892518e-16,1.19208944618884e-16,1.6833062428478552e-12,6.469063594867341e-17,0.0061818420616733035,0.00016945892009517015,3.426817556554785e-05,7.864835451637783e-12,9.578993805045319e-17,8.980106427050128e-17,8.29582424750912e-17,9.286729825233589e-17,2.023604536681373e-15,7.70654010389154e-09,1.680679020147975e-15,1.3014691513729507e-16,2.4408587971577477e-05,9.17418275992639e-17,9.911498172905989e-15,1.136583303851225e-11,1.2958659196776087e-14,1.3300584848202961e-15,1.5106660844932551e-15,1.172192059920287e-15,1.4491273222799372e-15,8.939026081773693e-16,1.4181958067270609e-15,0.7209370229061833
0,0.6451290048,860,293.8851239669,518.4333333333,101325.0,0.2668492837,0.3,,,3.5676586520464916e-06,1.360068230529902e-16,7.028051707672125e-17,0.05555089257056104,3.4601646428494313e-13,0.2190204401687929,6.225243200533534e-14,5.500530137526136e-08,-3.51473430628512e-17,4.374600706029857e-18,-1.650117793166823e-19,2.0309825548884914e-17,2.9222718987283226e-13,-3.476740625455711e-17,0.006760589678726029,0.00017772973303065048,4.054328418528016e-06,1.9471508359405565e-11,-2.9580817592776675e-15,4.5727534820705585e-17,-1.4049411584885844e-17,5.4846590675778284e-17,1.8459665208056054e-15,8.378532582737847e-09,2.402248264548945e-15,8.041161716414752e-17,2.7491634738068368e-05,5.2240639285167295e-17,9.950795113056997e-15,1.0962186401668435e-11,1.610028686953419e-14,2.3559328219207334e-15,2.374487069633233e-15,2.353892224191376e-15,2.38802270479757e-15,2.31781100377733e-15,2.355704237721718e-15,0.7184551708120708
0,0.7002137561,879,294.1599173554,494.6993112948,101325.0,0.2818359501,0.3,,,5.856958983823981e-06,2.2743209360328193e-16,8.700083351654044e-17,0.04540989248625258,6.595060216883008e-13,0.23233301447401716,1.8366924750478846e-13,7.530719099703292e-08,-1.717465737584159e-17,4.225164639043668e-17,4.601204814745014e-17,4.039768021028266e-17,1.5834859813237032e-13,-1.7038015293619787e-17,0.007639714559379894,0.0002028844974136634,1.541797829190914e-07,9.219972727100688e-11,-4.999559395659468e-15,6.76593411696101e-17,2.5562803127546406e-17,3.8428217271555684e-17,4.4849940289507586e-15,9.6464171450008e-09,2.5786709502987033e-15,1.2622904524114921e-16,3.503243076020607e-05,7.210750130448339e-17,6.274094078113703e-15,2.5301318172120663e-11,2.208528150465227e-14,2.494578114814212e-15,2.5380560848183423e-15,2.4843572311841845e-15,2.5546843634749555e-15,2.4876139721080875e-15,2.4860894152527816e-15,0.7143733653412526
0,0.7501325861,902,294.4524793388,504.3887052342,101325.0,0.2999479385,0.3,,,1.0521608655931724e-05,-8.298706426055259e-16,-1.0145738396248532e-15,0.03611653795939001,2.5400786699290632e-12,0.24469664481148526,6.475262578678013e-13,1.0264097853298551e-07,-1.7924962777989875e-15,-1.4469380695069714e-15,-1.6950220609617448e-15,-1.1212238336320124e-15,3.633986782060614e-13,-1.791424299471996e-15,0.008239349053745747,0.000225369122419875,1.386533570598406e-07,4.109014561742263e-10,1.2562726418493005e-14,-5.298854546977012e-16,-1.5037406834667296e-15,-6.399232915974631e-16,1.3742863381058046e-14,1.0625987077263025e-08,-7.32361486488538e-15,-4.43482675955745e-16,4.284959126603348e-05,-5.444127215611728e-16,4.758946452034254e-15,2.380011906413651e-11,2.453001772986041e-14,-7.137078696814618e-15,-7.228108170252447e-15,-7.117722661943165e-15,-7.25135478897656e-15,-6.753111118756278e-15,-7.138550080348952e-15,0.7106684754944694
0,0.7992536035,887,296.5227272727,512.2807162534,101325.0,0.3048324033,0.3,,,1.945079765622863e-05,3.2127663602617995e-15,-2.5086574082705015e-16,0.02734708381142941,8.427315511850813e-12,0.2564795526957025,2.0128786629733103e-12,1.3666822728781755e-07,-1.485451743214907e-16,-1.994276830508739e-16,-1.7089274132118383e-16,-4.2077793398538676e-16,8.808103476157506e-13,-1.4843128521055488e-16,0.008627378576016361,0.00023512453452521396,1.4674809793908125e-07,1.664967127696926e-09,-2.8488892585090766e-14,-4.834572405191284e-16,-1.9910323154801028e-16,-5.51578914254348e-16,3.8935139690503204e-14,1.1308935888092217e-08,5.42276627284423e-15,1.579916614376717e-16,5.0869449640228036e-05,-4.53959979379516e-16,5.663615480798739e-15,2.092278679646419e-11,2.4436443172352805e-14,2.5571751147720144e-15,4.053628280861526e-15,9.238058006888993e-16,3.3208018279574095e-15,-1.4503489796234294e-16,3.4162431867303e-15,0.7072402437124974
0,0.8499536174,933,296.5123966942,524.6681818182,101325.0,0.3411800701,0.3,,,4.653630457923119e-05,1.4061595988682068e-13,3.8770117138142095e-15,0.01813215440215232,4.7332162691229124e-11,0.26900285147820735,9.38295385392603e-12,2.0566082310577676e-07,1.5425646841827171e-15,1.6838371962238302e-15,1.6956682475977741e-15,1.550472638142011e-15,3.1724057172875632e-12,1.5424805235969299e-15,0.008760049814794535,0.00021892024951226138,1.648801089496763e-07,1.0841478286431073e-08,-1.0940476114727612e-14,1.1222730246326535e-15,1.6889911498160988e-15,8.643701183230243e-16,3.3612422838395933e-13,1.1610699583483566e-08,1.1873896446000586e-15,5.968941251548286e-15,6.355205194061509e-05,1.1396577569232988e-15,7.004582229004861e-15,1.3213227382468095e-11,1.644263650348145e-14,1.329270540915222e-15,1.2781462868127276e-15,1.3628624019122032e-15,1.2236478561321717e-15,1.7816327678280403e-15,1.3543327083771784e-15,0.7037755426320815
0,0.8501729796,932,294.7871900826,523.6608815427,101325.0,0.3394528477,0.3,,,4.650787521413916e-05,1.3756899287988954e-13,3.0070017365272286e-15,0.01808709247650042,4.622568138450927e-11,0.2690762894046218,9.3085146591322e-12,2.0536067710728003e-07,-4.460431733826002e-15,-2.280198086525568e-15,-2.6335928630534444e-15,-7.451042966831757e-16,3.1674967066787654e-12,-4.455718814974335e-15,0.008738149404208024,0.0002183839956130292,1.6467032681778254e-07,1.0821554744541935e-08,-3.0101361735603044e-14,6.130302225483136e-17,-1.7809002256851132e-15,-1.1112922562120981e-15,3.32530891531742e-13,1.1585196564240622e-08,7.076801854649993e-15,4.7271315895240515e-15,6.342274896412565e-05,1.2111272587951167e-15,2.6122705943454194e-15,1.3455051670133666e-11,1.682780881099225e-14,6.9252127258297435e-15,6.950691047549992e-15,6.908620038469704e-15,7.040958466287604e-15,7.129672913107089e-15,6.9103294704930275e-15,0.7037697615844666
0,0.9003379917,952,296.5417355372,537.370661157,101325.0,0.3723374876,0.3,,,0.00015310776554510456,4.179441878597758e-11,1.2457237582762144e-13,0.009268261921682175,5.113140910434798e-10,0.2812601933988459,8.553147939816893e-11,3.186273321154092e-07,7.47838081956053e-15,8.23514521745806e-15,7.982307563663791e-15,8.070499915092842e-15,2.0531073788635374e-11,7.482563100112914e-15,0.00858999413376703,0.00013220348560894504,1.9916472827943248e-07,1.5882880555135654e-07,2.384964635641575e-14,3.933418454851689e-15,8.159624195024957e-15,2.2443329830790545e-15,2.351764028496844e-11,1.1208083646484312e-08,2.7855855795323494e-15,3.1208876482169174e-13,8.246665810078604e-05,5.785464945251081e-15,1.1413350148470935e-14,3.5553418312294894e-12,8.98634773321582e-15,2.472447694715969e-15,2.6135228013991002e-15,2.5169443010546745e-15,2.6647390020535865e-15,2.9364915376824827e-15,2.5084995406392484e-15,0.7005130841206975
0,0.95007358,926,295.0202479339,550.9841597796,101325.0,0.3987996189,0.3,,,0.0012614382377925829,6.966200437515561e-07,1.5541660813717195e-11,0.0014876368756317926,1.2236561473457913e-07,0.29194936164330243,2.1926483398525007e-08,2.1016483912527922e-07,1.7022369259168032e-14,2.1745968829066753e-14,3.908764460003615e-14,3.4994803677300914e-11,3.065142384206203e-09,3.4156606414031483e-14,0.007966616420136737,8.064784315296053e-06,2.512834906992074e-06,1.3828941411748004e-05,2.5230549904618947e-14,4.343815117222997e-14,2.3833229812365874e-14,2.6698432817989488e-14,3.6949646188775106e-08,8.26388441088957e-09,1.9487751287672643e-14,9.879125895190142e-10,0.00011804919344365486,1.7331595796668902e-12,2.2913528340605914e-14,2.6798252977295654e-14,2.404051408608124e-14,1.9073444922626303e-14,1.918928605026435e-14,1.864155680988011e-14,1.897134157748157e-14,1.898899098284132e-14,1.9131282131500427e-14,0.697191390672784
0,0.9994480409,908,296.4640495868,565.4217630854,101325.0,0.4256860549,0.3,,,0.008944156780816911,4.881228036115459e-06,4.5447907734674735e-12,3.314210149271655e-05,2.2123045251315837e-08,0.29187767421706245,3.5462545594940325e-09,8.44226636616403e-09,5.53888778668059e-15,5.913492628189086e-15,3.8227606530770723e-13,2.5545820618514243e-10,5.647537789373873e-08,1.3705021193926023e-13,0.006888198460378666,1.5298214305087627e-07,4.967257501421462e-06,2.260935457578165e-05,3.384012655838389e-14,1.6772956004692936e-13,4.418226581211347e-15,3.971548859519019e-14,3.732758526185273e-08,2.5841975139525383e-09,5.613616429467236e-15,2.688532452713865e-09,2.1872994757515733e-05,8.459037064024854e-12,4.326472818207958e-15,5.533813257972057e-15,3.929619671887132e-15,5.5191492055792045e-15,5.560103044994889e-15,5.495887978840478e-15,5.577601691203964e-15,5.88611864509437e-15,5.4864961332563715e-15,0.6922022111666847
0,1.0003341351,906,294.1818181818,542.9409090909,101325.0,0.4244883971,0.3,,,0.009044526174779601,4.097002390073842e-06,1.4426578492523531e-12,3.1468858948543135e-05,1.763036569537932e-08,0.29159167623069127,3.0534884171295753e-09,8.218556260277005e-09,1.1459054719472853e-15,1.5686304558655811e-15,1.9710135177145356e-13,2.317105897769509e-10,6.535752723777819e-08,9.584983574609659e-14,0.006847060138967541,1.5288046302940985e-07,5.164903404766956e-06,2.4205115502828953e-05,3.1983171387058973e-14,2.0421896026753113e-13,9.334781461301668e-16,6.161606156228e-14,4.504430607087439e-08,2.538629191891592e-09,-1.0417595285021483e-14,2.897816297288091e-09,2.1490985990485e-05,8.227219019293228e-12,8.608014566787188e-16,1.1447096253155823e-15,-3.051362455863462e-15,-1.0268748942715945e-14,-1.0383370529293851e-14,-1.0275407952721464e-14,-1.0371951663229323e-14,-9.83575530510114e-15,-1.0303787394067574e-14,0.6924300127262707
0,1.0499704473,883,296.3446280992,578.5548209366,101325.0,0.4452224344,0.3,,,0.01916908242947764,7.70895441523736e-06,2.44504595469383e-12,3.928010033332048e-06,8.299297436174116e-09,0.2890788212540767,7.777890526096379e-10,1.8553193856039262e-09,5.416367461055619e-17,7.668016095035515e-15,8.733980863495167e-13,2.937117877920472e-10,1.6435522982176328e-07,2.0991512504679277e-13,0.005482434950260698,2.0176868307901155e-08,3.904514993835409e-06,1.8836737375759435e-05,4.414789665640445e-14,1.1984242649439804e-13,1.0507824243354264e-16,5.451244361133509e-14,2.2567719108123518e-08,1.08131239977802e-09,4.0523686981661304e-16,2.3603475676676718e-09,8.730674584217397e-06,9.462515796247925e-12,8.991996506325282e-17,5.439929124025037e-17,1.5597547428615363e-16,3.8554632698270347e-16,4.1871535810147743e-16,3.4756580982772773e-16,3.849901463440987e-16,2.925142461348185e-16,4.1357373885744705e-16,0.6862263306939673
0,1.0502380028,881,295.0607438017,576.852892562,101325.0,0.4436601141,0.3,,,0.019213072811470736,7.6022244955549695e-06,2.2529672976509847e-12,3.878175555244948e-06,8.084240991446336e-09,0.2890590237038689,7.639140933069419e-10,1.8400640454753744e-09,1.1298590348500543e-15,8.198265063770123e-15,8.347276245477927e-13,2.9106339762474035e-10,1.6592236625119752e-07,2.0504269887009715e-13,0.005464398301496357,1.998381205177862e-08,3.90419428512702e-06,1.8900333420400286e-05,4.417199247028218e-14,1.2222333640037494e-13,1.0924649023097054e-15,5.467669225953705e-14,2.282641379497615e-08,1.0748051086166377e-09,-1.2795737947002742e-15,2.3706655141790758e-09,8.672308176578502e-06,9.408387239371622e-12,1.0306207858984594e-15,1.1300589381058979e-15,-4.511052988290625e-16,-1.57011757911093e-15,-1.4325656971303314e-15,-1.708512249126931e-15,-1.4865489789507788e-15,-1.7857117728886852e-15,-1.4939220205755254e-15,0.6862203247769624
0,1.1004531704,856,295.0657024793,581.5351239669,101325.0,0.4429643273,0.3,,,0.02937191217532723,1.206482474248695e-05,2.9251319457185034e-12,1.0493562851332285e-06,6.880018535418995e-09,0.2861846193330998,4.2220434988164994e-10,8.111953309399924e-10,-4.755602862140049e-16,3.1308318675740316e-14,1.6632674838969774e-12,3.144365404939298e-10,3.599670065696758e-07,3.132937839429809e-13,0.0039937421616405445,6.158414099205113e-09,2.8529184168706407e-06,1.5115072484411777e-05,6.617986866445953e-14,8.544251151538823e-14,-3.202173173978422e-16,6.330524502360461e-14,1.3785998699609061e-08,5.352649013115784e-10,-1.5696836355979132e-15,2.0163108845038804e-09,4.93103585973041e-06,1.0209836841468069e-11,-2.0460878369236369e-16,-4.737812310233077e-16,-8.514145870094342e-16,-1.5252574004243018e-15,-1.5476947178009905e-15,-1.5108258677001108e-15,-1.5517785378770402e-15,-1.3610637340294053e-15,-1.529859714346768e-15,0.6804133222159491
0,1.1499367472,806,295.1190082645,583.3253443526,101325.0,0.4288611242,0.3,,,0.039365258422584565,1.9411557672900047e-05,6.7298381937604895e-12,3.750722595644637e-07,7.107356989977419e-09,0.2832180807233644,3.289404585743231e-10,4.325658132541397e-10,-2.7528554117288273e-16,1.4794206792228065e-13,3.177050899197477e-12,2.965751807926231e-10,6.392234080282379e-07,4.877951411350261e-13,0.002668941481585608,2.39968803106529e-09,1.902134422351991e-06,1.1144331453211115e-05,1.0606767320954713e-13,4.9358931709271776e-14,-3.0104634256609693e-16,6.60027892382123e-14,8.209535430501122e-09,2.629798963909783e-10,8.934902172388022e-16,1.5680810933674102e-09,2.904533989247966e-06,1.0277456706526442e-11,-4.0287600989656054e-16,-2.768512622241235e-16,8.469129218942367e-16,9.311814295279541e-16,9.113035619623098e-16,9.40820699148141e-16,9.137701753527445e-16,1.0050192131693718e-15,9.36360973888008e-16,0.6747113218924898
