,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,H2NO,N2H2,HONO,N2H3,N2H4,NH2OH
0,0.7002137561,777,294.1599173554,494.6993112948,101325.0,0.2818359501,0.3,,,4.448759557993287e-06,1.4670592313432158e-10,1.518262796744474e-08,0.04244152954558764,9.85867416085824e-06,0.23637547608060672,3.017495788839956e-09,3.845787103150137e-06,-1.155830759331563e-15,-1.1609533442446466e-15,-1.1280154949323973e-15,-1.16310706913631e-15,-8.015561244781555e-16,-6.426472696868651e-16,5.3279826204674164e-15,-1.025563066568585e-12,-1.0930565118254002e-15,7.538445013144723e-16,-1.1445054933269916e-15,-8.416236341781823e-16,1.3080252080298745e-16,-1.158025130780796e-15,-8.657985768586281e-16,-1.137283348581375e-15,2.6742467608368042e-17,-8.960191869998376e-16,-6.260341139851483e-16,-1.1178151604649021e-15,-6.39850968797513e-16,-5.046154456035453e-16,-1.1107293422437986e-15,-1.1185902784164655e-15,-1.0796919923476761e-15,1.9294074346099257e-13,-1.1602360444336685e-15,0.006546045304828168,0.00011487120278751266,1.5259839613766988e-05,8.941993875991522e-09,-1.1434813559159132e-15,-5.448307532340058e-16,-6.397511312716098e-16,-1.143863202057169e-15,9.135905470924127e-16,-4.66992737384855e-16,2.1510886346524361e-16,-1.0764800162980159e-15,0.7144724176097242,-1.215240846136866e-14,-8.509832006670396e-16,-6.174915791487769e-16,-9.686724812893913e-16,-7.537579276931876e-16,-9.380815177597967e-16,-7.108044547607475e-16,5.134827473809066e-06,-4.764599954898636e-16,-5.509282820973732e-16,1.1085080601182864e-05
0,0.7501325861,813,294.4524793388,504.3887052342,101325.0,0.2999479385,0.3,,,6.892912547933415e-06,3.395172051699893e-10,2.125221334951215e-08,0.03372593222155864,1.2078226979805909e-05,0.2481019931486061,4.028848169011759e-09,4.47820017342302e-06,3.860473475165057e-16,3.9607271837883567e-16,3.3684684107671686e-16,3.995556331215127e-16,8.996339253952378e-17,2.08282873440051e-16,-1.0008129577164706e-15,-3.19560946817197e-14,2.6263433516467417e-16,-3.01541819341026e-16,3.6227163254847883e-16,1.7227067803866838e-16,1.3277125296183591e-16,3.9031664703809237e-16,2.9330158085962574e-16,3.4575236987576734e-16,3.039279922867912e-16,1.7514286086701907e-16,2.0679761263742806e-16,3.096122816536983e-16,1.9902786922453656e-16,1.9331506747867579e-16,3.0000827020146525e-16,3.189462909081083e-16,2.6658670697577694e-16,1.1511390454486542e-13,4.053681147570731e-16,0.007305811299152543,0.00012073744294537789,4.617594836369585e-07,1.8504852406078793e-08,3.5845855398534553e-16,1.22215177563294e-16,2.1959758413006177e-16,3.594338623861044e-16,-1.6493033604878324e-16,1.9042274979139206e-16,-2.89167357528396e-17,2.393506648356667e-16,0.7107070696500183,-1.508034246042988e-15,1.8123272012737808e-16,2.0771190557583612e-16,1.2890605148580852e-16,1.870515273094526e-16,1.8384189070347389e-16,1.9343659447940544e-16,3.961173291208508e-06,2.6825460083994717e-16,2.483829151992034e-16,1.053983972209799e-05
0,0.7992536035,883,296.5227272727,512.2807162534,101325.0,0.3048324033,0.3,,,1.2106889260548621e-05,8.683969130031129e-10,2.931136167580748e-08,0.025269264918748615,1.440681480408767e-05,0.259531775113645,5.448667212533113e-09,5.205716190241951e-06,-7.471232021216088e-16,-7.498530799325908e-16,-7.25960175695608e-16,-7.512102023190579e-16,3.086423529068485e-17,-1.204393024292081e-16,6.114449237237882e-15,1.419157357262789e-12,-6.784009531950286e-16,1.3956741513385768e-15,-7.316027600022852e-16,-1.737713746545484e-16,3.057362003910769e-16,-7.483424041584711e-16,-2.847878900579671e-16,-7.219022489012996e-16,1.6093602389888646e-16,-1.509640218864404e-16,-1.629249803027722e-16,-6.98593293705533e-16,-2.2591304489969136e-16,-2.561815351827547e-16,-7.006415239476042e-16,-7.098331647384047e-16,-5.648518163003773e-16,3.0602732756324125e-13,-7.296491982821564e-16,0.0077846591763511665,0.00012036491697995013,1.6395804865629977e-07,4.202831687717283e-08,-7.316294978606071e-16,-2.0597278626483555e-16,-3.9791500249781276e-16,-7.320912935873767e-16,-1.0155672899534619e-15,-2.6106478308530356e-16,7.1117907087301e-16,-6.658890672065005e-16,0.7072487019353273,-4.757379268320182e-15,-1.9077246564193982e-16,-1.7032995054723684e-16,-5.3823182216182e-17,-1.8197764885729887e-16,-2.1736448435379483e-16,-1.8509949550477272e-16,3.116662679659043e-06,7.802768764470581e-17,7.406760369685327e-18,1.0156239508488555e-05
0,0.8499536174,938,296.5123966942,524.6681818182,101325.0,0.3411800701,0.3,,,3.010838256780968e-05,4.1729635707072824e-09,5.100046036378627e-08,0.01606691616639686,1.8561841357525568e-05,0.2720368542280697,9.29737498235072e-09,6.458082880057416e-06,4.331259419025348e-15,4.625972442141925e-15,3.67655706335816e-15,4.70938052610694e-15,3.0689529055005387e-15,1.6833091754476747e-15,-1.7598785230154975e-14,3.685120393135206e-12,2.5969141581147304e-15,-2.7396908646765094e-15,3.841001403655874e-15,2.8750419650573154e-15,-2.4282723599179047e-15,4.47187585942555e-15,2.1974761049540677e-15,3.7094124476498706e-15,-2.1506642912588332e-15,2.879607772881518e-15,2.1229632988437006e-15,3.686075017362188e-15,2.397699301234195e-15,2.0548148884296164e-15,3.5055904546468342e-15,3.7690449433082335e-15,4.107578156794986e-15,1.7298695947584918e-12,4.814867335675664e-15,0.00797875283071563,0.00010396521531517052,1.8778590069796462e-07,1.5331515587343533e-07,3.6796146008952e-15,5.3164343827977886e-15,2.6405609226963415e-15,3.7469060342604625e-15,8.709516066074942e-15,2.366167969296341e-15,8.266337116502803e-16,3.2827851766046613e-15,0.7037449893352501,1.3111619348864441e-15,3.425101003635379e-15,2.272881091619989e-15,3.856415962159649e-15,2.8721363638587802e-15,3.7743922882401655e-15,3.3835261168769268e-15,3.0150249996394947e-06,-4.561493251081734e-16,2.5193125672401246e-15,9.973315077647864e-06
0,0.8501729796,939,294.7871900826,523.6608815427,101325.0,0.3394528477,0.3,,,3.0148668344378952e-05,4.124465536212782e-09,5.03584073495128e-08,0.016010705584635795,1.8467764214147674e-05,0.2721216517236952,9.236834410644225e-09,6.45990626411407e-06,3.820814731819203e-15,4.111321768801443e-15,2.9708696281664334e-15,4.179837084509387e-15,-8.217024836946904e-16,1.0516535686310502e-15,-2.3298271984897672e-14,-3.907762071360547e-13,9.579479173347874e-16,-6.854315579886238e-15,3.0884690384387418e-15,6.032688781434595e-16,2.117874828060851e-16,3.971461177620089e-15,1.0495995624244238e-15,2.7050507159173387e-15,2.4342274702862865e-15,6.169956302341267e-16,1.1299984246983148e-15,2.5187584733037816e-15,7.803053902602485e-16,6.462071573199186e-16,2.4590803643893077e-15,2.880065083433931e-15,2.06706161366847e-15,1.7350766714241083e-12,4.2881800334686634e-15,0.00795486383492481,0.00010370618394613591,1.8772362387752484e-07,1.5326452194007668e-07,2.8718801023019955e-15,-1.1327547496223313e-15,7.770975784936454e-16,2.979129234268307e-15,-7.24074909194137e-15,4.625456259578435e-16,-3.78135273308527e-15,1.7131962725972287e-15,0.7037405983406021,4.123182986609654e-16,6.522626305110801e-16,1.0535830339361348e-15,-1.8912418541708293e-16,7.611335396902122e-16,7.007186469857855e-16,7.014340897319534e-16,3.013686245583093e-06,5.673752051740014e-16,1.3829849918092173e-15,9.979597910306727e-06
0,0.9003379917,943,296.5417355372,537.370661157,101325.0,0.3723374876,0.3,,,0.00011592608416756838,4.835887438560149e-08,8.63719558241516e-08,0.007200593249791282,2.2721242330859096e-05,0.2842892352783119,2.0237545035742586e-08,7.493211283237574e-06,3.567013507792015e-16,3.130524460357663e-16,4.367000643965079e-16,3.0416867505432226e-16,4.879339973104123e-16,4.244598439046734e-16,-2.545066984843849e-15,-9.820228672328097e-13,6.35287940969803e-16,4.0735795814377385e-16,4.58669596018522e-16,4.132921072424177e-16,5.19529186226012e-16,3.301811366669134e-16,3.2763167910579387e-16,4.888770463850463e-16,5.943678401269637e-16,3.786016207517385e-16,4.246231506859877e-16,4.667631756641031e-16,3.955265040171663e-16,4.478657784714311e-16,4.797967689556978e-16,7.930357652148498e-16,6.4489832643755325e-15,2.286996002835621e-11,2.638746393183314e-15,0.00782229697075439,5.4529903295987054e-05,3.556793149746676e-07,1.228143280859094e-06,5.03730639683189e-16,-8.89378941711655e-18,3.9503682645275346e-16,4.790252523761484e-16,-2.5241712261554085e-16,4.235927178880264e-16,8.488450412371371e-17,5.038843098743441e-16,0.7004715834152118,-4.142151132058262e-15,4.230623733570239e-16,4.1950715185586584e-16,4.164815070438342e-16,4.122112513458052e-16,4.47134550921395e-16,4.822160348025056e-16,3.9373007642329936e-06,1.8006070234791358e-15,1.5455325985511768e-14,9.944531195793847e-06
0,0.95007358,927,295.0202479339,550.9841597796,101325.0,0.3987996189,0.3,,,0.0022236698763195106,7.479468213564155e-07,4.316638658980003e-10,0.000536678411288345,1.1095768723696256e-06,0.2931715779664077,1.2872424249233675e-08,1.4869038141103036e-07,-2.3457610795009505e-14,-2.4982229166646485e-14,-2.1944415007595556e-14,-2.5228912534446745e-14,-1.1572997634325575e-14,2.5862819709652e-14,1.1627819758115739e-14,7.391585863303292e-14,-1.7690611747467675e-14,1.5222341794148973e-14,-1.9588311662649916e-14,-1.614281540955278e-14,-1.9324498817080146e-16,-2.4526537185366705e-14,-1.5175280174723264e-14,-1.9221023439218372e-14,-6.981328513184551e-15,-1.7049181421737352e-14,-1.0547703913318884e-14,-2.15213834435053e-14,-7.9089016290275e-15,-1.553741325978121e-14,-2.1045064824035018e-14,-6.997542157890372e-16,6.982589316707832e-14,5.842884008935357e-09,3.0192172863921616e-14,0.007154962885598305,2.7121131935160406e-06,2.9936380674581353e-06,1.7420812659466748e-05,-1.7837124842414346e-14,-4.113024021658112e-14,-1.510260020514931e-14,-1.8935920943424794e-14,2.420667553688955e-15,-1.3748307861565177e-14,3.569321572037995e-15,-2.2105787729883677e-14,0.6968762909081567,-5.100558740715989e-14,-1.61638729670128e-14,-1.2440304522861545e-14,-1.4570787151241837e-14,-1.4019301374891224e-14,1.307934958297927e-13,-2.217710748771984e-14,1.5185490982248576e-06,9.160005156284581e-14,4.766716729681596e-13,1.0149477812344899e-05
0,0.9994480409,905,296.4640495868,565.4217630854,101325.0,0.4256860549,0.3,,,0.01083448397564536,8.350531530121989e-07,9.579814338006602e-12,2.021243030095248e-05,1.0890094437056552e-08,0.2915215501384793,6.210265098085955e-10,3.16421224756917e-09,-3.1580243021553487e-16,-5.400092331580804e-16,-1.121306394045193e-16,-5.700952153261844e-16,1.5586154456792439e-15,9.887659475991188e-16,-1.4735136906437107e-13,-9.56125840433964e-13,8.428211461554145e-16,4.698424816041327e-15,7.248700610060651e-16,7.010719881528354e-16,2.178461380686196e-15,-4.732373625058874e-16,1.9422252541521923e-15,7.337596066061051e-16,1.7520396354573879e-15,6.708609652625258e-16,1.4079750194573857e-15,-5.5353650249888885e-17,1.517087220246927e-15,1.036905437344372e-15,-1.634750959289042e-17,3.62346146106276e-14,2.2033153318662018e-14,9.906530722581023e-08,7.224070651233332e-14,0.005965485521205757,9.671080321117339e-08,2.934523330631655e-06,1.4681478419279394e-05,7.814843193284497e-16,2.441200662416355e-15,7.14170248641977e-16,8.98346994671998e-16,3.5323754111106286e-15,1.2354125362104903e-15,4.232191759555603e-15,-1.655401080300577e-16,0.6916285670689523,-5.6764446176576664e-15,7.1279600253412395e-16,1.3314811196235162e-15,9.800956098912485e-16,1.277884083689242e-15,1.871505067953941e-11,-1.5281939289208507e-16,4.911642554736034e-07,3.0006490005955336e-13,5.568756765493714e-13,1.0548166604630409e-05
0,1.0003341351,910,294.1818181818,542.9409090909,101325.0,0.4244883971,0.3,,,0.010975970523901693,7.01018481778159e-07,5.533435434708811e-12,1.9144232803582864e-05,9.85502699141018e-09,0.2912164976935061,5.264571352933639e-10,3.0984790615835076e-09,-7.606649101601306e-16,-9.49124236669758e-16,-5.113662869020906e-16,-9.580848933585373e-16,3.069531974622981e-15,1.7383388099197397e-15,-7.848277524348745e-13,-4.878956436938522e-12,1.6360661877729558e-15,6.170858771595315e-15,1.4791014729410547e-15,1.347797263225543e-15,4.392043747303609e-15,-8.965316976455104e-16,5.2599659323724385e-15,1.5275514047117957e-15,1.7682133364511788e-15,1.3667931718953532e-15,2.3101510911403356e-15,-2.593674417550615e-16,1.8573122475910817e-15,1.8942118344622924e-15,-2.686535559510642e-16,1.7156653461744647e-14,1.746093569135926e-14,1.0326372860425082e-07,4.9131352595919536e-14,0.005914300822797952,9.531560255947727e-08,2.923271390661199e-06,1.5183438965550758e-05,1.718827863526479e-15,2.9688240925289055e-15,1.5805461855720388e-15,1.891033575000492e-15,6.1788745659895764e-15,2.0336658430871473e-15,7.083588802556641e-15,-5.433474290688637e-16,0.6918439810004838,-1.2327091113699987e-14,1.7147350222927722e-15,2.5773556739363206e-15,2.084051526262383e-15,2.0737856303508736e-15,1.911494076495975e-11,-5.355196845409226e-16,4.867609962851191e-07,3.120949622820357e-13,5.641603023894437e-13,1.0599157383866102e-05
0,1.0499704473,858,296.3446280992,578.5548209366,101325.0,0.4452224344,0.3,,,0.020887303926254812,1.7617225034954323e-06,5.031115578818993e-12,3.170995281023421e-06,2.7313882845798197e-09,0.28891105949288554,2.692509023561075e-10,1.111612108282479e-09,-1.2562199474042553e-15,-1.2149117150599962e-15,-1.347310122182187e-15,-1.211306257698507e-15,-2.3590645840449096e-15,-4.2686806327226055e-17,-2.4566525797974446e-13,-7.553108505392988e-13,-2.2168095459286817e-15,-1.5401672061924185e-15,-2.010211285872279e-15,-2.1293597249781107e-15,-1.5423197029642354e-15,-1.2137144785327305e-15,-2.8225812085060568e-15,-2.070674588343084e-15,-1.1891620081205468e-15,-2.0824657442559575e-15,-1.3038616829057338e-15,-1.4737355674270321e-15,-1.3964859699212798e-15,-1.7702609936369208e-15,-1.3680419448508758e-15,1.226900966470682e-13,4.9921179122258956e-14,3.391034077853423e-07,1.7279413733866263e-13,0.004331388008769021,1.5748511794143542e-08,2.390328786275922e-06,1.2019051977510911e-05,-2.1300754687187547e-15,-4.478875553972995e-16,-2.0888506925337063e-15,-2.2307622243841536e-15,-1.6858912043152477e-15,-1.5124782892750991e-15,-3.894102037382362e-16,-1.3398803560922666e-15,0.6858393822658014,1.6876040414481813e-15,-2.0277648227606688e-15,-1.0902176811124314e-15,-1.776433913735691e-15,-1.3992698945096588e-15,3.0949070133315846e-11,-1.2320052577219704e-15,2.8434590925021767e-07,6.652157963710039e-13,6.841921512296812e-13,1.0880861037570114e-05
