,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,NO,N2O,NO2,NH3,HNO,N,N2H,NH2,NH,H2NO
0,0.6451290048,876,293.8851239669,518.4333333333,101325.0,0.2668492837,0.3,,,0.7189926845866884,3.598293019789831e-15,2.0020327085177227e-15,1.3675431522855273e-10,0.053156920726516836,9.547487950182684e-06,3.791932359404758e-09,4.141734328619347e-06,0.22307011386534498,2.9072129624190093e-09,4.82910974786057e-06,5.587110891870161e-15,4.283574286859133e-13,-8.260986433204623e-16,-2.5691059707533557e-16,-3.4813400866047214e-16,2.7307079097611484e-15,-5.77588789639407e-16,-1.2266445940077754e-15,1.334139629938931e-16,-4.744884356370967e-16,-8.786363025764251e-16,-3.4428026224589326e-16,-1.2038148566152365e-15,-1.5525051049909486e-16,-5.600381868226515e-16,2.7572597027365287e-15,-8.343164350147713e-16,-4.716747197610819e-16,3.97982463796498e-15,-6.096013941933048e-16,-3.7193066479345875e-16,-1.1121443492701332e-15,-1.0770568113262665e-15,-2.0123319851823798e-16,-3.341856113981226e-17,-5.09674381703672e-16,-3.448926898101041e-16,-8.44769351851965e-17,-6.596099232911677e-16,-5.096191595161762e-16,-1.6458209017670333e-15,-3.9646446195664417e-16,-6.278743477442529e-16,-1.4077993164276604e-15,-3.376622688448182e-16,-5.495115219318705e-16,-9.84323062485096e-16,-5.479859677223794e-17,1.4335561786832352e-15,-3.367669204530207e-16,-1.0133921158450847e-15,-1.1573755717857242e-15,-6.979980342293778e-16,5.999213421685825e-16,-1.200772226771032e-15,1.909450201590846e-15,-8.306281551404453e-16,0.004107036970615474,0.0005849697292538497,6.97480919876926e-05,3.1267828124868004e-12,8.580135609857984e-10,-7.960015242684798e-16,-1.2235442518282977e-15,1.6537025847111216e-17,-8.178883092710964e-16,1.0147641301184783e-13
0,0.7002137561,833,294.1599173554,494.6993112948,101325.0,0.2818359501,0.3,,,0.7152475534212712,1.2877741518914365e-14,1.2431692525539135e-14,1.6027830293908443e-10,0.04427689462068668,1.0657374006801876e-05,2.4471510148789502e-09,5.232331588686515e-06,0.2351019349276255,2.602177371911844e-09,6.04564363813701e-06,1.3330616289398144e-15,1.266106757042305e-12,-3.942193571373257e-16,-4.571258876942817e-16,-4.692657540605746e-16,-1.3032651553523424e-15,-6.750686442331354e-16,1.1645659368319811e-17,1.0496267580180196e-15,-5.267175741176047e-16,-3.084324448514455e-16,-4.414153252610296e-16,-1.2049076330907226e-17,-5.151316930471877e-16,-6.133779773250982e-16,-2.1535799486558762e-16,-3.8896848611006373e-16,-5.776055138379778e-16,1.3487768067893816e-14,-5.641399844510505e-16,-4.432867570987306e-16,-1.0989834070560918e-16,-1.5517287015414457e-16,-6.344163222380656e-17,-3.1150636295059757e-16,-6.101325449124497e-16,-4.430467199964932e-16,2.8596382460691176e-16,-5.388461123901934e-16,-5.671845931531945e-16,-1.020864611944052e-15,-4.928619920328824e-16,-5.78661350734476e-16,-8.079739651355674e-16,-4.131350156489722e-16,-5.792814092572077e-16,-2.4333867532862705e-16,-9.37975138698979e-16,4.555519706404546e-16,-5.00395904764062e-16,-2.1854495734173312e-16,-6.942618820093434e-17,-8.142864136771716e-16,-7.472328469790547e-16,-3.4662454288669653e-18,-1.9722186840420828e-16,-4.125834247890806e-16,0.005220447070772943,5.3950706416623334e-05,7.727734273669517e-05,4.8534772917604e-13,1.3497823840759855e-09,-3.4330456251468094e-16,9.068802594026938e-18,-4.751352685860416e-16,-3.1777157266230556e-16,9.362259701272284e-14
0,0.7501325861,811,294.4524793388,504.3887052342,101325.0,0.2999479385,0.3,,,0.7115496048277548,-7.26755322315167e-16,-6.244921363654679e-16,4.2268712154018803e-10,0.03544909067720055,1.3157167854958346e-05,3.78189362030062e-09,8.260429663273648e-06,0.24696805395427687,3.6260109199933205e-09,6.958971345692737e-06,-2.8220923729045094e-15,-1.2139018406281618e-12,-5.431378040653836e-16,-4.371840669146397e-16,-5.442044700294155e-16,-9.538681361689714e-16,-6.960949730105555e-16,-2.8767738002981224e-16,9.68299585583561e-16,-4.157420471907351e-16,-4.841088097053537e-16,-5.180729373761281e-16,-3.051913988279845e-16,-5.667707359877739e-16,-5.778983596064881e-16,2.395165939560304e-16,-5.118871130788057e-16,-4.2341487956639464e-16,-8.716929817838886e-16,-5.175762005856121e-16,-5.025369473845284e-16,-3.6797697304091405e-16,-4.1147879761566747e-16,-8.393675446493285e-16,-4.167663304321003e-16,-4.6540472419305265e-16,-4.861742061840657e-16,-3.201784364934494e-17,-5.170830275053868e-16,-4.0741662460896114e-16,-9.131225700597233e-16,-4.973133642680504e-16,-5.493483961185146e-16,-8.210044285468062e-16,-5.058695757571402e-16,-4.71538304085978e-16,-4.581842532627187e-16,-5.251823474915013e-16,-9.09317810840348e-16,-4.809972563945386e-16,-4.46889319082375e-16,-3.517097062021306e-16,4.9952537369296825e-17,-9.376324231147705e-16,-3.023102050393879e-16,-1.2399697378495314e-15,-5.174475694686524e-16,0.005920957171258997,2.533666962678297e-06,8.137234212909446e-05,1.0863265783802604e-13,2.9619565050635283e-09,-4.793926893763897e-16,-2.8759648657041047e-16,-4.945501538189081e-16,-4.694284641886623e-16,1.3897924815947088e-13
0,0.7992536035,799,296.5227272727,512.2807162534,101325.0,0.3048324033,0.3,,,0.7081041352546696,6.135461193499076e-15,4.18529730542415e-15,1.1751479609789176e-09,0.02689697802694976,1.569259872442065e-05,5.533539723084536e-09,1.4025139620608913e-05,0.25846716403466724,5.09751378578299e-09,7.92938983751439e-06,3.118086189628273e-15,5.325318580608059e-13,2.544559768673667e-16,5.632081305503389e-16,5.063306400698467e-16,1.509008126326598e-15,1.9833734961599752e-16,3.1437027451829783e-16,-9.419197058968903e-16,4.3451374616351575e-16,2.597526189713173e-16,4.815800323206175e-16,3.1157779703947674e-16,6.225290550057916e-16,2.3621451426476317e-16,2.8669025295574148e-15,2.5022301434401414e-16,3.889086402238932e-16,6.394510874663489e-15,2.603630739491665e-16,5.02001142774159e-16,3.0103509705438396e-16,2.8494492074530316e-16,8.065450761180664e-16,7.324247256883676e-16,2.6832805578668914e-16,4.731777431881767e-16,7.724763506891653e-17,2.5458421733244606e-16,3.5509999892120785e-16,6.764285028939213e-16,4.927345900410477e-16,4.637201930551042e-16,5.479237579951771e-16,4.884398538271532e-16,3.1013726819025777e-16,2.7137199213841525e-16,3.337550967397176e-16,1.3000803061536278e-15,4.668525574293988e-16,2.73415112679548e-16,3.0143920853762175e-16,-3.1548781611318694e-17,9.775731341279054e-16,3.1046148681615507e-16,1.1735110856909564e-15,2.4830511651122476e-16,0.006412948511647133,1.848029201932142e-07,8.092360896591564e-05,1.754106327187595e-13,6.8248107760795025e-09,2.711631671384392e-16,3.2221655818955117e-16,2.878286081880769e-16,2.7458850282476867e-16,2.343069762926846e-13
0,0.8499536174,819,296.5123966942,524.6681818182,101325.0,0.3411800701,0.3,,,0.7046038868702484,3.5443442809936365e-15,2.6169340394330644e-15,5.73188500724596e-09,0.01771743255023513,2.006260088471976e-05,1.0501669122356631e-08,3.2045780797842785e-05,0.2708730919621886,9.546250489322305e-09,9.430007494312994e-06,-1.6949963828028124e-14,4.221829099462475e-13,5.172567274639373e-16,-9.144921273687221e-16,-4.591689388298924e-16,-4.8464749462630514e-15,5.459553703648769e-16,4.342835278185927e-16,1.3331268766311344e-15,-3.3069629607562324e-16,3.9672109257223773e-16,-3.94902127897534e-16,4.4125833209587464e-16,-1.0135402243797935e-15,4.3557027136805195e-16,-6.041373200288941e-15,4.712804840761277e-16,-1.905955413377386e-16,3.598446610728075e-15,2.9066492233748595e-16,-4.294826631978666e-16,4.644111863274277e-16,5.027541844867437e-16,-8.049595971329583e-16,-1.2238197438000395e-15,3.9651496554146456e-16,-3.793850670877941e-16,1.970784808200215e-16,3.4603414973119616e-16,8.631341305974567e-17,6.779572083402445e-16,-1.924420736592132e-16,-6.016777553281701e-17,9.105812612331352e-16,-3.8800121686289737e-16,5.826992169328675e-17,4.720737750078839e-16,-3.9747714617092357e-16,-4.245500350281394e-15,-3.7768784530908544e-16,5.110433171185642e-16,4.766474795312346e-16,-7.689232071910735e-16,-9.278372332371722e-16,4.51937051542264e-16,-1.903505780913183e-15,4.814296484063868e-16,0.006671833336372752,1.7324756872384668e-07,7.199400108390265e-05,7.184899297861556e-13,2.3861685243725245e-08,5.061342435608627e-16,4.977253037310605e-16,6.304295728729026e-16,5.034690411357106e-16,5.151873562369785e-13
0,0.8501729796,821,294.7871900826,523.6608815427,101325.0,0.3394528477,0.3,,,0.7045903372995067,-3.713054300502236e-15,-3.3453777167982115e-15,5.657021162609223e-09,0.01765792509590129,1.9955053770346246e-05,1.025010597213496e-08,3.206660928002478e-05,0.270964651567999,9.46176230099799e-09,9.445935329766963e-06,1.0686768070952732e-14,1.1234551083987854e-12,-1.2066718210817805e-15,-5.705796049040559e-16,-6.112469566193721e-16,2.0875876755305777e-15,-9.927952010828212e-16,-1.4359805196913085e-15,-2.056886688141443e-15,-8.221742945650211e-16,-1.1371949777061206e-15,-7.076612335634064e-16,-1.4242461422975958e-15,-1.4273112023369435e-16,-1.1481774772578255e-15,2.0714719941111413e-15,-1.180153749482313e-15,-8.714439407211709e-16,-3.727576093877571e-15,-1.0606047273038806e-15,-6.836421649184149e-16,-1.3866986132766112e-15,-1.3064981387073496e-15,-1.685198967084026e-16,-3.9426887766611325e-16,-1.0940226751588712e-15,-7.50264014567635e-16,-1.179720273513379e-15,-1.0887289128463356e-15,-9.714606701628401e-16,-8.262561398341419e-17,-6.05809883649622e-16,-6.967166618223794e-16,-4.558742545445552e-16,-7.105857395351951e-16,-9.707701349033959e-16,-1.2391621246565635e-15,-6.671133836291696e-16,9.92122536020486e-16,-7.722018532810165e-16,-1.2685435772955494e-15,-1.3656039990088464e-15,-1.3097082115145913e-16,-1.4169697718798864e-16,-1.4032856323273666e-15,6.174606547673905e-16,-1.180768924510774e-15,0.006653543854275798,1.728685383487423e-07,7.185259196059854e-05,7.197162418257091e-13,2.375222520453237e-08,-1.3061659908586396e-15,-1.3720664316782776e-15,-9.671901829555534e-16,-1.3131160070543792e-15,5.15505130399981e-13
0,0.9003379917,806,296.5417355372,537.370661157,101325.0,0.3723374876,0.3,,,0.7013021003876674,2.2634564152475234e-15,2.30073821966687e-15,4.995631795881513e-08,0.008814066292469157,2.416084429303838e-05,1.8796613729018985e-08,9.684693112419703e-05,0.2831046080472736,2.360385357883589e-08,1.0294972037554833e-05,-9.519970091029889e-15,1.3054426655449226e-12,2.782348617481713e-16,-6.746837233131367e-16,-5.136557003841017e-16,-2.9713828764480836e-15,5.089806270839754e-16,-1.317388313158707e-16,-3.057493201875775e-15,-2.266240159711058e-16,8.005557144853375e-17,-3.6105770599194167e-16,-9.362453615048092e-17,-8.669063805953183e-16,1.7500374591646118e-16,-9.80080590924427e-16,1.8797711691921992e-16,-1.9773831534252202e-16,2.266308030234189e-15,4.165834455896895e-17,-4.197243154286434e-16,1.3690235538963763e-17,2.2257702810173654e-16,-1.5949313746698603e-15,-7.701196551678509e-16,2.330559245392856e-16,-3.187084137812507e-16,-1.0241523500059924e-15,8.490751388307345e-17,7.167436328199708e-17,1.961215912861734e-16,-1.2642421859733934e-16,-9.678893556152989e-17,5.514868913189322e-16,-3.1844867390924555e-16,-1.2030515902072507e-16,1.376948011818401e-16,-4.033139180726315e-16,-1.890778538870349e-15,-3.109271384588434e-16,2.308472523915095e-16,1.5619964389437263e-16,1.0281962526644098e-15,-2.315049689019318e-16,3.806263511642058e-17,-2.59071452810034e-15,1.8984675922490544e-16,0.006602146470998297,2.8701920708608647e-07,4.5245456233064204e-05,5.203811181050631e-12,1.512136079597669e-07,1.7741755979799597e-16,7.676992202136372e-16,2.0540771801764423e-15,1.7640772244237387e-16,1.8097946113966242e-12
0,0.95007358,786,295.0202479339,550.9841597796,101325.0,0.3987996189,0.3,,,0.6979871735466956,4.726859574506974e-15,3.815817196646937e-16,1.1011794186302067e-06,0.0010856534749273488,2.392769028102197e-06,3.2794699779669e-10,0.0011335004081865793,0.2936908775966212,4.578658357150567e-08,4.381335649193868e-07,-7.489166822684331e-15,3.206034848740895e-13,-8.87418944474659e-16,-7.840392640694804e-16,1.2126715587683404e-15,-1.473064697860916e-17,-1.122545928482194e-15,-5.698083696283272e-16,-3.896972191697446e-15,-8.653950819618576e-16,-8.553652441882822e-16,1.0432813031195523e-15,-6.20382998881078e-16,-1.1782405757636565e-15,-9.427853718450586e-16,-1.707993695738388e-15,-9.79154203321229e-16,-8.093558452319736e-16,5.28068621606509e-15,-8.672791362866727e-16,-5.831548430950281e-16,-7.561384655719896e-16,-8.831379431249309e-16,1.4707837069737874e-16,-7.064516434797616e-16,-1.0370989066679945e-15,-7.434633400701211e-16,-7.817442106554918e-16,-8.556338917457677e-16,-8.28173010930301e-16,-7.883174174394172e-16,-8.824076751298457e-16,-9.187813169076661e-16,-2.2912471058560147e-15,-6.616644924276434e-16,-9.367488397574786e-16,-1.1279317209402063e-15,-8.575325354856466e-16,-1.7865643174644843e-15,-7.759398013569845e-16,-1.0643847396154535e-15,-9.457265801886442e-16,-1.5907006430554126e-15,-3.2627217133795264e-16,-1.0284440977855178e-15,1.95662642135047e-16,-8.507694252457734e-16,0.0060781975559385144,2.343274862996893e-06,4.765276793651446e-06,8.814430577618343e-10,1.3509759141279571e-05,-9.65099102596039e-16,3.393835127146454e-14,2.9579130585495635e-14,1.491036453381454e-14,2.8483613679185053e-11
0,0.9994480409,783,296.4640495868,565.4217630854,101325.0,0.4256860549,0.3,,,0.6929393677177029,3.292220712355081e-15,2.7263201474646733e-15,1.119417155139191e-06,2.194736288060678e-05,1.126392110570909e-08,2.6465121711702728e-12,0.009044954474682463,0.29293825598396606,1.0763256761140903e-09,2.9761706615243104e-09,2.8138953262633575e-13,2.1536976689522324e-12,-1.3340557431624594e-15,-2.348318279228303e-15,3.305381964838494e-15,-2.9495915382989985e-15,-9.39311849886278e-16,-1.8455946756442466e-15,-1.4898955297757849e-15,-1.3602561107637844e-15,-1.5166513885131883e-15,-2.5629896511193596e-15,-1.8144428582289677e-15,1.3942363990811202e-15,-1.6651029725878945e-15,-1.7675070159538602e-15,-1.4729143356687993e-15,-1.6569041360481153e-15,3.4118450988975587e-15,-1.5203208109674396e-15,-1.5115626607332517e-15,-1.7370013731933839e-15,-1.5283993670292548e-15,-1.7745018830111931e-15,-2.0753564627211304e-15,-1.424418109805911e-15,-1.9462807083838903e-15,-1.5245074093574058e-15,-1.5313053458036448e-15,-1.3991670467387823e-15,-1.7687679784753608e-15,-1.67510881646226e-15,-1.461470472083944e-15,-2.5671095530383562e-15,-1.8415780832566507e-15,-1.8780676327877995e-15,-1.8430346270626846e-15,-1.3940401531892452e-15,-1.7521286151070433e-15,-1.828700991878469e-15,-1.2615492896010542e-15,-1.6252371186874334e-15,-2.056065645569364e-15,-1.621883712937836e-15,-1.403578275231409e-15,-1.700008451216809e-15,-1.5905480944875076e-15,0.005029430770878927,3.990594876613523e-06,8.658890066871174e-08,9.566340970910062e-08,2.0735987136487586e-05,-1.4825749850044577e-15,4.170502185060565e-14,2.2430979067597992e-14,4.46606166996362e-14,1.1686212005178477e-10
0,1.0003341351,788,294.1818181818,542.9409090909,101325.0,0.4244883971,0.3,,,0.6931635710418663,-6.315128036109398e-15,-6.128700301577486e-15,9.480026012498678e-07,2.078066987769076e-05,9.9497838959117e-09,1.0242054526996016e-12,0.009145762244599192,0.2926527403633364,9.3407131141519e-10,2.897595322910657e-09,-2.0539428554894294e-13,-1.4110014319144653e-12,-2.0808692921369386e-15,1.5078995312952743e-15,-4.60030319581991e-15,9.861049854457197e-15,1.3514672827067127e-15,-6.070119782027885e-15,2.78197362221732e-15,-2.1130803660089274e-15,-8.193558249803565e-16,-7.882161866865162e-16,-5.894005361123117e-15,3.7367645845541117e-16,-4.512451383479055e-15,-1.0745248490566492e-15,-3.93459042665183e-15,-1.5895384418351177e-15,-6.253532173912075e-15,-1.7904584054787843e-15,-2.0017841400196375e-15,-5.409915934370367e-15,-1.7584462760296363e-15,-1.461778085001903e-15,-1.5401983693027124e-15,-3.046025692417079e-15,-7.505306716359183e-16,-1.9505664942543394e-15,-1.7498482734562954e-15,-2.385304988677414e-15,-1.2876712227377598e-15,-1.4826483273777664e-15,-1.9354197059071473e-15,2.406100880579167e-16,-1.328504189402173e-15,-1.1239676239086035e-15,-5.679113236704895e-16,-2.199789223144302e-15,-1.0520658373891228e-15,-1.3349882577124867e-15,-1.7941750499282357e-15,-1.939560459416934e-15,-1.2447663361784751e-15,-1.8932236506787448e-15,-2.8055653296786626e-15,-1.2553895576499255e-15,-1.6152796256177528e-15,0.0049905683516901795,3.97583355276822e-06,8.76977147476815e-08,1.0020940040246743e-07,2.1451685400915804e-05,-4.186731963979173e-15,2.3257599710574393e-14,1.4125878508219567e-14,1.7381315387378195e-14,1.1913555390390283e-10
