,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,O,O2,HE,AR,OHEX,H,H2,OH,H2O,HO2,H2O2,HONO,HNOH,HNO2,HONO2,HNO,H2NO,H2NN,HON,N,N2,NO,NO2,NO3,N2O,NH3,NNH,NH2,NH,N2H2,N2H3,N2H4
0,0.937,983,296.083,468.311,100564.785,0.195,0.8,,,4.638674985900179e-14,0.00434247177435221,2.601050918468335e-14,2.6154274270131272e-14,2.097084255978859e-14,7.608471645835577e-10,0.00020741069602463901,1.2826280254959216e-09,0.2827435271064949,1.5720224702676828e-10,4.293103251151126e-07,0.00012471316597114837,1.2753235009573793e-11,5.1363988426124745e-08,5.698572444504298e-07,2.8915383872367895e-06,1.0438188118057095e-10,1.4677561119490532e-14,1.1014602139424594e-07,1.9300333005262523e-14,0.7072639826296779,0.005286952284112789,2.6398187774033664e-05,2.0620217258310847e-14,4.895264665591343e-07,9.507305614909192e-11,2.0980979284504613e-14,1.6535478582142664e-14,1.9519817682212638e-14,1.3817307499316026e-14,1.530243308241796e-14,1.328434650736148e-14
0,0.988,1011,293.511,465.951,100564.785,0.178,0.8,,,7.005927659920924e-14,5.706958678482295e-05,6.241646282984483e-15,4.9961404024386845e-15,-3.083333964387505e-17,4.7261348871064793e-07,0.004246327570442555,6.6124899196180504e-09,0.2873092096126606,1.3975777818555463e-09,9.733863252491895e-09,1.587142497279533e-05,7.56966524217625e-10,5.533631911374029e-09,8.049385574808052e-10,1.681048634041469e-05,1.0990842479989048e-10,6.907008920020391e-16,1.0857988707162451e-07,-4.8726521104211315e-17,0.7037025468506976,0.004648868009546037,2.895713710061159e-07,-3.851855554594445e-17,2.389364675340469e-06,1.1378561034166888e-08,4.7592452245071294e-15,1.103665310263483e-12,1.062398481407168e-15,4.464835751913644e-15,-4.6881921308774195e-17,1.5537901661761937e-17
0,1.038,961,294.153,468.958,100564.785,0.204,0.8,,,1.7657168169642287e-14,2.523370306872141e-06,-1.2486035968968056e-14,2.2606212173989487e-14,3.4219081867206866e-15,9.68803139542426e-07,0.013878075247890271,8.461780293225346e-10,0.28413073686046914,1.6498919964546188e-10,9.61943955193551e-10,3.048056661927672e-06,7.377162531303248e-10,1.0397805558757735e-09,1.066080435785466e-11,1.5208583353566296e-05,5.381036086972783e-11,4.683761644268879e-15,1.0985888010243549e-07,3.35599785829641e-15,0.6984864074658768,0.003480871458813128,1.4930666060423826e-08,3.3416655228735964e-15,1.9240400488211334e-06,1.0750595635633466e-07,1.3642292767870858e-14,2.77777095580362e-12,6.567358100793053e-15,9.398315978494129e-15,3.3373932317427056e-15,5.303500930867337e-15
0,1.087,942,294.54,468.884,100564.785,0.204,0.8,,,2.757244719559382e-14,5.009569784376606e-07,4.2497154752482356e-15,6.34220604241581e-15,1.235043479801932e-16,2.4277543455685723e-06,0.023135352121699163,7.089041227171328e-10,0.2811647348776117,1.3426459929478345e-10,3.9580782438687784e-10,1.3559599622216654e-06,6.401393432284235e-10,3.590922347531106e-10,2.8501117406831425e-12,1.2205367647067548e-05,1.0996164782656236e-11,1.4228358926822434e-15,1.1621191984751702e-07,2.413552929163593e-16,0.6936217777644041,0.0020598521219819693,3.455007800350477e-09,1.7646234372207936e-16,1.338859700392798e-06,3.3228692192073225e-07,2.541922686436189e-14,9.671332671901341e-12,1.1948264968947647e-14,8.658324595799106e-15,1.4636564213844187e-16,7.930253724293618e-15
0,1.137,800,294.874,470.048,100564.785,0.199,0.8,,,9.238936604074319e-13,1.1069561672644711e-07,-2.3514120678918715e-15,-2.4883205185807655e-15,-6.0204004371862425e-16,1.120965229211701e-05,0.03221551456610298,1.2899225409145883e-09,0.2783632973258426,3.1319988954449727e-10,1.780634822817132e-10,3.979273295706767e-07,3.098642408961755e-10,3.907137602924823e-11,1.0559259948492047e-12,5.705441907601015e-06,1.8853123086421512e-13,5.951259482263316e-16,1.2499687611539439e-07,4.0667083880780134e-15,0.6887497421039567,0.0006473947458954075,6.421272072216435e-10,-4.1345950604659208e-16,8.274428615709947e-07,5.672255320453873e-06,1.162897670691512e-13,7.106140325510108e-11,1.1836260260485455e-13,2.0188178600475775e-14,-5.936556046254705e-16,2.6681879357238485e-13
0,1.187,707,294.874,470.048,100564.785,0.188,0.8,,,3.139511465090066e-08,2.1323097941798917e-08,-2.336016894517685e-15,-2.3388123748329096e-15,7.9057358385070775e-16,3.080144452221017e-05,0.039699277329606694,2.639376125522209e-09,0.27529039257151316,2.1000522562923061e-10,5.4625546007419484e-11,7.957763286767502e-09,8.583455563197481e-12,2.0082795182727814e-13,1.9285002343622343e-13,1.604406609961349e-07,5.691604364927679e-13,1.4132191392373804e-14,1.3490776228593941e-07,2.0390167849222037e-08,0.6833883827191496,1.4995371631453636e-05,3.4180437986141444e-10,2.334903092463234e-15,7.67835659767745e-06,0.001567939497793482,3.4071103327096946e-13,1.105966424167671e-07,1.481715350765819e-09,9.724066754492533e-10,6.119031993809552e-14,3.9988082234491165e-08
0,1.238,679,294.874,470.048,100564.785,0.189,0.8,,,1.9835812686090698e-08,6.875110220696095e-08,-2.6093413083498482e-15,-3.1247345148628184e-15,5.2595925432129216e-17,1.3978198242557023e-05,0.04454379001265119,1.0697451658231574e-09,0.271743335565928,6.196104359681348e-10,2.8435546029893808e-11,1.1449118117501849e-09,1.5070517029387644e-12,8.365244606390525e-14,1.832135806546585e-14,2.885937097449012e-08,1.3066372318472135e-11,2.679052844538228e-14,1.4696042572149112e-07,8.020187549732829e-08,0.6771423885229483,3.0864631288881853e-06,9.316772020144248e-11,6.692046498293323e-16,3.0170037229104916e-06,0.006548917357985014,2.066685786144258e-13,5.466893747794776e-07,6.258791903781499e-09,2.1039279840684598e-08,1.0569676384496194e-12,5.653075279626644e-07
0,1.279,675,295.473,471.171,100564.785,0.187,0.8,,,6.033390710583532e-09,7.126034692038651e-07,-1.3028611004518341e-15,-1.491846549978779e-15,3.0403855005883243e-16,8.754065839751197e-06,0.04711168316745487,1.2041246045934969e-09,0.26916106922138006,5.860422233900789e-09,5.0092407015012764e-11,5.050413603543136e-10,7.432132604385209e-13,5.48557451379156e-14,1.2271297284056608e-14,1.477308039501359e-08,2.990506080373323e-10,4.1092865102028714e-14,1.5758420533379016e-07,4.70331558187268e-08,0.6719684923555871,1.7201291718645954e-06,5.757338250485741e-11,1.7222371876072677e-16,1.6556736834978388e-06,0.011743426076923654,1.6533462309532168e-13,8.807509013137763e-07,5.78093108710373e-09,5.270447987273251e-08,2.5228018133202578e-12,1.3140665035322516e-06
0,1.327,681,295.687,477.738,100564.785,0.194,0.8,,,1.4840269218803424e-09,9.067823573244424e-06,1.5310507625194203e-15,2.417728480135442e-15,-6.857644675893993e-16,5.445186754871076e-06,0.048824844521738846,4.3875496823761855e-09,0.26615935868681734,6.187545316309044e-08,6.065255304511383e-10,4.1225241848352733e-10,8.589393068580067e-13,5.510399179280361e-14,1.8424593600012881e-13,8.714042586449966e-09,7.614064589147543e-09,2.193751343258637e-13,1.7257749018330598e-07,1.9166611722753733e-08,0.6656589936965709,1.1584966504831225e-06,3.80923216890987e-10,3.522239429245821e-16,1.3125375873759937e-06,0.01933535979492895,1.5547366921983005e-13,1.3945761290145659e-06,4.2513436482934195e-09,1.1862721869675438e-07,6.416509773669615e-12,2.664573853337359e-06
0,1.371,650,295.88,479.76,100564.785,0.136,0.8,,,3.93725615230697e-10,4.0558894693531715e-06,4.490399138320604e-15,7.44068555366259e-15,-3.1025952747839855e-16,3.9691891323462705e-06,0.05123829181724949,1.2177717058629887e-09,0.26437033007062916,2.6438726475295043e-08,3.1240915739092396e-10,1.130771544624092e-10,4.653543065090079e-13,1.7768212231796537e-14,2.1006256625569076e-14,3.744251380235905e-09,3.752771821081434e-09,1.7769497363912754e-13,1.8167371355418428e-07,1.147074423644031e-08,0.6606555094980506,5.147786959090963e-07,9.766777600848068e-11,6.399783665874713e-17,4.5889188541151614e-07,0.02372275705998405,1.0302296178759233e-13,1.174496642922401e-06,2.4003395257095947e-09,1.0787330507513276e-07,5.865203199905031e-12,2.59881309563621e-06
