,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,H2,NH3,NO,N2O,O2,H,O,OH,HO2,H2O,H2O2,NO2,HNO,N,NNH,NH2,NH,H2NO,N2
0,0.937,922,296.083,468.311,100564.785,0.195,0.8,,,0.000187298987139058,1.4151969953290015e-11,0.004374627863984927,3.309985592372237e-07,0.003180166233747657,5.596021906222033e-08,1.2779288470054103e-09,1.0072476989081038e-05,1.4260115399404485e-08,0.28443523769368423,6.498318143545257e-06,1.714875863365858e-05,3.5674894687761e-07,1.7520610430886996e-15,3.605448955106851e-15,3.0731223001810713e-15,1.8288829546342317e-15,3.66413395701831e-12,0.707788190404082
0,0.988,831,293.511,465.951,100564.785,0.178,0.8,,,0.004559514667903539,2.447400051134891e-08,0.0034934052381429942,1.8099974438867516e-06,3.9857291601722235e-05,1.4780538766245848e-07,1.1536510462869945e-14,9.054837671031152e-09,5.156901663941785e-10,0.2876117443679302,3.809243976874049e-09,1.875341326654427e-07,1.3549666170293936e-05,2.63516223364803e-16,5.108602132903457e-15,2.2281530959191152e-15,3.6989950903559205e-16,4.175881716972864e-11,0.7042797455357365
0,1.038,804,294.153,468.958,100564.785,0.204,0.8,,,0.01331073874314843,2.7633523060325613e-07,0.0017612354113710324,1.2755882615808243e-06,2.206512166038923e-06,8.442350097263183e-07,7.587089568905134e-14,1.6493134896788759e-09,3.1069430978433567e-10,0.2852213903459816,9.577002903372245e-10,1.5390004349817727e-08,1.1240682367628846e-05,-1.3119141043349515e-16,2.872546595286321e-14,1.4733386892851672e-15,1.1992544444500278e-15,7.668167093604815e-11,0.6996907737619622
0,1.087,791,294.54,468.884,100564.785,0.204,0.8,,,0.02148784716106228,0.00035658536407074076,0.00019477067104007337,6.688110622641191e-06,1.6746870345017272e-07,1.1969072657716134e-05,8.110557458463127e-11,1.7838153006602129e-09,1.2825258407403742e-09,0.2828060661504281,7.154458000099518e-10,9.6827993500149e-10,2.4098704732351083e-06,2.3661986048777565e-13,3.972070672053792e-13,2.463815298307589e-13,1.1022991648445351e-13,1.5655254592342108e-07,0.6951333347462331
0,1.137,785,294.874,470.048,100564.785,0.199,0.8,,,0.02600936659612656,0.005243222711893434,1.4706700951077464e-05,1.0473612257233476e-05,1.6655336125523568e-07,7.778689490949174e-06,1.4149734799753413e-08,9.96664273566495e-10,1.9158892564938656e-09,0.2797514670637874,1.7026604806536246e-10,2.7267336099002303e-09,1.6851384737294278e-07,1.0842502327119963e-08,2.6445672688602076e-13,4.321060886202313e-12,2.442654484028118e-10,2.680847090721184e-06,0.6889599376605526
0,1.187,774,294.874,470.048,100564.785,0.188,0.8,,,0.0287485717196195,0.011743733109401291,5.595863243585596e-06,8.601664040721315e-06,3.507806060128285e-07,4.292509785446161e-06,1.6764022012527926e-08,5.6319624061291e-10,3.840824652451818e-09,0.27688209728102486,8.628476340950397e-11,1.9641311920340864e-09,5.923066334621842e-08,4.849953824453477e-08,1.5608248543188406e-13,1.1958013836683061e-11,1.542738138694048e-09,6.883953962703602e-06,0.6825997406148033
0,1.238,727,294.874,470.048,100564.785,0.189,0.8,,,0.030390601855540874,0.019543772608708484,2.969172295828843e-06,7.4754088066402676e-06,9.234363787546785e-07,2.730068502078396e-06,1.162524256957644e-08,4.474144610169997e-10,9.604623842682061e-09,0.27401980952914895,8.370453494654467e-11,1.2490300308948923e-09,3.088715049434505e-08,8.353929353444732e-08,8.987633815172498e-14,2.2927603540030622e-11,4.101313756222262e-09,1.2458063054083056e-05,0.6760191182967734
0,1.279,721,295.473,471.171,100564.785,0.187,0.8,,,0.0313644743455496,0.026023614304748397,2.0097686309112517e-06,6.828484941115279e-06,1.8774851430200815e-06,2.034140151707097e-06,8.110411089489836e-09,4.420610776052433e-10,1.8715869212153002e-08,0.2718099497112352,1.275356772149507e-10,1.1015894054452426e-09,2.1256327533194717e-08,1.0088205008374842e-07,6.38377461592813e-14,3.6111924304725794e-11,6.664282906736184e-09,1.692354713316698e-05,0.6707721308761643
0,1.327,746,295.687,477.738,100564.785,0.194,0.8,,,0.032034761798652736,0.03426374108369105,1.4106247132696615e-06,6.798371621420188e-06,5.952000531915226e-06,1.4885196258422247e-06,5.661283570560307e-09,6.304520211661022e-10,5.398287971602343e-08,0.2692292197614591,4.135715712046096e-10,1.7669152034428316e-09,1.5332150695272194e-08,1.1459241347198952e-07,5.6491326817705644e-14,1.1614260083385052e-10,1.1317111936749822e-08,2.2210099691380696e-05,0.6644342139270358
0,1.371,715,295.88,479.76,100564.785,0.136,0.8,,,0.033625168714955876,0.039099866826366576,9.16992237383499e-07,4.651417801897337e-06,1.3415642895444685e-06,1.1384229724498561e-06,2.7830985986140093e-09,1.1716918898531714e-10,1.1959090380823955e-08,0.2676248302818479,9.525130301351177e-11,3.826654591244958e-10,9.954068932741256e-09,1.0112476728997417e-07,4.372207614359859e-14,6.84595563513906e-11,1.0715745338651546e-08,2.4568133113942154e-05,0.6596173804460547
