,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,H2,H,O,O2,OH,H2O,HO2,H2O2,OHV,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,N2H2,H2NN,N2H3,N2H4,H2NO,HNO2,HONO2,HNOH,HONO,HON,NO3,N2O4,N2O3,CO,CO2,CH4,C2H6,HE,AR,N2
0,0.937,864,296.083,468.311,100564.785,0.195,0.8,,,0.00027480291169879577,2.5130416284708275e-10,1.9053670645262146e-15,0.004081395710877267,6.464630303609932e-10,0.2827400627231744,1.8517902622124886e-10,2.472525644069221e-07,6.150835026739024e-16,1.0025766361469488e-15,8.595850741608948e-16,2.3960907752410713e-15,6.477794173638013e-11,6.233114415022938e-16,0.005769634536066348,3.939111609893059e-05,2.551481579483704e-07,7.343482896565687e-07,-3.9028956757127646e-15,5.095751833501515e-15,1.9651228982384138e-15,3.977038336919918e-15,7.555593922735162e-10,7.64281017299805e-09,4.3843078471989025e-15,7.55949907152614e-12,6.563013993726102e-05,8.415661952478027e-15,1.016845260519085e-15,1.909651404511041e-12,7.861932350601833e-15,3.462166451797321e-15,3.876486477772364e-15,3.1756609115634496e-15,3.960808418344973e-15,2.2226653604977286e-15,3.52014060854764e-15,0.7070278365575154
0,0.988,885,293.511,465.951,100564.785,0.178,0.8,,,0.004378866722164887,4.95439931958993e-07,1.1060907112708213e-14,6.895147086859185e-05,6.032325475783761e-09,0.28702810655421274,1.5018601252932693e-09,1.3188453071029782e-08,5.2840009363857215e-15,4.985314478937007e-15,7.359629309304397e-15,5.215776846874838e-11,3.2283317946916016e-08,1.364362956390554e-14,0.004919325659457116,3.779112413928149e-07,4.357408723333346e-06,1.7547257339091398e-05,1.3944130179432905e-14,2.1903205102898458e-13,5.1714763487132575e-15,5.692067777862208e-14,8.039053303960827e-08,2.77443978049671e-09,-4.051526281842942e-15,1.8120813977267082e-09,2.3673985030464797e-05,1.6275717901119457e-12,5.065917195564869e-15,5.462740489939144e-15,4.372032449008282e-15,-4.7363996806596955e-15,-4.409024525541772e-15,-5.014752466553924e-15,-4.514397503199762e-15,-4.981392407000411e-15,-4.659021203953554e-15,0.7035581595539143
0,1.038,896,294.153,468.958,100564.785,0.204,0.8,,,0.013765797572155559,1.1589887140662625e-06,1.4808291570000322e-15,3.273034435918673e-06,1.431455084063572e-09,0.28407573041674744,2.1514204478836062e-10,1.4677184703047128e-09,3.4421577660324533e-16,1.4904140345349568e-16,8.02510895990367e-15,6.604871912588239e-11,1.4419236246484786e-07,1.2060099627699655e-14,0.0036140889004994277,2.0182238322044982e-08,3.4010175853607296e-06,1.6649196001055195e-05,1.3659829389646774e-14,2.0851180913527453e-13,2.9845872251151876e-16,8.856365667020466e-14,4.810104821648222e-08,8.218752686022517e-10,-6.552062595008184e-15,1.953556297225432e-09,6.1518350660745474e-06,2.397962225854313e-12,1.7199954158715515e-16,3.3659693702078613e-16,-2.9883720467646137e-15,-6.795621917521529e-15,-6.677555118112836e-15,-6.9659829578303295e-15,-6.769695503341972e-15,-6.68545648462442e-15,-6.6902428890360134e-15,0.6985135306046687
0,1.087,866,294.54,468.884,100564.785,0.204,0.8,,,0.022983447440427972,2.7074431215001905e-06,2.5479996215025316e-15,6.512052939393852e-07,1.4907805427446347e-09,0.2811206777385289,1.54224029759672e-10,5.850084667069713e-10,-1.2948352038176967e-16,1.2778736002473832e-16,2.5213195555815733e-14,4.765312812739162e-11,3.7689218119114723e-07,1.7049039479142312e-14,0.002246966882655653,4.466634540162513e-09,2.1119817970748047e-06,1.378399132698066e-05,3.633744622510734e-14,1.317962292295032e-13,-1.269153640902795e-16,1.0147231036806575e-13,2.3102421754364905e-08,3.3113417399005736e-10,1.9805085000442983e-15,1.831616713779278e-09,3.033851020175741e-06,3.018923758955957e-12,-1.0494312667995524e-16,-1.2864652798895577e-16,1.801863396237988e-15,1.5427773300430417e-15,1.777904970185924e-15,1.3081549352840744e-15,1.6740479698254237e-15,8.605531356173577e-16,1.6783430516272134e-15,0.6936262105608276
0,1.137,784,294.874,470.048,100564.785,0.199,0.8,,,0.03217970672670373,7.6243566183252e-06,4.8325240242608863e-14,1.6836917542560956e-07,2.098419177584458e-09,0.2781710329811732,2.05205504077544e-10,2.7814951067822095e-10,8.430737559928421e-17,6.875287027208785e-15,1.3011191315073243e-13,2.0922684493678475e-11,7.573460078232465e-07,4.2545208546216616e-14,0.001083881176706754,1.1398009903976485e-09,9.151766652888001e-07,8.863191205884015e-06,-4.600592248870717e-13,3.243404529074882e-14,7.964993416482157e-17,-3.310043598756582e-14,8.530022802552661e-09,1.1181967612690619e-10,4.126433444710122e-15,1.3048993102947281e-09,1.350584815029311e-06,3.028779104455934e-12,-6.134907228220808e-18,8.325574896300885e-17,3.935085682242355e-15,3.5747105542898895e-15,3.8917996291435344e-15,3.1906607641653946e-15,3.714441226740791e-15,2.5026081292495316e-15,3.786978217474793e-15,0.6885456863988642
0,1.187,752,294.874,470.048,100564.785,0.188,0.8,,,0.0411911739168797,3.1474204423606566e-05,1.0836087505523746e-10,2.5765285392904757e-08,2.327498965787812e-09,0.27500190278749775,2.215279608373291e-10,8.961434136092769e-11,-2.2772873224456387e-16,1.3286861483786649e-11,1.154131327146458e-11,3.208152509108846e-12,0.00013682465723351467,1.7029824410550022e-13,0.00014196256224096115,1.1919169171223296e-10,4.1894775313435254e-06,1.543295515814845e-06,-6.595929680060871e-11,1.0030798965359615e-14,2.110451407675237e-16,2.968122957641403e-10,1.1453437804842991e-09,9.000758573600687e-12,1.0300307478942022e-15,2.457484257390542e-10,1.4984492739658472e-07,6.926824752188789e-13,-8.124691512008136e-17,-2.2479265787702746e-16,8.481029695058077e-16,8.525048239193216e-16,9.41302933939476e-16,7.705521097831846e-16,9.071844743584954e-16,5.682437051829427e-16,9.011808534859456e-16,0.6834907489624088
0,1.238,698,294.874,470.048,100564.785,0.189,0.8,,,0.049233122025114345,1.9906568273613386e-05,5.131434191303158e-08,1.1629454844555697e-08,3.2228709515542934e-09,0.27116251394671825,1.1569585201159652e-10,3.9226396332699187e-11,-1.3011788208780947e-14,1.10908253414923e-07,9.426775168846197e-11,1.0321658869466924e-11,0.0019374391703915704,1.3346820834692086e-13,6.871636635960366e-06,1.997612985257051e-09,3.633835512073443e-06,6.897144906372871e-08,8.622372662630219e-09,3.9285603427513555e-12,6.911245938101246e-14,4.246160520052418e-08,5.395947804953504e-11,5.87978532357938e-13,-6.352783198915568e-16,1.0683243278278255e-11,6.038833405759154e-09,1.7405323774808697e-14,3.404218210359257e-14,-1.3011507005356775e-14,-1.0974495867788942e-15,-2.323730135210783e-16,-2.7606593659780415e-16,-1.1588328228669367e-17,-4.718959536588682e-16,7.531351145249268e-16,-9.274100438306658e-17,0.6776362073216629
0,1.279,670,295.473,471.171,100564.785,0.187,0.8,,,0.05471077415004722,1.0648610645811413e-05,3.2235625700042345e-08,3.607510111095757e-08,1.3121688823409511e-09,0.26821475033570724,3.3755423887229227e-10,3.5643681110909835e-11,2.357339974034333e-16,1.2834077523929626e-07,1.352974887729414e-10,2.1159518437741348e-11,0.004241790730699855,1.4716736665001846e-13,3.963397825203968e-06,1.1996016417024098e-09,2.327859275656967e-06,3.5908102488533994e-08,4.535503489934322e-08,3.149477720692928e-11,2.6581112695717213e-13,1.3370497514698227e-07,4.136243613879493e-11,2.7422097418712513e-13,1.750604072346923e-15,5.398011017120035e-12,2.3088773736372667e-09,1.3130254519573747e-14,2.9929154223132405e-14,2.35317207584589e-16,1.4897686498149561e-15,2.2462578280115664e-15,1.969228357476218e-15,2.361023086328695e-15,1.921445210374432e-15,4.4447172802790594e-15,2.1924724478348453e-15,0.6728153278668771
0,1.327,674,295.687,477.738,100564.785,0.194,0.8,,,0.060289588307961085,5.8407221988366865e-06,1.4238496201206712e-08,6.602223021816988e-07,1.0140751123349795e-09,0.26483922268280735,5.566085310865584e-09,6.885373449678251e-10,-2.9916754745630833e-16,8.091002946961588e-08,1.3518396991412058e-10,6.503924815479011e-11,0.00790076799248399,1.6776410613771367e-13,3.1519187808676855e-06,7.108467846206766e-10,1.6072480826686903e-06,2.4542478062283043e-08,1.2949850275323036e-07,1.2316437058270963e-10,6.853175731423363e-13,2.7682361455355037e-07,7.239616341326788e-11,1.4587083716752486e-13,-1.699405097562301e-14,3.6880152135802946e-12,1.1792772400088781e-09,6.5299163107044655e-15,1.1976366047442282e-14,-2.978642003769125e-16,-1.5044730201239476e-14,-1.7630395666622817e-14,-1.7325741622836047e-14,-1.8059198894032643e-14,-1.7581455761647447e-14,-1.7073909038526887e-14,-1.7356845857226164e-14,0.6669586253330885
0,1.371,668,295.88,479.76,100564.785,0.136,0.8,,,0.06458648918593386,3.423266876517816e-06,5.259110966029159e-09,4.395167965497762e-07,3.121075733771267e-10,0.2626500914078975,3.5289215822253506e-09,6.813475206553647e-10,-4.739696038168266e-16,6.029294317165876e-08,1.0419187215306529e-10,7.552546886876408e-11,0.010724723408257357,1.187450606419764e-13,1.5750991687072462e-06,2.2486891343572492e-10,6.166213844286132e-07,1.1358748741204315e-08,1.647726875487937e-07,1.635082920099921e-10,7.381294357657472e-13,3.078874453449538e-07,6.782256006967245e-11,5.2570242794203656e-14,3.1433803073533115e-15,1.9024354530806774e-12,3.9215966378584525e-10,2.150449402896306e-15,2.0932985077563973e-15,-4.694097262445446e-16,3.6120239622188645e-15,2.4966509153520425e-15,2.843941314963598e-15,2.0786162309386866e-15,2.6613622783556738e-15,1.4694604737306876e-15,2.733177463504027e-15,0.6620320863694596
