,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,NO,N2O,NO2,NH3,HNO,N,N2H,NH2,NH,H2NO
0,0.937,926,296.083,468.311,100564.785,0.195,0.8,,,0.7076937367034223,5.787812595487254e-16,4.572765904349675e-16,4.032081362071226e-08,0.003632458787856409,1.0136493409144113e-05,1.430234692037568e-09,0.00016257652290884548,0.28392403186456044,1.1650870261114047e-08,6.521582599577928e-06,8.54638961317361e-15,-5.136927652228038e-13,7.482231115845673e-16,6.937468169647295e-16,1.0484177014556353e-15,1.3094329973610158e-15,5.436348646233463e-16,8.421246834727496e-16,-9.836496494302827e-16,6.388182995104783e-16,7.05303371985521e-16,7.942726654965804e-16,8.41468915456348e-16,1.2315751845817484e-15,6.811352793303334e-16,3.67612694173492e-16,7.840093225604738e-16,6.751441032287821e-16,5.814596290668585e-16,6.492002003026563e-16,8.54288258522002e-16,8.47903393899009e-16,7.662898929010248e-16,1.9003067257958077e-15,8.768560750806388e-16,6.414654054072268e-16,8.069584112134573e-16,3.4033348676562144e-16,6.514706023811953e-16,6.361587905496572e-16,2.0620182397758778e-15,1.2465541955508027e-15,9.670994066675859e-16,2.1972635553878323e-15,8.903096975626473e-16,6.642704784502091e-16,7.327768173481895e-16,6.000674663864342e-16,1.767519431209411e-15,7.442101956026416e-16,7.428394392009103e-16,8.153288894261263e-16,9.115091263342328e-16,1.6273966272692949e-15,8.556842119565311e-16,3.31260392124085e-15,6.697586556571496e-16,0.00455066903227786,3.9113873403737825e-07,1.9117399904415884e-05,1.4315159437327584e-11,3.0705458954541903e-07,8.1863648116571945e-16,1.2048928733650463e-15,2.377708237546794e-15,8.257593552858197e-16,3.960703107145219e-12
0,0.988,907,293.511,465.951,100564.785,0.178,0.8,,,0.7042363782714322,-2.0035463201681168e-15,-1.7865122603566266e-15,1.0733316492577465e-07,4.658816734342591e-05,7.697429858187687e-09,6.9730944828722945e-15,0.0043393580441751095,0.2876721779643059,4.1573649414100173e-10,3.851835524031909e-09,-1.6855984160535867e-13,-2.5665485880130465e-12,4.14989626732513e-16,1.083574862119017e-15,-2.0450341841970258e-16,2.433544999201728e-15,1.0732959306161172e-15,-2.4961598033875323e-16,-1.7254229240860874e-17,4.941112369056077e-16,4.735987346480149e-16,3.530896228389045e-16,-2.4287761628581655e-16,4.370490925776198e-17,7.998059946140326e-17,6.02475298532351e-16,-1.359162460331789e-16,4.748752318030524e-16,-1.9189063462192186e-15,4.4143459723691757e-16,5.349904423022758e-16,-2.1170247749547336e-16,4.1447352854142253e-16,4.687918717956564e-16,6.40887299763597e-16,3.1012877752348996e-16,8.637769482505914e-16,4.3687028957123086e-16,4.486446369075727e-16,5.048470841492217e-16,5.821588655680107e-16,5.349925597046436e-16,4.392945576185949e-16,6.051127474422703e-16,6.105286868723888e-16,6.018709275498796e-16,3.3831345590296805e-16,6.061043667169023e-16,5.825036076067148e-16,2.5547104955428175e-16,-4.703596748894879e-16,3.9187376898905735e-16,6.671710181927465e-16,6.317130669254772e-16,-7.156118651106807e-18,2.5563079333554844e-15,4.387348012456418e-16,0.0036882607134607337,2.4632306621279715e-06,1.9987928643402404e-07,2.587787777705919e-08,1.4428511683531349e-05,-1.3241067600931486e-16,9.319482780266408e-16,2.141401408536595e-15,-1.083033837371972e-17,4.431613675311136e-11
0,1.038,797,294.153,468.958,100564.785,0.204,0.8,,,0.6994496650599361,4.4257914430955125e-15,3.1127340315456764e-15,4.7031728113748274e-07,2.4252482003243522e-06,9.561197015023404e-10,2.0555973044032075e-14,0.013333534084442517,0.28506684496179135,1.588293670651384e-10,7.268886291946861e-10,2.2415189506194282e-13,8.810128153124122e-13,3.724195329732381e-15,9.455749883854488e-15,3.531949080944416e-14,3.061747125131332e-14,8.496101158667732e-15,-3.053200728062371e-15,8.646413773954912e-15,3.2221323364213713e-15,4.3389510435797654e-15,8.684998638099126e-15,-2.9391698127372783e-15,1.7090177048302905e-14,2.274360951390358e-15,4.321022429172479e-15,-2.2277418749460922e-15,5.1104496735157055e-15,5.086987441376395e-15,4.077253619708649e-15,4.252364411372137e-15,-2.3797328849965468e-15,4.523198221996343e-15,5.30311278089221e-15,4.878177236421488e-15,3.116435286110377e-15,6.394489240184541e-15,5.1143759691403475e-15,4.158542817611956e-15,3.0791149702639138e-15,5.513846930139426e-15,4.890059734545699e-15,3.755554432283663e-15,8.301150574944547e-15,5.836731760459428e-15,5.736991032284407e-15,6.135029147429235e-15,3.1156749326912778e-15,4.291103334351506e-15,4.942496193173717e-15,5.702833035511796e-15,5.022511975225282e-15,5.568911234051106e-15,5.821955014476572e-15,2.9747868933089723e-15,7.07872140091213e-15,5.0995769119611655e-15,0.002132153986284887,1.9545334171999558e-06,1.4638248463883673e-08,2.970361624991259e-07,1.2638201952249638e-05,5.542449431178122e-17,2.4371660986255345e-15,2.185484006885329e-15,8.886457381238485e-16,8.903670932948901e-11
0,1.087,773,294.54,468.884,100564.785,0.204,0.8,,,0.6948571589370145,1.6673276928258118e-14,-6.528967051982354e-15,5.160853339832936e-06,3.1874122294400614e-07,1.2899410993169673e-09,4.414266458546852e-12,0.021989743801291203,0.28256978106469705,7.101470775850343e-10,7.610347989082225e-10,1.7624175308076087e-13,1.5166428079564836e-12,-1.7113090265832448e-15,8.622927700117295e-16,-7.462591513540738e-14,1.356836981097584e-14,5.172834523212726e-15,-1.0656977949727163e-14,7.744898679169076e-15,-1.5108867808783958e-15,-1.505877074847849e-15,-3.0348990703320685e-15,-1.0574508373783923e-14,-7.038525809738702e-15,-3.829884414350068e-15,5.179814351215509e-16,-1.0580716151013088e-14,-1.5435833450995628e-15,2.152319539959629e-14,-1.9854781340158487e-15,-2.0924799906168684e-15,-1.0072541089944537e-14,-1.574662050554479e-15,-2.7729729907913044e-15,-2.0832295208997584e-15,-2.233464390743128e-15,1.9968413534658596e-16,-3.2536097051111948e-15,-1.880521256669968e-15,-2.277750136274349e-15,-1.6128238843230464e-15,-1.769627493523687e-15,-2.365506806274361e-15,5.020436442162404e-16,-8.954895410255856e-16,8.510275530656089e-16,1.3650830400956527e-16,-1.1798882155901812e-15,8.21525030708527e-16,-4.1954634798866406e-15,-5.248501338405519e-15,-3.2008221304583024e-15,-1.2639249431915126e-15,-3.9097030621182294e-15,-1.4420940759022316e-15,-1.6608046321766172e-15,-2.7726769834273672e-15,0.0005582516840251361,1.0062363200454046e-06,2.6749148047989393e-09,1.2113653164351426e-05,6.451139994252827e-06,-1.962915032057574e-15,4.807306198543712e-14,7.550437902391669e-15,3.044614204287311e-14,8.446828194504646e-09
0,1.137,770,294.874,470.048,100564.785,0.199,0.8,,,0.689197037610724,2.62912141134965e-14,-1.7380462767100552e-14,1.2104283830349609e-05,1.257883283696543e-07,1.3523763484935258e-09,1.2942782633337141e-08,0.028298598166881152,0.2795244139087696,1.5295499846378378e-09,4.899037704017391e-10,2.483657497115592e-13,7.72036260548845e-14,1.0504069719923335e-15,1.1874925233229277e-14,2.517657995831163e-13,8.090456258639127e-14,1.8969422903565762e-14,-2.6678217855567235e-14,6.435416120585551e-14,3.4443913834748845e-16,-3.65326904218627e-15,2.207472272986911e-13,-2.63010674062803e-14,6.639530029302951e-14,-9.84525499072272e-15,1.6646513412694252e-14,-2.655409517407078e-14,1.9987938341471092e-15,3.302715858444933e-14,-3.099894000327454e-15,-3.7497056228632085e-15,-2.4543794196409765e-14,2.097979410543886e-15,5.563001756363506e-15,2.359310345238214e-15,-4.3389471911432075e-15,1.8080168653380095e-14,2.4828809672612606e-16,-2.4268272613429167e-15,-4.925451872516167e-15,2.8752302304581838e-15,5.697392513423824e-16,-5.9646648579339615e-15,1.8635445782881405e-14,1.4208783835874896e-14,4.233838071860468e-14,8.677678517796969e-15,3.4039131465892967e-15,1.8298228553789565e-14,8.206604683595129e-15,1.0517685246769074e-14,-5.5049577177564865e-15,1.0754659355740825e-14,4.732599301282633e-15,6.683576400061494e-16,-3.494631258197895e-15,1.8182322220143355e-14,1.7995483849741367e-05,8.62066883428817e-06,2.1485157687674326e-09,0.00293926939753625,2.4848855543197073e-07,6.071954314805492e-09,1.1170425119223421e-13,3.4551719220624522e-12,8.35318374811467e-11,1.561579367791548e-06
0,1.187,762,294.874,470.048,100564.785,0.188,0.8,,,0.6829126183292537,-9.60891172230133e-15,-9.406406848418546e-15,5.9084835690714145e-06,3.6174434506527135e-07,7.735355800881253e-10,1.8070456503763967e-08,0.031714505799550124,0.2765566367460874,4.0413003138739664e-09,3.387486948540383e-09,-2.5409940442364082e-15,1.2905133193229104e-14,-1.480869618827172e-15,-1.4844509810793496e-15,-1.169354088095991e-14,-1.404017085602711e-15,-1.5117186622511707e-15,-1.4656076655230142e-15,-1.3068517753293161e-15,-1.4893389056780558e-15,-1.5019529464016443e-15,6.819757756192475e-16,-1.4627559324287864e-15,-1.2299776838854838e-15,-1.5353683005657723e-15,-1.7028021602919203e-15,-1.464532619813252e-15,-1.4861388145188636e-15,-9.428577035933698e-15,-1.5042041954990956e-15,-1.5060600292897833e-15,-1.4574552560465302e-15,-1.4955000680205476e-15,-1.3797256301560657e-15,-1.4386859653289395e-15,-1.5331366089362247e-15,-1.1915392868100127e-15,-1.5493762219197473e-15,-1.5016669142725615e-15,-1.5191430761840058e-15,-1.5183129425074181e-15,-1.5069352086884772e-15,-1.5145194432178578e-15,-1.405404335245371e-15,-1.3216003912638506e-15,-1.2656221267833645e-15,-1.844902066329307e-15,-1.4784846935713473e-15,-1.7078320851387169e-15,-1.5908624236948582e-15,-1.4377045129617186e-15,-1.6461855966603156e-15,-1.3044606426044939e-15,-1.5262677630998935e-15,-1.4952403402030309e-15,-1.6498477598331589e-15,-1.402102859533284e-15,4.957358451025376e-06,6.789651525874568e-06,1.4688734354171077e-09,0.008792468304786432,6.223490932640904e-08,5.8919377073518414e-08,6.496300046542571e-14,1.68493039919724e-11,1.117665477422195e-09,5.603552003974621e-06
0,1.238,698,294.874,470.048,100564.785,0.189,0.8,,,0.6764117309976709,1.1717198126244032e-14,1.1868169344122908e-14,3.5571448753470125e-06,6.271706511182268e-07,4.068243771012355e-10,9.803286767811473e-09,0.03383122887874515,0.2736885850320237,6.150523590544557e-09,1.2622681789908719e-08,7.706853171658835e-13,1.0459812080404046e-12,-6.160318501698925e-15,-3.279759934193726e-15,1.4217132214499363e-13,2.5994639159699624e-15,-6.068415621312355e-15,-9.478162622005313e-15,1.3360357937215496e-14,-7.172967778354043e-15,-7.572757671409743e-15,1.9368101574743285e-14,-9.488699239936416e-15,-7.363088484676152e-16,-8.767379905621637e-15,-2.3761568376392613e-15,-9.486881149928713e-15,-6.541188480581812e-15,1.1155215055493452e-14,-7.450900164903266e-15,-7.634554646681805e-15,-9.53581762579821e-15,-6.265695645625609e-15,-5.8807243763639924e-15,-8.079221318772006e-15,-8.464435871451303e-15,4.599161899610213e-15,-6.347011321224582e-15,-7.359877582624306e-15,-8.512299502458457e-15,-5.788349013938553e-15,-6.4330273182981186e-15,-7.939160772312025e-15,-2.855069635946612e-15,-5.961086593806898e-15,-2.1389526195695735e-15,-6.21633154776996e-15,-8.126104637133508e-15,-2.568318604404479e-15,-6.06810292421069e-15,-4.164244477292791e-15,-6.38229676394597e-15,-6.899183195351328e-15,-6.536103167843138e-15,-8.50215169265945e-15,-6.482869780324151e-15,-5.484497643912066e-15,2.414376053741922e-06,5.6318423628724e-06,6.579968249362316e-10,0.016044449734749975,3.0752033717350506e-08,1.0468298414108573e-07,2.9963624533354326e-14,3.017454043586283e-11,3.504162580015253e-09,1.1606210386948482e-05
0,1.279,701,295.473,471.171,100564.785,0.187,0.8,,,0.671207648363764,3.585170136543333e-15,3.955125067826154e-15,2.5867970731650823e-06,1.0119132653787958e-06,2.950060756351933e-10,5.800374725974645e-09,0.03506930808346847,0.271446741682293,8.700493540653754e-09,2.8699343632177506e-08,2.3736053299516834e-13,3.428469220271886e-13,-1.7105697687420644e-15,-1.4935932436587533e-15,1.0067552484850643e-15,-1.5960679471464139e-15,-8.232989324304222e-16,-2.9592535242432618e-15,-1.6484764901757473e-15,-1.6484804432033681e-15,-1.7005797887204049e-15,-2.5704688888605263e-15,-2.915743193940237e-15,1.2136796585167994e-15,-1.5521253089308417e-15,-2.0959040518747943e-15,-2.8942230715326386e-15,-1.7854541154284e-15,3.453560173079126e-15,-1.6985736052822472e-15,-1.702199678693094e-15,-2.7098897943170638e-15,-1.7894201817873377e-15,-2.451259524714601e-15,-2.5641396088951462e-15,-1.650583656385444e-15,-2.0434208818719332e-15,-2.0159617243274628e-15,-1.703785587496769e-15,-1.6802151405279507e-15,-1.9019612292079714e-15,-1.8059773259837524e-15,-1.683393632501518e-15,-2.696741818753579e-15,-2.3916811563294795e-15,-2.5776110606000008e-15,-1.906681421101392e-15,-1.7594322380493228e-15,-2.10742530891177e-15,-2.4052340211905097e-15,-2.6258225843014448e-15,-1.705602109262708e-15,-2.4330485616204337e-15,-2.22636716089732e-15,-1.7825181619566905e-15,-1.845319833026637e-15,-2.105585615774715e-15,1.5892776313745536e-06,4.976025881213808e-06,4.2287951369567194e-10,0.022249388356151447,2.3623051047526313e-08,1.2260061595878794e-07,2.5917531651246573e-14,4.067704901494022e-11,5.970201016583125e-09,1.6553347295453384e-05
0,1.327,722,295.687,477.738,100564.785,0.194,0.8,,,0.6649221384931716,3.283705465879561e-15,-2.764118551782507e-15,1.87312190437849e-06,2.9452274816249225e-06,3.301705366044642e-10,3.554854017053824e-09,0.036007006588039056,0.26882366892507986,2.0205179405026048e-08,9.854071404980914e-08,6.014194275647491e-14,2.380141737000944e-14,1.0745557798256018e-16,7.029813206154092e-16,1.6094906467414483e-13,-9.02752675161554e-16,2.1487690429395026e-15,-2.7450123561188304e-15,2.1022363032294727e-14,4.554408249039568e-16,6.215339439854512e-16,1.3774508779503119e-14,-2.747932274896939e-15,1.6106404565504568e-14,-2.1243315232045274e-15,9.854753045448645e-17,-2.7286293881589107e-15,-4.044628505587699e-16,5.745747791594017e-15,-2.27478287365159e-16,-2.4403410851554955e-16,-2.703647534697523e-15,-4.15677141058512e-16,1.2316243391811282e-15,1.6702902646865987e-15,-1.2282571881138806e-15,6.713657986778035e-15,-2.4484629542542983e-15,-2.2283686132928393e-16,-8.763837307430605e-16,-8.165602440497937e-16,-5.493499963031855e-16,-2.3590513725542266e-16,3.3348349366259962e-15,5.979462000236055e-16,2.6636448301090333e-16,-1.6995090714210018e-15,5.389394420702209e-16,3.006777619583485e-16,-7.339751040283131e-16,-4.388842848444085e-15,-2.731479968796111e-15,-3.3769526503939345e-16,-4.26932715299351e-15,-5.665435071961151e-16,-1.1953341583687588e-16,-6.568915376802806e-16,1.1506439499445268e-06,4.739381905564867e-06,4.904148201330393e-10,0.03021407360881456,3.219193338457412e-08,1.2974928205019527e-07,2.1889603802586603e-14,1.0153647217337734e-10,1.022388621976718e-08,2.210862137567204e-05
0,1.371,715,295.88,479.76,100564.785,0.136,0.8,,,0.6600419128385624,-6.5304192435240454e-15,-6.242720427190578e-15,1.3876062914500192e-06,7.486998571644452e-07,6.270895358615519e-11,1.6719714638638095e-09,0.03758696987223599,0.2671425939467921,4.383858591450357e-09,2.916381197983255e-08,-3.610695134979873e-13,-4.87216154966669e-13,1.623389543829524e-16,-2.4520700509570047e-17,-8.203370735106722e-15,-1.610703386318038e-17,4.05198550206039e-17,3.9275868883510013e-16,-2.259161501020586e-16,1.6215516967654986e-16,1.3467618667071212e-16,9.407914161918874e-16,3.9309861625398766e-16,4.254953415566093e-16,3.5727462966646916e-16,6.469511453183654e-17,3.938446112814037e-16,1.6778587694221777e-16,-6.5764361779503965e-15,1.762237168378773e-16,1.8969491068336645e-16,3.9452790922875836e-16,1.4883055229495715e-16,1.7154681330392813e-16,2.43303101013888e-16,2.7861326368926827e-16,-3.6418007053419104e-16,1.453217757450869e-16,1.7341805626298595e-16,2.5776511945618166e-16,1.6326701128417369e-16,1.6357024883168393e-16,1.935678028860795e-16,1.83297609867727e-16,2.3701646598973373e-16,1.7286387245365743e-16,4.520335563716266e-17,1.6350324343047995e-16,6.498658646342183e-17,1.0466718527509009e-16,1.6910364387991542e-16,1.22163457354856e-16,1.8588547458474157e-16,1.2142342158741756e-16,2.2241311048334793e-16,5.112524962040704e-17,1.8077567005946216e-16,7.033601679266974e-07,3.3056576816616565e-06,1.0773113214026931e-10,0.035197189232420885,1.4213713115002064e-08,1.1511278190279676e-07,1.881026453756237e-14,7.932418845350139e-11,1.0187976691227006e-08,2.501380296165435e-05
