,phi,grid,T_in,T,P,vel,blend,fuel,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,OHEX,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,N,NO,NO2,N2O,NH3,HNO,H2NO,NNH,NH2,NH,N2H2,N2H3,N2H4,H2NN,HONO,HNOH,HNO2,HONO2,NO3,HON,CN,HCN,HNC,H2CN,HCNH,NCN,HCNN,HNCN,NCO,HNCO,HOCN,HCNO,oxidizer.O2,oxidizer.N2
0,0.648300715,62,296.3240741,484.7467078,100791.432,0.198093657,0.2NH3,"CH4: 0.612351787, NH3: 0.387648213",0.7347759054169684,1.933343694961265e-17,-1.3415440469842221e-16,2.5082488382857887e-13,0.06564398487077942,3.4828458100608995e-09,2.6059424659790913e-12,1.914764138204419e-06,0.1386623453309115,1.9806385896311585e-12,8.129905291202466e-08,8.942363495266847e-06,0.056101645893022266,-4.1488313214431487e-16,-4.2729633509969504e-16,-4.3582535038913786e-16,1.0779653893587425e-13,8.666903629349174e-14,-4.276882752223214e-16,-4.274769869850297e-16,-8.992003066132636e-16,-4.1816091161304114e-16,-4.1386730476661634e-16,-7.950588148823925e-16,-4.311881708536809e-16,-7.735478909548422e-16,-4.014542848851659e-16,-5.536452332514809e-16,-4.160959046439453e-16,-4.1176132612100213e-16,3.253334899303887e-07,-4.1291308145240576e-16,-1.207769517779786e-15,-4.179183403837086e-16,-4.147785105983037e-16,4.819985535577409e-14,-1.0636346691186673e-15,-4.085564632019772e-16,-7.661646021213654e-16,-4.3271159339890093e-16,-4.0470938538666356e-16,-4.068886290781299e-16,-4.0201095361152447e-16,-4.278872414179112e-16,-7.667441774428141e-16,-1.8499316009070376e-15,-7.797216954759012e-16,-4.0428335652509485e-16,-4.0425013903963663e-16,-3.9800916541142876e-16,-7.039136298538893e-16,-6.979061626073818e-16,-3.9632049569498173e-16,-3.960291554321235e-16,-5.578284408716499e-16,-5.87982830938723e-16,-3.9185000037705855e-16,-6.640613506135468e-16,-4.092472747175896e-16,-4.3041243844309384e-16,0.00465655030774015,8.99939147300846e-05,1.385256220077105e-05,1.6802576416272923e-13,5.227521318118877e-10,1.6044665755954787e-14,-4.1518211722595656e-16,-4.289800534580681e-16,-3.211065526145326e-16,-6.356788000844331e-16,-9.413377755616767e-16,-5.959491069559793e-16,-4.219313420247584e-16,4.4208970410596844e-05,-2.9799412752430084e-16,3.815691238915765e-11,2.461210293735473e-10,5.790765624578834e-15,1.9047937052828954e-07,-4.1745796672614323e-16,2.711594393008162e-10,2.298786955117457e-13,-5.043921596792221e-16,-4.1936153010623126e-16,-6.258647006551789e-16,-5.169558849501596e-16,-7.487360422155372e-16,1.7190753693655696e-11,5.339314159071192e-08,5.168543012862099e-10,-7.36250624997208e-16,0.21,0.79
0,0.687574701,55,296.4140845,493.613615,100791.432,0.218063218,0.2NH3,"CH4: 0.612351787, NH3: 0.387648214",0.7319269055424308,-1.0104841178618306e-15,-3.69101801922941e-15,1.15639866597868e-12,0.05786920744398702,1.0357102303112882e-08,1.1387690024068188e-11,2.450297118071725e-06,0.14572288594396368,6.53966372368198e-12,9.48992612347487e-08,9.926162842389761e-06,0.058878431789509,1.0782618491943858e-15,1.0792045786884734e-15,9.604757445542293e-16,1.1591435793123422e-13,8.970352385290721e-14,1.0776256503823829e-15,1.0781255711236127e-15,5.572876063042917e-15,1.0486903277446573e-15,1.0752574891817662e-15,4.673766084875648e-16,1.078702330407031e-15,6.168744046294213e-16,1.0782265169040675e-15,1.6756437636493522e-16,1.0780216141802994e-15,1.0470729017135944e-15,3.184432728821384e-07,1.0780366989183718e-15,1.3998096136618364e-16,1.0779748700501056e-15,1.078543374824664e-15,5.3232738131337594e-14,-5.1233668199231924e-17,1.078213912487321e-15,4.806568481026572e-16,9.423183569091424e-16,1.077683148490523e-15,1.0781616865007306e-15,4.944008637604049e-16,9.172017785978688e-16,4.185343854197525e-16,-1.813063492832349e-15,4.820623437462547e-16,1.0730456249565195e-15,1.0680272359023425e-15,1.0625185996972032e-15,-6.59870380678228e-16,4.922925335662314e-16,1.0770187925989172e-15,1.0774799693416653e-15,-1.1688632980208e-16,-2.0487779534451833e-16,1.077625286814774e-15,-4.1495185119650565e-16,1.0781278395594125e-15,1.0780832248122566e-15,0.005438093401216837,9.746751509308156e-05,1.5647443342981352e-06,4.902470720910233e-14,8.285874463418465e-10,6.496637235932741e-15,1.0791068043128693e-15,1.0694519520458627e-15,1.2937466776044351e-15,4.826435801317836e-16,4.718217638541959e-16,4.804875308345455e-16,1.0138341112024743e-15,5.243687194666747e-05,6.270639427067567e-16,4.453197927768568e-11,1.8345307964846653e-10,1.4686715351217715e-14,1.8391929708687452e-07,1.0784982729204978e-15,5.3005434978334745e-11,5.3557213870631486e-14,4.4296026696885833e-16,1.0592654250603664e-15,5.712715798181891e-16,3.353587648677081e-16,4.777295449428908e-16,9.580435260645735e-12,2.1406769140320034e-08,1.2318817118782627e-10,-2.5824903817094127e-16,0.21,0.79
0,0.701552633,63,296.23,427.830636,101724.686,0.246122148,0.2NH3,"CH4: 0.612351787, NH3: 0.387648215",0.7304835606241987,2.529275109221638e-15,1.8292923086853295e-15,1.2769628235419226e-12,0.05479244952011528,8.795412041299127e-09,1.2410539697516147e-11,3.0731471843873366e-06,0.14806413186593323,5.533836592249701e-12,1.1479975376343274e-07,1.2741972582731474e-05,0.060792534529439834,9.237326309104674e-16,9.239427701426792e-16,8.756420584130121e-16,1.1432230589613869e-13,1.0010145009906456e-13,9.234866847424394e-16,9.239503666676509e-16,2.597015375272454e-15,9.013662309691647e-16,9.23084930892543e-16,8.163640299422193e-16,9.238573888690167e-16,6.547017106889068e-16,9.267552813568476e-16,3.822213524747867e-16,9.238746448694785e-16,9.06923728464992e-16,3.1881219303289404e-07,9.241417151277508e-16,4.3392462488488475e-16,9.239994441835019e-16,9.238064534777913e-16,5.876061961901228e-14,6.380549513936797e-16,9.24901937218663e-16,8.039933558348558e-16,7.630116055054803e-16,9.253183406876993e-16,9.260910970283385e-16,4.238409969196561e-16,8.291876250941497e-16,5.921029080787947e-16,9.494396262025948e-16,8.123628721066021e-16,9.228814376774531e-16,9.227661398132655e-16,9.171949586465534e-16,-2.9875193382973995e-16,8.784198409405968e-16,9.285257136922009e-16,9.286623075106042e-16,1.2183221869750342e-15,-2.7187388660953035e-17,9.304377774773721e-16,-5.585462075564847e-16,9.247752147800974e-16,9.237295105996376e-16,0.005684565458716114,0.00010469726355356632,9.286346523595829e-07,5.0008734612071977e-14,1.2111445647284866e-09,6.7429387643862766e-15,9.237388751422146e-16,9.199832496734741e-16,1.1979752707897824e-15,6.692309168553318e-16,6.489672952863006e-16,8.024482375450386e-16,8.802947363754268e-16,6.0683340711738636e-05,8.025870247479525e-16,4.470409222852369e-11,1.658526026708129e-10,8.857945278315195e-15,1.8120120434451954e-07,9.24063699835105e-16,1.9930386419051866e-11,2.3295447638853424e-14,5.309866891470327e-16,9.037650223554742e-16,6.137423844877862e-16,4.399084518668734e-16,6.375943701511402e-16,5.334921396147145e-12,8.530784745828262e-09,3.696334159660532e-11,6.220538267447482e-16,0.21,0.79
0,0.737818465,62,296.5586735,508.0607143,100791.432,0.240693564,0.2NH3,"CH4: 0.612351787, NH3: 0.387648216",0.7281597584596371,7.002421549974677e-15,1.1015859751545267e-14,6.166366287590564e-12,0.04749545172620139,2.6853182492333094e-08,2.659596632268516e-11,4.239549218052906e-06,0.15498509485829676,2.1126765606004597e-11,1.2592059400665084e-07,1.5246739955258204e-05,0.06282523097952544,4.036759675204032e-15,3.956559278509587e-15,3.001493705610294e-15,1.2387114995051695e-13,1.1427995317247962e-13,3.944142268787826e-15,3.9514353116340215e-15,4.376722214748484e-14,3.893922624658456e-15,4.02114714443361e-15,3.341134625151123e-15,3.933909971757156e-15,3.4392146945784774e-15,4.164752602725425e-15,-2.314090248586594e-15,4.028946884559596e-15,3.761800023617585e-15,3.2068215679828633e-07,4.0595215847912326e-15,1.5008857798345933e-14,4.017850513544177e-15,4.042890145509775e-15,6.259595116833543e-14,2.1650789754537605e-15,4.098558851526908e-15,3.399649110995156e-15,3.716204947494161e-15,4.126278008512642e-15,4.120258161136029e-15,-1.23310036881628e-15,2.8739931781968914e-15,1.0243426115719293e-15,-1.1382904572460136e-14,3.668016878120971e-15,4.086488325159185e-15,3.962571795019615e-15,4.118871640578124e-15,-3.275939847660785e-15,3.859920414622893e-15,4.170918540878771e-15,4.189976358518108e-15,-2.064876796456983e-14,-9.791647540710436e-16,4.2592884941613416e-15,3.4038766678039515e-15,4.093044945150677e-15,3.930924846130001e-15,0.006336054975001216,0.00010999163379263077,2.2291650488109011e-07,4.7125554449467356e-14,1.8283025184285916e-09,1.1960171685081235e-14,4.0443287422202445e-15,3.881050013743434e-15,4.756332260289681e-15,1.6998968510071037e-15,4.0748410680683e-15,1.7209854638869333e-15,3.5435986168910287e-15,6.805535030280874e-05,3.63427606448588e-16,4.160566131401147e-11,1.100514590180374e-10,3.957809587186309e-14,1.7475750554570824e-07,4.02197384467173e-15,4.0347302457685946e-12,5.033998791744636e-15,2.018049746348098e-16,3.952973607933636e-15,2.1038986749065105e-15,-1.8237300698949837e-16,2.633304157711281e-15,1.3910306018963646e-12,2.5517617692552096e-09,6.482553571039554e-12,-2.3122745972975077e-15,0.21,0.79
0,0.753396318,64,296.5925,512.5994444,100791.432,0.244478419,0.2NH3,"CH4: 0.612351787, NH3: 0.387648217",0.7267761593053272,1.5460192642973318e-15,-3.8488913745707037e-16,1.2089834776192447e-11,0.04442235498530055,4.1296401586049735e-08,4.7693783384558223e-11,5.100910232676118e-06,0.15808146169274737,3.508959244567566e-11,1.3812350483657019e-07,1.7731944265072218e-05,0.06390195207516666,-7.014105855124899e-16,-7.074729374691551e-16,-8.898461422990278e-16,1.2080069995484896e-13,9.002261705593916e-14,-7.102487541173742e-16,-7.080995298877896e-16,3.927558098974966e-15,-7.321819497584948e-16,-7.118348810091774e-16,-1.9796275807610305e-15,-7.096325683667368e-16,-1.948851633940105e-15,-6.945989549554116e-16,-2.1790606579758214e-15,-7.034042071544046e-16,-7.876669976387607e-16,3.223475557831366e-07,-7.006946237134103e-16,-1.019181235131306e-15,-7.038169257555493e-16,-7.034316861395307e-16,6.324171178584116e-14,-3.0209423696428094e-15,-6.982310393031373e-16,-1.9526253943143394e-15,-7.82107462983184e-16,-6.978169391289981e-16,-6.969324201505504e-16,-2.179494980900955e-15,-1.0314524452891451e-15,-2.122864057294709e-15,-8.213749581549079e-15,-1.952535668204209e-15,-7.099581238510861e-16,-7.418296731267465e-16,-7.104918596373251e-16,-2.472111426837553e-15,-1.992328856006097e-15,-7.060664078188039e-16,-6.987350588697751e-16,-7.0701899313651536e-15,-1.8687747112241663e-15,-6.90409378663359e-16,-1.1769328656491742e-15,-6.989542975852269e-16,-7.052451948604313e-16,0.006606909910128013,0.00011398324686911289,1.907393488365616e-07,5.38392331732204e-14,2.375223877277656e-09,6.249126676784721e-15,-7.005403245751506e-16,-7.250496007445568e-16,5.91522295745943e-16,-1.79036805308914e-15,-1.8232478072145584e-15,-1.97540377895577e-15,-8.263516540169695e-16,7.347841686178668e-05,-1.6193688750506083e-15,4.1450926599017925e-11,8.926925342044291e-11,4.8685807622617844e-14,1.7195859246711105e-07,-7.025289214018951e-16,1.3424519714721233e-12,-7.13132816357472e-16,-1.5746563169769447e-15,-7.193987159463533e-16,-1.8326969268743826e-15,-1.6107151141081525e-15,-1.8411518513514016e-15,2.741726288428978e-13,4.43918051873614e-10,1.0418335020151469e-12,-3.577612186129615e-15,0.21,0.79
0,0.789254238,66,296.6725,517.4427083,100791.432,0.241887234,0.2NH3,"CH4: 0.612351787, NH3: 0.387648218",0.7240477658460369,8.539384460920532e-15,6.251749655617603e-15,4.375128892238463e-11,0.0375697285180286,8.58507573831085e-08,1.319197105575555e-10,7.813871839188865e-06,0.1647118344018284,8.478628911478713e-11,1.675888007991216e-07,2.5662970732182303e-05,0.06627326976145179,5.172915486670247e-16,5.044991446826194e-16,6.3097068566000595e-16,1.1876390088737473e-13,9.438512964965404e-14,5.0614834516017885e-16,5.059405613400831e-16,-5.147992622905008e-15,5.195770315768206e-16,5.096176267260402e-16,-1.0541470204195924e-16,5.050743392309527e-16,-5.93631351560778e-16,5.038010035485106e-16,8.282625960184337e-16,5.049942245259679e-16,5.315431141721969e-16,3.1982090470853095e-07,5.026020306088939e-16,-2.060014435223701e-15,5.049522761091731e-16,5.052627462458385e-16,6.907863843646515e-14,-6.031075628317893e-16,5.047034792611004e-16,-8.019950672769013e-17,5.191348937551947e-16,5.044906720503736e-16,5.03966058034306e-16,-3.773249506178778e-16,5.16801396194909e-16,-3.516820214865566e-16,-2.03040749293197e-15,-9.747074559853093e-17,5.093104532748911e-16,5.181050779870232e-16,5.063059346314573e-16,8.630031479566159e-16,-4.479883011806111e-18,5.088605772944132e-16,5.080069593738969e-16,1.1716534614497163e-15,7.155451801177972e-16,5.0486133843446e-16,5.496528634253915e-16,5.047116210624548e-16,5.221311014152369e-16,0.007155994301818656,0.00012129855729326971,1.8948486137227946e-07,9.644805307579473e-14,4.293860238612468e-09,1.1363932920245831e-14,5.087986672724634e-16,5.088770511975343e-16,4.183510408696685e-15,9.624196014863427e-17,-4.080069244987684e-16,1.9309577929405093e-16,5.322966896905476e-16,8.569831168644337e-05,7.637453219597443e-16,4.0278918080764575e-11,5.555008594337811e-11,8.826188518736217e-14,1.6604172020196033e-07,5.043582933253906e-16,1.0169948297056106e-12,1.1982812956602253e-15,6.427228106537104e-16,5.084038421582997e-16,-1.4864655810968502e-16,6.749333204452738e-16,-2.0665117723996576e-16,1.6751235231668903e-14,2.026552073001457e-11,2.8349271023560886e-13,8.449510957116324e-17,0.21,0.79
0,0.805892891,74,296.7090278,520.5979167,100791.432,0.236942403,0.2NH3,"CH4: 0.612351787, NH3: 0.387648219",0.7228076503057966,-3.763156282286972e-15,-3.832333140426856e-15,8.486423224901195e-11,0.03395912342117767,1.2331829974061053e-07,2.125433819102531e-10,9.921656289859857e-06,0.16778508245791904,1.3242101487824728e-10,1.87729014558445e-07,3.191951909980157e-05,0.06779526852498709,1.0016429113558049e-15,9.583024618306144e-16,1.2981439492048754e-15,1.166491712545347e-13,1.097513061585265e-13,9.613014292604228e-16,9.586095050007012e-16,-6.432222578717944e-16,1.0065049173881918e-15,9.893762004792344e-16,1.704635771337335e-15,9.555934126245526e-16,1.7415640234061228e-15,9.801666987941223e-16,2.192036503189535e-15,9.695219265073204e-16,1.084749906503668e-15,3.207456908080449e-07,9.691798513931806e-16,3.648224279030491e-16,9.660386760601268e-16,9.70286915235764e-16,7.183355005065726e-14,2.421276431998856e-15,9.748622828950791e-16,1.7632856651677744e-15,1.018755122826853e-15,9.787218996483782e-16,9.76412986532605e-16,2.1784663640899542e-15,1.3030077735708914e-15,1.8986777017893885e-15,5.675148473057305e-15,1.7645791914089512e-15,9.967926285531057e-16,1.0296349952153533e-15,9.933737217869564e-16,2.2516223854647117e-15,1.928789758885399e-15,9.98043302009462e-16,9.954645356602373e-16,6.536808510047708e-15,1.545923155330641e-15,9.889541617463208e-16,1.0879462062366627e-15,9.74685531860319e-16,9.823460268712443e-16,0.0073950329832115635,0.00012465915703490328,1.962901588765351e-07,1.312220274261452e-13,5.8549237939620595e-09,1.6588544518910153e-14,9.796856106491307e-16,9.728582273503435e-16,7.395196415889486e-15,1.6768068369567512e-15,1.479184893809835e-15,1.9091036148361137e-15,1.093629824029065e-15,9.034463049962335e-05,2.175238477517279e-15,3.806785203581478e-11,4.341470811027889e-11,1.1906350951858064e-13,1.6288410724979127e-07,9.67762607258728e-16,1.049491570199186e-12,3.0127536100624715e-15,1.5728790301022107e-15,9.783295284916273e-16,1.707395120221563e-15,1.5370077347796371e-15,1.6192500037132955e-15,1.0242319869963265e-14,8.524553150605469e-12,2.413813757282043e-13,3.6487070140681216e-15,0.21,0.79
0,0.848939565,68,296.18,449.0567514,101724.686,0.315656733,0.2NH3,"CH4: 0.612351787, NH3: 0.387648220",0.7196193954571001,-1.1192831056131748e-15,-1.457115111743251e-15,4.554744368113489e-10,0.025477956314152127,2.3129250041695694e-07,7.337665499240547e-10,2.2010818640541645e-05,0.17487947321841682,3.395958620676559e-10,2.952865552750222e-07,6.814988215071828e-05,0.07185038796272952,-2.241201183678945e-16,-7.155417720168848e-16,-4.825998688657655e-16,9.685324778010427e-14,9.696981956299015e-14,-7.148115050151809e-16,-7.152851823524426e-16,-5.55040612867478e-15,-6.777068771707192e-16,-7.049967815756018e-16,-1.4934561401824753e-15,-7.183762387395332e-16,-2.011648456603067e-15,-6.932826821698951e-16,-7.08711992658553e-16,-7.0582498216366e-16,-7.109410363953543e-16,3.3623330866610864e-07,-7.028765094866638e-16,-2.5811483450099393e-15,-7.0670402871386385e-16,-7.037803094867579e-16,8.22909202359317e-14,-2.0824539992663966e-15,-6.993197336442434e-16,-1.426515445881772e-15,-7.0025917799057565e-16,-6.956440896669821e-16,-6.9756813274837005e-16,-1.6958011531893915e-15,-8.2091849575370385e-16,-1.7051832740688166e-15,-3.918592729072321e-15,-1.4508876248281177e-15,-6.970032494350003e-16,-6.9855820807843165e-16,-6.895241759362549e-16,-6.654985377220845e-16,-1.2493604139570393e-15,-6.907919562643078e-16,-6.904504656915542e-16,-1.3603903880232285e-15,-6.774056302748295e-16,-6.848496346506864e-16,-6.737968594943121e-16,-6.997272716734767e-16,-6.770913273159646e-16,0.007830594059920135,0.0001275567793711856,2.6340308382738327e-07,3.8459012694824617e-13,1.9413635626845578e-08,3.157492201701812e-14,-6.461215351714804e-16,-7.120670048202223e-16,3.817037263561079e-14,-1.3377901530325136e-15,-1.62798273277996e-15,-1.0862871872961984e-15,-7.33970299060754e-16,0.00012317062301369717,-7.436016635345104e-18,2.6982540727516463e-11,3.522645161837731e-11,1.861264041843009e-13,1.5765249197776726e-07,-7.068897712167388e-16,1.099947563200393e-12,2.9495574355033265e-17,-8.250727831930518e-16,-7.062772317079685e-16,-1.5573213820940884e-15,-7.857851919139938e-16,-1.6151609905293606e-15,1.4553827031870054e-14,9.787019377252507e-12,1.3112744597324334e-13,-1.191282813615515e-15,0.21,0.79
0,0.900395628,70,295.6,458.2683521,101724.686,0.33755166,0.2NH3,"CH4: 0.612351787, NH3: 0.387648221",0.7163307358379922,-7.045400097555901e-15,-7.059483503014365e-15,6.136856697720853e-09,0.014808472299969424,6.113891567378347e-07,3.007474479992259e-09,6.436988659486857e-05,0.18415365442222484,1.6602625188227858e-09,4.158050708839689e-07,0.0001668713292078098,0.0760812353528388,2.275864700676027e-14,4.206223318036848e-17,1.167985636448764e-15,8.808864798328001e-14,1.0884587992338013e-13,4.29360634829426e-17,4.176281530382859e-17,2.295156159491234e-15,1.0731884817810472e-16,4.7614495526295255e-17,4.0172949536614813e-16,4.1858293830379715e-17,7.870501871317982e-16,4.0321989707329665e-17,1.4640893871287316e-16,4.218746361872453e-17,5.990076366606945e-17,3.663257280524721e-07,4.129147088764713e-17,1.1185932121036794e-15,4.1077760153617765e-17,4.3213568102543616e-17,9.355767043160065e-14,7.060292119765687e-16,4.0561064782073624e-17,3.9753914696278765e-16,4.3787484390664813e-17,4.1325514835106455e-17,4.0911605800527433e-17,5.618275967974097e-16,2.6727295845920434e-16,4.344488564811897e-16,1.620162261996916e-15,4.1517537439451866e-16,4.435279843814551e-17,4.870358432434138e-17,4.17954453102937e-17,1.474989158500891e-16,4.020808613326888e-16,4.145263174479437e-17,4.2403671913715494e-17,7.029740911304959e-16,6.809927180055313e-17,4.158549943046753e-17,4.400848363643794e-17,4.075392625761151e-17,2.8009900150103303e-16,0.00813852353444314,0.00010015648813765228,3.4941176310038854e-07,1.9074142524910345e-12,1.0267095554775978e-07,1.016459062139761e-13,9.86618570217687e-16,1.3870759826176465e-16,6.003371634831197e-13,3.2476944856347024e-16,2.7624349983542516e-16,2.544405939645194e-16,8.218822224409256e-17,0.00015397195745403756,4.407501467916392e-15,1.3879527550185235e-11,3.0609175741718e-11,4.3407200022419405e-13,1.5242499373870886e-07,4.118677556731195e-17,1.2020708698539162e-12,1.7473358149933241e-15,1.1631230591644832e-16,4.1744350702556935e-17,4.073656603914945e-16,9.200732536550553e-17,4.0628288690474434e-16,2.2017381765845534e-14,9.748249092833654e-12,4.938794551551054e-14,1.3567937719450237e-15,0.21,0.79
0,0.945390252,97,297.6387974,473.2779517,102071.3232,0.240919822,0.2NH3,"CH4: 0.612351787, NH3: 0.387648222",0.7133421688853525,-1.2558360543152374e-15,-1.4407199674598703e-15,1.600705476493729e-07,0.006046565311634784,1.0915500406272032e-06,8.042555364871344e-09,0.00020379622289495375,0.19229424136693732,1.3323188409620705e-08,4.375981557385138e-07,0.0003965982840487454,0.07930206755869795,2.2238144374561697e-12,-8.784493181038495e-16,5.820735403642501e-15,1.5516626854422547e-13,1.572996875766912e-13,-8.801055179141753e-16,-8.795828827463148e-16,-3.212646089902959e-15,-7.681100867031617e-16,-9.484861653342278e-16,-1.1294814952026693e-15,-8.779280450724904e-16,-1.8514163710431596e-15,-8.78460279328029e-16,-1.3579891524444373e-15,-8.85184571653126e-16,-1.0386982436146571e-15,3.9450593594504316e-07,-8.789914935499997e-16,-1.3272720161203464e-15,-8.793166498733163e-16,-8.709845960693419e-16,1.406967979426005e-13,-1.56437543211138e-15,-8.77332376318903e-16,-1.2392054197546983e-15,-8.940581348347633e-16,-8.876259100214042e-16,-8.80343362515219e-16,-1.4325671800066975e-15,-1.2449109807167294e-15,-1.274327577740741e-15,-3.2259563240745474e-15,-1.2326562050272606e-15,-9.32098021837076e-16,-9.658674202213397e-16,-8.801218755398602e-16,-1.3338134372730765e-15,-1.2929094903798302e-15,-8.830068724525945e-16,-8.878156837710401e-16,-1.97857210270167e-15,-9.171562912078427e-16,-8.788942428772512e-16,-8.918172914617522e-16,-8.797126022077054e-16,1.2878136524026323e-15,0.008200257508116137,3.414610462574685e-05,9.967258588307525e-07,1.254165738034375e-11,1.0978327014138226e-06,2.2436506234291445e-13,2.56851386919652e-14,5.513281971528429e-16,1.661885527808928e-11,-5.222419548287942e-16,-9.2967037674177e-16,-1.2535160194647932e-15,-1.0630314723842163e-15,0.00017581080434075387,2.5405021486470255e-14,3.749824899238482e-12,2.3170233856397234e-11,3.312024696952675e-13,1.4822696680945243e-07,-8.810270693579746e-16,1.5670910327311369e-12,3.763007177953195e-16,-1.09089315704377e-15,-8.821810727302156e-16,-1.2312644087091747e-15,-1.0849643646889e-15,-1.2272492079104719e-15,3.398688945812712e-14,1.6478411323834597e-11,1.0394483860166843e-14,-3.68660203771213e-16,0.21,0.79
