,phi,grid,T_in,P,blend,fuel,oxidizer,T_max,flame_speed
0,1,831,500,100000.0,0.0,"H2O:0, NH3:0.7,  H2:0.3","O2: 0.21, N2: 0.79",2246.1300102799983,0.4158874910808538
0,1,825,500,100000.0,0.1,"H2O:0.0721649484536083, NH3:0.649484536082474,  H2:0.278350515463918","O2: 0.21, N2: 0.79",2216.9708674146564,0.38454285304401636
0,1,809,500,100000.0,0.2,"H2O:0.148936170212766,  NH3:0.595744680851064,  H2:0.25531914893617","O2: 0.21, N2: 0.79",2181.810994951855,0.3488325921147875
0,1,747,500,100000.0,0.3,"H2O:0.230769230769231,  NH3:0.538461538461538,  H2:0.230769230769231","O2: 0.21, N2: 0.79",2138.8545074171016,0.308442278343031
0,1,788,500,100000.0,0.4,"H2O:0.318181818181818,  NH3:0.477272727272727,  H2:0.204545454545455","O2: 0.21, N2: 0.79",2085.1548765607495,0.26144049852692147
0,1,833,500,100000.0,0.5,"H2O:0.411764705882353,  NH3:0.411764705882353,  H2:0.176470588235294","O2: 0.21, N2: 0.79",2016.1424461227277,0.2077398358670956
0,1,744,500,100000.0,0.6,"H2O:0.512195121951219,  NH3:0.341463414634146,  H2:0.146341463414634","O2: 0.21, N2: 0.79",1924.2441703614818,0.14757035177440322
0,1,808,500,100000.0,0.7,"H2O:0.620253164556962,  NH3:0.265822784810127,  H2:0.113924050632911","O2: 0.21, N2: 0.79",1794.0899451919445,0.08338540597806218
0,1,716,500,100000.0,0.8,"H2O:0.736842105263158,  NH3:0.184210526315789,  H2:0.0789473684210526","O2: 0.21, N2: 0.79",1591.5124669895133,0.025014432182574705
0,1,645,500,100000.0,0.9,"H2O:0.863013698630137,  NH3:0.0958904109589041,  H2:0.0410958904109589","O2: 0.21, N2: 0.79",1242.5423611940766,0.0003462878410015132

