,phi,grid,T_in,T,P,vel,blend,fuel,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,H2NO,N2H2,HONO,N2H3,N2H4,NH2OH,oxidizer.O2,oxidizer.N2
0,0.648300715,835,296.3240741,484.7467078,100791.432,0.198093657,0.2NH3,"CH4: 0.612351787, NH3: 0.387648213",1.0734303683068061e-06,6.558831241455635e-11,9.366612871047568e-09,0.06487495148168718,6.401973944641718e-06,0.13929912026581417,1.3908241145846966e-09,2.1444361401259864e-06,-1.4584907816987587e-16,-1.4757027885989537e-16,-1.2370959037638639e-16,-1.485405981770437e-16,3.6892803151400425e-16,1.2402262915587247e-14,2.641755046752637e-06,0.05619905702054432,-1.0742648402963695e-16,1.9541865470522825e-15,-1.3996275195283134e-16,2.503003073891055e-16,2.91446732325493e-15,-1.4593680230251732e-16,-1.6213197007698484e-17,-1.3558937463092974e-16,1.3237213909348823e-16,1.7498504785846233e-16,2.0188579835446357e-16,-1.0644085514138711e-16,1.7609842139325323e-16,1.165495470029493e-15,-8.40226847676393e-17,-5.1674783678371126e-17,8.126107620709346e-17,6.48885442653466e-13,-1.4743225235451522e-16,0.005268955665471416,7.869633564342587e-05,3.852963652172396e-06,2.638391472170933e-09,-1.4034515831392125e-16,1.7626964879073292e-10,3.1338247869111067e-16,-1.399527295371959e-16,2.2752981860413973e-08,9.810987989934933e-10,2.802967777107243e-10,1.7845367526382844e-16,0.7342506319200574,-5.445483049857891e-15,2.3657472221368614e-16,2.800422393293306e-16,1.783883387615201e-16,2.48971119899154e-16,2.0273391613793107e-16,2.2347732585787935e-16,8.675474746629616e-06,-5.049121458286773e-17,1.3040850789903354e-16,3.759624156135991e-06,0.21,0.79
0,0.687574701,872,296.4140845,493.613615,100791.432,0.218063218,0.2NH3,"CH4: 0.612351787, NH3: 0.387648214",1.7373837517287953e-06,1.4871430082046248e-10,1.4268478068674143e-08,0.05683009449566727,8.276398847577114e-06,0.14663423924434485,2.053174787352216e-09,2.6440025313981897e-06,-2.4961538657702914e-16,-2.517645822612998e-16,-2.2879066511129017e-16,-2.52948323932195e-16,-6.678453030898334e-18,1.848215596827318e-15,4.051479776346111e-06,0.059204745962220764,-2.0612543724669917e-16,4.505052998689571e-16,-2.4354843821703395e-16,-6.280904166628909e-17,3.9556582414355723e-16,-2.5033590006175745e-16,-1.331540747494222e-16,-2.38677635180158e-16,-8.780928912352392e-17,-8.064529293691186e-17,-9.226813797169691e-17,-2.144986922266171e-16,-9.12063211698461e-17,-3.20654649672838e-17,-2.0115792881848057e-16,-7.50965650471893e-17,-1.4357414948686388e-16,8.327618732365239e-14,-2.5049852877683167e-16,0.005988134215724745,8.998496527308027e-05,2.65254112804954e-07,5.332218336068104e-09,-2.4343729989217964e-16,1.2605959064357572e-11,-9.429584527348782e-17,-2.432476429096712e-16,2.093176523300295e-09,4.491776610074879e-11,3.1288382767196246e-11,-1.331581295381418e-16,0.7312248697822047,4.3848261566539264e-16,-7.246382022795783e-17,-8.559397682141656e-17,-4.479565917826769e-17,-7.479921820751524e-17,-7.863724923877104e-17,-7.989433232796773e-17,6.849849208691547e-06,-4.163078119390925e-17,-6.433913831489685e-17,4.082981679632773e-06,0.21,0.79
0,0.701552633,865,296.23,427.830636,101724.686,0.246122148,0.2NH3,"CH4: 0.612351787, NH3: 0.387648215",2.210071279620244e-06,1.0368817950984486e-10,8.748772424570487e-09,0.05397159422046446,7.88260658781055e-06,0.14884538078223278,1.843654760326959e-09,3.5377023752477235e-06,5.075325995219447e-16,5.16674338335173e-16,4.320545869801871e-16,5.205921263029504e-16,-2.4025820863635296e-16,9.932097553652549e-16,5.3402072610063715e-06,0.06088567644742487,3.6816394134181713e-16,-1.3393451932605207e-15,4.832273125304514e-16,-1.5964476582405124e-17,-1.609903311699622e-16,5.116182690702474e-16,1.846654227186666e-16,4.710255088365304e-16,-1.838541306271144e-16,-3.2474151795280464e-17,-5.571877794233753e-17,3.8725937047592074e-16,-5.280942812418361e-17,-3.0511999786208636e-17,3.471150520718796e-16,4.674926840215411e-16,2.394195926504486e-16,5.741895966976174e-14,5.206024602991229e-16,0.006205459816754699,9.86325889154275e-05,2.1236040589064815e-07,7.164869053726968e-09,4.881275986312222e-16,6.40247147073612e-12,-6.586917204803914e-17,4.852209464487806e-16,8.94112671027732e-10,1.8027560105436465e-11,1.6645928595131e-11,2.7391918286998436e-16,0.729963424248008,2.4986888377240563e-16,-2.3822303425429904e-17,-4.5133090577400587e-17,-1.9545165315468345e-16,-2.657108792329978e-17,-2.8628561205576496e-17,-3.3929760718190805e-17,6.4807489530685805e-06,-1.343801838549378e-16,-6.996816927073099e-17,4.149403100764988e-06,0.21,0.79
0,0.737818465,841,296.5586735,508.0607143,100791.432,0.240693564,0.2NH3,"CH4: 0.612351787, NH3: 0.387648216",3.479475269938811e-06,4.770734525602562e-10,2.507130917769222e-08,0.04655734008374646,1.130858346911142e-05,0.15593644822883715,3.510727349582465e-09,3.3946354346097694e-06,-1.2667076268370927e-16,-1.2375320271042298e-16,-1.4573996763848057e-16,-1.2218403376119984e-16,-3.091778022407934e-17,-8.021605271561004e-17,8.10113787541794e-06,0.0630808400563921,-1.3239676499622587e-16,8.014874287061622e-17,-1.334849694995205e-16,-4.5074606176235454e-17,-1.1050145747066797e-16,-1.257963580769882e-16,-1.5373139928646363e-16,-1.388390225336432e-16,-2.4616409022448964e-16,-4.770498625789564e-17,-8.78080630813403e-17,-1.514096181255416e-16,-8.432984148967502e-17,-8.730204795205114e-17,-1.5635845187785915e-16,6.094290696321545e-16,-1.4549854819976647e-16,3.782840775942092e-14,-1.1325392394396058e-16,0.006764530374741582,0.0001034764955709468,1.570724015765498e-07,1.3757046885043242e-08,-1.3462315743818674e-16,1.636064090291834e-13,-1.02875562970081e-16,-1.3451348090757935e-16,2.068068815067314e-11,1.8026657154341928e-13,5.152603485962845e-13,-1.7775091305391965e-16,0.7275216065699526,1.488501982731309e-15,-5.250801391234786e-17,-8.069506681621502e-17,-6.553542036253896e-17,-6.243560326166849e-17,-5.678686767409215e-17,-6.95709993848454e-17,4.886235965126439e-06,-1.966282750852529e-16,-1.0249390781768151e-16,4.38821261020979e-06,0.21,0.79
0,0.753396318,825,296.5925,512.5994444,100791.432,0.244478419,0.2NH3,"CH4: 0.612351787, NH3: 0.387648217",4.312029931446684e-06,6.800982657500698e-10,2.9502398373609848e-08,0.04340608412412481,1.2330272761905572e-05,0.15880019157357642,4.110227108141143e-09,3.6375980444292723e-06,-1.1809849892422016e-16,-1.1252035654485595e-16,-1.5602915038898026e-16,-1.095870981355443e-16,-3.218592505286285e-16,-2.098872335269699e-16,1.0029858618229626e-05,0.0642751466262527,-1.348354612677932e-16,-5.204203813086415e-16,-1.3200735613806853e-16,-2.522347712680503e-16,-2.0710930203093424e-16,-1.161991636054211e-16,-1.210417125594875e-16,-1.43222393319959e-16,-7.979345417769489e-17,-2.602845422329125e-16,-2.2483842919156584e-16,-1.7635648669712014e-16,-2.512336817551652e-16,-1.4536022680355242e-16,-1.8847443223554631e-16,1.1241224171050161e-15,-2.3631399929483123e-16,5.341837603657594e-14,-9.557348741541845e-17,0.00697097276116501,0.00010660139064402667,1.638268736823776e-07,1.8332456460624055e-08,-1.3421040205761848e-16,2.7271507337128253e-14,-3.087257075782983e-16,-1.3378175607481044e-16,2.941184972627681e-12,2.2294622677014067e-14,9.969577406400457e-14,-2.3869057727111865e-16,0.7264016483276021,-2.6965343685651907e-15,-2.6045102780436786e-16,-2.2734885606055416e-16,-3.490669061236609e-16,-2.4798306598838994e-16,-2.6922531342912717e-16,-2.468552751103108e-16,4.371420933681075e-06,-1.3841850733968412e-16,-1.7947342745852237e-16,4.457561156036131e-06,0.21,0.79
0,0.789254238,819,296.6725,517.4427083,100791.432,0.241887234,0.2NH3,"CH4: 0.612351787, NH3: 0.387648218",7.015293728493187e-06,1.4239353541484918e-09,3.936531168551722e-08,0.03625006862400373,1.4520242234663802e-05,0.1653016330816725,5.594307243132207e-09,4.243742420445104e-06,-2.1259674711821774e-17,-2.4850788867270974e-17,-6.7165245013925475e-18,-2.6785380355306375e-17,-2.290467731294584e-16,-1.8475249832653374e-16,1.6145705734426484e-05,0.06704021153856357,2.952954330774676e-16,-5.70994182386796e-16,-1.472166551166926e-17,-1.683789056695672e-16,-2.5591225130914646e-16,-2.2255608270083328e-17,-1.2370246311281468e-16,-1.1129708660418775e-17,-2.0598649538119177e-16,-1.7874857833934162e-16,-1.7824865279957356e-16,-1.286500578771083e-17,-1.6171684736313817e-16,-1.7337553617445691e-16,-9.197260497114745e-18,4.046839486399279e-15,-2.928945350363383e-17,1.2750870876622053e-13,6.976607195688742e-18,0.007379462482101969,0.00011107691321566869,1.8245771049161566e-07,3.4972882929878984e-08,-1.2800537944731105e-17,1.8676330375215105e-16,-1.5678142084728231e-16,-1.2867951894807797e-17,7.472532828031975e-15,4.290785250099047e-16,3.2128322299394773e-14,6.8943295222458735e-18,0.7238674314885059,-3.530793705152985e-15,-1.724594396501434e-16,-1.728556348041126e-16,-2.2802994553630604e-16,-1.700275327415775e-16,-1.7254177674611794e-16,-1.695064474903925e-16,3.357769309243741e-06,-9.837712400712699e-17,-6.079569437602125e-17,4.569304196850542e-06,0.21,0.79
0,0.805892891,811,296.7090278,520.5979167,100791.432,0.236942403,0.2NH3,"CH4: 0.612351787, NH3: 0.387648219",8.82622747964133e-06,2.0312144599913325e-09,4.5021066182688e-08,0.03296800594638631,1.5580858643803303e-05,0.1683062126458617,6.452907062904265e-09,4.52194110242137e-06,-7.988451336734422e-17,-8.56927431439175e-17,-4.5904078852156264e-17,-8.826401307360609e-17,1.1398725186129755e-17,1.2142804221542907e-17,2.0089960979424552e-05,0.06830598569475423,5.576603292221202e-16,9.279710220849826e-17,-6.380219416147188e-17,-3.7328729411484535e-17,1.3980247027052203e-17,-8.140963665944348e-17,-3.518409049961655e-18,-5.1648417522608316e-17,1.589499681081447e-16,-2.4474717388965853e-17,-2.5734031487281047e-18,-2.877630182821749e-17,9.859161057785772e-19,2.7449171795813975e-17,-2.1044823608771634e-17,6.981579083036347e-15,4.103334635104975e-17,1.9443512947513755e-13,-3.6517647277520275e-17,0.007535746055674937,0.00011137975027095903,1.9257400312208556e-07,4.7446789027003215e-08,-6.027597592753672e-17,5.099516464473378e-16,-2.3285104517723046e-17,-6.115824559097068e-17,1.7172818376890198e-16,7.060951820149075e-16,4.748348752844832e-14,3.8248346812466455e-17,0.7227157731625621,-1.5526492986394812e-15,-1.7012843516834836e-17,-3.707091332822955e-18,2.7206842113362625e-17,-2.0446071288223392e-17,-8.09662263975457e-18,-1.6140101641135768e-17,2.986441602756023e-06,1.909528448340459e-16,2.0791420203311843e-16,4.597788452423758e-06,0.21,0.79
0,0.848939565,813,296.18,449.0567514,101724.686,0.315656733,0.2NH3,"CH4: 0.612351787, NH3: 0.387648220",1.975550549025915e-05,3.4399563709271528e-09,3.6813141414203216e-08,0.024253267607239323,1.7278565162202525e-05,0.17556764575753453,8.472801911661006e-09,7.212718635067331e-06,-7.240644334117709e-16,-7.265363965875218e-16,-7.12427251693233e-16,-7.273447014233436e-16,-5.30087669021791e-16,-3.90925127984724e-16,4.3733845343481246e-05,0.0724937191625348,2.420812709920098e-15,3.573987527467803e-16,-7.149891532752441e-16,-5.166238580625535e-16,4.0183988216491814e-17,-7.2414343010356e-16,-5.126624187911003e-16,-7.121785501692431e-16,-1.0078369565667044e-16,-5.019489483676554e-16,-4.0426631132044216e-16,-7.049666253364776e-16,-4.1068851134422554e-16,-3.784207131148698e-16,-7.019940064378369e-16,1.435567810488289e-14,-5.833941232020592e-16,9.727962853774098e-13,-6.860743793499778e-16,0.007807168417453445,0.00011310088195403564,2.482361279416781e-07,1.3202707825371169e-07,-7.155875389960083e-16,2.282340813031844e-15,-3.7837163869252243e-16,-7.149963974100679e-16,3.292863119728113e-16,9.127342000936524e-16,1.976336483987326e-13,-5.110369604908897e-16,0.7196692861505717,-8.394639213819767e-15,-5.63365768397197e-16,-4.1257728115979064e-16,-5.741080357357755e-16,-5.040070560733144e-16,-6.025625807029848e-16,-5.998885767210066e-16,2.870827305204716e-06,8.826611656555702e-17,5.558859921736504e-16,4.531570503726264e-06,0.21,0.79
0,0.900395628,847,295.6,458.2683521,101724.686,0.33755166,0.2NH3,"CH4: 0.612351787, NH3: 0.387648221",5.561621102698938e-05,1.862140621248425e-08,6.29256812132575e-08,0.014163085889249322,2.19782957095032e-05,0.18481427683594343,1.686032129218903e-08,8.970594945478537e-06,4.226767657176013e-17,1.1396404895676749e-17,8.569165689138689e-17,2.9414043259744063e-18,-2.032717481861181e-15,-1.2013036156586166e-15,0.00010703590538470412,0.07646555655121531,7.167858701447787e-14,-5.9024062886936766e-15,4.179413721632104e-17,-1.5479106051197767e-15,-2.021353128270017e-15,3.1850430895173494e-17,-8.275064755713439e-17,4.028682622225031e-17,2.109680421758196e-17,-1.6809335787606587e-15,-1.3314953279277057e-15,2.451079507257146e-17,-1.354361244436828e-15,-1.077749732027196e-15,1.0490956828726544e-16,1.8310358870530055e-13,9.457564040438474e-16,7.022437696702306e-12,3.088447422804163e-16,0.007926855086232703,8.50293038626827e-05,4.759246453852601e-07,5.593429474067428e-07,7.639391934102664e-17,1.9662886667321433e-14,-1.1392985894064441e-15,7.549393719563428e-17,-3.1978052113516657e-15,9.285183407833e-16,1.1530823781965602e-12,2.0820175167341363e-15,0.7163429809669198,1.608547221813384e-14,-1.5522386386454475e-15,-1.382226875978836e-15,-2.0018832742004977e-15,-1.5605542867271525e-15,-1.3810361982917378e-15,-7.995653023857494e-16,3.1217872495934047e-06,-6.916642160421901e-16,6.941558768841542e-15,4.358888813058241e-06,0.21,0.79
0,0.945390252,913,297.6387974,473.2779517,102071.3232,0.240919822,0.2NH3,"CH4: 0.612351787, NH3: 0.387648222",0.0001774822475644757,1.380244603710024e-07,6.739523578584672e-08,0.005971992399433283,2.152567735425275e-05,0.1927423396353806,3.162397420640378e-08,8.009664490413139e-06,-2.732601293149968e-15,-2.9027401256220775e-15,-2.40028709998797e-15,-2.940708691702811e-15,-1.2044082666105152e-15,-2.1044857308268836e-15,0.00027037090965184856,0.07947996405880067,3.1874006772053644e-12,4.5735916454394704e-14,-2.17341705134021e-15,-1.754851358595781e-15,-9.35424038074592e-16,-2.801064570744588e-15,-1.5733604750166388e-15,-2.0518954363131885e-15,-1.7543661677245712e-15,-1.8254770886731205e-15,-1.6478088567643407e-15,-2.2351768296728806e-15,-1.9110930057738228e-15,-1.6205729282692337e-15,-1.3083203998482587e-15,3.5235524196657894e-12,1.0082236601483885e-14,5.94353166054652e-11,5.938917688296911e-16,0.007786604655795577,3.7824898852883565e-05,2.1479363753503004e-06,3.320161826851713e-06,-1.999057961771225e-15,1.7146445126832032e-13,-1.5862340663622734e-15,-2.0923194191243444e-15,-1.9370193464895297e-15,6.949718080578121e-16,9.770064495985582e-12,2.7960253620130515e-14,0.7134905523940777,-6.867433880516608e-15,-1.7095890132299535e-15,-1.6517038615683814e-15,-1.5276140034619363e-15,-1.7350056745893418e-15,-1.680673865496284e-15,-2.149991963050924e-15,3.4776342362559226e-06,4.011572782700173e-15,7.361290254913002e-14,4.150606301989421e-06,0.21,0.79
