,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,NO,N2O,NO2,NH3,HNO,N,N2H,NH2,NH,H2NO
0,0.649873961,819,297.3401876,524.0008899,101391.381,0.286398527,0.2,"NH3: 0.3879030565, CH4: 0.6120969435","O2: 0.21, N2: 0.79",28.48180621661504,28.639852700000002,0.7348182739317561,1.0724757894294397e-14,1.118048707478709e-14,3.4965533346716387e-10,0.06479334204626021,1.0089897091573926e-05,6.926651782588143e-09,2.8149373628009113e-06,0.1399966763791892,3.249154917874198e-09,4.001996574024722e-06,7.285861818336792e-06,0.0562830118580539,2.7369649227848286e-16,-5.950956972948657e-16,7.776923550003108e-14,1.2912393597855717e-14,6.297531078210663e-17,6.541331552457206e-16,6.680953176795162e-15,-4.792018621797356e-16,3.1550679255612973e-16,-9.011627909636602e-16,6.269845384084115e-16,-1.0733885916047536e-15,-3.6728757686238593e-17,-6.8310551932502405e-15,2.84904317849287e-16,-6.305247840856738e-16,7.843552696262255e-07,-2.5741490297702818e-17,-8.226167071328582e-16,5.183178362703573e-16,5.231103450658196e-16,7.336006813445561e-14,-1.6885299098664138e-15,-3.525592508792562e-16,-7.834720386475671e-16,1.1725271088377971e-15,6.647768936050911e-17,-5.674046335668761e-16,-2.0029895389753355e-15,-7.427518381425176e-16,-1.0410923272563026e-15,-2.473743439621038e-15,-8.183826226491067e-16,-2.4762250855441477e-16,4.301500464286021e-16,-1.0101224968330781e-15,-2.2128064633736512e-15,-7.988106148004758e-16,4.630247919202562e-16,5.950283455405045e-16,-1.1222111048929732e-15,-2.6526434360599906e-15,6.299491105970227e-16,-4.605918423751376e-15,2.891459051490213e-16,0.004018335350812774,7.458780660003266e-06,5.7912806975062576e-05,2.735199389954369e-14,1.2724926531978567e-09,1.83148631946983e-16,6.554022449773217e-16,-2.5360258315465924e-16,2.0815752794193057e-16,2.8637257509613397e-14
0,0.699533012,844,297.834618,540.7784952,101371.383,0.327161047,0.2,"NH3: 0.3877791915, CH4: 0.6122208085","O2: 0.21, N2: 0.79",33.4872618936522,32.716104699999995,0.731068643197994,-2.3793428502790493e-15,-2.1759167919054882e-15,9.062974962684535e-10,0.05477070455994054,1.381396448768339e-05,1.3942428498546875e-08,4.323169293287357e-06,0.1492824914585055,5.227295942394236e-09,4.767106946764008e-06,1.027531892628005e-05,0.05999987160312498,6.824995700885521e-16,1.6567986478057977e-15,7.892203034265854e-14,2.37654199998303e-14,6.413156861188247e-16,1.8363311143450278e-16,-3.234371738641592e-15,1.1298885496342718e-15,4.94105829569687e-16,9.892832541981485e-16,2.036689348458641e-16,1.0123171874066771e-15,6.34602389318572e-16,3.6527261851361554e-15,4.668839220978414e-16,8.567385563588424e-16,7.193141876222764e-07,6.462243666164972e-16,9.914856782324272e-16,2.8087628264860623e-16,2.9591316003092136e-16,8.155201826421055e-14,1.3360611872143862e-15,7.23001696586099e-16,9.6498932156748e-16,1.149420057663603e-16,5.867213866305e-16,8.050705781388703e-16,1.4739088055225353e-15,9.519470410727502e-16,1.0448674804678166e-15,1.5322220695324063e-15,9.896084146008745e-16,7.360099961629973e-16,3.688221768310739e-16,1.1884807170197188e-15,2.2672088646040473e-15,9.57114469968173e-16,3.3964233349249564e-16,2.3272574354646044e-16,3.048172367203594e-16,2.095576512480214e-15,2.1728703808454033e-16,3.118965542051738e-15,4.504083334406651e-16,0.004779436935665208,4.4213854094748233e-07,6.448846048824509e-05,2.519317662608773e-14,2.695587666401876e-09,4.8265097633105e-16,1.9028040761134876e-16,7.173638094871044e-16,4.71339373563892e-16,4.8899093514718984e-14
0,0.749940011,809,297.8464894,558.4945965,101371.383,0.385745402,0.2,"NH3: 0.38786093225, CH4: 0.61213906775","O2: 0.21, N2: 0.79",40.57776505199399,38.5745402,0.727426705768347,1.2636473783262794e-15,4.911315406712097e-16,3.1608020344280093e-09,0.04450203940232796,1.9257875816261534e-05,3.0984254942849833e-08,8.301540845244687e-06,0.15867932703541013,1.0004510211342329e-08,5.8868668743506016e-06,1.903759568947897e-05,0.06386314144533646,1.438141774876277e-15,5.763406845825645e-16,7.724196939082322e-14,2.211647135490612e-14,-8.42568755193556e-17,4.1788430208546786e-16,-3.3955336827784185e-16,2.884933389551764e-16,4.535990242520722e-17,-1.206861742403633e-16,3.91202699874082e-16,-2.9563124561379655e-16,7.664458275009786e-17,-9.316923459387521e-16,1.1774874043143135e-16,-9.230922415030625e-17,6.935814911643625e-07,1.5965342181315476e-18,-1.3119409685852727e-16,3.059499223348062e-16,2.8352084480191537e-16,9.371667513415019e-14,-2.607270027448758e-16,-4.344016355088143e-19,-1.0832520994906335e-16,-1.9519207402121898e-16,4.540643137257705e-17,-6.079271255882827e-17,-1.6811003538337154e-16,-1.0920528447031938e-16,-8.863723005962901e-17,-2.5316558931527268e-17,-1.1483756877306814e-16,-4.239371361709666e-17,1.9182421539637232e-16,-3.363433932595092e-16,-3.104813325523228e-16,-1.0101482434723002e-16,2.2131186425349188e-16,3.4743243702927567e-16,1.240495849574003e-15,-5.497121658702566e-16,3.492166496225798e-16,-1.4525855085208661e-15,1.4113993171810658e-16,0.005404845393958699,1.9079712714818484e-07,7.052160557743925e-05,6.740311414566307e-14,6.941279705641726e-09,1.4409924761662207e-16,4.44178991349061e-16,1.4659912036007236e-17,1.5009578935796367e-16,8.856635933707012e-14
0,0.799922993,903,297.7412027,581.1211762,101371.383,0.455036468,0.2,"NH3: 0.3879315015, CH4: 0.6120684985","O2: 0.21, N2: 0.79",48.993462049430946,45.5036468,0.7239473630014998,1.469995898494473e-14,1.1892441179365266e-14,1.2888259252253192e-08,0.034387374234964414,2.676032242097099e-05,7.594868258120185e-08,1.737372238091436e-05,0.1679736629042224,2.137331908918647e-08,7.109571678642546e-06,3.8276513959693555e-05,0.06765776016101463,1.472719889264441e-14,1.023999234880099e-15,8.23906226866041e-14,3.026377758523166e-14,1.749810900335676e-16,2.269670218343554e-16,-9.39510330840651e-16,4.687026176286389e-16,8.475343024610798e-17,1.0376877179249765e-16,2.313826523898696e-16,3.4880191021726403e-17,1.905919316347217e-16,-4.1010817155819026e-16,1.794811340495364e-16,-3.9516242683464054e-17,6.960263689564143e-07,9.99554347246983e-17,9.803755934828638e-17,2.37857198499795e-16,2.532536329088613e-16,1.1958000205814018e-13,-3.9679012867842245e-17,1.6662679736356586e-16,7.535385606878979e-17,8.03800870102252e-18,1.419641527299207e-16,4.4876259706268767e-17,3.528112052290252e-16,1.0351464618780202e-16,1.468800081948371e-16,6.779703207277288e-16,1.0236334681668576e-16,1.1780886074901133e-17,1.6538951258062878e-16,-2.0082050707108497e-16,2.225863852959636e-16,6.436695446435619e-17,2.1658526360300977e-16,2.3790757351021143e-16,3.7116244742091497e-16,3.311185352087507e-16,2.3034355335609603e-16,8.214924838502893e-17,2.027982853443428e-16,0.0058713668203768995,1.880554428322254e-07,7.193873323110749e-05,2.350603074379049e-13,1.9721485874138492e-08,2.1136192540258138e-16,4.095190661718068e-16,2.2946915031573316e-16,2.1526948784008167e-16,1.7668508210810895e-13
0,0.84934797,923,297.4330221,582.1592283,101358.051,0.524897834,0.2,"NH3: 0.388049337, CH4: 0.611950663","O2: 0.21, N2: 0.79",57.553295276012705,52.4897834,0.7205779415023958,-2.374325536276223e-15,-2.3115036158734003e-15,4.721174438133936e-08,0.024501335179241603,3.4439034094893114e-05,1.2486378525283427e-07,3.864530496879206e-05,0.17697132208141497,4.3064233947446485e-08,9.151254519545484e-06,8.017953855481914e-05,0.0715517122057021,1.5946734087110075e-13,1.2171931141378129e-15,1.0367192327864655e-13,4.308772393475818e-14,-8.770648268090664e-16,-6.717947363176941e-16,-1.802578337946382e-15,2.115126814873945e-16,-7.951579852559601e-16,-5.303724567412623e-16,-6.860176726563604e-16,-4.738306057300315e-16,-7.355877174807687e-16,-3.0094332683755115e-16,-7.845080850317796e-16,-6.47574696155105e-16,7.261659451576443e-07,-7.785524336362876e-16,-5.036339619479976e-16,-7.205862103396195e-16,-7.050976235290773e-16,1.640960658796367e-13,-2.995618264220817e-16,-7.902914628481331e-16,-5.397160944228662e-16,-6.210138729910811e-16,-7.846535525139198e-16,-7.791604155083203e-16,-6.177246731336892e-16,-5.626492177832309e-16,-5.719171051371268e-16,-3.342117732977022e-16,-5.261887007510843e-16,-7.168954689609096e-16,-7.338907114775418e-16,-6.512834511436099e-16,3.630109873407084e-16,-5.387584786470286e-16,-7.737461082347648e-16,-7.2049880667142625e-16,-1.352096960258756e-15,-2.662913208224775e-16,-7.292559807627842e-16,1.0093892182647683e-15,-7.837902204633148e-16,0.006166316928913854,2.07343857650195e-07,6.775075717256178e-05,9.471606287738568e-13,5.7561661104846735e-08,-7.672587725350963e-16,1.758354715960248e-16,-6.3756060983836186e-18,-7.440277183190919e-16,4.045537194202704e-13
0,0.899290784,913,297.4525434,598.3633629,101358.051,0.589008409,0.2,"NH3: 0.387936376, CH4: 0.612063624","O2: 0.21, N2: 0.79",65.41716913402661,58.90084089999999,0.7172485462282613,7.402346429688355e-16,1.3051033202534348e-15,2.767841765681975e-07,0.014639944692673143,4.4215258611639166e-05,2.594929278979396e-07,9.75591817760908e-05,0.18616685583808523,1.1507708019159835e-07,1.0560891635310817e-05,0.0001826283411012294,0.07527982382716472,3.556444550502068e-12,9.08375998352386e-15,1.978969262133708e-13,9.480685376235917e-14,5.626411992447721e-15,7.85858739233285e-16,6.534930686820104e-16,5.6097729441854734e-15,4.973682769728639e-15,4.711673777390615e-15,1.0004095412073231e-15,7.220068317280378e-15,1.5728902592163359e-15,6.785034254891313e-15,3.4299432051406003e-15,4.177809200350821e-15,7.819337994837762e-07,3.902336193631223e-15,4.8037948073576156e-15,1.496748529315925e-15,2.750792872207257e-15,2.770028897229721e-13,5.527943873690636e-15,2.8627807931297956e-15,4.677542917013742e-15,4.071508087002347e-15,3.731369750760395e-15,3.765908333188526e-15,6.48486539927074e-15,5.34499323450252e-15,5.092876917504175e-15,8.36600285943522e-15,4.8387687441599276e-15,4.059379229808795e-15,3.653467432394315e-15,4.712123160721634e-15,6.622921266361805e-15,4.5785861061827605e-15,3.4463982995122584e-15,1.8470905639904084e-15,8.533820334342212e-15,9.895476997685623e-15,2.08838299270089e-15,8.730020911246465e-15,3.2890633422229517e-15,0.006277523172103874,3.309503805819837e-07,5.0333348439862745e-05,4.9339878624662185e-12,2.4497130085311333e-07,2.418431914912394e-15,8.686923373242848e-15,9.19232203691591e-15,2.869359726355425e-15,1.2118799085062476e-12
0,0.949416194,909,297.5784722,613.3333993,101358.051,0.638121324,0.2,"NH3: 0.387783258, CH4: 0.612216742","O2: 0.21, N2: 0.79",71.46865598331715,63.812132399999996,0.7138376412704674,5.665729292208233e-15,3.112872532771097e-15,3.599240638704782e-06,0.0050745181012990855,4.105499073507063e-05,3.0816893855987284e-07,0.00037781869030701184,0.19520735154333818,4.236550772394567e-07,7.275896067828016e-06,0.0005861856036370372,0.07867011712200139,4.012880441373002e-10,1.4412370393173233e-14,9.026306619116759e-13,5.792834666000766e-12,-4.498993191513671e-17,-6.939532176702909e-16,-1.47390089956395e-16,3.594098045857733e-15,-2.5622505091072993e-16,-3.8978219272209377e-16,-6.773042156511037e-16,2.838285519484479e-16,-6.625053491662558e-16,-1.102032782113935e-16,-5.467084632748755e-16,-2.966370441564528e-16,8.699305851159214e-07,-3.8072891119644855e-16,-1.9600673723422408e-16,-6.502849981163987e-16,6.470723665449096e-16,6.02529880653397e-13,2.1703156012047482e-18,-5.968427709739245e-16,-2.071039136650067e-16,-2.062291691330295e-16,-4.136555389457308e-16,-5.311642187889676e-16,8.778474694788414e-18,-1.4401746871736552e-16,-2.2859417855728174e-16,9.283002733992417e-16,-1.86422842479703e-16,-2.658534089583986e-16,-7.531156672098096e-17,-4.137469430849431e-16,-5.1187175758645804e-17,-2.235195878212442e-16,-2.335793639575329e-16,-5.815406985920581e-16,3.0375018643262517e-16,4.230909620189165e-16,-5.961949257559046e-16,5.237939324147027e-16,-4.694744798691728e-16,0.006170908217199054,1.1508595776915769e-06,1.8063640937732375e-05,6.429617531416526e-11,2.7125887673617014e-06,-3.9893087304134746e-16,1.718586764335479e-13,6.281026319847257e-14,5.862249903786197e-14,7.230516902749448e-12
0,0.997963889,937,297.7090932,634.3357572,101358.051,0.665368367,0.2,"NH3: 0.387900551, CH4: 0.612099449","O2: 0.21, N2: 0.79",74.81950549140265,66.5368367,0.709280611294505,8.785633626556865e-15,7.897149416952143e-15,1.1795888682739886e-05,0.00036884023231838144,1.3953475108573049e-06,1.273103151215945e-08,0.0031808060504120474,0.1992594076211757,1.0356085731876835e-07,7.9310821517695e-08,0.00427760843489486,0.07784535116141779,5.0988336426718444e-08,3.9776244213315004e-13,9.723526100178491e-12,3.769099264727206e-09,5.858125038425575e-14,1.6597995136488807e-16,1.1790747661248957e-14,1.6265614402331729e-12,3.3173029469186757e-15,9.571197758582838e-15,2.553775699916455e-16,8.474325093516396e-15,2.3030593810678035e-16,4.0483328745339815e-15,8.57606950932167e-16,3.049873137343518e-15,9.911754330807452e-07,2.399756750237977e-15,2.504903056498099e-15,3.9932164212617297e-16,1.539364770851595e-12,8.945314217960557e-13,6.607271031220749e-15,6.3939132217541695e-16,3.633719884294169e-15,2.9326120493243014e-15,2.406271801027481e-15,1.0066375763001652e-15,3.610408764698723e-15,3.1225986516273665e-15,2.1536919955633715e-15,6.193700934984308e-15,3.600177427550289e-15,4.291080338921994e-15,5.447507973533836e-15,8.261969708366747e-16,4.048497046601316e-15,3.589256156658854e-15,4.5684089504543955e-15,2.1739638094684628e-15,3.791887298578138e-15,4.302018123206816e-15,4.580977619225662e-16,3.2117864166930587e-15,2.5413523073922232e-15,0.005746068213748081,4.511694149788602e-06,1.141083789649777e-06,6.558374543173284e-09,2.121483567683986e-05,2.4176252102097698e-14,8.635965721086073e-13,2.1750666593491388e-13,2.51796808864676e-12,2.976250041159535e-11
0,1.04852571,979,296.7527661,635.3443272,101374.716,0.671096571,0.2,"NH3: 0.38782540875, CH4: 0.61217459125","O2: 0.21, N2: 0.79",75.39307743171184,67.10965709999999,0.7026136547166346,5.502357565093913e-16,-1.185261873963949e-15,8.154686560364548e-06,2.8052881066020433e-05,5.146317922480979e-08,4.682972232764201e-10,0.008826726526992259,0.19909022306960172,7.238268991077638e-09,4.822067204077215e-09,0.012628768516849256,0.07165976520160233,1.5632512366724977e-07,2.056374553527224e-12,4.162788403346579e-11,9.745278525283548e-09,7.095589485560589e-14,-7.783568592014078e-16,-1.446107623588588e-16,2.9475764086179293e-12,-9.84651260335717e-16,-5.400487681270948e-17,-8.618008645551498e-16,9.302422236623046e-16,-8.605612997557101e-16,-8.65525832557497e-16,-1.0762560275418063e-15,2.0495292563647169e-16,1.1730356481982614e-06,-9.197464451970297e-16,-3.067385614185026e-16,-9.351569249701274e-16,9.5046414530143e-12,1.2310156400512062e-12,5.307529177136051e-14,-9.958953382693168e-16,-7.53437638912607e-16,-8.330594421953637e-16,-9.072396159689409e-16,-1.1171186126988897e-15,-8.180659180411175e-16,-8.562927684495033e-16,-9.734900756409362e-16,-5.627121074589729e-16,-8.24588827583919e-16,-8.656988748141089e-16,-3.7497792937043596e-16,-1.0779229503497902e-15,-8.581977739977037e-16,-8.166457457994612e-16,-9.118325234404405e-16,-8.126197350905891e-16,-7.944752663861543e-16,-8.660986700562798e-16,-9.512668810120761e-16,-7.417352202277667e-16,-8.410878897537718e-16,0.0051191837722331,4.548811461099664e-06,9.31703442397953e-08,7.097138255775534e-08,1.9354433193521647e-05,1.2148293242871165e-14,6.059392139849025e-13,1.5150036440706931e-13,1.8252399482161567e-12,8.415562767871092e-11
0,1.09941892,991,297.5655141,637.6975425,101358.051,0.647131957,0.2,"NH3: 0.38801262475, CH4: 0.61198737525","O2: 0.21, N2: 0.79",72.26634923218035,64.7131957,0.6956454923159264,3.9501715327634e-16,-1.0039812202414403e-16,7.6235296926388e-06,5.027822535284324e-06,1.0993725090403169e-08,7.71943346983259e-11,0.015194975856871233,0.19844555904087918,1.6144821495901838e-09,1.2997516788422605e-09,0.020951711813093292,0.06540214620405436,2.508641263947838e-07,3.748156933688604e-12,8.877518052358595e-11,1.5840144985657775e-08,8.436080169005208e-14,-6.197466475549631e-16,6.594463535716307e-16,4.4172989991447615e-12,-2.0274253094838338e-16,1.9951849797840998e-16,-6.602282537232887e-16,4.618949708759341e-15,-6.675263070537767e-16,-2.8324644466764034e-16,-5.907190606673302e-16,2.994212357922008e-15,1.4537547110958887e-06,-3.4580636311912117e-16,1.6532196594054909e-15,-6.625460588949667e-16,1.814849925656976e-11,2.0125488534037356e-12,1.6980442296660848e-13,-5.467519961896367e-16,-1.6904673950509423e-16,-2.8868701661752064e-16,-3.3439792911916965e-16,-6.094383449228058e-16,-2.880238279060931e-16,-3.109664313706186e-16,-3.8117302375034896e-16,-2.250591022623613e-16,-3.082869673943279e-16,-2.907150755721895e-16,-5.646024216402852e-18,-6.404385435918162e-16,-2.7832572855494917e-16,-2.9733907202918043e-16,-5.221519736002159e-18,-2.607829354233337e-16,-2.981950983208807e-16,-2.9602897041464973e-16,-6.604156337350749e-16,-2.5429722217150887e-16,-3.0689105103424684e-16,0.00432500658474496,4.027593478462825e-06,1.8238084306073133e-08,2.3051196218024841e-07,1.6445775105829597e-05,1.3817205845366245e-14,5.688660851989728e-13,2.5518627832894926e-13,1.797787402219369e-12,1.4944579297961822e-10
