,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,OHEX,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,N,NO,NO2,N2O,NH3,HNO,H2NO,NNH,NH2,NH,N2H2,N2H3,N2H4,H2NN,HONO,HNOH,HNO2,HONO2,NO3,HON,CN,HCN,HNC,H2CN,HCNH,NCN,HCNN,HNCN,NCO,HNCO,HOCN,HCNO
0,0.749025806,883,297.9956357,531.0143264,101118.0709,0.200524206,0.4,"NH3: 0.628420113243972, CH4: 0.371579886756029","O2: 0.21, N2: 0.79",18.734409100768517,20.0524206,0.7244549607295885,6.325563316987906e-14,5.975502813180907e-14,-2.586079326333513e-16,0.042605879927351306,3.799519302391321e-11,-4.773320269331781e-15,4.904438715109873e-06,0.17914869745873702,7.290259449026003e-15,1.3535563632938106e-07,9.758828790791581e-06,0.04699195000759233,-6.322203795386889e-15,-5.346129300947646e-15,-2.7934819025056796e-15,7.719006415984798e-14,7.743222388308062e-14,-6.922699894053034e-15,-5.350243330549747e-15,9.362325861425044e-15,-2.626354791043953e-15,-6.211280481874772e-15,-3.50759069140119e-15,-5.4209775687228835e-15,-4.139327307805125e-15,-6.483453095270504e-15,1.8220655478009835e-14,-6.279382958791214e-15,-4.77729306503047e-15,1.8473447214892484e-07,-6.006822075808285e-15,-4.409768934581341e-15,-5.622285203335179e-15,-5.8685199837960714e-15,3.3210927695794234e-14,-1.0383221779127195e-15,-6.157532543087293e-15,-3.5139946366884496e-15,-4.039221363253559e-15,-6.313425755560883e-15,-6.043537699948623e-15,-8.797493624424222e-15,-3.95971086784741e-15,-7.133421916251017e-15,-3.028037915862035e-14,-3.4889576264853855e-15,-5.897429332230661e-15,-6.0512443395731435e-15,-5.684167315915436e-15,6.920748241126643e-15,-3.4568802015759207e-15,-6.023471467824612e-15,-5.62172985105145e-15,6.4593788201271855e-15,-3.077481842237461e-15,-5.48473541136666e-15,-4.544803295014386e-15,-6.2807467813851766e-15,-6.231192991820512e-15,0.006601139937424577,0.00011279326386433272,1.5660454257264618e-07,3.393947735989015e-14,1.779263316042462e-09,2.053052057556913e-15,-5.34520119290224e-15,-6.161593474275859e-15,-6.063661065443783e-15,-3.863140643937368e-15,-3.576776614807091e-15,-3.6712036314705325e-15,-3.923137144809107e-15,6.922842356068285e-05,-3.829874459302561e-15,4.4996229862128664e-11,8.601140851941701e-11,-5.617084021563701e-15,2.0789457505062786e-07,-5.714530355410858e-15,7.68964817812688e-13,-3.0393449851234706e-15,-4.159134787893417e-15,-3.3912109755437354e-15,-4.070456486720401e-15,-3.81400020413259e-15,-3.973820862795948e-15,1.5100042077189357e-13,4.4516896846506875e-10,7.003837530515735e-13,1.0900724508920306e-15
0,0.799425766,896,297.8767397,549.8542689,101118.0709,0.236118485,0.4,"NH3: 0.628223980139151, CH4: 0.371776019860849","O2: 0.21, N2: 0.79",22.917792674272505,23.611848499999997,0.7207803029444305,2.882115183535127e-16,1.5389324304564728e-16,1.3535375083508825e-13,0.03253251409065545,3.1930929059840106e-10,9.114924824940653e-15,1.05276996301186e-05,0.18931643518271846,1.7060394189672542e-13,1.9433069867884318e-07,2.015797134268414e-05,0.049738650793058295,-5.598649307992025e-16,-2.778398756381038e-16,-3.9331207880911156e-16,7.732654693723682e-14,6.439463055245115e-14,-7.848442253303278e-16,-2.790619983676132e-16,4.867417135190765e-15,-1.7935298432883453e-16,-6.424086282776301e-16,-3.030908956177658e-16,-2.9778220290844025e-16,-3.990943473416885e-16,-6.113165527350766e-16,7.176425924236542e-16,-5.972048197851513e-16,-4.660004766156123e-16,1.9024252186793015e-07,-4.474849675095728e-16,3.328267322592058e-16,-3.444671882761678e-16,-4.456202623377839e-16,4.3204191597907825e-14,-4.6908537860726936e-17,-6.72601357222283e-16,-3.09625834433938e-16,-3.1712710941567117e-16,-6.506243755994864e-16,-3.989596740294404e-16,-1.5313969897882553e-15,-3.863288634292209e-16,-1.0514978419981516e-15,-5.621494492490837e-15,-2.982101672346241e-16,-6.243317112728954e-16,-5.139568978187203e-16,-7.212884111007626e-16,1.6919521348368472e-15,-3.0012840966930063e-16,-5.006127293530434e-16,-3.64636430723471e-16,-5.915119130370443e-16,-5.740022523383205e-16,-3.453889853233929e-16,-7.688093331524679e-16,-5.843551276356375e-16,-5.367909119993406e-16,0.007385217324662748,0.00012582118790100107,1.829774655166162e-07,1.0289347508053368e-13,4.999031735973513e-09,1.3321134579085924e-14,-2.7730440594580373e-16,-6.474811044854784e-16,1.4753509709357173e-16,-3.9281129699702503e-16,-2.4376195394451957e-16,-3.9698968729821093e-16,-3.5688636708112155e-16,8.960294907768448e-05,-2.0900767500607358e-16,3.943044490806313e-11,4.900780062583075e-11,1.1388051410776476e-16,1.9687945732370872e-07,-3.9544929482550523e-16,6.34429534470894e-13,2.081027024970327e-16,-4.888167387723531e-16,-2.868995770228929e-16,-4.541007390499675e-16,-5.194728600697363e-16,-3.59943370391689e-16,9.824005096561935e-15,1.8194749564179295e-11,1.663642347658892e-13,-7.170776478221028e-17
0,0.849112157,887,297.8741691,567.9462993,101118.0709,0.273551173,0.4,"NH3: 0.628263415432456, CH4: 0.371736584567544","O2: 0.21, N2: 0.79",27.551759390726147,27.355117299999996,0.717327665365158,-1.6016051804639795e-15,-1.4616994845575097e-15,3.5058849721129664e-12,0.022741582067177014,2.0750555650922927e-09,1.7319637149768584e-13,2.466515072777856e-05,0.19928642767065638,2.2553209518401835e-12,2.8083355126025153e-07,4.35522791190918e-05,0.05241652545563038,-9.109041262872726e-16,-9.857985223224276e-16,-2.0592774690158265e-16,6.861785804078486e-14,6.498345707547154e-14,-8.54715192340896e-16,-9.854924916336048e-16,4.70439930696545e-15,-4.3438791036163344e-16,-8.176780861780334e-16,-4.665073406334288e-16,-9.80180572387957e-16,-4.822941772388928e-16,-9.083749779827151e-16,3.9347128714045157e-16,-8.90234951072308e-16,-5.730004509558491e-16,1.9942454153844672e-07,-9.466824131002145e-16,-4.969888427558423e-16,-9.68375524552887e-16,-9.371238119028597e-16,4.889433539858877e-14,-1.0495300275769146e-16,-8.927452652790529e-16,-4.612239853701442e-16,-5.641998704374732e-16,-8.562939700609909e-16,-9.645642148960458e-16,-1.0043246216716265e-15,-5.696087283491013e-16,-8.402651694970278e-16,-3.4212836329845984e-15,-4.587835733890638e-16,-7.182651119510099e-16,-8.650149093408267e-16,-4.999925190515091e-16,6.667049172326229e-16,-4.491083300962734e-16,-9.18141365542942e-16,-9.551907600411323e-16,-3.1956283604295186e-16,-2.1865055558776617e-16,-9.537965678606688e-16,-1.2100948089526738e-16,-9.030761450872125e-16,-9.283940295498097e-16,0.007919944686043243,0.00012472084054622855,2.212758885872449e-07,3.3200625121582123e-13,1.6867447507340735e-08,3.1885598693406547e-14,-9.849860575787458e-16,-8.485475391843678e-16,4.701341543575758e-15,-4.797941089579556e-16,-4.71529945735649e-16,-4.6650614851062535e-16,-5.522004701014307e-16,0.00011400801876519897,2.724247371408521e-16,2.834291246457511e-11,3.2069787967652675e-11,2.498255634260361e-17,1.8791540846993303e-07,-9.489412937896945e-16,6.842028132137843e-13,2.3175337609917384e-16,-5.484526814027791e-16,-5.006746664324601e-16,-4.811741342681263e-16,-4.779546304610332e-16,-4.579476034714623e-16,6.0598847890664266e-15,6.643443051956248e-12,8.640109773126175e-14,7.896868517378788e-16
0,0.89960907,855,297.8802921,581.7130393,101118.0709,0.306328655,0.4,"NH3: 0.628078625570844, CH4: 0.371921374429156","O2: 0.21, N2: 0.79",31.706040186317296,30.6328655,0.7139721603073959,-1.9144135500917035e-15,-1.9440749533494284e-15,1.7043544527341696e-10,0.013008276936705957,1.067313179904149e-08,2.7164149844179216e-12,7.266667692150953e-05,0.2092938421152698,4.864742159553312e-11,4.1294180173234655e-07,0.00010794789495182409,0.055120917114972565,6.127999544372037e-16,-1.3904679106768342e-16,-3.8061624182263615e-16,6.010901481339402e-14,5.813008425731112e-14,2.766484975103385e-16,-1.3807427049229776e-16,-2.6219790514669975e-15,-2.8748540548317745e-16,6.35936084805871e-17,-1.8909117183026364e-16,-1.2031212839171001e-16,-3.0055561367435307e-16,-3.536866703416004e-17,-3.4585043041339966e-16,7.804806792310541e-17,-2.2666422670688235e-16,2.13296515487345e-07,-1.4130106000943473e-17,-6.54072610516034e-16,-8.677922156049337e-17,5.807951611094036e-17,5.586593264735473e-14,-4.0660882717711186e-16,9.727729520529369e-17,-1.8008528704233541e-16,-3.091368968292321e-16,5.902158005735702e-17,-9.472676444923655e-17,-3.9153148838942254e-17,-1.500192191976541e-16,-2.0251339133801432e-17,1.7157298052929208e-15,-1.8049012435720498e-16,-1.1367475979213398e-16,-5.703516822699473e-17,-1.8869052781141758e-16,-8.676283755738418e-16,-1.6402401354267105e-16,7.932452838800142e-17,-4.383743714622035e-18,9.24465972115006e-16,-2.253903562327585e-16,-8.037810693407144e-18,-1.3405639825533358e-15,9.20193512433677e-17,4.375903656415255e-17,0.008184973030884208,9.182751746813301e-05,2.9212489830552243e-07,1.6848944227125387e-12,1.0121094181215851e-07,9.444376559931539e-14,-1.3174972221945517e-16,6.908316815220816e-17,9.654214069760172e-14,-1.9908027977440123e-16,-1.6777441943358917e-16,-1.5399752856244528e-16,-2.35616115585275e-16,0.0001461773017681246,3.4299050726704025e-15,1.3173500458835655e-11,2.7475614883287255e-11,1.1420933186244388e-15,1.8058306764728667e-07,2.2586935888152308e-17,7.397170172375346e-13,6.19023233309667e-16,-1.4146424638712955e-16,-3.217005086624525e-16,-2.319605460829488e-16,-1.346309370823752e-16,-2.3480923393566823e-16,1.0987982552981597e-14,8.033547910949984e-12,3.040354507752134e-14,-3.519377462751315e-16
0,0.949345778,838,297.7402849,594.118017,101118.0709,0.330349042,0.4,"NH3: 0.628080590710153, CH4: 0.371919409289847","O2: 0.21, N2: 0.79",34.84522653769773,33.0349042,0.7106590326517089,-2.30701865550191e-14,-2.3956545485709018e-14,1.8713113187811576e-07,0.0038510665569654926,2.095048897289916e-07,1.1384145408251066e-10,0.00039282165331079474,0.21890079907049637,1.412743246116429e-08,4.3153386727540133e-07,0.00041026599220933123,0.05747364911298279,3.9211536995528255e-12,2.2521796212291958e-14,-1.4311768646331928e-15,1.8383304263911903e-13,3.256710816091776e-13,1.0196763311866482e-14,2.2505069966450507e-14,8.429649674999232e-14,1.077196953542196e-14,6.8810962742199755e-15,5.8625923123300364e-15,2.220095587606613e-14,7.959940494056597e-15,2.09950968219696e-14,8.677685531956926e-15,1.3749077454054916e-14,6.491237588099009e-15,2.3204894886322632e-07,2.030190247790815e-14,6.363035260766923e-15,2.1668529289840725e-14,1.5774579720737365e-14,1.1039669361352793e-13,1.4169073596510981e-15,1.804075275589695e-14,6.384497591255424e-15,3.97932628835946e-15,1.210910100427402e-14,2.2009030445691313e-14,5.939781556446444e-15,6.214281542551325e-15,5.925597575672512e-15,-1.5599195715461823e-14,6.306317800726819e-15,8.699241595985885e-15,5.523113479753733e-15,1.1244775486309197e-14,6.6254362277204686e-15,6.459753605126118e-15,9.566470639004759e-15,1.771823423492987e-14,1.4744538012814645e-15,-1.7464648797931106e-14,1.854434239694861e-14,-3.278617680209536e-14,1.3778388387527452e-14,1.9570762751334717e-14,0.008098224100700118,1.8448725285683857e-05,1.7481491638265318e-06,3.194944686338613e-11,3.0190348061366705e-06,2.0437230390397885e-13,3.134586209908975e-14,1.4261996776925248e-14,1.2873942540388896e-11,4.858359628457787e-15,1.2979511709760169e-14,6.685755440284545e-15,6.210899854710838e-15,0.0001896754003191041,6.513614152947281e-14,1.4355190970630326e-12,1.9740314974369048e-11,2.3778753297427494e-14,1.7500759653260788e-07,1.7152917526870575e-14,1.0621813888894851e-12,7.690714887761483e-15,6.47407123357397e-15,8.749492989511533e-15,6.4239639620285066e-15,1.3695694349307427e-15,6.452200503430017e-15,6.63956577187637e-15,1.192862585267129e-11,1.239965592528245e-14,-3.1344880119396276e-14
0,0.999168612,886,297.4582808,600.3005094,100981.4159,0.342758508,0.4,"NH3: 0.628098976903648, CH4: 0.371901023096352","O2: 0.21, N2: 0.79",36.41276790648817,34.2758508,0.7058993348429505,-3.908336476747725e-16,-7.799131438779918e-15,9.894989082447203e-06,0.00010092838157499753,1.8199304041715546e-07,1.1682820742966744e-10,0.004344092437333633,0.2220851330986206,2.013563911165849e-08,1.4032396960565025e-08,0.003686411276797076,0.05625673718194515,2.8236044312428957e-09,3.970524676724564e-16,7.741612708764588e-14,6.896583088294648e-12,7.030633742736716e-10,5.41647761841755e-15,4.09019274139806e-16,1.2256514018271922e-15,7.054271291143824e-13,5.573847533327456e-16,2.8901500851607957e-15,4.903753437548812e-16,1.2220376421897034e-15,5.676725828514722e-16,4.0995142827685614e-16,6.526801155488943e-16,2.1375413301408253e-16,2.563852537900913e-07,6.311185243645454e-16,4.2240575421130305e-16,5.464684060058026e-16,3.91135180833183e-14,2.7163881680454326e-13,5.507810057341896e-16,7.230476280642855e-16,4.2571883838392935e-16,1.6790440131017278e-17,3.878001250953607e-16,5.131189691049965e-16,2.9054016922388507e-16,3.015638023323201e-16,5.429394647682921e-16,5.996012224548093e-16,4.242630439675621e-16,7.529577773212281e-16,5.876886320844954e-17,7.908479744648129e-16,4.197933546456337e-16,3.7740323877092576e-16,-6.787299543518212e-16,3.9023231541647908e-16,4.920513764695931e-16,-5.218484482984281e-16,6.84199170961539e-16,1.3860423136616044e-16,2.656192151282261e-16,1.321724714846187e-12,0.007541113734553219,4.05124548212151e-07,2.6806083775885057e-05,4.070324177203102e-09,1.344686219998784e-05,2.648216368290536e-15,4.591831566280391e-13,2.876348899240607e-14,5.610859124705918e-10,5.087922736054196e-13,5.879875605699782e-16,1.884273892916855e-15,3.584424846627671e-16,3.504414378476423e-05,2.5930147097742575e-14,4.6297707873901005e-14,1.2923521517068315e-12,6.752191175468733e-16,1.707155948510893e-07,7.274844764711652e-16,3.10891094162573e-11,1.5601346578783515e-14,9.643568921584164e-14,5.379978329814213e-16,3.1539062907866965e-16,9.444779996144721e-16,5.121316681119076e-16,8.271742092708654e-15,2.627385006484164e-10,1.5273132927583393e-15,3.54738683192901e-13
0,0.999611425,880,296.5359334,596.7554082,101254.726,0.342623906,0.4,"NH3: 0.628145721982657, CH4: 0.371854278017343","O2: 0.21, N2: 0.79",36.44185677373821,34.262390599999996,0.705871047667299,-4.664914268806376e-15,-5.315502963557167e-15,9.837055658275588e-06,9.759162060358914e-05,1.7557280511309726e-07,1.1335429405191756e-10,0.004387537763935218,0.22206260567368416,1.9481978218313407e-08,1.3661819813132679e-08,0.0037332270278546387,0.056241318279107826,2.8628460337880875e-09,3.625050016851446e-15,7.415465783840247e-14,7.05660419212971e-12,7.159596672145234e-10,2.201346087156542e-15,3.623454133891298e-15,-6.2032585031289206e-15,7.176697381385646e-13,-2.0736273873366117e-15,-2.0971118469964487e-15,3.534248534299141e-15,1.367230154658474e-15,3.2844541888763075e-15,-1.129135188354947e-15,2.489431080185081e-15,-7.211185843512592e-16,2.574054098009711e-07,2.7777229111431975e-15,-4.351203453772796e-16,3.365156965858199e-15,3.936038197952734e-14,2.7395208857128074e-13,-1.0344796903232962e-15,1.798040555969099e-15,-1.2479269971787945e-15,-6.554044707592628e-16,-4.562057370449199e-16,3.4935635081610107e-15,-1.03212659913872e-15,-7.489687031083733e-16,-2.8619826663809064e-16,-2.8230932715890732e-15,-1.2541250760447274e-15,-2.3537259438342182e-15,-2.127174612140045e-15,7.635903776140506e-16,-1.1355532988456777e-15,-1.2198019338018223e-15,-3.1130863124823036e-15,-4.2147636118830986e-16,-1.2629950165838159e-15,-1.0405368003691604e-15,2.196581683965579e-15,-7.822609308090667e-16,-6.728869160426667e-16,1.3443751750256382e-12,0.007520890480706603,3.930853169673642e-07,2.7140448028667772e-05,4.22356983333095e-09,1.345310896103885e-05,1.7176269071978675e-15,4.732770715207064e-13,2.5960038237016e-14,5.736955557520914e-10,5.100046993066592e-13,3.0903858431657348e-15,5.152242275521389e-16,-4.9675466906693e-16,3.4311976293131886e-05,2.3677845523601323e-14,4.5098125823299627e-14,1.253388754987337e-12,3.0636750582602353e-15,1.7088315532028752e-07,2.1322098374103827e-17,3.247023627482251e-11,1.50588199460799e-14,9.993507546366926e-14,-2.8199965637679633e-16,-5.819553029487034e-16,-1.3899390340470531e-15,-9.950723480408119e-16,7.190043699335011e-15,2.731791989534932e-10,1.0611262198680788e-16,3.5550423539195305e-13
0,1.049835515,835,297.3355022,598.6676129,101118.0709,0.344686985,0.4,"NH3: 0.628088886514407, CH4: 0.371911113485593","O2: 0.21, N2: 0.79",36.56175633642215,34.4686985,0.6995933619817467,-9.681169575191388e-15,-9.453896451383118e-15,1.1549365750812507e-05,7.015185808821038e-06,2.400598296405884e-08,1.0594044201924174e-10,0.01117638153664209,0.221205397843146,1.881000867697302e-09,1.772706010779463e-09,0.00983941854153029,0.05161883598459357,1.027626001100366e-08,4.761657581146476e-16,4.027974585912101e-13,4.3316849226253384e-11,2.7895924686137236e-09,2.4336712592025912e-14,5.002638286687993e-16,3.755159490881928e-16,3.092887881808457e-12,6.777067060460598e-16,-4.5002613788752005e-17,4.82393157255002e-16,2.932873532932066e-16,4.731724863417606e-16,5.15746965300195e-16,4.971467998084514e-16,5.736538243649445e-16,2.9112677116078075e-07,4.909548673877374e-16,5.98293429950741e-16,4.736879916618396e-16,2.0089459531496737e-13,8.200376218627839e-13,2.9572543123373105e-15,5.349484202378074e-16,5.298160502569456e-16,5.014746525571936e-16,5.845579212119915e-16,4.735354767521485e-16,5.163451913926854e-16,5.464097032626689e-16,6.132168412194231e-16,4.899814958032715e-16,5.218996300000663e-16,4.614562513473319e-16,5.339317871082905e-16,5.842655363625782e-16,5.211724812699804e-16,5.224000348232304e-16,4.583822674082334e-16,5.2508827215134e-16,5.402209699442468e-16,4.451392445004465e-16,5.028007539775694e-16,5.453641987498571e-16,5.199377257273795e-16,5.075002482001073e-12,0.006469152376600761,3.218598574891989e-08,5.8255935197984697e-05,5.5190390484493944e-08,1.1815147029888018e-05,1.266949497926164e-15,5.618657772379427e-13,1.2696208963614316e-13,1.5908053298763554e-09,3.0627916192149462e-12,4.786912026109948e-16,7.089400962694874e-14,5.800281130139475e-16,8.222575626472213e-06,6.017000473382295e-15,1.5260956634941288e-14,1.1367196564557017e-13,4.891003924159068e-16,1.6829105318734674e-07,6.526331299129857e-16,8.487177706684449e-10,3.835296513608596e-13,2.8660848377211196e-12,7.781937997739722e-15,5.659895899113489e-16,5.214261450483817e-15,4.677778945048876e-16,2.541663369729888e-14,3.399154301148846e-09,1.2073948681832234e-14,1.7675640579632004e-12
0,1.099501409,852,297.5477225,594.5147128,101118.0709,0.33572715,0.4,"NH3: 0.6281851512765, CH4: 0.3718148487235","O2: 0.21, N2: 0.79",35.466862197477894,33.572714999999995,0.6935262013947522,-4.693891436980905e-15,-4.625616979858428e-15,1.3182526697356265e-05,1.4647053863684373e-06,1.2811019163379087e-08,2.173934685400406e-10,0.01826253272278537,0.2200179861437414,5.654584423784853e-10,6.259932425903004e-10,0.015421206887901485,0.047521534853731874,2.293935785362932e-08,-5.475787273700408e-16,1.0896918751410356e-12,1.421904163420207e-10,6.989012959485146e-09,9.561812402035104e-14,-4.623535400890391e-16,1.976525518155846e-15,9.820618228182213e-12,4.62415486599199e-16,1.4794498060458419e-15,-5.029721167401306e-16,8.284504596645681e-16,-5.259086981210587e-16,4.214764205176013e-16,-4.708930919806556e-16,5.792341832382818e-16,3.427085595438684e-07,-4.432793312716976e-16,2.762289638964688e-16,-5.285574655582428e-16,4.785678384406596e-13,2.2628558279252147e-12,1.4072736018189902e-14,-3.1170973646246173e-16,5.346924755841612e-16,5.094625193956628e-16,2.6251722365853777e-16,-5.406937149257861e-16,5.319212718283933e-16,4.120527149864149e-16,1.3773704888239552e-16,1.0477881685195618e-15,5.306250773798003e-16,6.708165431079086e-16,1.3687586764568425e-15,-1.8682061462433629e-16,4.2478330398434343e-16,5.555214102082804e-16,1.0977681701209744e-15,6.09936949723201e-16,5.398731220845912e-16,4.47559249285311e-16,-4.093646660148248e-16,6.714493789088926e-16,5.112130060995243e-16,1.2045603270656428e-11,0.00514405705085003,9.290044469337652e-09,7.656013455310584e-05,2.190441046176761e-07,1.0351825501200926e-05,7.417562282728454e-16,6.099448987639377e-13,3.9090345560009267e-13,2.625783506432979e-09,7.164082617424704e-12,-5.114590768061482e-16,4.762627903732225e-13,2.754306644954619e-16,4.1168314214048255e-06,2.869521930398642e-15,6.448744512367289e-15,2.948013417899485e-14,-4.703331925973147e-16,1.687411145158663e-07,1.8814523096637908e-17,5.4753024112152546e-09,2.06646915992219e-12,2.1620371513120493e-11,5.744750017986747e-14,3.330987260205942e-16,2.5481464683164828e-14,8.06226897469334e-16,4.259348704963458e-14,1.2683381334378218e-08,3.207814645177526e-14,5.626582740658556e-12
0,1.161460842,877,298.070574,588.4784057,100981.4159,0.311328565,0.4,"NH3: 0.62809630277658, CH4: 0.37190369722342","O2: 0.21, N2: 0.79",32.54838348114981,31.1328565,0.6863860909920482,-4.338302107817307e-15,-4.7627462197274346e-15,1.664256351938528e-05,3.459528175705894e-07,9.139460297653085e-09,6.19336366998641e-10,0.02736085932107658,0.21795006900839303,2.5998764663134994e-10,2.497922874041981e-10,0.02142115032197712,0.04348327177501705,6.084434524286836e-08,1.4209240101556887e-15,4.195213489876618e-12,6.424241706731495e-10,2.2189561393731802e-08,6.863856752289476e-13,1.9096382844335686e-15,-5.549172324222152e-16,4.564444642333333e-11,6.487267961345767e-16,-2.6412247771973897e-17,1.7855610462985636e-15,7.776013141092004e-16,1.3684536255509816e-15,5.268118651428589e-16,1.3482757536130773e-15,1.5550624129198223e-15,4.4588013429598135e-07,1.2616260191441734e-15,9.868175217003133e-16,1.3754967408896682e-15,1.3666659113288552e-12,1.0204450788750704e-11,1.154363404635208e-13,1.4800704488909315e-15,5.504124608806821e-16,5.266825126056366e-16,7.495712856930129e-16,1.3979623279224836e-15,5.357985385449801e-16,6.267071816947321e-16,8.728240930614705e-16,1.752429683244209e-16,5.48023092296263e-16,4.035401459277365e-16,1.4201551423914448e-16,1.1128947314575315e-15,5.346451711256885e-16,5.278148886912094e-16,-2.9172843569858066e-17,4.638499685090371e-16,5.59185737385215e-16,5.485827541660651e-16,1.250466893350058e-15,4.613896627242119e-16,5.132785942891887e-16,3.8375832611431487e-11,0.003289757051510493,4.037073683542245e-09,7.956152072008789e-05,7.086224382295149e-07,8.174160995133032e-06,9.868754929149533e-16,7.182724297225632e-13,1.4820391018917896e-12,4.219287425755999e-09,1.4085742789354978e-11,1.4236785204479824e-15,2.397706534824637e-12,7.342883129290515e-16,1.9219766764288863e-06,1.3819901027363244e-15,2.160793345795934e-15,8.299904835949371e-15,1.3022708519833835e-15,1.7404768762306113e-07,2.0492460167669094e-15,3.420928379591766e-07,9.121456729598636e-11,1.7202577153203394e-09,5.068007287339826e-12,6.877267594774481e-16,2.786650199153555e-13,2.391934310582152e-14,3.5791393879393215e-13,3.805489816560373e-07,5.994780711913534e-13,2.4789508256667274e-11
