,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0,0.650427383,847,297.5153551,596.7419523,101044.744,0.342209939,0.1,"NH3: 0.219734813, CH4: 0.780265187","O2: 0.21, N2: 0.79",34.491955835166436,34.2209939,2.5322497221059763e-06,7.256022221213177e-10,3.450931829921848e-08,0.06387435403087664,1.0322660665197761e-05,0.1309651055991636,4.255546596559298e-09,1.868784649268638e-06,-1.1521804899544125e-15,-1.1761994395118083e-15,-9.618496027267114e-16,-1.1955542026804292e-15,-2.268616982073135e-16,4.623229999561388e-15,1.0583019510951013e-05,0.06340767448252861,-7.007279648960493e-16,2.3068137357769907e-15,-1.0940728881068734e-15,-4.733361232345379e-16,1.365067819588552e-15,-1.1479108737916818e-15,-4.1900670545013274e-16,-1.0392022844266068e-15,7.10152780090513e-16,-6.092653792276229e-16,-2.964899696028582e-16,-9.425864478626796e-16,-2.192523813499087e-16,-1.682111031313299e-16,-8.940629525669256e-16,2.6875126517818345e-15,1.7585032821068687e-11,1.316042467234236e-10,-1.1566756381372256e-15,0.0067183816566405395,8.525265765496649e-05,1.2294121944102761e-05,9.036422504733875e-09,-1.0709844587536004e-15,1.2963688384434725e-09,9.055894999272306e-16,-1.0818543953359741e-15,3.7979433762484105e-08,1.1317559541235036e-09,1.2731297841025124e-09,3.553425444732762e-15,0.7349115403798887,-1.0474537735261266e-14,-4.0345091826925767e-16,-2.611532074443484e-16,-5.428883147637136e-16,-3.3033176266817845e-16
0,0.656287833,850,296.55,571.5364583,100738.103,0.339320079,0.1,"NH3: 0.219673587, CH4: 0.780326413","O2: 0.21, N2: 0.79",34.29790813687373,33.9320079,2.533421220164741e-06,5.93046640065722e-10,2.8923855644840305e-08,0.06280056530369574,1.0055914063123588e-05,0.13180227153706128,3.63932653230641e-09,2.026508519665997e-06,-5.947545248996781e-17,-5.359440123440642e-17,-1.1033055483294715e-16,-4.9304253374999394e-17,-2.608666727033393e-16,3.537744815296157e-15,1.016637988317549e-05,0.06408410201126397,-1.2684538819370004e-16,-3.6055249349054134e-16,-7.446018540894932e-17,-2.2237822204629666e-16,4.549766654981986e-16,-6.016115181286433e-17,-2.1916446417528148e-16,-8.920174509805941e-17,-2.8685666907282407e-16,-2.1536731335650169e-16,-2.4363967463739975e-16,-1.2643758496942748e-16,-2.5867852018053453e-16,-2.596979271078208e-16,-1.4531054891682504e-16,2.3419793082623753e-15,1.2237812660375937e-11,8.836806395912582e-11,-2.537041400296845e-17,0.006777680098185624,8.595536783747638e-05,8.111582924169146e-06,9.467613263706205e-09,-7.759662714347416e-17,7.952026018830873e-10,7.05415566467012e-16,-7.717254650636287e-17,2.7906623733491256e-08,7.52075338797265e-10,8.76305719415836e-10,1.9750532160628913e-15,0.7344164588206823,3.172078150630731e-15,-2.3159637649637646e-16,-2.4105166514982025e-16,-2.6143304419789154e-16,-2.3997830638244103e-16
0,0.700367549,821,297.2109272,600.3254333,100983.415,0.444168838,0.1,"NH3: 0.219451689, CH4: 0.780548311","O2: 0.21, N2: 0.79",46.17445100136615,44.4168838,4.739562344829193e-06,2.0905313548625116e-09,7.0363799041296e-08,0.05373809919603336,1.5084012248673762e-05,0.1397880058036204,7.875409413900518e-09,2.655244641662357e-06,2.833922494832004e-16,2.8500761071180256e-16,2.68941275270283e-16,2.86138389689123e-16,5.6246877833539e-17,7.818131573372698e-16,1.650141064083937e-05,0.06789866629820686,4.984496363422365e-16,-3.286049393160943e-16,2.78899524245435e-16,9.54081933037297e-17,2.0439546688871453e-16,2.831066739269648e-16,1.898951614553008e-16,2.7397108247414163e-16,2.5100155821527636e-16,1.1703739925461729e-16,1.098189467029942e-16,2.591178369963942e-16,1.0125651853886838e-16,1.1977562219507257e-16,2.5494198917292105e-16,6.39089800852459e-15,1.5764724540343386e-12,1.044705484061186e-11,3.998112092354696e-16,0.007164051682308808,9.34165396419074e-05,8.696345060639285e-07,2.227129695251936e-08,2.7773073812621e-16,6.032269740650878e-11,1.7560116886836584e-16,2.78207473291028e-16,2.3927793739975926e-09,3.959773901697681e-11,1.0570600370428743e-10,7.236257827916819e-16,0.7312778054043229,4.647016207289423e-15,9.321392624731574e-17,1.074173659015068e-16,8.531539267824203e-17,9.53335629922347e-17
0,0.750578264,806,297.031258,585.0540173,101099.977,0.536662132,0.1,"NH3: 0.219672924, CH4: 0.780327076","O2: 0.21, N2: 0.79",57.06455808292981,53.6662132,9.434659078863124e-06,5.349307726281018e-09,1.1201931292461407e-07,0.043613611651309246,2.017541285728428e-05,0.14842157194459132,1.2857902005276701e-08,3.817079865245511e-06,-6.143482793941221e-16,-6.123084284127597e-16,-6.202912742909536e-16,-6.109065459638197e-16,-2.4498462842859706e-16,-2.507616604545524e-16,2.998251841253505e-05,0.07258329713088604,8.572266940974355e-16,6.524793273488375e-16,-6.165359448065922e-16,-2.965141428500194e-16,-4.431897180963016e-17,-6.145209236858851e-16,-3.7867712019575504e-16,-6.173015514387739e-16,-2.340712636518628e-16,-3.201636654238704e-16,-2.79331800858643e-16,-6.067334100167263e-16,-2.648151960403983e-16,-2.452064998567231e-16,-5.922603517185768e-16,2.209640068864999e-14,8.319250780910397e-13,5.21408899856599e-12,-3.5438260128969e-16,0.00751497420742928,0.000100191241445828,3.032891059277169e-07,5.673159593053905e-08,-6.182807346944046e-16,1.6503339247149983e-12,-2.5372483153311525e-16,-6.179348791590983e-16,5.65867762616386e-11,5.563559600509556e-13,4.32355673235525e-12,-5.436626793115676e-16,0.727702453837719,5.491043227877833e-15,-3.1526056869917154e-16,-2.765295130854248e-16,-2.8094147916832033e-16,-2.8703154401035133e-16
0,0.800183585,847,297.0470749,599.3263048,101160.289,0.627843206,0.1,"NH3: 0.219690749, CH4: 0.780309251","O2: 0.21, N2: 0.79",67.97798977049615,62.7843206,2.0059057309259317e-05,1.9267156309771192e-08,2.2047255952279933e-07,0.033647050451924766,2.7674567745826863e-05,0.1571152290831397,2.5570896416012434e-08,4.980434947310742e-06,6.613972944433959e-16,6.724641667080997e-16,5.94544261592166e-16,6.790185672945022e-16,3.699449689074417e-16,2.9487685198873855e-16,5.9046181173546e-05,0.07695667068007782,1.420716180993559e-14,-5.348366100937655e-16,6.323717319846513e-16,4.4362483123402953e-16,2.699308137967669e-17,6.595443522066246e-16,4.4261760686386584e-16,6.069378955004423e-16,5.1446162564659283e-17,4.2450463479884145e-16,3.1288254441190375e-16,5.732788297430883e-16,3.381723192742063e-16,3.1605450312004566e-16,6.736971690318788e-16,1.3923036542003138e-13,2.2879921781347914e-12,1.3412882668746705e-11,1.743660209466367e-15,0.007758192402078173,9.82194137033528e-05,3.5798542383805637e-07,1.5284106479558552e-07,6.209304107686282e-16,2.6235726678030044e-14,3.7015613136177695e-16,6.263929744095428e-16,3.53568271553207e-13,4.749659330244786e-15,5.896046781023586e-13,5.994824629645072e-16,0.7243121015739552,1.9991811761337375e-15,4.316713681283163e-16,3.249685086356383e-16,4.061673186798742e-16,3.7197841656335446e-16
0,0.849195507,928,297.2330309,621.1009191,101160.289,0.718275692,0.1,"NH3: 0.219654736, CH4: 0.780345264","O2: 0.21, N2: 0.79",78.82372761113675,71.8275692,4.673643215800289e-05,8.752662471416247e-08,4.56808011873014e-07,0.02387390393087157,3.786401676166531e-05,0.16576325159472136,5.777916795898348e-08,6.316319930240321e-06,3.663866427736647e-17,-2.9238270449549213e-16,1.6172830721893018e-15,-4.701168871431315e-16,6.408803949242416e-15,5.465499019319604e-15,0.00012443345775738055,0.081155693621878,1.869210843650813e-13,1.788962294021437e-14,8.92747124892574e-16,4.949714475407803e-15,8.836529787833749e-15,8.517229122302419e-17,3.3935064904496235e-15,1.5533105604371888e-15,7.0479405565436105e-15,5.017513447781377e-15,5.35298498052224e-15,2.0707539339175807e-15,5.294401770828531e-15,5.198397898541705e-15,3.5065361564758872e-15,1.1339256431656612e-12,8.06008098337711e-12,4.462547867185469e-11,5.41446713193372e-15,0.007897023542938387,8.414412053293847e-05,6.192780290730218e-07,4.7224644431972384e-07,1.2579029930661318e-15,2.443609322379232e-14,4.969988055784452e-15,1.0623510413977438e-15,5.032250431706536e-15,6.799833567175849e-15,2.2012249208636226e-12,5.1670054807401925e-15,0.7210089392677672,3.8541146493964644e-14,4.8137017997489385e-15,5.2651251950038336e-15,6.13604514238664e-15,5.101329815554208e-15
0,0.90079026,900,297.3215748,643.0923283,101160.289,0.79919341,0.1,"NH3: 0.219564702, CH4: 0.780435298","O2: 0.21, N2: 0.79",88.75497057051507,79.919341,0.0001363912302770634,6.545863938630925e-07,9.437293339924884e-07,0.013652996526552833,5.144115596799712e-05,0.17490516918060728,1.779117473276258e-07,7.842854787813696e-06,1.2091032943229533e-15,1.2743589517231484e-15,9.833916404437572e-16,1.3036960732759677e-15,2.1078241792175793e-16,2.671414102304245e-16,0.0003073299072384147,0.08545767551904604,5.747752328773295e-12,2.4656458003724685e-14,1.0347481505652106e-15,4.110234610165402e-16,-3.672366856353753e-16,1.2066886587825665e-15,2.8757492606799786e-16,9.398797097349517e-16,1.9774185414073784e-16,3.149052322804073e-16,2.9147546805641435e-16,9.35460594761159e-16,2.530170761293242e-16,2.6531030757208153e-16,2.6860823051920952e-14,1.545379223254311e-11,4.055846650353119e-11,2.1704731767146878e-10,5.396377408200016e-14,0.00790635070039266,5.387198980644151e-05,2.162521144254377e-06,2.049292423709742e-06,9.615916592204264e-16,1.6784725028223683e-13,3.6726783118569418e-16,1.0081451301245236e-15,-1.0592333752417216e-15,2.797871204999919e-15,1.5435835658691858e-11,1.6818443132464694e-14,0.7175149425997224,8.108911017801162e-15,4.726038097681321e-16,3.2409474960891697e-16,3.3382704952853366e-16,3.544942187605281e-16
0,0.951692776,895,297.9267036,670.5512541,101044.744,0.864961084,0.1,"NH3: 0.219603048, CH4: 0.780396952","O2: 0.21, N2: 0.79",96.76631238786649,86.4961084,0.0006604707083278613,9.824054817415866e-06,1.1069524628958846e-06,0.004198670231006422,4.883022625732392e-05,0.1835737933126482,6.56405376747665e-07,5.02951137614967e-06,4.7125111268967215e-16,3.1650442331501323e-16,7.607107564838016e-16,2.5717121331041034e-16,1.357205750317744e-15,3.714664620097527e-15,0.0011129102252208191,0.08888125844725946,8.954313542157463e-10,2.8104376087896436e-11,1.9571468470506167e-15,2.7813502939158875e-15,2.7522604505002548e-15,4.4950721335663805e-16,7.144584630979638e-16,8.588875408317953e-16,1.0258344016045588e-15,9.196999630377469e-16,5.603165321186028e-16,7.4549344407838e-16,8.003799013398912e-16,7.253780937463455e-16,1.2391000689434442e-12,3.851348753840279e-10,3.3172253457615704e-10,2.285152972283202e-09,9.666165560050814e-13,0.007685914204209058,1.4972172197009518e-05,1.3733862580168743e-05,1.0082877001009411e-05,9.371312742443187e-16,3.010684604619306e-12,5.178448921031992e-15,8.360263963056663e-16,1.2161476725144885e-15,4.465494826566194e-15,2.7227342013761e-10,7.202803275744894e-13,0.7137827426054629,3.2468996324739073e-15,9.220653030759853e-16,6.784869830863335e-16,9.713296398493315e-16,7.992578297888317e-16
0,0.999082629,917,298.133103,688.533589,101044.744,0.909599962,0.1,"NH3: 0.219493262, CH4: 0.780506738","O2: 0.21, N2: 0.79",102.12653442861574,90.9599962,0.0038124665617812765,2.9139459994774188e-05,1.1699638713951858e-07,0.00045568154681187756,3.952604492846405e-06,0.18658729371899394,2.234905691615722e-07,1.223567617821083e-07,-1.007782159078675e-15,-7.275211064584879e-16,8.340670610322705e-15,-4.562002243421293e-16,1.5511092357525274e-12,6.021901066398531e-11,0.005800312757918732,0.08734450454625033,5.7890724160311596e-08,7.969090972458791e-09,6.7700601779864504e-12,9.34171732397464e-13,6.869041320374576e-12,-9.562726999727387e-16,-1.6682346740719024e-15,-1.2768260779258324e-15,-1.1934555738784566e-15,-1.1994548264989488e-15,-1.350118957755034e-15,-1.1126997818822793e-15,3.9153533674020816e-14,-1.3135323540130577e-15,1.8915122929286805e-11,3.4607881492850283e-09,1.4305716572098486e-09,5.997447141911868e-08,3.023635938243875e-12,0.006975049648196539,1.4752379746809255e-06,5.989770543330567e-05,1.3784299182491978e-05,-1.2699792911485711e-15,1.1000946527466678e-10,3.5604240066443105e-13,-9.66426434335296e-16,8.172024286685253e-13,1.880803475776833e-14,6.590602459374285e-09,1.0070602721482756e-11,0.7089158415334124,-2.2662848494409766e-15,-1.358062156227902e-15,-1.3535305603103856e-15,8.811466381639883e-15,-1.0986415839384557e-15
0,1.099132474,965,299.1141447,692.8098904,101351.384,0.901267223,0.1,"NH3: 0.219496699, CH4: 0.780503301","O2: 0.21, N2: 0.79",100.73675144822346,90.1267223,0.015017433047267723,3.414664322906231e-05,1.2995643513064548e-08,1.1471529517774069e-05,1.2836689739904532e-07,0.18595682851426354,1.0509651701812579e-08,4.42499532266142e-09,1.901572436858223e-17,-2.376976639288638e-16,3.0973361086305314e-13,1.4865329734552143e-15,3.650672183246919e-11,2.1994980656387266e-09,0.023011837869483232,0.07526297857666847,3.8901900993017323e-07,6.249836481222738e-08,1.827107112300899e-10,6.893592500653977e-12,1.7255628827936386e-10,-5.622950459355206e-16,3.1248999311940116e-15,8.974058677610361e-16,8.783993097324285e-16,9.656500115412177e-16,9.36169811515306e-18,2.34572037691427e-15,4.4559094274182575e-12,6.1435427357642e-16,1.2514846155492015e-10,1.4251660858104282e-08,6.450288964788091e-09,1.7358275424738477e-06,3.781925317193814e-12,0.004961224505225066,4.489893780766634e-08,0.0001557490994918222,9.349473788493901e-06,1.815943450529258e-15,6.634132993292727e-09,2.3023155496664744e-11,2.3823776486100288e-14,1.570748727828337e-11,2.753267850676478e-13,1.0863395590509739e-07,4.3736324645264545e-11,0.6955764534139777,-2.3182848438120908e-14,8.686858244662084e-16,-1.308778818035663e-15,1.2836752558207255e-12,1.0636034272364722e-13
