,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,NO,N2O,NO2,NH3,HNO,N,N2H,NH2,NH,H2NO
0,0.699264468,569,297.8730477,527.0820412,101302.4997,0.257591194,0.3,"NH3: 0.520594953, CH4: 0.479405047","O2: 0.21, N2: 0.79",25.40716284073926,25.759119400000003,0.7298594218508198,-3.4060974036485514e-15,-3.554701947311201e-15,4.443237998558065e-10,0.05373250645057611,1.084633675181907e-05,6.703066804865466e-09,3.4410148237626336e-06,0.1592550244008896,3.183552141161294e-09,4.233662987475077e-06,6.874725094828788e-06,0.05219636893473187,8.266090928326669e-17,1.3973870443487247e-15,9.733459715502191e-14,2.323236347209036e-14,1.1812881281468773e-16,-1.502778760285143e-16,-5.62766338305034e-15,9.632091915796532e-16,4.093850203793705e-17,5.64193803888611e-16,-1.4197444310457913e-16,5.433422591466927e-16,1.868241203389613e-16,5.1667088043389725e-15,2.4257133158397012e-17,6.896225817867601e-16,8.703309734415408e-07,2.2539129262696077e-16,5.935589516438826e-16,-1.0548665478078458e-16,-9.50260254028046e-17,8.320762762732902e-14,1.069404744451872e-15,4.0379008007888e-16,5.767823415203946e-16,-1.0428930711825142e-15,1.602828427122135e-16,6.354922332523494e-16,2.332440927146171e-15,6.52979961474178e-16,9.678694154396148e-16,2.285670292160537e-15,5.68463763187483e-16,4.158082059138019e-16,-4.710147450700399e-17,9.561230970171612e-16,-9.427104354108975e-17,5.78119983134162e-16,-7.113451660655554e-17,-1.2831976621556524e-16,1.7183289516616484e-15,1.1037773619913834e-15,-1.3722005236913597e-16,1.975728737419292e-15,1.5230608721886663e-17,0.004865134802635453,2.1523178217740846e-06,6.311300180137286e-05,2.2158918075534656e-14,1.8388678975614714e-09,3.2095066031899146e-17,-1.4718870436091966e-16,3.499607901082607e-16,2.0494871256112534e-17,4.438642500053258e-14
0,0.749944071,632,297.8775868,544.8503656,101213.6183,0.301912406,0.3,"NH3: 0.520668697666667, CH4: 0.479331302333333","O2: 0.21, N2: 0.79",30.68289591179996,30.1912406,0.7261491799009925,-2.4752456333005894e-15,-2.1889764813829984e-15,1.489874494920545e-09,0.043533258708193856,1.5068052089390475e-05,1.463579384066355e-08,6.340212673903936e-06,0.16914313476633147,5.778513675606176e-09,5.1629735395505615e-06,1.2121233607114159e-05,0.05547712917434393,1.4001152107959922e-15,1.053878268404142e-15,9.466663451087693e-14,2.146891148270131e-14,8.606913392534239e-16,1.0875670645856466e-15,1.2105425045083423e-15,8.804853941284635e-16,8.806278605273729e-16,4.463530450333067e-16,1.0805782782859001e-15,1.3924994211934632e-16,8.770651526594989e-16,-2.156786368861585e-15,9.411584170861188e-16,5.58269870596641e-16,8.255619510022719e-07,8.096118790033383e-16,4.527930047703657e-16,1.0530161953313673e-15,1.0452366939441217e-15,9.412044900902633e-14,1.0305064462899253e-16,7.859998251109867e-16,4.851197651581881e-16,6.343108075592249e-16,8.596750720069096e-16,6.282333352027794e-16,8.630329458239504e-17,4.887975603550284e-16,4.538465871010923e-16,1.7735993270765188e-16,4.582161177149695e-16,6.912539715955028e-16,9.844081120178294e-16,3.153350798578124e-16,-1.520127503457852e-16,5.079119750877045e-16,1.0140113153964772e-15,1.066635851876631e-15,-2.048206310745879e-16,-2.3547250957113547e-16,1.06793836477169e-15,-6.905200484104634e-16,9.578944714395335e-16,0.005588280602298491,2.1837904234348607e-07,6.925388276787278e-05,4.145106058878373e-14,4.6476331461816294e-09,9.68092671839458e-16,1.0994223486882983e-15,7.79877695300437e-16,9.731256450030575e-16,7.921088512566286e-14
0,0.799863962,645,297.7131599,560.4930005,101213.6183,0.35513521,0.3,"NH3: 0.520530744333333, CH4: 0.479469255666667","O2: 0.21, N2: 0.79",37.148664248887826,35.513521,0.72262971720355,-8.209713705217726e-15,-7.869101205056922e-15,5.597268274950676e-09,0.033560206350489764,2.0584328734417324e-05,3.138423289839297e-08,1.3082366543868916e-05,0.17880360200970905,1.1292307999219601e-08,6.373419597790182e-06,2.4019309626025738e-05,0.05875247664752917,3.837588276746268e-15,4.852832096197004e-16,9.518856601270267e-14,2.8182162379889804e-14,-5.397114526278824e-16,-4.1376553026138505e-16,5.829265572734346e-16,-1.4902655104796114e-16,-5.632275366017617e-16,-4.870869913918949e-16,-4.1728671286857447e-16,-5.623637342193745e-16,-4.910496780041741e-16,-9.841573473283824e-16,-4.9641627000148855e-16,-5.968736815361687e-16,8.202934218193039e-07,-5.685420691652898e-16,-4.908681540153913e-16,-4.273233192413549e-16,-4.2502352367513065e-16,1.1319708248782711e-13,-4.2498427686605725e-16,-5.303244672741136e-16,-4.77076658739491e-16,-1.6055841417493583e-16,-5.363510735406858e-16,-6.37615985866586e-16,-1.7236681507781817e-15,-5.991283844031711e-16,-7.922748711206154e-16,-1.4817875219434521e-15,-4.784100939815948e-16,-6.167938930105593e-16,-4.793602442304561e-16,-7.682914802889689e-16,8.229616995138549e-16,-4.704279109450442e-16,-4.547462776278519e-16,-4.2106687737909206e-16,-7.491975167880348e-16,-2.1820038594388453e-16,-4.2508966917997064e-16,-3.5492061945456524e-16,-4.805361096170059e-16,0.006117067024443205,1.8207183756224865e-07,7.180789780664775e-05,1.3765378330803472e-13,1.2802408087039237e-08,-4.648864962553878e-16,-3.427876664979357e-16,-5.144601707817388e-16,-4.628288629497471e-16,1.5284475545817942e-13
0,0.849582705,650,297.698572,579.1445064,101213.6183,0.40994638,0.3,"NH3: 0.520572273333333, CH4: 0.479427726666667","O2: 0.21, N2: 0.79",43.804277589421645,40.994638,0.7192557777367576,4.0012010873629654e-14,3.606139181302377e-14,2.317469177563237e-08,0.02374600273703404,2.7215636622354737e-05,6.291668116839715e-08,2.9300811689161282e-05,0.1884158479055953,2.329703146545789e-08,7.769914685077896e-06,5.025748268416467e-05,0.06195843011095063,5.437674455616344e-14,1.9546245509902663e-15,1.1136702410552367e-13,3.257775224618694e-14,1.5494031452476719e-15,1.196384469554848e-15,-2.061449936191166e-14,2.1397311478103863e-15,1.7942704987914444e-15,-2.9104260163824735e-18,1.161212098125488e-15,-8.210940620880836e-16,1.2628563916527966e-15,-1.6538430045947928e-16,1.4658004050394322e-15,1.2942343871080017e-15,8.458575356320437e-07,1.6976964333807184e-15,4.3689135297608834e-16,1.1115048763654487e-15,1.2006137993790478e-15,1.5022366737863624e-13,-8.407788866223109e-16,1.4228943238562445e-15,2.7154669632268283e-16,-3.1247501747072937e-15,1.6045032098237891e-15,1.787742518958775e-15,8.59911607858975e-15,2.04995890183286e-15,2.3573781990081766e-15,5.238888908955343e-15,7.85981952374955e-17,1.6163910426572813e-15,1.3160128897129068e-15,1.836681569046704e-15,-4.493951588960552e-15,4.042064420343934e-16,1.2975807143422152e-15,1.116886629726133e-15,-5.248867019644449e-15,-5.6866567043862565e-15,1.1737858416941625e-15,4.0132565565165186e-16,1.3787096770993028e-15,0.0064412206905775015,1.9402421139125052e-07,6.698843196031958e-05,5.554283037014565e-13,3.9269959084325244e-08,1.2172918145387045e-15,1.5935223521296009e-15,1.955582241520778e-15,1.2193971267592237e-15,3.3689135134018275e-13
0,0.89995353,670,297.6745556,583.1618148,101458.042,0.458292383,0.3,"NH3: 0.520608965, CH4: 0.479391035","O2: 0.21, N2: 0.79",49.88436574201796,45.8292383,0.7159690762551549,1.856425255936429e-14,1.2479790423390036e-14,1.218493304392735e-07,0.013935428728854676,3.373753137178066e-05,1.0323540990514314e-07,7.653953271471218e-05,0.19799891330095215,5.4797649780669255e-08,9.407441003154327e-06,0.00011756069788394034,0.06527162218295955,1.1337190594988704e-12,3.3834964193723516e-15,1.857786062306039e-13,6.543948914774477e-14,7.659574418096043e-16,-6.838310692690552e-17,1.1150798042907399e-15,1.8535934200952727e-15,6.791260530103194e-16,4.97599558327906e-16,-3.6619116602626695e-17,8.582046201366564e-16,1.1074483646090127e-16,7.588118397596034e-16,3.971661107547237e-16,5.605974372049243e-16,9.05235905588368e-07,5.227107174264163e-16,5.011834110338291e-16,3.830652213432972e-17,3.31679289686855e-16,2.426460723016827e-13,5.807830102140132e-16,2.948592047938226e-16,5.126574544926133e-16,5.406423670618824e-16,4.773071964663752e-16,4.9452106533947e-16,5.397653534694048e-16,5.550843366425958e-16,5.122522650893936e-16,3.4070893566506887e-16,5.045078768628425e-16,5.526163794899611e-16,4.0607876729934224e-16,7.30872194778136e-16,4.617217588679031e-16,5.208552712538281e-16,3.447321677430793e-16,9.471106197741188e-17,4.757810406753653e-16,8.464653887301513e-16,1.2742412783111204e-16,8.520798908775114e-16,3.638937822020952e-16,0.006535412759518664,2.910960230063364e-07,5.066155272419161e-05,3.0938937369394175e-12,1.6379674260170045e-07,1.7286207274336372e-16,2.943381684587629e-15,2.662352375657826e-15,2.552350413781922e-16,1.0176951953391687e-12
0,0.95059923,647,298.0037758,601.1493784,101413.6013,0.494703942,0.3,"NH3: 0.520698037666667, CH4: 0.479301962333333","O2: 0.21, N2: 0.79",54.426095761184115,49.4703942,0.7126169462739573,1.2249565916456949e-14,1.4735837306695e-14,1.977315149965125e-06,0.004427495869938938,2.9165956839597687e-05,1.1091284224647972e-07,0.0003417759135473585,0.20759055249483793,2.1801219128380486e-07,5.816619747813311e-06,0.0004237180375332196,0.06818235153557331,1.967709325482619e-10,1.46627542983724e-14,9.145487545095856e-13,2.718581535950594e-12,1.3843935559831573e-15,1.6214941055395237e-16,-5.187404706846732e-15,3.758063801752354e-15,9.568894352281681e-16,-3.139824476714459e-16,2.532882879521376e-16,-1.9948845055818082e-16,3.4623988358243475e-16,9.09849149558707e-16,6.109683909381242e-16,8.529314444104846e-16,9.959495622674755e-07,8.963392209076776e-16,6.059570480381322e-16,3.899731789868714e-16,1.5261081069001945e-15,6.191536212947087e-13,7.373872007550519e-16,5.689672794413474e-16,7.439603216976277e-16,1.6185227404238687e-16,8.34646853939874e-16,5.908029172781016e-16,-2.4704800682137927e-17,3.8054334656757736e-16,8.0708782167990135e-16,-3.5274057633721467e-16,6.487972913302844e-16,8.946373707473135e-16,1.1358900366588358e-15,8.026751846942516e-16,1.0426130898965855e-15,8.545143893807997e-16,9.678804812936017e-16,5.608452849551091e-16,9.735308498141664e-16,3.4005592927257893e-16,5.505612788049536e-16,1.7457721432962957e-15,7.095732353011008e-16,0.00635894896605948,1.097743166793514e-06,1.6403685942644335e-05,5.344540232271222e-11,2.4244510806034947e-06,5.662618542161427e-16,8.671387340345596e-14,3.449417609782739e-14,2.0283579538752668e-14,7.354700005010457e-12
0,1.000359633,651,298.0470669,614.9192732,101391.381,0.514780965,0.3,"NH3: 0.520801827, CH4: 0.479198173","O2: 0.21, N2: 0.79",56.72027032360916,51.4780965,0.7079513468254208,8.898268380215838e-15,6.389289740095913e-15,4.6948063501357005e-06,0.00021249749381652619,3.606702296122182e-07,1.0911527829072182e-09,0.003680627133605566,0.2112800086878229,2.7619849868157727e-08,3.13973191256569e-08,0.004121927787923166,0.0669401589407277,3.252121727877243e-08,1.6418263898037084e-13,5.1153512947511965e-12,1.8645343896815717e-09,1.0154342544968634e-14,5.363711674265839e-16,-3.8974603671017136e-16,5.529175598437888e-13,1.8843568729477759e-16,-2.6227367927419906e-16,5.132132009015893e-16,5.665915149912161e-16,5.054830909673951e-16,1.9388283664928383e-16,4.1391545241685446e-16,2.6696420400670504e-16,1.1255338831502194e-06,2.872625234998001e-16,2.858954296805564e-16,4.838245409874111e-16,6.524146139009079e-13,4.1185446637997544e-13,1.461759292785678e-15,4.3383983287319214e-16,1.6650330576135243e-16,2.3123375539761033e-16,2.8896584298412857e-16,4.009008693567158e-16,1.6246205643237299e-16,2.15462433887501e-16,3.0339589279832546e-16,8.414604646037884e-17,1.8186680724583788e-16,6.868701251420574e-17,2.82441149434258e-16,4.0877067012225215e-16,2.1210355235219602e-16,1.8554245091775588e-16,6.672142442621199e-17,3.0296385078943085e-16,1.288038842546273e-16,5.680800939203243e-17,4.524809717193793e-16,2.110103675310278e-16,2.833212177584813e-16,0.00578032802475211,4.518249305014417e-06,7.070757110708968e-07,1.0520685735383573e-08,2.1593712547975452e-05,2.739035074285612e-15,2.930901141236264e-13,8.935062034493879e-14,6.243006259664196e-13,3.520304134615382e-11
0,1.048214494,668,298.0154963,618.1457101,101391.381,0.516647552,0.3,"NH3: 0.52065138375, CH4: 0.47934861625","O2: 0.21, N2: 0.79",56.92647496593747,51.6647552,0.7017902561242071,4.101815415747697e-15,2.6060253437398715e-15,3.5991017821702586e-06,1.736137455523604e-05,1.6535157601251547e-08,5.7920352265720645e-11,0.00949612357956657,0.2109090539763875,2.3471388272019245e-09,2.467097393414813e-09,0.01116806859574327,0.061569488877525134,9.041522610057342e-08,7.448809941739584e-13,1.3823140493137945e-11,4.381228328008193e-09,1.2384600518465673e-14,2.5489545779428554e-16,-1.6717778994362553e-15,9.501503028550388e-13,-1.9338133384821499e-16,-2.608212181481379e-15,2.9462998972592603e-16,2.1947597487394325e-15,3.076786416763028e-16,-6.286764444622259e-16,3.9627573649242537e-16,9.136759006993457e-17,1.301542646408031e-06,-9.986031110929721e-17,2.3500596943187404e-16,3.5665231573891044e-16,4.0401832874668176e-12,4.5460718046416055e-13,1.749144757978431e-14,4.56781071309471e-16,-6.723144973425732e-16,-9.09805681872437e-17,-1.288894371539877e-16,4.3262201582393435e-16,-5.977659692156662e-16,-3.7623766911682343e-16,2.397415511724157e-17,-1.6585243395639532e-15,-6.138900737502082e-16,-9.339098360816788e-16,-9.834213320990055e-16,4.592532154545567e-16,-6.301292379831831e-16,-5.9149568630711e-16,-4.212241065668412e-16,-1.2183798952128668e-16,-5.331141334457305e-16,-1.5618786552196914e-16,4.133727839112456e-16,-1.1783193995389256e-16,-3.9262262684042213e-16,0.005021541227007292,4.2777268467499764e-06,6.168225271576245e-08,8.973626147400223e-08,1.866012757824747e-05,2.111548477694324e-15,2.3075894086969674e-13,6.179050597148291e-14,5.145884170610041e-13,1.0302115396265002e-10
0,1.099010816,698,298.063669,612.0418972,101391.381,0.498017922,0.3,"NH3: 0.52059183625, CH4: 0.47940816375","O2: 0.21, N2: 0.79",54.53036133282592,49.8017922,0.6952329447381176,-8.704231051800134e-15,-8.441545547036664e-15,3.803198403680561e-06,3.188001803425442e-06,3.880723490268073e-09,1.1705116288994141e-11,0.01622131410010086,0.20994896705121438,6.807322050952145e-10,7.822621688615172e-10,0.01827320165130925,0.05629458502202056,1.7858457518799658e-07,2.075062214422538e-12,4.693345950936621e-11,1.005560800377306e-08,3.359263939212498e-14,2.2422603407458165e-15,9.095102171826547e-16,2.7189004676898983e-12,1.0523603485836292e-15,-5.551798302226381e-16,2.200351450162274e-15,5.522648032731127e-15,2.1845680277458965e-15,1.4636807289391129e-15,1.860897726515728e-15,3.2998499817980047e-15,1.5990523942537306e-06,1.399310459820862e-15,2.670988995061345e-15,2.1492513582606427e-15,1.2393536290216565e-11,1.2995165103384996e-12,1.083639559073428e-13,2.08816377424233e-15,7.594422477355591e-16,1.3766253122191053e-15,1.3946837763051646e-15,1.8188851970260152e-15,1.0367005675911377e-15,1.2152390663115315e-15,1.4292557715066816e-15,-1.664745618803369e-16,8.109746108319707e-16,6.804299572626507e-16,1.0486448146447132e-15,1.9108174190408976e-15,1.4917836361080032e-15,9.25404218886784e-16,8.666905455875103e-16,1.3209738473950872e-15,8.506375598370836e-16,1.4291508631850563e-15,2.0847044373769197e-15,1.3086618815023504e-15,1.0754690247618193e-15,0.004000376899281812,3.682355647364509e-06,1.3477057657695794e-08,2.868950254707085e-07,1.5843335014071474e-05,4.1822645155517816e-15,2.3062937589164637e-13,1.042344231964401e-13,5.066462814647627e-13,1.6055863018612526e-10
0,1.149741164,698,296.9069639,623.5311782,101308.0548,0.463241538,0.3,"NH3: 0.52062178, CH4: 0.47937822","O2: 0.21, N2: 0.79",50.40330326694175,46.3241538,0.6887933856841127,-1.2728879272382662e-15,-4.769172914848236e-15,5.689498000025415e-06,8.926672637309385e-07,2.7079966646369733e-09,1.0457159727383986e-11,0.02349851800560437,0.2085063874697929,4.0539808795840894e-10,4.4162825787705146e-10,0.024461825528887465,0.05191688959972149,3.0693945920381737e-07,5.505664100558405e-12,1.7441939936146578e-10,2.279864401039001e-08,1.0231171279909734e-13,-1.5317044613922346e-15,1.0663383823926155e-15,7.365055411393243e-12,-5.541735534243991e-16,4.265700759510153e-16,-1.5639357479064784e-15,6.423331707054379e-15,-1.5690323982918607e-15,-5.808496054354363e-16,-1.3394504378511918e-15,6.9582337216584755e-15,2.094922790182817e-06,-8.6532027551145765e-16,3.163526513837733e-15,-1.5422186175076952e-15,3.1667593217142374e-11,4.124610242917468e-12,4.4838976757342165e-13,-1.2352314214150793e-15,-9.73388957969075e-17,-7.935396370673842e-16,-8.355054843449836e-16,-1.3204787362277708e-15,-6.615817371982174e-16,-7.541717408089069e-16,-9.271725616836352e-16,-2.1532517540461252e-16,-6.14836907423276e-16,-4.606697880426271e-16,-1.4557175909834492e-16,-1.393070271199451e-15,-5.690267028002346e-16,-6.493097583241167e-16,-2.4103538402024477e-16,-7.189176445485358e-16,-5.554987741263913e-16,-8.104998913806984e-16,-1.5157227030536386e-15,-7.058393460289682e-16,-6.823905267455914e-16,0.00279860152043876,2.8782917413452837e-06,4.025952762703012e-09,6.361931551833122e-07,1.1862898379289228e-05,8.680025253356885e-15,3.6798632784775624e-13,4.0792404395122734e-13,1.0594532399240842e-12,1.651127576678364e-10
