,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,AR,N2,HE,H2,H,O2,O,H2O,OH,H2O2,HO2,NO,N2O,NO2,HNO,HNO2,HONO,HONO2,N2H2,H2NN,NH2OH,HNOH,NH3,N2H4,N,NO3,NH,NNH,NH2,H2NO,N2H3
0,0.939498606,922,297.866,586.8825333,101325,0.129940621,0,NH3:1,"O2: 0.21, N2: 0.79",11.70518575618371,12.9940621,-1.0871126727327634e-15,0.7081913625012888,2.9607551499148724e-17,0.0001916570170360543,1.1821240623699765e-08,0.004187450670234215,2.5434595141562776e-10,0.2843391176922911,3.603740007265636e-07,5.74387317937912e-07,2.570209977806826e-09,0.0029992951223824097,4.106815998735933e-07,2.6385435076560932e-05,1.2950744667315834e-06,4.406214627026706e-07,5.9595984457596234e-05,2.0388871380533294e-06,4.732478986758063e-15,4.542774142700392e-15,2.444650346153697e-13,8.158782004194902e-12,1.1023326564459898e-10,3.884257358270611e-15,1.822418800431297e-15,8.264519461884904e-13,-1.850382646039708e-15,-4.122969740133752e-15,4.618197707424248e-14,7.85929000284715e-10,5.327384623004909e-15
0,0.949175285,909,296.8516129,594.3123656,101325,0.1297908,0,NH3:1,"O2: 0.21, N2: 0.79",11.691581194578362,12.979080000000002,3.8398313236255926e-15,0.7074698529284341,3.792671324457639e-15,0.00031191952788034774,7.436293993984655e-08,0.0027060619557682953,6.552818034173762e-10,0.2864715144980409,6.89622139041227e-07,5.183861305297366e-07,9.903597127399959e-09,0.0029564142690168566,5.262045890537391e-07,1.6276209449735755e-05,2.479763249089728e-06,3.7979157977809315e-07,6.18116863550236e-05,1.4680366562769852e-06,2.412752349402359e-15,-1.592899220756964e-18,7.865056981519363e-13,2.2193173437978782e-11,2.7567421358540147e-10,-1.791881055251571e-17,-2.820858369929207e-17,1.121693294806462e-12,3.9258073164344524e-16,3.686142905773712e-15,5.748148587517014e-13,1.898527440908711e-09,-4.0666000329961654e-17
0,0.960184841,916,297.6354962,609.1698473,101325,0.130054549,0,NH3:1,"O2: 0.21, N2: 0.79",11.651641123415573,13.005454899999998,-1.595407257337883e-14,0.7065095736454307,-1.5462939554236622e-14,0.000635714795418708,6.697464382065787e-07,0.0012712302186139296,2.015350241352616e-09,0.2885980788660624,1.4678955022379012e-06,3.357899103894845e-07,3.9364720157722384e-08,0.002911041002728691,7.109685499032829e-07,7.191000182208656e-06,4.335449663334603e-06,1.817064746667959e-07,5.8748580919719806e-05,6.752725546642603e-07,-9.217035660199294e-15,-1.3087740643728006e-14,2.4165008143544078e-12,5.7718952548841534e-11,7.361254067842678e-10,-1.3464133686234615e-14,-1.4428624335076855e-14,1.0544513153356163e-12,-6.9790565689622165e-15,1.9353882897701344e-14,7.772730556155271e-12,2.876474974979436e-09,-1.4285729866496917e-14
0,0.979643687,925,297.8590909,616.180303,101325,0.130228787,0,NH3:1,"O2: 0.21, N2: 0.79",11.518567063887474,13.022878700000001,1.3638026125794481e-14,0.7047904723280104,1.2499885545335389e-14,0.002497509713152241,4.200320992362411e-06,0.00015784516557166357,6.30574218805918e-10,0.2897434181456003,5.627222411117636e-07,3.937552259177969e-08,3.018470691892295e-08,0.002778356323500984,8.638251782427915e-07,6.934320313054342e-07,5.8370733769509744e-06,1.503139158785089e-08,2.0132232000708087e-05,1.716012666210705e-08,-3.6865344433957255e-15,-9.041635480988884e-15,3.2217071408899117e-12,1.0138225468693842e-10,3.4721175487182798e-09,-9.888010656681516e-15,-9.966455172058659e-15,2.7524904210231954e-15,8.811672337093522e-14,2.368129736927594e-13,4.7833347560438845e-11,2.71115612928335e-09,-1.087760772961507e-14
0,0.989920905,951,297.6872414,616.3228736,101325,0.130098714,0,NH3:1,"O2: 0.21, N2: 0.79",11.409105531404293,13.0098714,5.378173511639103e-14,0.7037678890341906,4.859156016864447e-14,0.004035297169539405,4.747209848341518e-06,5.407847746837873e-05,2.0545918601025917e-10,0.2894610069257908,1.8116103594507133e-07,1.4403535847565963e-08,1.2111526780936476e-08,0.0026604038562440674,8.112687747948929e-07,2.2609273707171363e-07,5.67539041505084e-06,5.251063314541428e-09,9.640162289506226e-06,2.1523243704464307e-09,1.2336880200922771e-14,6.8738635523410956e-15,2.0470373679386304e-12,9.975996711784046e-11,6.435055446040851e-09,7.122592991868836e-15,3.840311443969458e-15,3.99988303305526e-15,1.1758965679453605e-13,2.842781930047292e-13,5.2785930618332716e-11,2.5375668680827437e-09,3.0537433354990626e-15
0,1.000848886,969,297.5190141,614.5661972,101325,0.129939198,0,NH3:1,"O2: 0.21, N2: 0.79",11.257781528255691,12.9939198,1.58190826917138e-14,0.7026415631487275,1.0550123564447094e-14,0.005847411872987593,4.922418271956359e-06,2.032230262077454e-05,7.853799090525523e-11,0.2889765238360589,6.585521848809755e-08,6.5549257649226874e-09,5.022235045260051e-09,0.0024975493317012,7.392153575147704e-07,8.488368664647982e-08,5.4001992850447846e-06,2.3445753127379668e-09,5.388406817288493e-06,4.017345990731432e-10,-6.548884010230821e-17,-5.6450218681407235e-15,1.529142991804947e-12,9.509878412634147e-11,1.1620848775339567e-08,-5.9562543485600264e-15,-9.7475063312096e-15,-1.0830391380841085e-14,1.032109295550174e-13,2.727013206269678e-13,5.3877338218679645e-11,2.3555467008669775e-09,-1.2765135506068477e-14
0,1.001305224,970,297.0759843,607.7363517,101325,0.129684752,0,NH3:1,"O2: 0.21, N2: 0.79",11.23094031051727,12.968475199999999,1.696350607611581e-14,0.7026897408424468,1.673800023657171e-14,0.00590967654165185,4.655755183851588e-06,1.963024828004224e-05,6.354120652714972e-11,0.2888767122669532,6.124459563617524e-08,6.4098053415693404e-09,4.707502263282454e-09,0.0024878129188629877,7.35264003954187e-07,8.349350448247523e-08,5.551382288038959e-06,2.3377371654465075e-09,5.3115906385489665e-06,3.8954540755507826e-10,8.185563739149964e-15,2.88777276130212e-15,1.5405248668857738e-12,9.71902338909723e-11,1.191308419942156e-08,1.953948724881827e-15,3.651326648137151e-15,3.4271913554060702e-15,9.865665787226903e-14,2.6014209140311077e-13,5.297575285804018e-11,2.4782517511498993e-09,4.051114195481443e-15
0,1.019186738,978,297.2704918,610.4448087,101325,0.129724848,0,NH3:1,"O2: 0.21, N2: 0.79",10.981273043189617,12.9724848,4.39872638537943e-15,0.7007102860483191,-5.993167123006685e-15,0.009101273104921263,5.565073491929319e-06,5.532917509352892e-06,2.723202377750786e-11,0.28802255015107264,2.2112286775783727e-08,2.5729406465364027e-09,1.789332870037927e-09,0.0021465075107309204,6.202839793586766e-07,2.3928945852620014e-08,4.8412394110173975e-06,8.947913530138799e-10,2.743283315829224e-06,6.355889425453497e-11,7.985455278919474e-15,2.179118018495851e-15,1.3903368368250124e-12,8.585151871536366e-11,2.6855535647428548e-08,2.709364254899707e-15,1.6901766501966344e-15,6.967384190049473e-16,1.253234915349905e-13,3.1241394989917957e-13,5.944596683578904e-11,1.9954843305499645e-09,5.867319088135809e-16
0,1.038392492,945,297.2649254,609.9761194,101325,0.129833488,0,NH3:1,"O2: 0.21, N2: 0.79",10.740076084946622,12.9833488,4.780135713457753e-14,0.6986213438724241,4.8347623424349816e-14,0.012642271522335559,7.454252877385633e-06,1.95156433680731e-06,1.8546432057040002e-11,0.287019484526147,1.345317366537419e-08,1.2964614063649132e-09,1.0249927370611975e-09,0.0017012826796702634,4.974928710760758e-07,8.68635563611119e-09,4.0257381109931044e-06,3.873710792024963e-10,1.6082650121742055e-06,1.9590798821127485e-11,-3.4483095371293414e-16,-7.226238006249591e-15,1.5056351751742042e-12,7.274737300325058e-11,5.3524459625253564e-08,-5.982612056771474e-15,-7.388458565989936e-15,-9.88732859788097e-15,1.6870875624183155e-13,4.038254337405886e-13,7.624338918030715e-11,1.5241395222760871e-09,-1.0404499395419723e-14
0,1.050882449,917,297.2763158,609.5630326,101325,0.129944705,0,NH3:1,"O2: 0.21, N2: 0.79",10.591997615382411,12.994470499999998,-3.502907601338061e-15,0.6972696711291538,-2.081724785645477e-15,0.014985592417169511,9.592757851444201e-06,1.0891891712081472e-06,1.8954556317401654e-11,0.2863451390003902,1.2020485611543296e-08,9.008210768582599e-10,8.594797621120734e-10,0.0013838405782121584,4.137000235832134e-07,4.846309968816513e-09,3.406318274206589e-06,2.2250943728375055e-10,1.156308144875289e-06,1.1237602304353581e-11,8.503689797292334e-15,4.352789394205077e-16,1.6755305742112814e-12,6.246887187153687e-11,7.833167454251977e-08,3.1111667731665325e-15,5.088826308519876e-15,-2.8942852700724013e-16,2.4583127782836427e-13,5.296991335414061e-13,9.613705890637203e-11,1.2290686911496619e-09,-6.173512489925e-16
