,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,NO,N2O,NO2,NH3,HNO,N,N2H,NH2,NH,H2NO
0,0.960184841,678,297.6354962,609.1698473,101325,0.130054549,0,,,0.7068466652865901,-4.4682497371989345e-14,-4.049233893081561e-14,4.199646799201081e-07,0.0010758069651321542,1.7883945727227231e-06,7.372343073152759e-10,0.0005464786974352244,0.28851690395444896,2.9170625996217267e-08,4.019083552259377e-07,2.6455118198132157e-14,-2.723526386185773e-12,-3.0270314718253374e-14,2.3441603344371934e-14,-2.9043290955918734e-15,1.254780732315888e-13,1.2405783810633843e-15,-5.836857496572885e-14,5.390705989743976e-14,-2.7032169791310385e-14,-6.218119572284495e-15,-2.1413925551857697e-14,-5.786213333198672e-14,3.583941667563372e-14,-5.695049366456811e-14,-1.2855726099840915e-14,-3.215490379976195e-14,-1.8320743643023003e-14,-4.491263768936575e-14,-2.262577296958379e-14,-1.6178152599828137e-14,-5.671771663863521e-14,-3.1179121425420386e-14,5.4251175991651e-15,-5.790654219338512e-15,-5.1368208818825995e-14,-1.490066312961367e-14,-1.910107841729783e-14,-2.367708369090446e-14,-4.330168977109906e-14,-1.1102901428371235e-14,-1.4862257185847712e-14,-1.7759278774441047e-14,5.037314473144918e-14,-1.4775904005792988e-14,-1.9095425680085205e-14,-2.4625417482793915e-15,-4.245170590902022e-14,-1.2486039413635737e-14,-1.5286727802392548e-14,3.01688324828323e-15,-3.77435511416854e-14,-4.338280354342126e-15,-4.889424070707043e-15,-5.2209131862063364e-14,-1.6192896601817309e-15,-2.642651986077154e-14,0.0030028561374043582,9.123022079383672e-07,3.832228492096455e-06,1.787674363024585e-10,3.904062200699485e-06,-4.727966680822762e-14,-3.477674918082061e-14,-1.780112132464501e-14,-3.140262527437523e-14,1.539951654900087e-11
0,0.979643687,726,297.8590909,616.180303,101325,0.130228787,0,,,0.7050675815102456,3.657037914822181e-15,3.2637205431643767e-15,3.3149411562651656e-07,0.00015142049201368902,4.94315191236165e-08,1.7794701409861994e-11,0.0023085770136900903,0.2896088356120065,3.3366005377664673e-09,1.3058767111524234e-08,-1.7875971824662867e-14,4.09111372346066e-13,5.096882226938749e-15,1.1635459044025594e-14,-1.1309315525219305e-14,2.6705308472166664e-14,2.8571970860373833e-15,7.654619289297731e-15,1.3774805687272982e-14,5.153601392728355e-15,7.737990548598274e-15,1.1727259830317927e-14,7.588710123452716e-15,5.907616356799868e-15,7.620930272247408e-15,7.741997954920091e-15,5.416289230487901e-15,8.86946998762399e-15,4.272316520328617e-15,6.5792966114694886e-15,8.922935489025883e-15,7.508387215122488e-15,5.503364821670562e-15,6.866155366339046e-15,1.297452583430324e-14,7.066759859125957e-15,1.0041497089804125e-14,6.379933360630375e-15,6.404073964688754e-15,6.4163223139215834e-15,9.53398348243413e-15,8.684700065929733e-15,7.119656028351105e-15,1.9577603556266933e-14,1.0231172525705067e-14,7.751258805132637e-15,1.0062991236811945e-14,6.722996766438627e-15,7.857037183004439e-15,1.0632669461954356e-14,3.634974060731702e-15,5.890673463454648e-15,1.5199808253253946e-14,9.509470333207831e-15,7.311605483064375e-15,8.569113754343762e-15,5.916342011936676e-15,0.002851659741674563,1.839131662495587e-06,4.850623785352146e-07,5.840494687735191e-09,9.198233940181289e-06,6.57422436744716e-15,2.836631020050738e-14,2.128787146523951e-14,4.295144355864969e-14,2.2231496962831055e-11
0,0.989920905,737,297.6872414,616.3228736,101325,0.130098714,0,,,0.7040564937839318,2.4814221452463995e-15,1.8868847434735157e-14,3.00447976821941e-07,5.100155272261346e-05,1.1236082895664803e-08,5.684208230852573e-12,0.0037856546253220665,0.2894273910364896,1.085996648113396e-09,3.353187753447276e-09,1.070074652741632e-14,2.4391355626474976e-13,1.6888389553380719e-15,-1.0511431682697969e-14,-1.3836297675142725e-15,-1.462487821962658e-14,-1.2333104383095814e-15,4.280713196407449e-15,-1.9108449053337488e-14,2.8000327985702935e-15,-3.1991000235890306e-16,-4.900751679626647e-15,4.2864599938545375e-15,-4.861870747161695e-15,4.337313406560176e-15,-1.0946999284328146e-15,2.6081134828066715e-15,8.994452576105878e-16,6.291927502672247e-16,6.51662973642925e-16,1.4799584877014401e-15,4.314837515250082e-15,1.0842247902305087e-15,-1.2815745743758227e-15,-3.6225718458013086e-16,4.392311955218454e-15,-4.468887926365302e-16,1.0349026774423181e-15,8.406463493175642e-16,4.398141970106687e-15,2.291145477921393e-16,2.387434012357951e-16,7.704481996241696e-16,-3.809591058842453e-15,3.764249922174089e-16,-1.0819570748340468e-15,-3.5670845955127917e-16,4.411779684157972e-15,-9.824175481068235e-16,8.567948970004216e-16,-3.803792105973444e-15,2.4399189182404744e-15,1.823084698056659e-15,1.0934517785575098e-15,4.385291783464273e-15,3.050050124274561e-15,9.766871526570963e-16,0.00266828010302331,1.8608078172753907e-06,1.5865342885162842e-07,1.8732770302080125e-08,8.824547664692671e-06,4.368289684331705e-15,2.3200237684867085e-14,1.6235344523477827e-14,3.8541860453316204e-14,2.7552738948294164e-11
0,1.000848886,743,297.5190141,614.5661972,101325,0.129939198,0,,,0.7029678330444249,5.184119130742535e-15,4.9224893462840835e-15,3.271642934546086e-07,1.9212324602820224e-05,4.06513740950055e-09,2.5951643447176954e-12,0.005491425421126482,0.28910121375530623,4.94298838192288e-10,1.3992203598780523e-09,5.620295918971846e-14,7.796419707962845e-13,-1.3314252107092029e-16,9.216954769348527e-16,3.39303969210073e-15,2.4599133982614586e-15,5.401362338670975e-16,-8.064218436560296e-16,2.059970778929466e-15,-3.229343243967785e-16,6.233180341758217e-16,-8.239252584338943e-16,-8.047844364507737e-16,-1.1260540951347476e-15,-7.71143016819162e-16,1.24614095157907e-16,-3.005998611662196e-16,1.0323867607446917e-16,5.32839816622771e-15,5.621649944653405e-17,1.4002138011546308e-16,-7.808208578500881e-16,5.763312421199811e-17,2.39776709293054e-16,2.9890784206652034e-16,-7.234714505281426e-16,3.483099432900853e-16,2.8924912396461575e-16,9.095798671298272e-17,-6.384669395522413e-16,5.4102949447283416e-17,5.541337648204127e-17,9.428313515370622e-17,2.8982211837361845e-16,1.8143950162111346e-16,1.287813380519232e-17,6.142696836674984e-16,-6.616207502998871e-16,1.4304270960287818e-16,-2.6314811124698916e-16,1.0799154105831524e-15,2.9188896869260503e-16,3.270911493950136e-16,5.366872769362814e-16,-7.279046186191917e-16,3.1530581885809816e-16,9.282938911642982e-17,0.0024098291940440825,1.7605662223206198e-06,6.061500693456941e-08,4.319043288425822e-08,8.288725837368319e-06,-6.474768412834272e-16,1.9506534732226716e-14,1.2524698718000745e-14,3.687587762860465e-14,3.652408911411275e-11
0,1.019186738,730,297.2704918,610.4448087,101325,0.129724848,0,,,0.7011767447757598,1.6219416637453106e-14,-3.2815774348749035e-14,5.473651275228838e-07,5.235129507520075e-06,1.9429424721632026e-09,1.813572015823562e-12,0.008592253632239267,0.2883854857499089,2.972833725194413e-10,7.251771809212355e-10,2.10773478716027e-13,2.0475674713076314e-12,-6.346351472967592e-15,2.1569588305163544e-14,-1.4887714725547183e-14,4.25490456342436e-14,-4.3477378937531055e-15,-8.793298139176974e-15,1.4183623419694832e-14,-7.727539731733158e-15,1.1150716542905392e-15,1.6772480343898477e-14,-8.81548105401907e-15,3.3710522915488174e-15,-8.8505559935282e-15,1.1660631404729074e-15,-8.204287055773418e-15,-4.578228390344266e-16,2.2423499403860457e-14,-2.3757190113443938e-15,-1.9901731505237776e-15,-8.886010043902644e-15,-1.6568692562924742e-15,-7.807891591810372e-17,3.471155412212341e-16,-9.153442024983382e-15,3.456152341500092e-15,-3.65400451212354e-15,-2.0622932867049947e-15,-9.321338208314836e-15,1.6086880949931744e-15,3.671818434712745e-17,-3.3763404920684752e-15,1.4862407697849727e-14,2.7147401933121603e-15,2.0481337953050017e-15,4.907789312814047e-15,-9.317489012156635e-15,1.324165059430347e-15,3.225517533349662e-15,-7.506351035846614e-16,-2.6234940287024362e-15,3.7955456064982085e-15,-3.6382449476868054e-15,-9.060441050778976e-15,-1.4350772332003499e-15,-6.387067552348712e-16,0.0018308211404081457,1.507050711086247e-06,1.8234966666242377e-08,1.1873711567190497e-07,7.265167654387974e-06,-9.144105087397117e-15,2.3968249187183838e-14,1.99745168455291e-14,5.826742558092853e-14,4.702632994793157e-11
0,1.038392492,712,297.2649254,609.9761194,101325,0.129833488,0,,,0.6992805321778598,4.7062351865459334e-14,1.620028606570108e-14,1.4317993870071913e-06,1.7660412351122565e-06,2.2840060260946675e-09,5.097064504738865e-12,0.01197108365190385,0.28760901089160695,4.1164026935676755e-10,6.775502015383305e-10,5.206345705221197e-13,4.1713764175440604e-12,7.362120194093325e-16,4.089262288525723e-15,3.258680340442982e-14,8.201643315647468e-15,1.0078786902594952e-15,3.827996705617703e-16,2.2032984575218683e-14,2.929349476140005e-16,2.4280658613955533e-15,1.6865481290071385e-14,3.87911387284321e-16,8.567141301753786e-15,3.973446498676154e-16,2.4606951976449737e-15,5.397509775053855e-16,2.0672056231763306e-15,4.849111534139991e-14,1.54288394302497e-15,1.5895705824684262e-15,4.3206916336493603e-16,1.6853578249644267e-15,3.664130647754825e-15,3.4960169568435002e-15,5.890841401221745e-16,3.664100657278427e-15,2.21196550563204e-15,1.6768917760956045e-15,6.6604406921015985e-16,1.9870185662373397e-15,1.848883301155075e-15,1.3747776722672457e-15,4.6635959357653704e-15,2.5530944136914516e-15,2.440993756893368e-15,3.860631023754804e-15,6.717091174329044e-16,2.690333035991515e-15,2.4039184760947205e-15,3.939766492565712e-15,2.1510359683496165e-15,3.6015932380809164e-15,3.0377299567283794e-15,5.323899957484999e-16,1.9917816041900445e-15,2.442954306345734e-15,0.0011290641273502039,1.103005352335656e-06,6.978326680770868e-09,4.410979946424039e-07,5.556654131461334e-06,1.906312825933358e-15,8.562624139844019e-14,2.338586653186434e-13,2.2790812229278186e-13,1.9103871418725292e-10
0,1.050882449,672,297.2763158,609.5630326,101325,0.129944705,0,,,0.6980551505854073,5.9801295722661636e-15,4.221268480146623e-15,3.3115039776935695e-06,8.324557370988349e-07,3.582730996330124e-09,2.1847317900780872e-11,0.014211604760111577,0.28705353098547687,6.922398601988162e-10,7.543044134448022e-10,2.7245494054586926e-14,1.573577020720644e-13,-2.7210935113773646e-17,-3.5401298535354415e-16,-3.765859061353317e-15,-5.73010415287174e-16,-3.160316972511641e-16,3.060599402764246e-16,-8.396937445917478e-16,-5.326155910167296e-17,-2.172533687818445e-16,-6.609507691947523e-16,2.9581176451415294e-16,-1.140696410368737e-15,2.8601819597133497e-16,1.260305314948953e-16,1.099671328808903e-16,-5.769781387064082e-17,6.187252778741144e-15,-3.8994445855124766e-17,-3.577768912910111e-17,2.774121847459266e-16,-5.107994828530378e-17,-1.282492276145738e-16,-2.0142481707222717e-17,1.9127708567652098e-16,-7.261906909803793e-17,-2.0164100997782373e-17,-3.8916820940923717e-17,8.648273065291069e-17,-4.874112547725115e-18,-2.972133238958259e-17,-2.890492214018172e-17,3.307838135433671e-17,8.774816866912362e-17,2.0098406942393821e-16,-4.462537625827369e-16,1.1489770784640871e-16,1.2098213230495338e-16,6.81316294701205e-17,-5.995728349620523e-17,-1.1524842790892677e-16,-1.5276343216739273e-17,7.549634819989311e-17,2.2449445735694373e-16,-2.0992374590846724e-16,-4.5086041634849935e-17,0.0006640614542845636,1.0045469682524455e-06,3.356113439941027e-09,6.65745733096256e-06,3.833024438294701e-06,1.5752388199582858e-14,1.9709034992987465e-13,6.411470381132554e-12,6.518580359678253e-13,4.811560334233001e-09
0,1.060300257,661,297.1049618,609.1156489,101325,0.129985117,0,,,0.6971466489986118,-5.6767796451406326e-15,-4.7186192985948654e-15,6.912668272726844e-06,4.145202871124874e-07,5.8033528713206695e-09,9.985804560964846e-11,0.01581417301755659,0.2866214511942342,1.0532281076205481e-09,7.945540574471265e-10,-2.925228030972229e-13,-1.2658219118469446e-12,-1.0796990929037578e-16,4.84572065935429e-16,-2.5123069972001715e-15,1.5353398449648376e-15,-4.4411075740296287e-17,-2.234600113907735e-16,6.601913773311402e-16,-1.83722759324397e-16,-9.368320775482861e-17,4.4032559014397373e-16,-2.2346438375285926e-16,3.883172403284549e-16,-2.1933223353194393e-16,3.601997109440887e-16,-2.098640297443085e-16,-4.9134571511242055e-18,-5.898375209120518e-15,-9.216313831770716e-17,-8.9589524677303e-17,-2.1848935633979002e-16,-6.466710804465509e-18,9.798511794959284e-18,9.286057060443578e-17,-2.1101201147186938e-16,1.697086137566035e-16,-4.987237968920846e-17,-8.0190233073711e-17,-2.1170628063027481e-16,1.2775959019162544e-16,2.2838089216938406e-17,-1.3205502289898739e-16,6.321537361739127e-16,2.1099219570179268e-16,5.565762063232715e-16,5.307522550088858e-16,-2.0954152111763002e-16,3.6963231351173687e-16,2.046356667524962e-16,1.3538364327077018e-16,-1.0243686506065405e-16,1.1558815142603047e-16,-5.373968314507765e-17,-2.1299683023186196e-16,2.0879729119903555e-17,7.814458072126419e-17,0.0003312767471937336,2.845066856292173e-06,1.3565522713596434e-09,7.40737596636535e-05,2.1456063863342006e-06,2.1001979586538346e-13,4.1143729450585594e-13,7.99109477324728e-11,1.8517137894129628e-12,4.923258036333904e-08
0,1.070005799,661,297.0453846,608.5884615,101325,0.129861802,0,,,0.6961113334380024,5.813986844849641e-15,5.2192510201426296e-15,1.1298964590718285e-05,2.3439011632788594e-07,7.57720731249218e-09,8.225353112630994e-10,0.017200728054585408,0.2860963293798662,1.2626813798945551e-09,7.075341937951383e-10,4.720542460765821e-13,1.796419115764298e-12,-2.2688818420722875e-15,-2.069017766770708e-15,6.044687558891772e-15,-1.4602108853715294e-15,-2.69958742319895e-15,-1.871845259943055e-15,-1.4193418918673623e-15,-2.3968629911942888e-15,-2.5621423310871882e-15,1.993246678818248e-15,-1.884976035375005e-15,-2.7184135489044273e-15,-1.9006341041311604e-15,-1.9287863807925975e-15,-2.00731244539351e-15,-2.169033053646947e-15,5.876364223633912e-15,-2.2989747852070096e-15,-2.290827922293873e-15,-1.9125472712345058e-15,-2.1879378398733316e-15,-1.945426509976601e-15,-2.0127737483614206e-15,-2.0446345431372113e-15,-1.9727335747110365e-15,-2.0456339123987148e-15,-2.2829119672883422e-15,-2.2140468807984013e-15,-2.0620833098850365e-15,-2.1639917726198133e-15,-2.3501404994029272e-15,-1.8160472481951487e-15,-1.9545212882544317e-15,-1.5768591123052014e-15,-2.1792182292600053e-15,-2.1735463141497013e-15,-1.9336842583653515e-15,-1.999913641023473e-15,-2.2422034766815105e-15,-1.9200885736717423e-15,-1.951615109092168e-15,-2.0139687894349804e-15,-1.9924286813381662e-15,-2.019963256390465e-15,-1.8791269683280093e-15,0.00010320184712385124,8.066278156880316e-06,4.246282716680996e-10,0.00046780799496856364,7.135372868017571e-07,2.4202229019726395e-11,6.670151732533207e-13,4.3707034130475736e-10,1.89739851459803e-11,2.7483759671882107e-07
0,1.089947653,657,296.9265152,607.2939394,101325,0.129870867,0,,,0.6936059188665683,8.297444895431348e-16,4.247298812374849e-16,7.047903582036405e-06,3.4327477753427804e-07,3.5888252673232416e-09,8.1907305088296e-09,0.019038173608248644,0.2848418633372173,2.1823077274256846e-09,8.375912273340772e-10,-3.077600856014981e-13,-1.0229105561404947e-12,1.325416477201816e-15,3.9868159371706814e-17,8.487480036625302e-15,-2.872301413495065e-15,9.004139889115982e-16,1.9598549885730184e-15,-9.510135788984508e-16,1.456441511163645e-15,1.0849720273528112e-15,-2.6460704586259068e-15,1.950284235671801e-15,2.3208113206558026e-15,1.9411682926412e-15,8.514798958732034e-16,1.830816259186098e-15,1.1719703871656385e-15,9.635822586506985e-16,1.3225914382499302e-15,1.317950103734112e-15,1.9308325092019984e-15,1.1811385622210787e-15,8.246180306513613e-16,9.16399259839999e-16,1.8408179321243983e-15,5.228457024525004e-16,1.1452735420454143e-15,1.307263101441403e-15,1.7217209957492186e-15,9.852617553309258e-16,1.1487392823477378e-15,1.3950474226942147e-15,2.1215911695192022e-16,6.578862158476665e-16,8.150350661026719e-18,5.794328833783222e-16,1.7516285310034611e-15,8.642590347219818e-16,8.525240666738407e-16,6.700365763573289e-16,1.0137706247492771e-15,7.853420278355241e-16,1.1408863735274593e-15,1.8753706422662663e-15,1.1091891125227148e-15,8.586761677681811e-16,1.7473549664206946e-05,9.729042805313733e-06,4.3018741375494796e-10,0.0024777485824240947,1.1518707117565142e-07,6.389663914094202e-09,4.1658557353395693e-13,2.8335766300222443e-09,8.443458117599309e-10,1.561351275991854e-06
0,1.100162596,661,296.9321705,606.6518088,101325,0.129855613,0,,,0.6922786853407592,-7.007145724704418e-15,-6.335634375737453e-15,5.342781836852001e-06,5.075845695767618e-07,2.5152927235627546e-09,1.0010926408593107e-08,0.019697674567888204,0.28418133939693685,3.172968847807648e-09,1.7036234327779367e-09,-2.9672801785057685e-13,-8.848411796969153e-13,2.1157864084479326e-15,1.4401784411102639e-15,-9.758925120438512e-15,1.6004599638956073e-15,2.1868327295497253e-15,2.148236497598405e-15,9.58698692444978e-16,2.293369841223892e-15,2.1645533976547156e-15,1.4394113653318389e-15,2.1524287483133523e-15,1.9526927386003975e-15,2.166063563214221e-15,1.732420182706203e-15,2.245488229310182e-15,2.0162361233142296e-15,-7.208798647980923e-15,2.0867032311789964e-15,2.1096417199856394e-15,2.167242508923041e-15,2.009336103675882e-15,2.13048230201335e-15,2.1707818188766927e-15,2.2277156360993588e-15,2.0195419071385145e-15,1.9825672503436825e-15,2.0768224922795868e-15,2.304473490183528e-15,1.9908225168884567e-15,2.023322103964027e-15,2.1661983180891607e-15,2.1175387483807572e-15,2.174335897417688e-15,2.0263977505839227e-15,1.9184821593164914e-15,2.287639880059697e-15,1.7409117058433424e-15,2.0999571802110673e-15,1.5525193318903964e-15,2.1571619035811632e-15,2.3563885850372534e-15,1.8735326372564177e-15,2.2093297670602976e-15,2.205268175715766e-15,2.0855942701271408e-15,1.060292812867542e-05,9.295854634628617e-06,4.27969639301242e-10,0.003813834698577644,6.832331803193428e-08,1.656828647492617e-08,3.170864461887267e-13,5.184045571135178e-09,1.9264776598011512e-09,2.6070145675590335e-06
0,1.130028846,660,296.8246269,604.5109453,101325,0.129745439,0,,,0.6883882004948265,2.2229264434257794e-15,1.5324168358724631e-15,2.980314638604053e-06,1.3778980715204897e-06,1.2046931557090055e-09,8.110377233996125e-09,0.02100560648965914,0.2823695301825443,7.785535732982907e-09,1.1510448764821414e-08,1.6824680313051696e-13,5.043389658109705e-13,-5.830201365214636e-16,-1.3575281133612482e-16,3.566003769812815e-15,-3.4011138639397655e-16,-6.471922910560769e-16,-5.400286152920488e-16,-7.796196718842918e-16,-6.249706660825266e-16,-5.537347621986893e-16,-1.933954418892074e-15,-5.450362918481559e-16,-1.0809541986640711e-15,-5.521153223078036e-16,-3.5102723461875907e-16,-6.0951371348365e-16,-4.83015503995929e-16,2.19603381590288e-15,-5.231553468735084e-16,-5.458394215541344e-16,-5.556922334915288e-16,-4.720925692051317e-16,-5.756347599965821e-16,-5.633983897595341e-16,-5.943037476415547e-16,-5.121992121488927e-16,-4.720394111450397e-16,-5.138313653353161e-16,-6.209445993670214e-16,-4.602459595244211e-16,-4.773855027404971e-16,-5.637035158925585e-16,-4.892671763495655e-16,-5.468673546917284e-16,-5.331464450112959e-16,-1.3967077238266724e-16,-6.186664993780378e-16,-3.344822153936753e-16,-4.730208568375058e-16,-4.128409414907803e-16,-4.525583820828291e-16,-5.385982317694046e-16,-4.469624004247833e-16,-5.828347592571964e-16,-4.511718028324876e-16,-5.148821740149715e-16,4.310449012820733e-06,8.30627590714704e-06,4.1265785798950157e-10,0.008212851257611412,2.947733386433791e-08,5.083527900778946e-08,1.7723835942158858e-13,1.5623256704052213e-08,6.527900176401775e-09,6.705149410313858e-06
