,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0,0.699533012,859,297.834618,540.7784952,101371.3827,0.327161046,0.2NH3,"CH4:0.612220808259477 , NH3:0.387779191740523","O2: 0.21, N2: 0.79",32.89934005027271,32.7161046,3.6498335625514364e-06,5.480312797408465e-10,1.5284981864410035e-08,0.051182205019086206,9.804946743233848e-06,0.14961411993743604,2.3366094708468363e-09,2.358327662582155e-06,1.0522963626450637e-14,1.0563283424855322e-14,1.0168676747435595e-14,1.0587290485521888e-14,5.004656589606791e-15,1.684631147877251e-14,1.2304567203307452e-05,0.060439505217870566,9.695440312464335e-15,-8.353456653766858e-15,1.0386814875688859e-14,6.213798974406865e-15,3.157497004094454e-15,1.0518452016559064e-14,6.089243670474927e-15,1.0250564111939986e-14,4.968351374246932e-16,6.5221654122554986e-15,5.036163429826284e-15,9.875137419337339e-15,4.6288379308668675e-15,4.9335299399269116e-15,9.781496152154995e-15,1.3010300435652172e-14,2.631928236060135e-11,1.932097691377252e-10,1.060059395432248e-14,0.009980576124082494,0.0001072061326911923,8.952219459927507e-06,1.8535296863551673e-08,1.0354924673916363e-14,1.7179348253176175e-09,7.990237390925765e-15,1.0372919061302692e-14,5.178927615049019e-08,1.2544487112853262e-09,1.7149889304139198e-09,1.1217945637235502e-14,0.7286392242728764,-1.0235969585945349e-14,5.990871607580506e-15,5.089627814264236e-15,5.590105600619232e-15,5.5008211847728616e-15
0,0.749940011,860,297.8464894,558.4945964,101371.3827,0.385745402,0.2NH3,"CH4:0.612139067809774 , NH3:0.387860932190226","O2: 0.21, N2: 0.79",39.96960912682198,38.5745402,6.476810393593603e-06,1.5928613044040879e-09,3.092283562901602e-08,0.04116893192300264,1.3686450350167127e-05,0.15899344078856645,4.262380456152109e-09,3.0262608672111413e-06,-2.1102484727977966e-16,-2.1951662347585682e-16,-1.6394034615417595e-16,-2.2479189894972e-16,-3.522276945925918e-17,1.0395682403998797e-15,1.8556581321698525e-05,0.064196856912633,2.31896059535964e-16,6.804701488874648e-16,-1.8870650237329e-16,-5.973013302095621e-17,4.380415569304829e-16,-2.0917077815357315e-16,-1.2536003577816575e-16,-1.7267102492026792e-16,1.221313330964775e-16,-8.903345911786027e-17,4.3367553257846544e-18,-1.5435076831112613e-16,5.2112031460431594e-17,4.1643220229985333e-19,-1.441050095012171e-16,5.263932559709162e-15,2.0626731913269393e-12,1.422709441858371e-11,-1.6650803633781395e-16,0.010455793649357696,0.00011091867774341923,4.167910062264978e-07,4.1018825590958885e-08,-1.8108539885478576e-16,5.468095857584006e-11,2.300919736527541e-16,-1.849192643384968e-16,2.090946978275174e-09,2.7155627093798972e-11,9.347046999312798e-11,9.157724531771126e-17,0.7250318150753038,1.9340199405180132e-15,-6.023936843738573e-17,5.3887545180517645e-18,-1.1461769062068606e-16,-2.2147555329388273e-17
0,0.799922992,850,297.7412027,581.1211762,101371.3827,0.455036467,0.2NH3,"CH4:0.612068498620634 , NH3:0.387931501379366","O2: 0.21, N2: 0.79",48.21954940588739,45.5036467,1.3873173624922564e-05,6.215972726477777e-09,6.653299414326307e-08,0.03124675772539036,1.9191998899534546e-05,0.1683008852586078,8.569320149078449e-09,3.886614378558088e-06,4.415264509752938e-17,4.9332193073835534e-17,1.8170130795023387e-17,5.233082613303741e-17,-7.065006942825601e-17,-6.201547164118553e-17,3.6146148265821416e-05,0.06794067242607556,3.0813361733141814e-15,-3.150143734258632e-16,2.9965724608039855e-17,-4.5634185231392113e-17,-1.7675089304490126e-16,4.327503607133462e-17,-4.3187154613746405e-17,1.872700348589053e-17,-1.8670740296277552e-16,-4.222688587208658e-17,-6.947781483726714e-17,9.70056328448663e-18,-5.727085129045133e-17,-6.558430320125807e-17,2.0289168183708487e-17,3.6507574693616454e-14,2.3080371257211447e-12,1.5323108308773494e-11,3.386424236791594e-16,0.010702007748157823,0.00010855186015577599,3.206208496285928e-07,1.1257913848097734e-07,2.370209468889512e-17,1.2568318769891592e-12,-4.1530011885158647e-17,2.7356372545871872e-17,2.560928321075431e-11,2.9540802731764756e-13,2.6128292202899777e-12,1.413901756423899e-17,0.7216275124807231,1.1267776864519399e-15,-4.0249089126548416e-17,-6.298949907609912e-17,-5.60329014039076e-17,-5.315552287277158e-17
0,0.850677808,815,296.9081258,586.2950378,101191.398,0.524104857,0.2NH3,"CH4:0.612064452990133 , NH3:0.387935547009867","O2: 0.21, N2: 0.79",56.48143813399247,52.410485699999995,3.465173708858871e-05,2.67726320899805e-08,1.2377262538743512e-07,0.021298955313705858,2.5661960332211282e-05,0.17756192128736584,1.6966475630254304e-08,5.202742344795272e-06,-6.133888374584082e-16,-6.3081219928237125e-16,-5.435266967661975e-16,-6.39431762686625e-16,-2.79363914858496e-16,-3.54324156998651e-16,8.032348435635175e-05,0.07187060519484977,4.404431885432921e-14,2.868048677339763e-16,-5.615597595766577e-16,-3.5011874153814307e-16,-1.876624859279303e-16,-6.084710605440538e-16,-4.356148569979529e-16,-5.290711503057515e-16,-3.231974608198608e-16,-3.5584024347497394e-16,-3.5613658792154323e-16,-5.196433483404208e-16,-3.6413658089044135e-16,-3.3908815914605515e-16,-3.5659939432788023e-16,2.973234477425928e-13,8.77288079065643e-12,5.3260254838948216e-11,6.661403254902029e-16,0.010746063684818468,9.225063107484815e-05,5.879277197189163e-07,3.846671251119015e-07,-5.393473824883714e-16,3.483137084841958e-14,-3.608166182567368e-16,-5.525882010053699e-16,4.785046877000199e-14,3.196456574811889e-15,1.3596236326459086e-12,-1.7891685761230688e-16,0.7182832237936732,2.825176299898361e-15,-3.627563406433391e-16,-3.5413281624972e-16,-2.9695773495682467e-16,-3.57380228639061e-16
0,0.90046392,784,296.9777731,600.7585604,101191.398,0.565764681,0.2NH3,"CH4:0.612136651506036 , NH3:0.387863348493964","O2: 0.21, N2: 0.79",61.83598374549547,56.5764681,0.0001041602146521726,1.8432290974505446e-07,2.2448329815478316e-07,0.011717248513634553,3.2553669703304834e-05,0.1867158623259656,4.268008156072621e-08,6.283994334447441e-06,-2.30864909376183e-16,-2.4703773308096715e-16,-1.8887330604180203e-16,-2.5426012983421885e-16,-6.92694229324985e-17,-1.5034490908806133e-16,0.00019939797817974586,0.0755230038893447,1.3705158624983226e-12,4.746366704688131e-15,-1.8967264110725375e-16,-1.2303922239772987e-16,-1.5501127877141269e-16,-2.2719607842790927e-16,-1.7599680000361726e-16,-1.727689185408352e-16,-1.8117288728235263e-16,-1.417931243017628e-16,-1.531685511931408e-16,-1.8188485355094387e-16,-1.519176426312777e-16,-1.4799470797215155e-16,2.9082432525578656e-15,4.300369306231233e-12,4.8069480605690104e-11,2.7964252169325193e-10,1.0066890953376682e-14,0.010568942133058765,5.6092901975959225e-05,2.3359223920030407e-06,1.839289712353483e-06,-1.7100844406978417e-16,1.2438724652210118e-13,-1.3071644616717274e-16,-1.8299737103991734e-16,-1.021607401011253e-16,2.62866879196723e-15,9.693072438652356e-12,3.862034244167407e-15,0.715071827337539,-2.1939339809867863e-15,-1.139665014339953e-16,-1.4554555464015768e-16,-7.397330883246757e-17,-1.3323222173073276e-16
0,0.949716489,798,297.0730954,617.3071041,101191.398,0.637668324,0.2NH3,"CH4:0.612254497862018 , NH3:0.387745502137982","O2: 0.21, N2: 0.79",70.1857049715777,63.76683239999999,0.0007100073027594898,3.0231294871404955e-06,1.0910826588922392e-07,0.002961070359310547,1.9394570049740353e-05,0.19524063625295338,1.3579126745351318e-07,2.3556570762582962e-06,1.6443504701165368e-16,1.9446518267831965e-16,8.636777712809274e-17,1.9926631798283001e-16,-6.640297877839265e-16,1.5180039676130478e-15,0.0009720028970368116,0.07838740162545337,4.091499040089083e-10,1.5198017437796192e-11,1.9096287122533407e-16,4.2115097224803376e-16,-1.2237822823930822e-16,1.5897680974870873e-16,-7.123838917051636e-16,-1.4960590656089632e-16,1.370581283334674e-17,-4.709815512797552e-16,-6.812336389323931e-16,3.2023204146179607e-17,-3.254083741430371e-16,-5.752230423322693e-16,1.7774148824543595e-13,2.133735241894937e-10,5.787486812486432e-10,5.616410894454132e-09,1.9658315838102411e-13,0.009999508563924954,1.1786421097998253e-05,2.453502355163172e-05,1.4228828697846945e-05,-1.948093490993607e-16,3.492149565845231e-12,3.940774326843401e-15,-1.0922911253736594e-16,-1.0081858955892922e-15,4.714774975956839e-15,3.5654320865224606e-10,2.7868520776623797e-13,0.7116537972755088,-1.5149394318307832e-14,-4.607147600631634e-16,-6.284659599762916e-16,-5.612539143011154e-16,-5.443772881421605e-16
0,0.999527631,809,296.9429373,636.6089235,101164.7336,0.664366288,0.2NH3,"CH4:0.612232650256003 , NH3:0.387767349743997","O2: 0.21, N2: 0.79",73.52452623013687,66.4366288,0.004622736332322436,6.494778219034351e-06,4.0778748513718335e-09,0.000213585633351019,5.929771281864782e-07,0.19776136894566662,2.5802158262732874e-08,3.2679336501767567e-08,-3.1607454827140967e-16,-3.442528783954009e-16,1.6180688959414857e-16,-3.460341010445492e-16,3.93924347128263e-13,1.0912046105738279e-11,0.006104587405087227,0.07589891475595188,3.4438529157722465e-08,3.5400961449594544e-09,1.7476292043479469e-12,2.8440107976219687e-13,1.817524762026821e-12,-3.2160139350032876e-16,-8.323397573908153e-16,-1.945016711381097e-16,-5.198905393999285e-16,-1.9769116985041657e-16,-4.1715002229944876e-16,-2.6928661102243956e-16,9.416133234858367e-15,-2.316010129911519e-16,2.237384392912937e-12,2.285120509329931e-09,1.6358554457462628e-09,2.0073816593242713e-07,4.910735452435415e-13,0.008527872493845772,8.390787042211425e-07,0.00012086413229666634,1.6722242225259073e-05,-1.4460160453001795e-16,2.2715673129977426e-10,4.350775441300448e-13,-1.6833384120194002e-16,1.9487494699605744e-13,7.264193863747432e-14,1.3993815466718626e-08,3.254557815012274e-12,0.7067251017852354,9.509185318210807e-15,-1.877598656929967e-16,-3.454120635769797e-16,2.0218357188330192e-15,-2.0013517883126173e-16
0,1.049174239,819,296.9807058,635.9363282,101369.1607,0.670580882,0.2NH3,"CH4:0.612135113397983 , NH3:0.387864886602017","O2: 0.21, N2: 0.79",74.15348753804938,67.0580882,0.010211883312994741,8.198742563859724e-06,1.5437594715720205e-09,2.5643221181660767e-05,9.790656843302619e-08,0.19770138153148475,5.892257525655113e-09,5.439821151073408e-09,-1.992630737068678e-16,-1.9323037177909208e-16,9.310584866438294e-15,-9.362785811834451e-17,5.4897097578561575e-12,1.8607591937771328e-10,0.013740553209321667,0.07048070268574735,1.450757381264125e-07,1.6924460343533873e-08,3.2286075143078615e-11,1.4901318350329478e-12,2.5712664679092717e-11,-1.9850168341755298e-16,-1.9661644830702788e-16,-2.2525722021292095e-16,-1.5506958607781104e-16,-2.017417820625753e-16,-2.3927669357615706e-16,-1.8592913945454529e-16,3.1891154148660017e-13,-2.3672390526772945e-16,7.633669856352084e-12,5.067606938671215e-09,3.4177066408121087e-09,1.2761447849400346e-06,6.130943703452616e-13,0.006919117783762368,1.2276247774169565e-07,0.00019979547216321768,1.3457172395309959e-05,-1.7645118147206905e-16,2.6547603735764012e-09,6.562810714769793e-12,4.3100696393643547e-16,2.3616548081613833e-12,3.3907971196225156e-13,7.111931117078598e-08,9.255694528205915e-12,0.7006975126408858,5.0519469849178355e-15,-2.375600783188081e-16,-3.008022369497625e-16,8.696460933495208e-14,7.946871615041968e-15
0,1.09941892,849,297.5655141,637.6975425,101358.0505,0.647131957,0.2NH3,"CH4:0.611987375081853 , NH3:0.388012624918147","O2: 0.21, N2: 0.79",71.14052411000898,64.7131957,0.016460409051245087,1.0852117702894793e-05,2.1923230396340032e-09,5.4395802685910905e-06,4.90952252485167e-08,0.1970522553052066,2.3731032827249055e-09,2.1268149196001475e-09,-8.568166495387141e-17,1.6613684857467797e-17,5.315181622942485e-14,4.648477964314449e-16,1.8926836380914244e-11,9.007948207090272e-10,0.02122414496246194,0.06519634229358999,2.9565129494288887e-07,4.281699368020478e-08,1.1333462805268949e-10,4.211910079433646e-12,1.1113600269787707e-10,-5.655732247130642e-17,5.221441392682119e-16,-1.2755540369916162e-16,2.306185234504075e-18,-1.437210662873272e-16,4.04614232925169e-17,-2.951527875959552e-17,2.0075481156111486e-12,-1.175899061839148e-16,2.1112926838300445e-11,8.221082224752344e-09,5.511360971634701e-09,3.7043026752457496e-06,8.113862736638158e-13,0.005383237853709136,3.284420049287491e-08,0.00023639325675270305,1.0748218493033193e-05,-1.4058460712355668e-16,2.2266657532279604e-08,7.369479156860134e-11,4.349719082620524e-15,8.29625749018078e-12,7.165200925025692e-13,1.70043187603055e-07,1.8593920430661626e-11,0.6944158386412372,4.7099518871081065e-15,-1.362336800156239e-16,-7.284229102635238e-17,6.238006020901679e-13,9.020678926883389e-14
0,1.148836453,866,297.6450175,635.366377,101358.0505,0.601813352,0.2NH3,"CH4:0.61204858893016 , NH3:0.38795141106984","O2: 0.21, N2: 0.79",65.47184602575476,60.18133519999999,0.023088006579904907,1.375122475041634e-05,3.5496916688573155e-09,1.6119706253597493e-06,3.2377510216177634e-08,0.1955816505973832,1.293565474334712e-09,1.1267600482764486e-09,5.203420404944026e-17,2.5051201067446743e-16,2.0143648255760419e-13,1.482691474938568e-15,4.493025808346508e-11,3.111949568871479e-09,0.02795682992207956,0.060779338847256344,4.951050795738463e-07,9.145688390796348e-08,2.6711091695579077e-10,1.0249809378972148e-11,3.466742285430767e-10,6.065807154656904e-17,1.553611155204705e-14,2.04374723208523e-16,2.6885144768689787e-15,5.439207752435524e-17,1.2341344288675726e-15,8.19572109564266e-16,7.631643528792416e-12,3.596792872735667e-17,4.966518484752163e-11,1.1282109409267655e-08,7.505566873850477e-09,7.579372931004097e-06,9.930999196461474e-13,0.003994598975469392,1.3572896946154227e-08,0.00024267883016034774,8.465925030014097e-06,1.586312436594909e-15,1.4618181235653612e-06,6.822673351976771e-09,1.8609553882409554e-14,2.0428842675786247e-11,6.259204214479136e-12,3.0122938530847325e-07,3.1259182498309915e-11,0.6883230567135449,-2.6236330680638185e-16,4.9618062482259095e-17,-2.677888209713824e-17,2.6981693137648323e-12,5.24167669592431e-13
