,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,NO,N2O,NO2,NH3,HNO,N,N2H,NH2,NH,H2NO
0,0.64987396,819,297.3401876,524.0008899,101391.381,0.286398527,0.2NH3,"CH4:0.612096943490917 , NH3:0.387903056509083","O2: 0.21, N2: 0.79",28.481790351579548,28.639852700000002,0.7348182732494825,-1.794553957988677e-16,-3.3410698404224666e-16,3.4965550543496677e-10,0.06479334655109312,1.0089906701256728e-05,6.926658361727304e-09,2.8149321830124415e-06,0.13999666967027377,3.2491554963902733e-09,4.001997849313223e-06,7.28584080252714e-06,0.056283009698591596,4.095186868230382e-16,-1.5226238291666787e-17,7.852033817151557e-14,1.5879468708338227e-14,3.053098038461586e-16,4.4109976906494286e-16,3.3708407339692227e-15,-1.1021113661571219e-17,3.502492172014232e-16,-2.2769312802063827e-16,4.3863680089765197e-16,-3.2689480516670317e-16,2.0433964809530385e-16,-4.4670593243763666e-15,3.458123604655875e-16,-1.885570446956683e-16,7.843541500990202e-07,1.767014770649632e-16,-2.3961187742759107e-16,4.253485460737008e-16,4.279612982334989e-16,7.474385819878758e-14,-7.563046004313966e-16,-4.0498412218054833e-17,-2.2259265607452736e-16,8.384922246126411e-16,2.277925280139829e-16,-1.4982546885090777e-16,-1.164199277142979e-16,-2.720886008363858e-16,-1.7032866729522213e-16,1.1739029483262124e-16,-1.8204146112946613e-16,3.11920635892456e-17,4.006238937432896e-16,-3.7360136744549917e-16,-1.3660410880722253e-15,-2.9766005611172164e-16,4.1408900820977614e-16,4.4032575088311255e-16,-1.3628905716203915e-15,-5.92224151336086e-16,4.433240063035997e-16,-5.741711330544275e-16,3.4957661452039014e-16,0.004018340520298848,7.458661016124459e-06,5.791281937104045e-05,2.809500777641667e-14,1.2724925221908818e-09,2.9325606982744074e-16,4.443918769705669e-16,2.9776205206710436e-17,3.0635215833629935e-16,2.9382982486180614e-14
0,0.699533012,844,297.834618,540.7784952,101371.3827,0.327161046,0.2NH3,"CH4:0.612220808259477 , NH3:0.387779191740523","O2: 0.21, N2: 0.79",33.487261803260026,32.7161046,0.7310686430081591,7.489592266347973e-17,6.596934253612276e-17,9.062961243916961e-10,0.0547707045423481,1.3813964286404037e-05,1.3942426886324687e-08,4.3231693093720574e-06,0.14928249167769872,5.22729483902946e-09,4.767106898760389e-06,1.027531900895566e-05,0.059999871657078895,-9.36871585067771e-16,2.5792462656008886e-16,7.729535952123493e-14,2.147312376673733e-14,-1.044540020522652e-15,-1.2079547574077009e-15,-3.250097441265861e-15,-2.2634794404088876e-16,-1.0593494079310262e-15,-6.242292210488001e-16,-1.2057730707301368e-15,-6.321057517165979e-16,-9.762428637753742e-16,3.786850641213069e-15,-1.0949700528515445e-15,-5.241637552601676e-16,7.19314199445062e-07,-9.347873365322446e-16,-6.261073196653205e-16,-1.1878859564309223e-15,-1.1800327142083622e-15,7.907502847067227e-14,-1.0777280642448825e-16,-8.240419955985216e-16,-5.950330182824079e-16,-1.2025800667452773e-15,-9.94443232872134e-16,-6.021795529305852e-16,-5.674097678189241e-16,-5.679321033847191e-16,-5.51187016505265e-16,-2.784509240512315e-16,-6.144357701850742e-16,-7.600133038097865e-16,-1.1418407608321643e-15,-2.73686932304995e-16,-8.797395587623644e-16,-5.879566383002992e-16,-1.1654055334129832e-15,-1.199447704756919e-15,-4.0581692818610903e-16,-1.3020245962570826e-16,-1.199800230764353e-15,9.844773809745269e-16,-1.107889645572512e-15,0.004779436870522095,4.421386188368999e-07,6.44884600495146e-05,2.3563662881746878e-14,2.6955861875983592e-09,-1.0833161200620547e-15,-1.201709910027736e-15,-8.018240385013524e-16,-1.0909133728906778e-15,4.724548636311558e-14
0,0.749940011,809,297.8464894,558.4945964,101371.3827,0.385745402,0.2NH3,"CH4:0.612139067809774 , NH3:0.387860932190226","O2: 0.21, N2: 0.79",40.57776447015931,38.5745402,0.727426705631166,5.761138457706258e-15,4.096690883185198e-15,3.160802479551967e-09,0.04450203972107592,1.9257877133289343e-05,3.0984258376905525e-08,8.301541219089873e-06,0.15867932665859116,1.00045120060848e-08,5.886867157524166e-06,1.9037596431108048e-05,0.06386314135734515,1.1998816038247114e-15,6.395096311092435e-16,7.720062409407211e-14,2.35216504061538e-14,-2.2532051500235656e-16,-7.462460863503186e-17,1.0878584141971313e-15,2.2012662037929002e-16,-1.7780876279540482e-16,-1.9148486594011837e-16,-8.304373745499797e-17,-1.8322953328389565e-16,-1.698108737060605e-16,-1.3319784882855402e-16,-1.6286321383592622e-16,-1.5951630315958598e-16,6.935814625989688e-07,-1.8672890338012758e-16,-1.7608446159363176e-16,-1.0830614372928904e-16,-1.0935289999487959e-16,9.407731730667883e-14,-1.496020351152652e-16,-1.8840952113368645e-16,-1.7669623099782883e-16,6.462686629011252e-17,-1.786833141045291e-16,-1.774562403062593e-16,-4.567621192076879e-16,-1.8797414283836785e-16,-2.5641834609178136e-16,-5.826134001677529e-16,-1.8504737431830666e-16,-1.7606026211560055e-16,-1.374365427814844e-16,-2.144605582880366e-16,-1.7905069145280356e-16,-1.716800520101246e-16,-1.3251510641964612e-16,-9.398174140551797e-17,-1.015788657938046e-15,-3.648052372328865e-16,-9.303946937980278e-17,-2.0876994847322416e-16,-1.5661623674423435e-16,0.00540484567237295,1.907971246129149e-07,7.05216077118474e-05,6.736160122673974e-14,6.941280351221173e-09,-1.5697699837151037e-16,-4.591013355410818e-17,-1.5172998272386051e-16,-1.5487664318012025e-16,8.855185573960244e-14
0,0.799922992,903,297.7412027,581.1211762,101371.3827,0.455036467,0.2NH3,"CH4:0.612068498620634 , NH3:0.387931501379366","O2: 0.21, N2: 0.79",48.99346188532331,45.5036467,0.7239473632149668,-1.2210154235427352e-14,-1.1538375229700837e-14,1.2888259402340462e-08,0.03438737441107701,2.6760322394652974e-05,7.594868308925153e-08,1.737372226703232e-05,0.167973662630123,2.137331918562948e-08,7.109571653123476e-06,3.827651369508659e-05,0.06765776005345474,1.5039195877096346e-14,1.1725814855865912e-15,8.245096636972456e-14,2.972090491549966e-14,4.938346763725204e-16,5.352222350762437e-16,5.85593119375904e-16,7.294379478379731e-16,3.9843717209719385e-16,2.1385389761872677e-16,5.393171819301012e-16,1.7614900466242794e-17,5.002685203873354e-16,-6.578090074841348e-16,4.948481182600873e-16,2.226724304771235e-16,6.96026339091787e-07,4.129163454889055e-16,2.2556645703959556e-16,5.456279786192534e-16,5.619721356789063e-16,1.1953445982781156e-13,-2.4187325833019267e-17,4.841097327605909e-16,2.315594885379425e-16,4.2540762870138213e-16,4.583676723450362e-16,3.528201436505739e-16,-7.945651867498257e-17,1.9774356972908742e-16,1.6353517273908256e-16,9.25609286577553e-18,2.233963842621068e-16,3.01359139013327e-16,4.671963331764531e-16,5.600396484331089e-17,-1.0044111702753448e-16,2.443170532228996e-16,5.285298629212936e-16,5.45221154718919e-16,-1.42287349637208e-15,3.718123323949695e-17,5.390446673543931e-16,1.4629683303215626e-16,5.171426376356256e-16,0.005871366813045296,1.8805544192851287e-07,7.193873314575034e-05,2.351312723156058e-13,1.9721485890643743e-08,5.239934442807115e-16,7.174065359721992e-16,5.340857576168785e-16,5.27825966072972e-16,1.7673867261436182e-13
0,0.850677808,921,296.9081258,586.2950378,101191.398,0.524104857,0.2NH3,"CH4:0.612064452990133 , NH3:0.387935547009867","O2: 0.21, N2: 0.79",57.50619413366917,52.410485699999995,0.7204918989796714,5.091312010376195e-15,5.172555580555682e-15,5.093808797188011e-08,0.02424770803724381,3.4952559399155965e-05,1.35984039514139e-07,3.944908980883989e-05,0.17723664375531378,4.495827442506957e-08,9.04367871326786e-06,8.157511902139486e-05,0.07162167045113434,1.7642340059603613e-13,1.1792606889505042e-15,1.0461599195889563e-13,4.031154051788774e-14,-5.8906466192871e-17,2.9855531194356697e-16,1.5968749895794712e-15,7.062720635768273e-16,-6.462837953998885e-17,-3.2685630173065707e-16,2.80511652655527e-16,-5.906521191771907e-16,1.8426647210740654e-16,-7.349085307689404e-16,8.436703464499755e-17,-1.927219066200775e-16,7.259756632602284e-07,2.837446462535083e-18,-3.4953043717741323e-16,2.3630570540911975e-16,2.3200569291882916e-16,1.6503333343025325e-13,-6.509577198647276e-16,9.939932698977624e-17,-3.006216991956835e-16,-1.1813354368265976e-16,4.4497871476468836e-17,-8.125541126289821e-19,-5.52440105919742e-16,-3.4274685660268474e-16,-3.429546506062946e-16,-7.672732311732547e-16,-3.167812250675695e-16,-9.830208850289146e-17,4.2466744236925876e-17,-3.2422480185701663e-16,-1.1095541871365273e-15,-2.891559737714686e-16,1.2334364879266824e-16,2.3474716287802425e-16,1.0657219082220151e-15,-9.089096278291397e-16,2.0876528309548413e-16,-2.3452568935007793e-15,1.119418905695813e-16,0.006168805081470454,2.0804490673129753e-07,6.702721923931974e-05,9.781047828722979e-13,6.012612837766045e-08,1.579601792622684e-16,1.2576705514784059e-15,8.370521729091643e-16,1.8575714853247797e-16,4.1147997672322827e-13
0,0.90046392,914,296.9777731,600.7585604,101191.398,0.565764681,0.2NH3,"CH4:0.612136651506036 , NH3:0.387863348493964","O2: 0.21, N2: 0.79",62.89651441759361,56.5764681,0.7171820941055556,1.984340023415233e-15,1.63437687424578e-15,2.75639406127239e-07,0.014472525846182943,4.369744236227307e-05,2.5993425809793073e-07,9.625067569145129e-05,0.18635657873908454,1.1245344330018317e-07,1.0294241435413406e-05,0.00017955068876566663,0.07533096388446142,3.498429949538857e-12,4.196985169765706e-15,1.9016583361519503e-13,8.628130601083533e-14,4.128241531220609e-16,-3.772849994563184e-15,-4.477453668001424e-15,7.908931857412486e-16,-1.5923025221440913e-16,-6.599438399777182e-16,-3.5316257068241428e-15,6.43273886695043e-16,-3.034803504308009e-15,-8.630880170028464e-17,-1.488302417210915e-15,-6.490160660162479e-16,7.81810909279339e-07,-1.0753656251135117e-15,-6.157373318212086e-16,-3.035112445347669e-15,-1.956963505524302e-15,2.669100743955139e-13,1.7874450931664197e-16,-1.9363951656663324e-15,-5.856164763173214e-16,-9.592711624764502e-16,-1.267683000962721e-15,-1.3102382396626431e-15,-1.5059837639114277e-15,-8.97223121552169e-16,-7.64717016554338e-16,-8.356043464507228e-16,-6.269749308041184e-16,-7.714518253200374e-16,-1.0816686276213632e-15,-3.157186156372469e-16,1.5845739978621324e-16,-5.491885359744293e-16,-1.385449881756422e-15,-2.7127597999913178e-15,-2.535093259103433e-15,2.094592896873396e-15,-2.531033198672462e-15,4.7660241124962345e-15,-1.6134887757570697e-15,0.00627649122994695,3.271218395806639e-07,4.9551834146357774e-05,4.79080571225344e-12,2.44342517210865e-07,-2.257117531033616e-15,4.3057641205415696e-15,4.1109987086728435e-15,-1.788423244906674e-15,1.1888202270038453e-12
0,0.949716489,908,297.0730954,617.3071041,101191.398,0.637668324,0.2NH3,"CH4:0.612254497862018 , NH3:0.387745502137982","O2: 0.21, N2: 0.79",71.4531805395568,63.76683239999999,0.7138118461389612,6.797771392117298e-15,7.858589980301541e-15,3.8054905277842063e-06,0.005016541826628656,4.113269300925522e-05,3.2689220831985256e-07,0.00038364279199462023,0.19529998545059105,4.3629265668155585e-07,7.068506570713439e-06,0.0005931824599470184,0.07865263790632669,4.286138161980788e-10,1.46017834747736e-14,9.182713910723803e-13,6.228204405873769e-12,-4.514726961775031e-16,3.9540062068754367e-16,-1.5522777670214252e-15,3.7340590797629465e-15,-4.370027555257941e-16,-5.412461858567292e-16,3.394385091765102e-16,-9.554707770887743e-16,3.1247202271952915e-16,-3.189847341604152e-16,-4.890769389574167e-17,-2.0434424837060598e-16,8.691400592098845e-07,-1.9637470722905474e-16,-2.5157772862558796e-16,2.4414220955021745e-16,1.1197713999078703e-15,6.070534153906114e-13,-3.0506066507553634e-16,5.457315940707087e-17,-2.429635142479426e-16,-2.223042231861669e-16,-1.8967017710025758e-16,-1.12357644232167e-16,-5.176912960016362e-16,-3.484767006127539e-16,-2.6036129934755343e-16,-1.287545272868542e-15,-2.6924150405105593e-16,-2.2500242361841673e-16,-2.641590652873893e-16,-1.1237659031761905e-16,-3.0547878153452064e-16,-2.0467785112175172e-16,-2.4405069921983033e-16,1.6350996781940516e-17,-2.334472932521846e-16,-2.2191495918292591e-16,1.536329632838352e-16,-4.1268797130789527e-16,-1.6336171080778917e-16,0.006166967859556408,1.1651137442424153e-06,1.7590847888980522e-05,6.595837172083844e-11,2.8000793090342658e-06,3.2131342970075726e-16,1.8939738955116837e-13,6.685543885778409e-14,7.074015741662839e-14,7.342212294199897e-12
0,0.999527631,939,296.9429373,636.6089235,101164.7336,0.664366288,0.2NH3,"CH4:0.612232650256003 , NH3:0.387767349743997","O2: 0.21, N2: 0.79",74.75628493645672,66.4366288,0.709087953614529,-4.718919849358831e-15,-4.669126267726156e-15,1.1861939140372174e-05,0.00033535080060009777,1.2277403333323497e-06,1.1901934810929442e-08,0.003341947616569425,0.19928150659300173,9.453724217320147e-08,6.949714381568576e-08,0.004503488126824069,0.07768370194564576,5.441178192636192e-08,4.3239829685869674e-13,1.046458282286827e-11,3.985700160394735e-09,5.62284021920147e-14,4.4124684799577225e-15,-6.680184640617888e-15,1.6497780679094e-12,1.790935187244576e-15,-6.440952920310014e-15,4.2334885245066996e-15,3.786079576443257e-16,4.254643561644582e-15,1.091415008925627e-15,3.692468721020983e-15,1.8836443339580098e-15,9.941331658347053e-07,2.5361303221655963e-15,2.4332249326116077e-15,4.039125832489102e-15,1.7141923633360622e-12,8.972835044442442e-13,3.870917802694649e-15,3.8042044789369734e-15,8.931044645223014e-16,1.904183185247704e-15,2.5278875200473437e-15,3.615140917345265e-15,1.1520492764656572e-15,1.7150888190938255e-15,2.799655952528858e-15,-2.0981516860086637e-15,1.0180810556422882e-15,1.7036365992904694e-16,-4.205571180014747e-16,3.655514706701639e-15,1.0990459121952868e-15,1.1350622844099754e-15,8.233421231862183e-16,2.6581242891419046e-15,3.7245013152853026e-16,4.822124173076662e-16,3.984943564927446e-15,1.6115726411895391e-15,2.3622748445794953e-15,0.005724989724243966,4.5524551434481055e-06,1.0277585499328145e-06,7.335406306765134e-09,2.115583386637744e-05,2.8677631450982466e-14,8.876193629536863e-13,2.2321833007188953e-13,2.6632600577576606e-12,3.011295162624335e-11
0,1.049174239,980,296.9807058,635.9363282,101369.1607,0.670580882,0.2NH3,"CH4:0.612135113397983 , NH3:0.387864886602017","O2: 0.21, N2: 0.79",75.32059940986392,67.0580882,0.7025218022371444,-1.809518307239824e-15,-3.808207174160541e-15,8.151739915517572e-06,2.7305525696522697e-05,5.007782940261117e-08,4.5830285488561815e-10,0.008906122513297247,0.19909284207991793,7.047082220800603e-09,4.707309267975518e-09,0.012739060310943842,0.07156783031422861,1.5668293276208978e-07,2.060625578375259e-12,4.1716340199150013e-11,9.73431829856383e-09,7.158066845650714e-14,-2.8208198554202804e-17,1.3558170285759084e-15,2.9101209436683624e-12,7.070032867969655e-16,1.1531483275403979e-15,-1.0558398936338147e-17,3.805018843743667e-15,-2.6422610065347337e-17,2.39997751299424e-16,3.0631037136775733e-16,1.47984411316381e-15,1.1754904795433806e-06,4.54730084949204e-16,1.1322690397144905e-15,5.785493148522191e-17,9.506249714832521e-12,1.2270474708738602e-12,5.446310548361591e-14,2.1108879917488839e-16,5.293396205200042e-16,4.322160955881183e-16,4.4938081531502e-16,3.2969592502765116e-16,3.846906857036023e-16,4.11159577728818e-16,4.909945736562343e-16,5.528329117985941e-16,4.673075771300436e-16,4.581333960916669e-16,2.73515526787131e-16,2.399649203370696e-16,2.367800908426364e-16,4.343916768593031e-16,9.929625798431287e-16,3.295169174297249e-16,4.484908081666427e-16,4.780033093618815e-16,7.651034697312751e-17,3.345582567421034e-16,3.9827818966677975e-16,0.005111486368416232,4.54311028961089e-06,9.050316265463694e-08,7.23574897441502e-08,1.9288595903307153e-05,1.3593667845800388e-14,6.091409763432701e-13,1.5460202896026418e-13,1.8454480923100178e-12,8.515736864762095e-11
0,1.09941892,991,297.5655141,637.6975425,101358.0505,0.647131957,0.2NH3,"CH4:0.611987375081853 , NH3:0.388012624918147","O2: 0.21, N2: 0.79",72.26634917711908,64.7131957,0.6956454923374302,-5.759532222025016e-15,-4.9702704883205326e-15,7.623529861205255e-06,5.027822586062495e-06,1.099372622246518e-08,7.719505009434547e-11,0.01519497586031082,0.1984455590333954,1.614482851483154e-09,1.2997523036228982e-09,0.02095171180198014,0.06540214619169127,2.5086413029529497e-07,3.74907394331694e-12,8.877637207018536e-11,1.584014698726347e-08,8.536329337212083e-14,-5.783626403050681e-16,2.425201252790201e-15,4.417896528617243e-12,6.186882199572715e-16,1.4732025438874465e-15,-5.521305907334244e-16,5.111045778534059e-15,-5.755987976372715e-16,3.8578116835409045e-16,-1.1091262858642752e-16,3.542893948589452e-15,1.4537546955270074e-06,2.166340423903263e-16,2.2114800717165394e-15,-4.623115521977278e-16,1.8149073297251086e-11,2.0131986999399313e-12,1.7044327800159086e-13,-2.074820429571092e-16,4.923783598438773e-16,2.2050330736535804e-16,2.2884162993291477e-16,-1.0240142346818567e-16,3.134232407835812e-16,2.695062559283459e-16,1.8952350949667542e-16,5.463931220746465e-16,3.157553926322156e-16,4.518728290119044e-16,6.359126736126785e-16,-2.2899565673840387e-16,3.811790612956049e-16,3.197499337598571e-16,8.3183299677802e-16,2.1922269817850483e-16,2.6788300876342476e-16,2.2904836547053437e-16,-4.45212306340792e-16,2.1899870476644818e-16,3.0546453406839527e-16,0.004325006590534996,4.027593481835964e-06,1.8238084920110263e-08,2.3051196115099533e-07,1.6445775099936453e-05,1.425609765568626e-14,5.689290348223245e-13,2.557499918135343e-13,1.7982325596198512e-12,1.494464344856501e-10
