,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,H2NO,N2H2,HONO,N2H3,N2H4,NH2OH
0,0.64987396,841,297.3401876,524.0008899,101391.381,0.286398527,0.2NH3,"CH4:0.612096943490917 , NH3:0.387903056509083","O2: 0.21, N2: 0.79",28.377251503256616,28.639852700000002,1.9011649458367539e-06,2.3246134688586234e-10,2.145763604566015e-08,0.06389609049104894,8.809618521297458e-06,0.1400396016018258,2.831909181581954e-09,2.4670997419775127e-06,-1.1468088613617483e-15,-1.1513417011086203e-15,-1.1078885973698036e-15,-1.1543706796473886e-15,-8.7299581378835565e-16,1.8266039796286337e-14,5.51321226046699e-06,0.05636557064747043,-1.0628505944825613e-15,1.2555384865707524e-15,-1.1347725758607796e-15,-9.636860373349727e-16,3.680612418496701e-15,-1.1472691503875878e-15,-8.769489281748443e-16,-1.1255808194623652e-15,-5.058783445266314e-16,-1.0313543873693375e-15,-8.579723114041388e-16,-1.0969187178746629e-15,-8.237080985936753e-16,1.553534394121013e-15,-1.0832815441179415e-15,-7.942894169912568e-16,-4.798619077779045e-16,1.8968264118340086e-12,-1.1484671316105219e-15,0.005279180084111442,8.794449437588242e-05,1.6028005559671277e-05,5.070885783382584e-09,-1.132910261434282e-15,8.324880604563888e-10,5.159831437091931e-16,-1.133535131511887e-15,2.718304378859434e-08,1.8302964235576196e-09,7.799134434646304e-10,3.1575643684837696e-16,0.7342841922959448,2.397690427093656e-15,-9.675477093774143e-16,-8.48797099254874e-16,-1.032912814796965e-15,-9.109055328948025e-16,-1.016494560390219e-15,-9.048012940349237e-16,8.942977303589998e-06,-7.873544558778841e-16,-8.181137958206362e-16,3.698086360020124e-06
0,0.699533012,857,297.834618,540.7784952,101371.3827,0.327161046,0.2NH3,"CH4:0.612220808259477 , NH3:0.387779191740523","O2: 0.21, N2: 0.79",33.40174384058105,32.7161046,2.918081943755827e-06,5.591320429915213e-10,3.659251915829397e-08,0.05378343720712995,1.19687123891525e-05,0.149343846053964,4.37033685527755e-09,3.035824685775385e-06,1.3437691419166918e-16,1.3382446576118777e-16,1.3501439458139707e-16,1.3333960033382307e-16,1.2548640033319241e-16,2.0134628689677787e-15,7.233558803508968e-06,0.06008557220647762,1.68637374333816e-16,4.769141270163274e-16,1.3508488954660215e-16,1.3084910959937806e-16,6.943504685526198e-16,1.3433148562158422e-16,1.468170604342554e-16,1.34878332776971e-16,2.213348422717625e-16,1.1133414046704566e-16,1.7882718043168781e-16,1.2899120990314662e-16,1.942437891854632e-16,2.425718656886243e-16,1.2542230761536566e-16,9.773641345377585e-16,1.490723465265839e-16,1.2381278140897488e-13,1.4829292578043671e-16,0.006192177078336677,9.808351464326303e-05,6.361023281863235e-07,1.0421764249640038e-08,1.3527321587222611e-16,2.2505636701342062e-11,2.5260782362247745e-16,1.3517468271677018e-16,1.3727356824269927e-09,5.721315571795999e-11,3.801616981262498e-11,2.0896553503828513e-16,0.7304601565848728,-9.839573862165452e-16,1.3342488464523977e-16,1.817328663073691e-16,7.207607992713113e-17,1.5877119652757338e-16,1.1022704842809269e-16,1.5072562574138813e-16,6.78251705336398e-06,1.1155227820311638e-16,1.5572382767026125e-16,4.09912301680114e-06
0,0.749940011,839,297.8464894,558.4945964,101371.3827,0.385745402,0.2NH3,"CH4:0.612139067809774 , NH3:0.387860932190226","O2: 0.21, N2: 0.79",40.442562634206524,38.5745402,5.778840829831175e-06,1.8335549242222245e-09,6.87884773843178e-08,0.043469555015127274,1.664517010279337e-05,0.1587489069501443,7.799616804922058e-09,3.899019269546202e-06,7.62905126773109e-16,7.660555284014882e-16,7.402919588277696e-16,7.680531434757803e-16,5.432645922092268e-16,5.568114462939232e-16,1.3714463182959695e-05,0.06394239169643917,9.491842836508498e-16,1.2504284207213808e-16,7.544712302228836e-16,6.024315357179835e-16,3.494839783312511e-16,7.636171683747867e-16,5.122372400689058e-16,7.469359299791454e-16,2.3512633748632767e-16,6.048162681203651e-16,5.506538862769232e-16,7.25956239546187e-16,5.877728647616358e-16,5.141630223838267e-16,7.194608465201515e-16,5.348935979735472e-15,6.9679996615483035e-16,9.520597124345937e-14,8.297904977306083e-16,0.006925612310756955,0.00010872748653526937,2.005738829686851e-07,2.6693142366760953e-08,7.524257903305327e-16,4.09406288759044e-13,6.139056585092909e-16,7.530719594196726e-16,1.812420211155032e-11,5.550300568924501e-13,8.516267228551832e-13,6.865599338340302e-16,0.7267550095902668,2.4147428554967573e-15,6.057703466369261e-16,5.638256373630404e-16,5.521571027742475e-16,5.896446511795532e-16,6.088771544400369e-16,5.863494032451779e-16,5.095360449465067e-06,4.138432955026916e-16,5.530329750037336e-16,4.358388155794191e-06
0,0.799922992,806,297.7412027,581.1211762,101371.3827,0.455036467,0.2NH3,"CH4:0.612068498620634 , NH3:0.387931501379366","O2: 0.21, N2: 0.79",48.804233208296864,45.5036467,1.2497543041600196e-05,7.027172703917991e-09,1.3805828505441076e-07,0.03331652318268092,2.311659762098589e-05,0.16806610547036513,1.4905066690845807e-08,4.947283681784142e-06,-1.3418883690555673e-16,-1.4132609898562566e-16,-1.0054610792862343e-16,-1.454032031971044e-16,-8.135265624372002e-17,-1.251369461540111e-16,2.848844383227049e-05,0.06773885331759978,2.3994431199117628e-15,-5.630758990022693e-17,-1.184490927785927e-16,-1.139533262756338e-16,-1.4193538929972513e-16,-1.3558689665638852e-16,-1.776159441195033e-16,-1.0755852349731481e-16,-1.7964965634340235e-16,-1.0318747339335319e-16,-1.052230508841191e-16,-9.529913260761815e-17,-9.442955571374892e-17,-1.379345923711416e-16,-7.834200397694741e-17,3.216169751465022e-14,9.763328160603261e-17,3.7910414485342924e-13,1.7784328649286927e-16,0.007469106322875182,0.00011148048312592728,2.2493776024255646e-07,7.42611854248548e-08,-1.1313448863384707e-16,4.763539137042218e-15,-1.1063785025716184e-16,-1.1504162665108072e-16,4.116453045889587e-14,3.372982176931625e-15,8.750775024816211e-14,-1.3483949570303949e-17,0.7232199646877673,-6.400735893360089e-16,-9.902231612151938e-17,-9.923104700657931e-17,-7.997506240773056e-17,-1.0140993585381225e-16,-9.279294569031243e-17,-9.900582069512789e-17,3.990286866518338e-06,-1.6312748936919974e-17,1.8435163819399393e-16,4.4671905254415875e-06
0,0.850677808,810,296.9081258,586.2950378,101191.398,0.524104857,0.2NH3,"CH4:0.612064452990133 , NH3:0.387935547009867","O2: 0.21, N2: 0.79",57.191474837266696,52.410485699999995,3.033303415568459e-05,2.7845926014283572e-08,2.4267495483064965e-07,0.023171804525804668,3.057746824086919e-05,0.17731647166929682,2.803607134439754e-08,6.522250185953277e-06,-1.0074867852551283e-16,-1.0745548091932265e-16,-6.520166276106912e-17,-1.1019603316869679e-16,1.822103533058466e-16,5.520244596610301e-17,6.394760849018053e-05,0.07170913013309697,3.1838574540876476e-14,6.27645940341428e-16,-7.89116749008367e-17,1.263966850911144e-16,1.0648765064377974e-16,-1.031613477852412e-16,5.2181333537626554e-18,-6.163252342111522e-17,-7.477768753137855e-17,1.2383429961337592e-16,7.283475905013296e-17,-4.382668699887609e-17,1.196544615497125e-16,5.46566852779658e-17,7.042657079736789e-17,2.41900988673935e-13,1.277021192993533e-15,2.0271175764111045e-12,1.4150530888664968e-15,0.007812980039828537,0.00010091433705420256,3.028547580209384e-07,2.415861704904028e-07,-7.136962904529777e-17,5.524473033109211e-15,1.2795182135906298e-16,-7.590803758271205e-17,2.329514085547854e-16,1.6367267194317595e-15,3.6040850655516055e-13,3.618311333778356e-16,0.7197485197453483,2.25313406249957e-16,1.1102866570820744e-16,8.378576591297758e-17,1.680569769170925e-16,1.0166848496673553e-16,9.534106340793974e-17,9.417037596868358e-17,3.5234481234638727e-06,4.72661109645693e-16,1.9808690742590272e-15,4.432739818104469e-06
0,0.90046392,850,296.9777731,600.7585604,101191.398,0.565764681,0.2NH3,"CH4:0.612136651506036 , NH3:0.387863348493964","O2: 0.21, N2: 0.79",62.537643789649564,56.5764681,8.562983195856641e-05,1.697829862244442e-07,4.4243854673884694e-07,0.01342825823856034,3.941686038565815e-05,0.18645484031251694,6.508014454379103e-08,8.046022000007292e-06,-7.365140723704744e-15,-6.7419613255352344e-15,-9.227377033524518e-15,-6.486842720811974e-15,-7.522880843903539e-15,-5.878506497129895e-15,0.00015526790396245947,0.07540604200919995,7.966853022483553e-13,5.989261187225622e-15,-8.77826798918415e-15,-5.360439635821672e-15,-3.085550400739896e-15,-7.086184331680082e-15,-6.319962620844034e-15,-9.532824502871715e-15,-7.490219692391315e-15,-4.737225164577144e-15,-5.688275724698809e-15,-9.564549420761712e-15,-4.431461605278528e-15,-6.111539166245271e-15,-7.927092945925336e-15,2.9716735011003897e-12,3.5313013044124017e-15,1.4285417072417437e-11,6.045246929168688e-15,0.007932017996830526,6.869785771952294e-05,6.758794188002834e-07,1.0595308855064208e-06,-9.498696250374408e-15,3.10399288511899e-14,-4.148932528417701e-15,-9.150164611887695e-15,1.4644012638134353e-15,-3.769870069713157e-15,2.1516618876867324e-12,-6.63132747580188e-15,0.7164113976573456,-3.2176961515719e-14,-6.888067633009915e-15,-5.63858706004408e-15,-7.073826184666872e-15,-5.877421254070423e-15,-8.178298101061486e-15,-9.242224231788673e-15,3.714759010202122e-06,4.069700252584457e-16,9.806983992048634e-15,4.257818502298556e-06
0,0.949716489,884,297.0730954,617.3071041,101191.398,0.637668324,0.2NH3,"CH4:0.612254497862018 , NH3:0.387745502137982","O2: 0.21, N2: 0.79",71.09485776142583,63.76683239999999,0.0004755827726797518,3.3963580667150253e-06,4.986095670703415e-07,0.004097233111928511,3.868720352396369e-05,0.19535109305231194,2.7453371363844863e-07,6.017432813383616e-06,-2.2157049108520968e-15,-2.8684482279988727e-15,-9.403502081292496e-16,-3.0490975116198456e-15,2.4026858997624092e-15,-8.486435786960831e-16,0.0006409102021785332,0.07863046311471865,2.0671902485104905e-10,4.989698985844614e-12,-3.7039599511839336e-17,1.3976002296096849e-15,-1.102631376098384e-15,-2.61138820479503e-15,9.697248735964613e-16,4.3653772109699895e-16,1.0703795105451979e-15,9.53639846104005e-16,-5.207796827690231e-16,-5.260951965416318e-16,-1.7810781325141572e-16,1.446252811399831e-16,1.6970540352942363e-13,1.290359063771259e-10,3.6935699318301715e-13,2.8099331096447687e-10,3.7674041563152193e-13,0.007758191233184624,1.853047435205419e-05,5.253873486258566e-06,9.107556194780802e-06,8.674355316940591e-16,8.819074123122921e-13,2.0047632553968365e-15,2.0162275984433152e-16,-3.331318026941594e-17,3.3511870220494445e-15,4.668572886500821e-11,3.10747359180706e-13,0.7129574836435416,8.147254104594453e-15,1.0943834232833409e-15,1.588264435850894e-16,1.5954759694828531e-15,6.387428442349025e-16,1.2556807474756143e-15,-1.5823736481633271e-15,3.3361914290283037e-06,3.340578965999475e-14,2.323771798767875e-13,3.939965501284463e-06
0,0.999527631,889,296.9429373,636.6089235,101164.7336,0.664366288,0.2NH3,"CH4:0.612232650256003 , NH3:0.387767349743997","O2: 0.21, N2: 0.79",74.41022317680563,66.4366288,0.004018161383631164,1.0267482763465575e-05,1.202388702020628e-08,0.00029643227263100003,1.3759003710697892e-06,0.1985007766966956,6.440796243241962e-08,6.935093759271265e-08,-5.229867563385082e-16,-5.542466888752826e-16,6.802536452730979e-16,-5.482285809236362e-16,5.901441759689067e-13,1.9345068658697605e-11,0.00504622385029145,0.07703514783190915,3.478525367857232e-08,4.438019564220613e-09,2.400575859235847e-12,5.208591697528789e-13,2.844837089961765e-12,-5.466087676547766e-16,4.5800848040499e-16,-2.842088228542395e-16,-3.9792444870749485e-16,-3.2950742529346323e-16,-2.875186305960192e-16,-4.613532299207475e-16,1.1729209949320109e-14,-2.3961459431033197e-16,5.121076511663642e-12,2.288525214907553e-09,1.7725362520730615e-12,1.6532359299058062e-08,1.5686208138342723e-12,0.0070729912143021045,1.1671184993619906e-06,3.565818967620803e-05,1.5562945441057502e-05,-2.675350993537923e-16,5.903178852455475e-11,2.1855591889207526e-13,-2.546150157691073e-16,2.9040068820102355e-13,4.1035712303265935e-14,2.500311946878423e-09,6.198805514440468e-12,0.7079613089351935,5.4358755661856235e-15,-2.2191109478119187e-16,-2.335957846074359e-16,3.1481885517268475e-15,-2.2335544121238965e-16,3.347091882743773e-13,-3.5764568811949483e-16,1.2125550670370257e-06,1.5443004962495624e-12,2.0142628282727716e-12,3.5071924174260944e-06
0,1.049174239,902,296.9807058,635.9363282,101369.1607,0.670580882,0.2NH3,"CH4:0.612135113397983 , NH3:0.387864886602017","O2: 0.21, N2: 0.79",75.09423308950181,67.0580882,0.009702631732382326,9.883737082919688e-06,2.2929727684714396e-09,3.245342274042966e-05,1.3009533631110975e-07,0.19818879439496148,9.584090948109111e-09,7.373804560735035e-09,4.777443406611259e-16,5.107176076382143e-16,1.3624273537395079e-14,6.356148816439466e-16,6.410465972607393e-12,2.333234417367111e-10,0.012791885121807846,0.07147608372753805,1.4447900987356558e-07,1.8299615597026132e-08,3.517740517013116e-11,1.950671621492483e-12,2.8817118650350553e-11,4.932853044432208e-16,4.237217774445117e-15,9.3223138679848e-16,1.0079241219417573e-15,7.263084978523762e-16,1.3699142235951654e-15,5.049471996052894e-16,3.3678130118235376e-13,1.0098454316301825e-15,1.3691489259204213e-11,5.526829469075315e-09,3.4900191764741033e-12,1.3418689832857894e-07,1.552339939558253e-12,0.006098913171684342,1.5121013133073983e-07,7.385193062946366e-05,1.2848707739204124e-05,7.504089768780591e-16,6.873884158425263e-10,2.5205160037425164e-12,1.8395212416000664e-15,2.589875607705522e-12,2.691312898371382e-13,1.5908469989638782e-08,1.520242320199461e-11,0.7016082214077457,9.680429119143234e-15,9.37594248287158e-16,1.2722955614810946e-15,1.047068465849306e-13,5.6677117955921155e-15,4.6139008442029806e-12,1.676336190659021e-15,8.324951847558906e-07,1.0508070993149036e-11,3.968802803404876e-12,2.9801413811719593e-06
0,1.09941892,870,297.5655141,637.6975425,101358.0505,0.647131957,0.2NH3,"CH4:0.611987375081853 , NH3:0.388012624918147","O2: 0.21, N2: 0.79",72.11179581718079,64.7131957,0.016014085545246595,1.0997787882808976e-05,2.4875691734050904e-09,6.5340683185189325e-06,5.417200971221752e-08,0.19746799834286596,2.978544093748782e-09,2.3586353351944557e-09,-5.689821532527496e-16,-9.594592390905623e-16,4.7169210148740014e-14,-6.631018074565804e-16,1.7518144135868958e-11,7.91378577093471e-10,0.020517152576802204,0.06586640341433309,2.6926430992963325e-07,3.7946658082509194e-08,9.992487793351454e-11,3.982164366302288e-12,9.198614029329557e-11,-9.197487909862032e-16,2.464375237451181e-15,5.33253625628017e-16,1.700983765707886e-16,4.655474949876439e-16,3.528100718845759e-16,1.4276804444529735e-16,1.663746261927756e-12,4.84519028138227e-16,2.973531483389919e-11,8.825893308915568e-09,7.561159283011894e-12,4.900843474255354e-07,1.76086768884503e-12,0.004990298674886475,3.765830833370538e-08,9.822229270261847e-05,1.0324534641015673e-05,1.0234323070777738e-15,3.0542439431379644e-09,1.266838116065663e-11,4.641153276108909e-15,6.838490301748363e-12,6.310184431080146e-13,4.175533600069816e-08,2.6654067138646432e-11,0.6950139946777802,1.4886679249119227e-15,5.199096431658657e-16,4.656832726897399e-16,5.426356950821833e-13,4.0089572857625504e-14,9.823914723612364e-12,3.600614711833242e-15,6.409672554120403e-07,3.8488537694483785e-11,5.101096592744424e-12,2.3953850700275974e-06
