,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,OHEX,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,N,NO,NO2,N2O,NH3,HNO,H2NO,NNH,NH2,NH,N2H2,N2H3,N2H4,H2NN,HONO,HNOH,HNO2,HONO2,NO3,HON,CN,HCN,HNC,H2CN,HCNH,NCN,HCNN,HNCN,NCO,HNCO,HOCN,HCNO,
0,0.64987396,826,297.3401876,524.0008899,101391.381,0.286398527,0.2NH3,"CH4:0.612096943490917 , NH3:0.387903056509083","O2: 0.21, N2: 0.79",28.38711342,28.6398527,0.73445401,2.74E-15,2.79E-15,5.97E-15,0.064213726,9.35E-11,5.52E-15,3.26E-06,0.14006834,2.96E-14,1.36E-07,1.25E-05,0.056340995,7.10E-16,7.84E-16,8.40E-16,1.09E-13,1.03E-13,6.57E-16,7.84E-16,-7.40E-15,9.10E-16,7.05E-16,8.87E-16,7.80E-16,8.72E-16,6.10E-16,2.38E-15,6.97E-16,6.68E-16,3.30E-07,7.18E-16,6.43E-16,7.66E-16,7.58E-16,6.51E-14,1.17E-15,5.65E-16,9.24E-16,6.72E-16,6.36E-16,7.17E-16,1.96E-15,7.57E-16,1.72E-15,7.16E-15,9.28E-16,5.92E-16,7.37E-16,4.34E-16,7.63E-16,8.82E-16,7.45E-16,7.74E-16,1.01E-15,5.28E-16,7.80E-16,2.36E-16,6.98E-16,6.62E-16,0.004734171,9.96E-05,1.23E-05,1.58E-13,1.04E-09,1.57E-14,7.84E-16,5.96E-16,7.73E-16,8.81E-16,9.43E-16,9.03E-16,7.70E-16,6.04E-05,1.00E-15,2.27E-11,2.34E-10,9.12E-16,1.91E-07,7.68E-16,6.22E-11,5.18E-14,6.86E-16,8.01E-16,9.43E-16,6.38E-16,9.31E-16,1.12E-11,1.91E-08,9.67E-11,1.15E-15,
0,0.699533012,863,297.834618,540.7784952,101371.3827,0.327161046,0.2NH3,"CH4:0.612220808259477 , NH3:0.387779191740523","O2: 0.21, N2: 0.79",33.41643,32.7161046,0.730575187,4.59E-15,3.25E-15,5.41E-14,0.054129019,5.00E-10,4.38E-14,4.69E-06,0.149333873,1.86E-13,1.67E-07,1.53E-05,0.06001423,4.01E-17,2.06E-16,-1.94E-16,1.13E-13,1.04E-13,-6.82E-17,2.05E-16,1.27E-15,8.55E-17,6.35E-19,7.70E-17,1.95E-16,1.52E-17,-9.08E-17,2.60E-16,2.17E-17,-1.51E-16,3.21E-07,8.63E-17,5.51E-16,1.65E-16,1.37E-16,6.88E-14,1.87E-16,-1.61E-16,9.23E-17,8.42E-17,-6.22E-17,1.16E-16,-3.81E-16,8.86E-18,-2.68E-16,-2.59E-15,9.46E-17,-1.61E-16,8.73E-17,-4.48E-16,1.66E-15,1.23E-16,1.07E-16,1.75E-16,8.17E-16,8.73E-17,1.85E-16,-3.43E-16,3.35E-17,1.77E-18,0.005737928,0.000112973,3.59E-07,4.22E-14,1.94E-09,5.67E-15,2.06E-16,-1.42E-16,2.51E-16,5.53E-17,1.60E-17,1.09E-16,-1.81E-17,7.57E-05,1.68E-16,2.54E-11,1.47E-10,5.04E-16,1.80E-07,1.61E-16,1.51E-12,1.51E-15,5.90E-17,3.56E-17,2.10E-17,1.43E-17,2.38E-17,8.37E-13,9.68E-10,1.69E-12,2.16E-16,
0,0.749940011,831,297.8464894,558.4945964,101371.3827,0.385745402,0.2NH3,"CH4:0.612139067809774 , NH3:0.387860932190226","O2: 0.21, N2: 0.79",40.49026219,38.5745402,0.726805157,-2.22E-16,-1.83E-16,8.45E-13,0.043767455,2.94E-09,5.06E-13,9.14E-06,0.158719045,1.65E-12,2.34E-07,2.79E-05,0.063850772,-8.96E-16,-1.15E-15,1.41E-16,1.08E-13,1.12E-13,-6.93E-16,-1.15E-15,-1.84E-15,-3.49E-16,-7.06E-16,-2.72E-16,-1.14E-15,-3.92E-16,-7.66E-16,2.00E-15,-8.33E-16,-3.82E-16,3.21E-07,-9.93E-16,-7.90E-17,-1.10E-15,-1.04E-15,7.80E-14,1.21E-16,-6.36E-16,-2.75E-16,-5.82E-16,-7.12E-16,-1.08E-15,-4.31E-16,-4.37E-16,-3.58E-16,-4.65E-16,-2.63E-16,-5.14E-16,-9.23E-16,1.69E-17,-1.82E-16,-2.68E-16,-9.75E-16,-1.10E-15,1.41E-15,4.21E-16,-1.10E-15,-2.36E-16,-8.71E-16,-8.59E-16,0.006590406,0.0001306,2.42E-07,9.65E-14,4.77E-09,1.12E-14,-1.15E-15,-5.90E-16,1.96E-16,-3.43E-16,-2.00E-16,-3.78E-16,-4.27E-16,9.85E-05,-1.95E-16,2.36E-11,8.39E-11,-2.20E-17,1.71E-07,-1.08E-15,8.97E-13,5.71E-16,-4.58E-16,-3.76E-16,-3.05E-16,-2.53E-16,-2.82E-16,4.83E-14,3.52E-11,2.35E-13,8.91E-16,
0,0.799922992,805,297.7412027,581.1211762,101371.3827,0.455036467,0.2NH3,"CH4:0.612068498620634 , NH3:0.387931501379366","O2: 0.21, N2: 0.79",48.944651,45.5036467,0.723192279,6.67E-15,5.20E-15,1.45E-11,0.03355948,1.68E-08,6.32E-12,1.97E-05,0.16800906,1.57E-11,3.37E-07,5.66E-05,0.067619274,6.34E-16,4.95E-16,5.38E-16,9.74E-14,1.07E-13,6.98E-16,4.96E-16,-1.96E-15,4.94E-16,6.51E-16,2.45E-16,5.06E-16,9.56E-17,5.81E-16,1.45E-16,6.18E-16,5.34E-16,3.27E-07,5.72E-16,8.51E-17,5.29E-16,5.71E-16,8.85E-14,-7.18E-17,6.29E-16,2.58E-16,4.43E-16,6.29E-16,5.23E-16,3.65E-16,4.39E-16,3.91E-16,6.57E-16,2.56E-16,6.10E-16,5.88E-16,6.12E-16,-3.81E-16,2.75E-16,5.96E-16,5.38E-16,-3.45E-16,3.54E-16,5.50E-16,2.22E-18,6.10E-16,6.04E-16,0.007274003,0.000141487,2.81E-07,2.77E-13,1.34E-08,2.54E-14,4.96E-16,6.25E-16,8.12E-15,2.64E-16,2.10E-16,3.03E-16,4.79E-16,0.00012695,1.02E-15,1.85E-11,4.88E-11,4.20E-15,1.64E-07,5.51E-16,9.54E-13,1.31E-15,3.61E-16,5.00E-16,2.32E-16,3.57E-16,2.29E-16,1.23E-14,5.77E-12,1.27E-13,1.20E-16,
0,0.850677808,810,296.9081258,586.2950378,101191.398,0.524104857,0.2NH3,"CH4:0.612064452990133 , NH3:0.387935547009867","O2: 0.21, N2: 0.79",57.44816444,52.4104857,0.719607844,5.85E-14,5.01E-14,1.86E-10,0.023327937,5.34E-08,4.20E-11,4.78E-05,0.177263589,1.05E-10,4.95E-07,0.00012383,0.071546587,-1.73E-15,-2.25E-15,-3.84E-16,8.45E-14,1.24E-13,-2.15E-15,-2.25E-15,-3.73E-15,-9.16E-16,-2.21E-15,-4.41E-16,-2.23E-15,-2.94E-16,-2.18E-15,6.51E-16,-2.22E-15,-1.24E-15,3.43E-07,-2.16E-15,-8.05E-17,-2.20E-15,-2.17E-15,9.84E-14,1.23E-15,-2.22E-15,-4.13E-16,-5.82E-16,-2.24E-15,-2.21E-15,-7.65E-17,-6.93E-16,-3.16E-16,2.09E-15,-4.17E-16,-1.93E-15,-2.01E-15,-1.65E-15,3.37E-15,-4.29E-16,-2.19E-15,-2.17E-15,-1.03E-15,1.33E-15,-2.19E-15,4.91E-15,-2.21E-15,-2.18E-15,0.007783039,0.000133732,3.47E-07,9.96E-13,4.90E-08,6.09E-14,-2.24E-15,-2.19E-15,5.86E-14,-4.01E-16,-4.65E-16,-4.05E-16,-8.93E-16,0.000164205,1.79E-15,1.12E-11,3.69E-11,8.42E-15,1.57E-07,-2.17E-15,1.04E-12,7.50E-16,-3.72E-16,-1.24E-15,-3.55E-16,-2.41E-17,-4.03E-16,2.00E-14,5.62E-12,5.98E-14,3.65E-15,
0,0.90046392,829,296.9777731,600.7585604,101191.398,0.565764681,0.2NH3,"CH4:0.612136651506036 , NH3:0.387863348493964","O2: 0.21, N2: 0.79",62.85413682,56.5764681,0.716156201,1.00E-14,1.02E-14,5.79E-09,0.013512247,1.93E-07,3.38E-10,0.000130695,0.186354309,1.51E-09,6.78E-07,0.000284803,0.075172717,4.36E-14,1.31E-15,2.33E-15,9.91E-14,1.25E-13,1.60E-15,1.31E-15,2.92E-15,1.61E-15,1.46E-15,1.41E-15,1.33E-15,1.57E-15,1.37E-15,1.35E-15,1.46E-15,1.31E-15,3.66E-07,1.41E-15,1.54E-15,1.36E-15,1.46E-15,1.27E-13,1.38E-15,1.47E-15,1.41E-15,1.26E-15,1.45E-15,1.33E-15,1.57E-15,1.38E-15,1.47E-15,2.00E-15,1.42E-15,1.37E-15,1.36E-15,1.36E-15,1.23E-15,1.40E-15,1.45E-15,1.42E-15,1.61E-15,1.01E-15,1.41E-15,7.22E-16,1.47E-15,1.46E-15,0.008089248,9.00E-05,5.09E-07,4.92E-12,2.87E-07,1.52E-13,1.61E-15,1.48E-15,9.38E-13,1.44E-15,1.32E-15,1.34E-15,1.30E-15,0.000207604,1.20E-14,4.48E-12,3.46E-11,4.53E-14,1.52E-07,1.44E-15,1.23E-12,2.76E-15,1.32E-15,1.31E-15,1.42E-15,1.29E-15,1.41E-15,3.08E-14,6.87E-12,2.21E-14,1.90E-15,
0,0.949716489,864,297.0730954,617.3071041,101191.398,0.637668324,0.2NH3,"CH4:0.612254497862018 , NH3:0.387745502137982","O2: 0.21, N2: 0.79",71.50157832,63.7668324,0.71256354,3.78E-17,-2.01E-15,1.49E-06,0.004261043,1.78E-06,4.02E-09,0.000591896,0.195031744,1.08E-07,5.96E-07,0.000955184,0.078174799,6.26E-11,-4.51E-16,1.44E-14,4.98E-13,3.36E-12,4.42E-16,-4.50E-16,-9.07E-16,1.10E-15,2.90E-16,1.31E-16,-4.30E-16,-4.84E-16,-3.83E-16,3.03E-17,3.25E-17,-3.59E-18,3.98E-07,-2.56E-16,2.92E-17,-3.83E-16,5.93E-17,2.51E-13,-3.86E-17,-1.27E-16,4.08E-17,-4.55E-17,1.11E-16,-4.33E-16,7.69E-18,1.44E-18,2.49E-17,-3.31E-17,5.66E-17,6.17E-17,9.18E-17,7.99E-18,1.87E-17,3.89E-17,1.20E-16,-7.44E-17,-3.06E-16,-1.83E-16,-2.23E-16,1.42E-16,9.23E-17,2.42E-14,0.008126909,1.97E-05,3.58E-06,7.05E-11,4.91E-06,1.32E-13,8.33E-14,4.49E-15,6.17E-11,2.17E-14,-3.04E-17,7.89E-18,1.01E-17,0.000262143,1.02E-13,4.65E-13,2.46E-11,1.07E-13,1.47E-07,-3.79E-17,2.00E-12,1.87E-15,9.54E-16,1.03E-16,2.21E-17,7.25E-17,2.37E-17,2.63E-14,1.18E-11,2.37E-15,3.30E-150,
0,1.049174239,773,296.9807058,635.9363282,101369.1607,0.670580882,0.2NH3,"CH4:0.612135113397983 , NH3:0.387864886602017","O2: 0.21, N2: 0.79",75.47382862,67.0580882,0.7008897,-4.21E-15,-3.84E-15,3.80E-05,2.10E-05,1.55E-07,9.68E-10,0.009905958,0.197735411,1.31E-08,3.57E-09,0.013073523,0.071042579,3.41E-08,-7.39E-15,1.58E-12,1.66E-10,8.34E-09,2.00E-13,-7.08E-15,7.94E-16,1.02E-11,7.13E-16,1.41E-15,-6.65E-15,-2.85E-15,-6.78E-15,-3.96E-15,-4.85E-15,-2.25E-15,5.02E-07,-4.66E-15,-2.04E-15,-6.28E-15,6.55E-13,2.78E-12,7.71E-15,-4.00E-15,-2.23E-15,-2.67E-15,-2.07E-15,-7.17E-15,-2.82E-15,-2.48E-15,-1.93E-15,-2.81E-15,-2.51E-15,-2.18E-15,-2.56E-15,-3.22E-15,-3.92E-15,-2.74E-15,-2.70E-16,-2.72E-15,-2.17E-15,-2.99E-15,-5.38E-15,-2.66E-15,-2.58E-15,2.88E-11,0.007215966,7.33E-08,5.18E-05,2.90E-08,1.26E-05,-1.42E-15,2.58E-12,5.27E-13,3.03E-09,2.43E-12,-6.48E-15,1.95E-14,-2.10E-15,1.25E-05,6.10E-15,4.87E-15,2.98E-13,-4.87E-15,1.40E-07,-1.78E-15,5.35E-10,1.96E-13,1.88E-12,5.94E-15,-2.24E-15,5.25E-14,-2.19E-15,2.68E-14,2.07E-09,1.33E-15,7.09E-12,
0,1.09941892,784,297.5655141,637.6975425,101358.0505,0.647131957,0.2NH3,"CH4:0.611987375081853 , NH3:0.388012624918147","O2: 0.21, N2: 0.79",72.55156201,64.7131957,0.694132731,-2.46E-15,-2.24E-15,3.70E-05,4.24E-06,5.63E-08,1.22E-09,0.01631451,0.196940711,2.93E-09,1.15E-09,0.020873763,0.065320243,6.02E-08,5.34E-16,3.01E-12,3.62E-10,1.50E-08,3.50E-13,1.02E-15,-8.71E-16,1.78E-11,3.39E-16,-2.09E-15,9.46E-16,1.50E-15,5.35E-16,1.20E-16,5.28E-16,6.52E-16,5.87E-07,5.28E-16,4.55E-16,5.35E-16,1.21E-12,4.53E-12,3.53E-14,6.11E-16,-3.08E-17,1.93E-16,3.44E-16,5.34E-16,9.65E-17,2.15E-16,4.14E-16,-4.63E-16,-2.86E-17,-5.85E-16,-5.10E-16,5.21E-16,1.17E-16,3.40E-17,-1.01E-18,1.71E-16,-6.62E-17,2.16E-16,5.34E-16,1.65E-16,-3.10E-18,5.39E-11,0.006283028,1.88E-08,7.56E-05,1.19E-07,1.13E-05,8.48E-16,2.52E-12,1.47E-12,5.06E-09,6.54E-12,5.42E-16,1.67E-13,3.35E-16,5.84E-06,4.00E-15,4.24E-15,7.16E-14,5.67E-16,1.39E-07,5.16E-16,3.07E-09,1.08E-12,1.09E-11,4.60E-14,2.94E-16,1.00E-13,1.41E-16,5.28E-14,7.78E-09,1.36E-14,1.16E-11,
0,1.148836453,777,297.6450175,635.366377,101358.0505,0.601813352,0.2NH3,"CH4:0.61204858893016 , NH3:0.38795141106984","O2: 0.21, N2: 0.79",66.92049696,60.1813352,0.687755987,7.24E-15,5.01E-15,3.71E-05,1.31E-06,3.37E-08,1.85E-09,0.022938001,0.195687732,1.10E-09,5.19E-10,0.027743556,0.060596165,9.64E-08,-2.37E-15,5.37E-12,7.45E-10,2.58E-08,7.01E-13,-1.49E-15,-9.59E-16,3.32E-11,-1.59E-15,-1.77E-15,-1.47E-15,-5.49E-16,-2.33E-15,-1.59E-15,-2.21E-15,-5.36E-16,7.13E-07,-2.16E-15,-1.48E-15,-2.29E-15,2.01E-12,8.29E-12,1.01E-13,-1.94E-15,-1.63E-15,-1.68E-15,-1.76E-15,-2.35E-15,-1.64E-15,-1.69E-15,-1.84E-15,-1.39E-15,-1.65E-15,-1.63E-15,-1.12E-15,-2.10E-15,-1.58E-15,-1.64E-15,-1.22E-15,-1.66E-15,-1.63E-15,-1.70E-15,-2.24E-15,-1.66E-15,-1.69E-15,9.29E-11,0.005134059,8.85E-09,9.12E-05,3.08E-07,1.00E-05,-1.26E-15,2.45E-12,3.35E-12,7.11E-09,1.25E-11,-2.28E-15,6.48E-13,-1.76E-15,3.38E-06,4.26E-16,4.49E-16,2.40E-14,-2.15E-15,1.39E-07,-1.69E-15,1.98E-08,6.07E-12,7.55E-11,3.12E-13,-1.73E-15,2.31E-13,-5.92E-16,9.19E-14,2.77E-08,4.15E-14,2.00E-11,
