,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,H2,H,O,O2,OH,H2O,HO2,H2O2,OHV,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,N2H2,H2NN,N2H3,N2H4,H2NO,HNO2,HONO2,HNOH,HONO,HON,NO3,N2O4,N2O3,CO,CO2,CH4,C2H6,HE,AR,N2
0,0.939498606,839,297.866,586.8825333,101325,0.129940621,0,,,0.00020574180041890006,2.3995606082979553e-10,2.5469817994550737e-13,0.004252452549360688,1.056850357997755e-09,0.28384650280168033,1.9383165862319098e-10,1.8076530751874613e-07,5.173100697845898e-15,4.839034525926961e-15,4.870054399324401e-15,5.080682167262785e-15,3.1126801949015555e-11,5.1793426455510885e-15,0.0041822051129281,3.711287996759046e-05,1.971028139550687e-07,2.6742546948149533e-07,3.763471419769727e-15,3.846578160324512e-15,4.7284076054628494e-15,3.768199741936006e-15,1.4636478926718595e-10,5.7974616271672455e-09,-1.826199675043368e-15,1.5637828290162253e-12,4.094876011120023e-05,4.91326176347266e-15,7.75300132337266e-15,1.0774464146811769e-13,5.0305398815575884e-15,-2.589951792422594e-15,-2.2659826749258227e-15,-2.9290464460807043e-15,-2.3494393893564038e-15,-2.649726710428871e-15,-2.5031448597921353e-15,0.707434383334383
0,0.949175285,845,296.8516129,594.3123656,101325,0.1297908,0,,,0.00034590559580559695,4.752505201344746e-09,1.7572139712108898e-12,0.002761063882584257,5.742079351552703e-09,0.28596921334105757,8.56922793865834e-10,1.7561807929184756e-07,-3.86314220168878e-15,-3.909180319879991e-15,-3.866411651298206e-15,2.0114129388753154e-14,1.0968433034409324e-10,-3.7349359233446376e-15,0.004101439430826475,1.8897223197170217e-05,3.0424095717157135e-07,9.91375842551444e-07,-3.097501465964668e-15,-3.0992574294535555e-15,-3.892877683784472e-15,-2.8442802022969114e-15,1.4296133704210654e-09,5.485043798261844e-09,9.723576738797648e-16,1.5465443404165497e-11,4.657821355427925e-05,1.0068040346158947e-15,-1.804530514498369e-15,1.936634661539287e-14,-4.986164652316319e-15,1.518871966249573e-15,1.3302685847127153e-15,1.6446204790354844e-15,1.1699946062156184e-15,2.8581351974636304e-15,1.380662900909162e-15,0.706755412685008
0,0.960184841,829,297.6354962,609.1698473,101325,0.130054549,0,,,0.0007127319053915959,1.0320684796508986e-07,1.8573601300325623e-11,0.0013213019859313767,3.508674546850317e-08,0.2880559701208859,5.3823855093843064e-09,1.280063104310738e-07,-2.012463429718307e-14,-1.4127467784925206e-14,-9.619926979655665e-15,3.4942600854890764e-12,8.042437458495443e-10,-1.649639806341995e-14,0.00400121534801897,6.536934086441451e-06,8.898484031723105e-07,3.8047737978641944e-06,1.8349590024876223e-15,-3.209156193448222e-15,-7.538713930964177e-15,-2.6644575978833323e-15,1.0752923849517357e-08,4.8543899940667354e-09,-2.573735940658676e-15,1.5740263630778413e-10,5.179077228097732e-05,8.659551130004562e-14,-1.101496151558532e-14,-1.796293723212275e-14,-4.363686159326394e-15,-2.4089785264377884e-15,-2.515376712499046e-15,-2.3636897323188582e-15,-2.513549553061675e-15,-1.6342013564742069e-15,-2.541695805542077e-15,0.7058454700379216
0,0.979643687,841,297.8590909,616.180303,101325,0.130228787,0,,,0.002674081476370513,1.1084753926108939e-06,2.7502395180416116e-11,0.00016828065899471793,3.994065905632612e-08,0.28920418770345413,6.727152229684494e-09,2.4154885070886225e-08,1.1140548333457727e-14,1.1941510386075827e-14,1.9293912161886235e-13,7.359849223855632e-11,7.74407028350459e-09,5.453529096913545e-14,0.003737741782046415,6.847240387237275e-07,2.5844233914421343e-06,8.791801072849362e-06,9.85772023223293e-15,4.811156066687798e-14,1.1519259538315711e-14,1.0829976299206957e-14,2.014538038753457e-08,2.890729288240681e-09,-4.118429217187727e-14,8.147325469051075e-10,2.8188219779324234e-05,8.410304034110513e-13,1.2037926608905299e-14,1.1159289537693622e-14,-3.896391394644558e-16,-4.209941757968842e-14,-4.164994225292754e-14,-4.203341220611311e-14,-4.1655410118457224e-14,-4.044044338495614e-14,-4.205335771324834e-14,0.7041742482158259
0,0.989920905,848,297.6872414,616.3228736,101325,0.130098714,0,,,0.00425644990507666,1.4302285977596913e-06,1.2870803996495989e-11,5.79313881394341e-05,1.8905341852611323e-08,0.2889291804490838,3.0971234382825805e-09,9.77703238541062e-09,7.323550638941415e-15,6.69399633296547e-15,2.5937185595960346e-13,9.035453720680312e-11,1.3694162965720352e-08,6.286759461850438e-14,0.0035600018189060507,2.3193022028840028e-07,2.6879640251161144e-06,8.972956523374679e-06,-7.606519272011123e-16,4.429891595633815e-14,5.453481859456061e-15,-6.606693341207568e-15,1.840123100668173e-08,2.0603124286099442e-09,-3.081116045826204e-14,8.904889345952606e-10,1.6781653290658265e-05,1.0167338384120967e-12,6.073342522563092e-15,7.31946566303381e-15,-1.328342110264127e-14,-3.0121513907538005e-14,-3.05053307876365e-14,-3.0027222792498066e-14,-3.057741624025481e-14,-2.7415877736415753e-14,-3.018227112040515e-14,0.7031662647760326
0,1.000848886,853,297.5190141,614.5661972,101325,0.129939198,0,,,0.0061280490204506585,1.6095013597520583e-06,5.7143489178214096e-12,2.1999580820079123e-05,9.36063693570398e-09,0.28843007664881865,1.4085128707805461e-09,4.557922639160596e-09,3.345190570678451e-15,3.712774106930324e-15,2.892133524312241e-13,9.61136487024041e-11,2.2741160130641167e-08,6.43150261399738e-14,0.003333370058645566,9.012492196626387e-08,2.577146781443164e-06,8.71112686980962e-06,1.5370514122225933e-14,5.091275786863737e-14,2.8675198426135862e-15,1.6612799852414467e-14,1.646202210823657e-08,1.4612180399868172e-09,-3.668939976015825e-15,8.927123617388744e-10,1.0715975506445753e-05,1.0819286643155627e-12,2.912479444716995e-15,3.3443437844629206e-15,2.4760513707344053e-15,-4.0730135998535705e-15,-3.946162463978811e-15,-4.008104579158893e-15,-3.854733748116669e-15,-2.6431787402136463e-15,-4.069758336169482e-15,0.7020627438283018
0,1.001305224,852,297.0759843,607.7363517,101325,0.129684752,0,,,0.006189509227451524,1.5254904017452703e-06,4.237225928497987e-12,2.1277198871950967e-05,8.55309252702675e-09,0.2883316539138163,1.3226629581551995e-09,4.464358285133584e-09,7.823299063174121e-16,7.823330442131966e-16,2.402266652741342e-13,9.47257832119863e-11,2.3495490620414378e-08,5.558035261164727e-14,0.0033208391583057864,8.829407242836635e-08,2.604738439937629e-06,8.864581265831478e-06,9.916947188927376e-15,4.9672597365320795e-14,5.411647289735019e-17,9.626940789330823e-15,1.7373308015027524e-08,1.4433023235224543e-09,-1.718292949795592e-14,9.160730300643428e-10,1.0582462835389787e-05,1.0712458451375481e-12,1.341543487368699e-16,8.133922468135532e-16,-5.5408053854399795e-15,-1.7835777096988394e-14,-1.7487063592402498e-14,-1.7910693118725924e-14,-1.737337593888261e-14,-1.9569883269848336e-14,-1.7844206244300525e-14,0.7021129972659803
0,1.019186738,836,297.2704918,610.4448087,101325,0.129724848,0,,,0.009415415233467088,1.9729938044393123e-06,2.2342230288052876e-12,6.324568123116517e-06,4.736422017117276e-09,0.2874932251445756,5.703682327706115e-10,1.9004923712272134e-09,-2.0432585147727434e-16,1.0042605409882841e-15,3.4821270059796755e-13,1.0442942021303996e-10,4.6893728983114364e-08,7.058062733141992e-14,0.0028907498177563923,2.8014924186241183e-08,2.258567802460804e-06,8.08293844763816e-06,1.3948919053470715e-14,4.4785472027367464e-14,-3.2510670214851925e-16,1.5507433034797885e-14,1.3021278246791821e-08,8.864980127276344e-10,8.667157757797864e-17,8.781073287942181e-10,6.3692856704868695e-06,1.1757713234677666e-12,-3.6105684449514985e-16,-1.79275394406299e-16,5.329898797567935e-16,6.306112164478779e-17,7.129239567976703e-17,4.41227688347595e-17,1.0523090063703891e-16,-1.6028990605349602e-15,1.6980126527357614e-17,0.7001755044402017
0,1.038392492,776,297.2649254,609.9761194,101325,0.129833488,0,,,0.013005179897903322,2.76076271810073e-06,1.6610663826364773e-12,2.368927709037256e-06,3.885787028517745e-09,0.28647979964217357,3.5591814580505286e-10,1.0462453030663307e-09,-1.3007991944549783e-15,2.6350940987176613e-15,5.309455181956595e-13,1.190167534462175e-10,8.690459907428795e-08,9.506015109551952e-14,0.0023781100815648162,1.1450706213692475e-08,1.8540943153610416e-06,7.195529012563982e-06,1.8144045754376734e-14,3.932199614854289e-14,-1.052991866192268e-15,1.8401734770060765e-14,9.119146537275276e-09,5.5767699134774e-10,2.1369459590791643e-14,8.420563639281207e-10,4.347883693206644e-06,1.3471226417146594e-12,-9.314001750671945e-16,-1.2631002991401608e-15,1.3525072077262046e-14,1.4253517636390996e-14,1.8258225027253898e-14,9.003312672261336e-15,1.5720732294087502e-14,3.137706470346535e-15,1.708618773957627e-14,0.6981182688959372
0,1.050882449,762,297.2763158,609.5630326,101325,0.129944705,0,,,0.015386707943190152,3.569383670931702e-06,1.7264248632252948e-12,1.3884291942230741e-06,3.935867738286574e-09,0.28577663896593936,3.0899484429832694e-10,7.795790658286923e-10,-4.821057000208836e-16,7.198111672205154e-15,7.326112281409756e-13,1.302725086718758e-10,1.225949425833553e-07,1.2193974364381673e-13,0.0020376044208999817,7.0716797516805225e-09,1.5825537199061857e-06,6.529806844007532e-06,2.6649621292538954e-14,3.6427965969103016e-14,-4.366782453593341e-16,2.2342361554073885e-14,6.999161151140154e-09,4.153088497105168e-10,-1.3345931800950036e-15,8.034190981439073e-10,3.515919588030079e-06,1.4871729320063572e-12,-3.195054038670592e-16,-4.586389777060662e-16,1.9281140741938916e-15,-6.501564244095054e-15,-3.7736319305736385e-15,-9.09955170823484e-15,-4.62653406804979e-15,-1.7967204422835112e-14,-5.141574037013508e-15,0.6967823195336154
