,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,H2NO,N2H2,HONO,N2H3,N2H4,NH2OH
0,0.939498606,784,297.866,586.8825333,101325,0.129940621,0,,,0.00011999035629279015,6.681099180230475e-08,4.5349909783342124e-08,0.0036639029471470176,1.0446021436969233e-05,0.2844143393301601,1.7069263653579274e-08,3.2006418215862458e-06,2.9156079496321366e-14,2.8532128489232425e-14,3.058818437976349e-14,2.848803811274169e-14,3.885713687506808e-14,3.11112224421994e-14,-4.991787337337616e-15,1.7683871156168164e-12,3.577037646998105e-14,5.262358327455834e-14,3.1451557331807163e-14,3.525719766551306e-14,4.134684080971106e-14,2.8631217086428486e-14,3.811812369864924e-14,3.2705270839439284e-14,3.2793945021086834e-14,3.4921960711548427e-14,3.6556707497565203e-14,3.17537178804652e-14,3.2433224567485874e-14,3.477750045074234e-14,3.154256810538607e-14,3.199439705483218e-14,4.153995417299613e-14,2.3338485267311837e-11,3.4644861175171064e-14,0.00393423035019855,2.178007549199205e-05,3.6593031374039067e-07,1.2102569443600874e-06,3.2370112982979515e-14,1.721850933110754e-14,3.4424686172838625e-14,3.1919834556042464e-14,1.786389522998408e-14,3.268609264031057e-14,2.912052482622273e-14,3.292278555412394e-14,0.7078248962075553,5.0605706919868703e-14,3.5510599167501806e-14,3.6373715572489575e-14,3.7253373661066206e-14,3.577752770516983e-14,3.581883595013409e-14,3.511218484472159e-14,3.094529156865916e-06,2.1842752592526008e-14,3.652676373865118e-14,2.4140968343771982e-06
0,0.949175285,772,296.8516129,594.3123656,101325,0.1297908,0,,,0.00023237361051361814,1.7591393963637123e-07,2.7202940147119888e-08,0.0022488518521381604,7.840578585782866e-06,0.2865160077348902,2.2586061155522863e-08,2.097390243246593e-06,1.7965409319429014e-16,-5.0147493000027984e-18,3.987204415234904e-16,-2.1563970397147613e-17,4.113098697283003e-16,-1.6223102395213777e-15,-2.0914395255127604e-14,8.147634484450214e-13,3.0339696249494554e-16,2.606241524613035e-15,3.4849340728105747e-16,2.215981561535417e-16,1.6950065750572975e-15,2.8206862347198214e-17,-1.568776250800044e-15,2.7808103700045303e-16,-1.1217674186932219e-15,6.049852236459526e-16,9.177303864141686e-16,3.668459224780444e-16,3.162416743477311e-16,6.12152222692629e-16,4.556748393505142e-16,5.981087131704328e-15,2.1473349373955794e-14,8.124571443568505e-11,1.8214138340070718e-14,0.003912510848910193,1.1916350976623321e-05,6.025275794989654e-07,3.0274110186199057e-06,4.44619490189544e-16,-6.252607860876134e-15,5.461244904033369e-16,3.8045821886154316e-16,-3.612918916710425e-15,1.7521394456750111e-16,-6.331215385298377e-15,3.5607196235068976e-16,0.7070589913864749,8.01051935883611e-16,2.829049721743063e-16,7.667392712856769e-16,5.766282061040895e-17,5.588902060851697e-16,1.0514156326472553e-16,2.599035456357588e-16,3.0591818912414725e-06,-7.287516005461401e-16,1.89588271232391e-14,2.495341739415688e-06
0,0.960184841,771,297.6354962,609.1698473,101325,0.130054549,0,,,0.0006474741975324639,3.167959871846904e-07,2.3996957242263063e-09,0.0009939384616489604,2.0713444911562137e-06,0.2884193810963061,1.6261848345832327e-08,4.232506903727167e-07,1.3545040311872729e-14,1.422087366038944e-14,1.250058076020256e-14,1.427863164208942e-14,3.4624141607554575e-16,5.428789152680875e-15,-7.52842523267502e-14,-3.567872384451848e-12,5.5693922792501656e-15,-1.9885940148125482e-14,9.490528427312296e-15,5.155948218771021e-15,3.139034749047382e-16,1.4150787058416573e-14,-7.05748218346888e-15,8.260666898320977e-15,4.7494112492735125e-15,4.737898587464753e-15,4.512906944106917e-15,1.1531854590149932e-14,5.7463997039586505e-15,4.642762899262169e-15,1.1722265690833561e-14,3.8515678783262276e-14,5.5646111557919964e-14,5.983316736092201e-10,5.334778290444577e-14,0.0038687877698723354,4.512618225178537e-06,1.1940503734420006e-06,6.640930725614316e-06,8.325511338043046e-15,2.6253344677991474e-14,4.693560309143521e-15,8.804157300358684e-15,-8.156173753374398e-15,4.803392782544542e-15,-1.2669005750754789e-14,1.1506314351017565e-14,0.7060504579177629,-2.7172109245562007e-15,4.639054106421145e-15,4.436983934363631e-15,3.323555342679799e-15,4.7013603760742135e-15,6.7009764121964445e-15,1.0543294001265005e-14,2.182361505350742e-06,5.086712066598034e-15,6.354141124463168e-14,2.599948231267886e-06
0,0.979643687,818,297.8590909,616.180303,101325,0.130228787,0,,,0.0027574484742826266,2.3701237405324384e-07,4.13859756956015e-11,0.00014810804528818397,5.414518344582206e-08,0.28917759325274145,1.898550708604394e-09,1.4758716153708909e-08,8.606016942079222e-16,2.3276193044121277e-15,-6.139129718069752e-16,2.4401039107665314e-15,-7.709630732459133e-15,2.46073782925837e-16,4.7061517701462e-14,4.577090566506538e-13,-2.223935831329214e-15,-2.529363577508078e-14,-1.9154554275841113e-15,-2.0293474160485423e-15,-1.0500119689393363e-14,2.1763425770280554e-15,1.1917356283275255e-14,-2.056831175860732e-15,-3.1417679939599426e-15,-2.8719969870419182e-15,-6.451879643569839e-15,-9.795302062029538e-16,-7.305455904091482e-15,-4.731817738065792e-15,-1.3498529017669093e-15,2.642164781107358e-14,1.8788838337132284e-14,9.042893653578503e-09,3.46055735775026e-14,0.00364688848401282,6.246074136449085e-07,1.8288758516707585e-06,7.357179853529815e-06,-3.3904358182884088e-15,1.1108198685717573e-14,-2.720007357508946e-15,-2.389586093138967e-15,-1.2401246185095258e-14,-5.164360880469605e-15,-3.049259098720208e-15,-3.8413360062643837e-16,0.704256356358732,-1.2448704206295694e-15,-3.4496651561784284e-15,-5.782975806090406e-15,-4.200869388188224e-15,-5.218918794841224e-15,1.0392159343511962e-12,-1.4876733213839669e-15,6.317777949650293e-07,4.60400120938389e-14,1.0921163542209743e-13,2.846043245342281e-06
0,0.989920905,829,297.6872414,616.3228736,101325,0.130098714,0,,,0.004326633056294208,2.1840589955817106e-07,1.4481581079449009e-11,5.7550888116169686e-05,1.3125326505839986e-08,0.28890960639587293,7.146874873978124e-10,4.465032169636336e-09,-1.9671809020821677e-14,-2.0863983899062046e-14,-1.8340287198082686e-14,-2.0941524513106997e-14,-3.717452921168929e-15,-1.6572578223498402e-15,-5.015630646060936e-14,-1.7441143540378458e-12,-1.1215253569021997e-14,1.859721487606757e-14,-1.1740487374698444e-14,-1.0925056546970148e-14,-1.641275558132797e-15,-2.0765368673145436e-14,8.619343758063004e-15,-1.140170135916394e-14,-9.734060607369617e-15,-1.1034024815961797e-14,-7.879854245150261e-15,-1.749327065604718e-14,-6.830631157121149e-15,-8.933428365877925e-15,-1.7444102312913135e-14,5.919667850362183e-15,-3.53894117902571e-15,2.067485177415826e-08,9.034310337772421e-15,0.0034646660269198526,2.390567798552138e-07,1.7574628099902552e-06,6.89332857002222e-06,-1.2562699341107159e-14,-2.842487385506428e-15,-1.027754801326603e-14,-1.0734405259636902e-14,7.20632352768722e-15,-8.805907139003027e-15,1.4479987739664593e-14,-1.8433145815296e-14,0.7032289963339087,-9.678779519327184e-15,-1.0736557555267526e-14,-9.253055915695833e-15,-1.0293999401692484e-14,-8.798437608190686e-15,3.4574495109253754e-12,-1.6000182800374043e-14,3.933844161108697e-07,7.52298794788257e-14,1.0619872538836106e-13,3.006664488968121e-06
0,1.000848886,833,297.5190141,614.5661972,101325,0.129939198,0,,,0.0061608603388912065,2.2435812159317415e-07,6.1477663398481885e-12,2.3775462814560444e-05,4.418998537083985e-09,0.2884532976250718,3.265449297297372e-10,1.8558043781886308e-09,4.9274974362533195e-15,4.244534249707655e-15,5.572133452506303e-15,4.1965084761765595e-15,1.0133054285134526e-14,2.0045954967715943e-14,1.7315259764203847e-13,2.004716349937466e-12,7.602040859506077e-15,1.4704460832763155e-14,8.794487020238914e-15,8.281888901374785e-15,1.7581982043937478e-14,4.307494501316616e-15,1.588727681184864e-14,9.16736724436289e-15,1.0778116827259417e-14,9.466351610760746e-15,9.12028877076907e-15,5.648668581036909e-15,9.887298622102901e-15,9.203642594465516e-15,5.868094048024059e-15,2.993708625149043e-14,1.4969677293774243e-14,3.9811681984754853e-08,3.4720804977834286e-14,0.0032186459546656022,9.86920862406219e-08,1.6193954523049074e-06,6.462693413781924e-06,6.485975856242234e-15,1.3580275948344525e-14,1.0469344084225939e-14,9.592612595146011e-15,1.606633644484664e-14,9.376246845296612e-15,2.0878076786566877e-14,5.415621423390657e-15,0.7021314979985639,-2.50072927273612e-15,1.146154333320644e-14,1.0127978696149648e-14,9.569038726073975e-15,9.110706228733691e-15,6.950116555704821e-12,5.847162468835946e-15,2.7362086896221774e-07,1.0812493276507067e-13,1.25279678879309e-13,3.1974311004111187e-06
0,1.001305224,833,297.0759843,607.7363517,101325,0.129684752,0,,,0.006220786833913867,2.1121882475592678e-07,5.0451579692291506e-12,2.3050337760610856e-05,4.124020228179697e-09,0.2883529588497686,3.038766543952822e-10,1.8230592585249868e-09,1.3076392915572279e-14,1.4812950067611376e-14,1.1230180085384334e-14,1.4942452296930212e-14,-8.156691944679989e-15,-5.927364558973027e-15,8.101785199339489e-14,1.7500526184274808e-12,-7.384338715171864e-16,-2.7318122706063214e-14,-8.802232282078731e-16,-1.3544964224435999e-15,-1.4339151623472916e-14,1.4670329519361297e-14,-1.6932145617331854e-14,-1.2371200459317874e-15,-5.2708373710816434e-15,-1.4195958302924601e-15,-2.568057128126791e-15,1.0139175280409581e-14,-2.5059197454935078e-15,-1.4085340928666398e-15,1.0062772969341062e-14,3.165061110342879e-14,1.5932870589747035e-14,4.07471931441595e-08,4.220852288254509e-14,0.0032043582945967377,9.657506086626914e-08,1.6146125199313588e-06,6.504811529148951e-06,3.183077890582867e-15,-1.5643719015830784e-14,-2.580757698860232e-15,-2.875984226227812e-15,-2.43352292185231e-14,-1.7753368889616547e-15,-3.022977251113534e-14,1.1501359373862592e-14,0.7021868930327847,2.095453523194571e-14,-1.8372693011872105e-15,-2.171184217016865e-15,-2.2319432320250796e-15,-2.0221962407574756e-15,7.0352710787083e-12,8.329310289978586e-15,2.70311908978961e-07,7.936495824031575e-14,1.1376388387337293e-13,3.208109031362727e-06
0,1.019186738,823,297.2704918,610.4448087,101325,0.129724848,0,,,0.009402296552805807,2.9745656382448084e-07,2.5777342163703136e-12,7.184121279132405e-06,1.5598974284207498e-09,0.28757347399153194,1.5545506325095869e-10,8.146043765303895e-10,1.8471681684360494e-14,2.0240369518274238e-14,1.631423128344001e-14,2.03164467608843e-14,-1.333370610669107e-15,1.4184464998866663e-14,2.2319154501057313e-13,2.1922204808462783e-12,3.750671871542855e-15,-9.635855839811611e-15,2.9043003395433827e-15,3.555752454664872e-15,-8.889051164337665e-15,2.0145627239528822e-14,-1.5852398304439744e-14,2.3099982676381844e-15,8.472446930207906e-15,2.6015499129696285e-15,5.605004314494706e-15,1.446611110261287e-14,4.774750301537399e-15,4.521306727272734e-15,1.456582430265332e-14,4.877139766089475e-14,2.151533333566846e-14,8.932319119658195e-08,5.976456410624975e-14,0.0027071027441132388,3.067694032022946e-08,1.3922581785813944e-06,5.832244155236567e-06,6.6024647739736166e-15,-1.39379861946494e-14,1.1220271938111779e-15,-3.9511748454497123e-16,-1.3602572893240946e-14,4.912603371994183e-15,-1.5468277651416196e-14,1.647424735111551e-14,0.7002985882678043,-2.0149014734711453e-14,3.577742089055684e-16,3.6595500249280094e-15,3.217029615026975e-15,5.3108782328817416e-15,1.1299357523571059e-11,1.375692195602099e-14,1.685503898303929e-07,1.3224023104877585e-13,1.3506532445797956e-13,3.5412662665496724e-06
0,1.038392492,773,297.2649254,609.9761194,101325,0.129833488,0,,,0.012909211447061449,5.358292034470843e-07,2.173285807458891e-12,2.6826049118369207e-06,1.141453855019234e-09,0.2866421255585043,1.3415024686243244e-10,5.885988122826562e-10,-2.1584391488880296e-16,-5.371449654371971e-16,-1.2189554334478935e-16,-5.723846318802847e-16,-9.235833018809978e-15,-1.5109310722227626e-14,-1.4342517216806187e-13,-5.130264294129795e-13,-5.482972848843353e-16,-1.1821340155040762e-14,-4.5163779621383524e-15,-6.179039697192475e-16,-1.9285994164095934e-14,-4.993162961788242e-16,-1.5984262041738742e-14,-3.9319582118331996e-15,-7.990229187895608e-15,-2.399769521252223e-15,-9.411259335139233e-15,-3.982315828837813e-16,-6.07698197323764e-15,-5.8477367129146174e-15,-3.159341250659101e-16,6.615424232425728e-14,2.631368832192427e-14,1.6851538625542027e-07,7.07950965840823e-14,0.0020842180560772384,1.208631931724288e-08,1.1622843693549092e-06,5.074000516033119e-06,-6.900778668917556e-16,-3.969055102854395e-14,-2.784653191365357e-15,-5.259374295882282e-15,-1.9572814016033087e-14,-6.63684330830531e-15,-3.522382926198331e-14,-2.703017824724756e-16,0.6983508063436299,2.0284592840928545e-15,-4.540482503460816e-15,-1.0985413602987078e-14,-6.837743751501568e-15,-6.850378117743499e-15,1.1048331914813162e-11,-2.724389227221082e-16,1.0003195320296178e-07,2.157355648577585e-13,1.6104711085429669e-13,3.901365012593682e-06
0,1.050882449,750,297.2763158,609.5630326,101325,0.129944705,0,,,0.01523103690277223,8.939572221885884e-07,2.612338230349176e-12,1.5184996905614502e-06,1.2456695406596183e-09,0.28600530135864444,1.5783147380058443e-10,5.727456551655329e-10,-3.558343689205826e-15,-3.786560915632714e-15,-3.408749314706138e-15,-3.792553344715038e-15,-3.384914051974964e-15,-2.5067085998630627e-15,3.8111323279581217e-13,1.9346891380877433e-12,-3.550992545454986e-15,-2.991805397120547e-15,-3.5096866002060736e-15,-3.569506192637035e-15,-3.046207107424578e-15,-3.77247135061451e-15,-2.0927417617463395e-15,-3.5241787665546486e-15,-3.0927622863237845e-15,-3.5440344720415804e-15,-3.2472454147640873e-15,-3.4724959999157546e-15,-3.2340230293001197e-15,-3.4504797632419604e-15,-3.3052992042672212e-15,1.2036385688751652e-13,6.404228804861751e-14,2.3762795464879016e-07,1.1541495931649037e-13,0.0016525248104008925,7.144420571168858e-09,9.92955723943161e-07,4.447539208414714e-06,-3.400321385351829e-15,-2.0977734961760164e-15,-3.585165817116528e-15,-3.4500235213403052e-15,-3.2626880444680618e-15,-3.387819489874159e-15,-2.5677108441921405e-15,-3.486558452545363e-15,0.6970988451523058,-8.573121530730968e-15,-3.4621704131993622e-15,-2.874913280476842e-15,-3.3923526563270777e-15,-3.3392593474986927e-15,8.69812836682838e-12,-3.521591022308281e-15,6.626780240601155e-08,3.333459009006722e-13,2.0437832072321393e-13,4.125793263674513e-06
