,phi,grid,T_in,T,P,vel,blend,H2,H,O,O2,OH,H2O,HO2,H2O2,OHV,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,N2H2,H2NN,N2H3,N2H4,H2NO,HNO2,HONO2,HNOH,HONO,HON,NO3,N2O4,N2O3,CO,CO2,CH4,C2H6,HE,AR,N2,fuel.NH3,fuel.H2,oxidizer.O2,oxidizer.N2
0,0.83038489,944,296.6941652,505.7769898,101058.076,0.165602534,0.1,1.7541443545486815e-05,6.600266560656663e-16,2.659270067850549e-16,0.022254475384124207,3.1114478533393152e-12,0.26056361355391255,9.602512598573625e-13,1.0287115102643698e-07,1.295780458294238e-16,2.0445739860461912e-16,1.271491165637297e-16,2.22934420957725e-16,6.499006555472267e-13,1.297870590364994e-16,0.005464742805825315,0.00017459146721977845,1.5734079861884226e-07,6.56079154675763e-10,-2.716623033472639e-15,2.824571872022785e-16,1.9649676768670425e-16,2.8735571402693966e-16,2.0169303988292894e-14,7.592553368052014e-09,-1.9964663036374508e-15,5.791500421389275e-16,3.253884326881596e-05,2.807090048335329e-16,3.8864285757546194e-15,1.4401517077379662e-11,9.39371120227187e-15,-2.5505075279951906e-15,-2.376711329107511e-15,-2.541024720011577e-15,-2.527827987095703e-15,-2.429864197324681e-15,-2.468828591898202e-15,0.7114922280223813,0.9,0.1,0.21,0.79
0,0.850386362,945,296.5362425,510.9972082,101058.076,0.173215634,0.1,2.504397881659909e-05,9.562940192548194e-16,-6.347122924460252e-16,0.018689082992181763,6.5422113738370594e-12,0.2653540067210231,1.9737262690876577e-12,1.2101509267537396e-07,-7.998200285154471e-16,-7.398111240176266e-16,-7.589464503915876e-16,-7.03456843892658e-16,1.0870597791140945e-12,-7.996250304293091e-16,0.005522577895682636,0.00016902267659867957,1.6122595738558773e-07,1.5644924422425987e-09,-4.92718024488395e-15,-5.271625097441362e-16,-7.425590971895974e-16,-6.219466093628897e-16,4.570300416673181e-14,7.712835721175673e-09,2.496279827388049e-15,1.4819940601647124e-16,3.5534426381323805e-05,-5.784278183750549e-16,2.7389030681876262e-15,1.1762345514050697e-11,7.101072367658215e-15,2.441970828957954e-15,2.4752875542791646e-15,2.427003241434596e-15,2.4697970764871734e-15,2.2652108779613746e-15,2.454017941080162e-15,0.7102044397695105,0.9,0.1,0.21,0.79
0,0.899528248,972,296.55,548.3044977,101058.076,0.195013434,0.1,8.150605672543918e-05,8.044379153793139e-13,6.5854953335228835e-15,0.00995267014371053,9.376239541797328e-11,0.2774323748804099,2.2645403313821626e-11,1.9294852168197823e-07,4.462954522191482e-15,3.0173101375197516e-15,3.1135447287335272e-15,2.4440448540705007e-15,6.428407416568191e-12,4.460194377638626e-15,0.005479418740760211,0.00011581612432974813,1.7318406051054194e-07,2.627349649422806e-08,1.612575123118544e-14,2.1331660790428453e-15,2.7287830459300023e-15,2.451670756072597e-15,1.9627508840696885e-12,7.635071558949961e-09,2.7334324186289676e-14,2.705848116976481e-14,4.526886562820011e-05,2.3267261997871485e-15,7.171015949689685e-15,2.3168782655474436e-12,6.552351943335158e-15,2.6197148565276293e-14,2.6830970729651315e-14,2.5494117680958318e-14,2.6510720024146996e-14,2.2595177530553987e-14,2.660052563988169e-14,0.7068925450190933,0.9,0.1,0.21,0.79
0,0.899698396,971,297.4161833,553.0931361,101058.076,0.192436737,0.1,7.95619317738525e-05,8.34113625222058e-13,7.536090321549074e-15,0.009997289304370379,9.602444865887033e-11,0.2774380410156736,2.2269021442030767e-11,1.8874346227172049e-07,8.54882113341347e-16,9.700697330199913e-16,9.73175391800033e-16,9.725015241630506e-16,6.1593616397873756e-12,8.554678456211994e-16,0.005490554487472004,0.00011643475904389369,1.7093611916567324e-07,2.510403437300927e-08,-8.37845804305691e-16,8.316667916949292e-16,9.832216791906194e-16,9.311328990964384e-16,1.8136320378610017e-12,7.644177656643635e-09,5.055900398362041e-15,2.4158409436496063e-14,4.4732573032615355e-05,8.718083651376585e-16,5.584310984791498e-15,2.1148591036034714e-12,4.427563879399589e-15,3.4779193565464053e-15,4.306401752907048e-15,2.55355545376934e-15,3.84312714681628e-15,1.7649160614821409e-15,4.010977043736811e-15,0.7068329933715506,0.9,0.1,0.21,0.79
0,0.948508687,1029,297.4138889,572.3076525,101058.076,0.208985863,0.1,0.0006536262367020557,7.292941421809292e-08,5.4153206909376895e-12,0.00200909874822229,3.218476225525221e-08,0.2884243327312032,5.183668852690202e-09,2.0288388692197645e-07,-2.5521164813411748e-15,-3.0668762775676946e-15,-1.5836727209976533e-15,1.7572003035944833e-12,5.978334858181051e-10,-8.283892647177424e-16,0.005106784022837247,1.1488397844592452e-05,8.285175111061124e-07,4.088030259963575e-06,-1.147682047612505e-15,-1.7996795765322075e-15,-3.0514597150573582e-15,-1.9684650480179786e-15,1.0523287207030446e-08,6.2009459303265155e-09,-8.3855047615619e-17,1.5354043295875722e-10,7.285105288601565e-05,1.0756075651098312e-13,-1.5804786361778508e-15,1.1247700161822802e-14,-1.7360862078062635e-15,-2.1822870345438514e-15,-1.085589045046641e-15,-3.368934284696521e-15,-1.7132502492796352e-15,-3.861368713367877e-15,-1.4738152937680206e-15,0.7037165715979358,0.9,0.1,0.21,0.79
0,0.949139785,1017,296.7,570.8110924,101058.076,0.211743555,0.1,0.0006990020366666757,9.034682084540564e-08,5.821641126104228e-12,0.0018910495058095448,3.63353506141729e-08,0.2885427406530241,5.974947706121514e-09,1.9808217819426502e-07,-4.556814492131399e-16,-4.493325430183941e-16,1.4064908080105283e-15,2.5145420750386488e-12,7.156890990521188e-10,1.6819891524314254e-15,0.005085959657117439,1.0540170970532574e-05,9.23533617627607e-07,4.542420947347763e-06,-6.69216187421909e-16,4.285395565483159e-17,-5.130766263183736e-16,-8.15945543773902e-16,1.2175035263237995e-08,6.108493326857305e-09,3.837915367781933e-15,1.8558825658809422e-10,7.391803927451682e-05,1.361153204261572e-13,9.626105569163173e-16,1.1500323517359302e-14,1.29817295904544e-16,2.8238460603000533e-15,3.348469802319819e-15,2.270654128214593e-15,3.0666241196346937e-15,1.617781177743731e-15,3.15182168054194e-15,0.7036909740499635,0.9,0.1,0.21,0.79
0,0.949139785,1018,296.66,566.8110924,101058.076,0.211743555,0.1,0.0006985898735511582,8.601627750482484e-08,4.669604322883664e-12,0.0018917524508362316,3.458118550218508e-08,0.28849262784864466,5.777460423564823e-09,1.9860970176754968e-07,-9.31194197874062e-16,-8.9495231290031e-16,6.772410167934653e-16,2.4173151930949573e-12,7.203350940051394e-10,1.0292749922806765e-15,0.005085805813133837,1.0569123290233274e-05,9.266585236786676e-07,4.557306637393432e-06,3.578720313223924e-16,8.44931399419778e-17,-8.136389835320426e-16,-4.581583630063916e-16,1.2405490608555322e-08,6.109471323188813e-09,1.9383196640477455e-15,1.8704901925741892e-10,7.4159511916408e-05,1.3428271855540073e-13,3.2122208655362254e-16,1.2072676658136397e-14,-1.64688593265716e-17,1.9404417708884634e-15,1.9421104799236665e-15,1.9681559255553774e-15,1.9543485184527173e-15,2.427419377097436e-15,1.9376196791106538e-15,0.7037406669992485,0.9,0.1,0.21,0.79
0,0.949441078,1027,297.3986284,572.0977556,101058.076,0.208848719,0.1,0.0006920212640378399,8.610658124568361e-08,5.243619645123581e-12,0.001888732843752975,3.468062506002343e-08,0.2885772549802691,5.714206132481611e-09,1.9635204780330344e-07,2.659449119627233e-15,-1.698317095389605e-15,2.745063380961281e-15,2.3674905118168045e-12,7.007994672877442e-10,4.661443984495044e-15,0.005094343919554377,1.055973251051469e-05,9.111093262444285e-07,4.483886072664308e-06,-1.7485289231435013e-13,-6.330902353180028e-16,-2.3090162302683232e-15,-1.8575627152921957e-15,1.2083832684554517e-08,6.129016046491117e-09,2.9839012918232193e-15,1.813300494775779e-10,7.330542045963745e-05,1.292843215264816e-13,-2.5333910951044994e-16,1.5254482465458235e-14,3.219970051941791e-15,2.7019719635011123e-15,2.8425861930427637e-15,2.601093963039306e-15,2.8160239176943257e-15,3.79074871257506e-15,2.7580278630924893e-15,0.7036580448879702,0.9,0.1,0.21,0.79
0,1.000324969,1031,297.3100962,585.6070246,101058.076,0.222146603,0.1,0.007719758067907481,2.7151196904278166e-06,3.568747936697443e-12,2.172451416239801e-05,1.2648789852490412e-08,0.2891836213598451,2.0469228070176666e-09,5.373382098562425e-09,1.2816181513808892e-15,2.208778671810276e-15,2.919786562560834e-13,1.5226781086827624e-10,3.760835093835557e-08,7.968229564927677e-14,0.004115135781266549,9.534610412747813e-08,3.252175506463419e-06,1.2768124435403657e-05,2.1313867574387388e-14,9.049661660521844e-14,1.0783701543784377e-15,2.629377549840638e-14,2.1762695150507663e-08,1.624966140916023e-09,-1.408399165543443e-15,1.4754073440038155e-09,1.348524156971452e-05,2.7030757577716294e-12,1.0662476099946519e-15,1.2835491092072828e-15,1.7239891491721765e-15,-9.424227773372347e-16,-1.1688978322642045e-15,-9.276417608650078e-16,-1.2494765722942031e-15,-2.973928755750665e-16,-9.81518596607852e-16,0.698927361569947,0.9,0.1,0.21,0.79
0,1.001242671,1028,297.47,585.6489527,101058.076,0.225308884,0.1,0.007928733471096669,2.8076561450765153e-06,3.5594663113908157e-12,2.0482402464605054e-05,1.2471696256983301e-08,0.2891031065722778,2.005167511108926e-09,5.168912963592242e-09,-7.605152988088724e-16,5.014927916939692e-16,3.02808885606385e-13,1.5500525778571776e-10,3.921555738998699e-08,8.0127324459094e-14,0.004088681984407025,9.005952069349152e-08,3.2361251401476573e-06,1.2767767268765761e-05,1.862012392411455e-14,8.945407101093159e-14,-7.365462556131057e-16,2.940001584925362e-14,2.1368605845670813e-08,1.5841505593656e-09,6.88240629451945e-16,1.4834528507012194e-09,1.3191652284524037e-05,2.7706880654705274e-12,-7.351525675002126e-16,-7.607230726255055e-16,1.4232419964378712e-16,1.4209834326863386e-16,4.42654816970399e-16,-1.9815708077129234e-16,2.392021404954565e-16,-3.403796890972852e-16,3.6642364385892126e-16,0.6988268188499964,0.9,0.1,0.21,0.79
