,phi,grid,T_in,T,P,vel,blend,NO,NH3,H2,O2,H,O,OH,HO2,H2O,H2O2,NH2,NH,N,NNH,NH2OH,H2NO,HNOH,HNO,HON,NO2,HONO,HNO2,NO3,HONO2,N2O,N2H4,N2H3,N2H2,H2NN,AR,HE,N2,fuel.NH3,fuel.H2,oxidizer.O2,oxidizer.N2
0,0.753396318,1140,296.5925,512.5994444,100791.432,0.244478419,0.2,0.0053250643473121105,4.373058866121075e-13,1.710383633063176e-05,0.03277918358082887,3.321615683350997e-15,2.0628137066160485e-12,2.0099385613134117e-11,2.371645986508161e-14,0.24791819423866535,1.4894447590799003e-07,8.362274204504655e-17,1.1151546128133229e-16,1.030869621841022e-16,1.4217248668158037e-16,1.6457154520001238e-16,3.298999851134954e-15,1.1624235217920566e-16,1.617828474846208e-09,2.569804964689483e-07,0.00019649661033575844,3.0789454165966614e-05,5.983551933786458e-09,7.397583380227182e-16,7.873163351201093e-07,1.1998295521149148e-06,6.792788147569846e-17,6.713137620616168e-17,7.59942920028782e-17,7.472417945575152e-17,5.369396056849974e-16,9.060360366318297e-17,0.713730767237489,0.8,0.2,0.21,0.79
0,0.789254238,1078,296.6725,517.4427083,100791.432,0.241887234,0.2,0.005675737464338709,5.381003741376696e-13,2.111734527995894e-05,0.027084756705813753,1.1048151454649531e-14,4.2148779979983634e-12,3.749350807231275e-11,4.3626698378295017e-14,0.2557601866746114,1.589046768433081e-07,-1.1812055683513644e-17,-6.662582222099353e-17,-5.1154836368139706e-17,-1.1878952051999684e-16,1.425238070767007e-16,6.9691165913376e-15,8.989014264066151e-17,2.8392550925862094e-09,2.3606401668166437e-07,0.00019164287653106738,3.316861948878486e-05,6.604135878678082e-09,8.793044361894896e-16,8.09776242095462e-07,3.014212705525042e-07,1.6632271116425822e-17,1.68716959835636e-17,1.8669058173604346e-17,2.32974982663912e-17,-2.4702471852260796e-17,3.0293009267425263e-16,0.7112318746620299,0.8,0.2,0.21,0.79
0,0.805892891,1077,296.7090278,520.5979167,100791.432,0.236942403,0.2,0.0057560795725274585,6.661778465171651e-13,2.4084759123323214e-05,0.024426457480780716,2.1085708261312252e-14,6.051130202403772e-12,5.2223397400303664e-11,6.266395342280785e-14,0.25944543423324884,1.6579115769011437e-07,-3.03740920522061e-17,6.442084525645795e-18,-4.694406050455806e-19,2.323420586398474e-17,1.0652200706680456e-16,1.0599303598120485e-14,5.208726970936199e-17,3.795125429198919e-09,2.2870538289586365e-07,0.00018689479088217497,3.4122045109757885e-05,6.848172543566794e-09,1.2990069581617292e-15,8.198565395986876e-07,2.7408374014549463e-07,-5.792517484317866e-17,-5.801117895566811e-17,-5.243150292206713e-17,-5.17293558075859e-17,-2.0115131038755384e-15,-1.6100328128673048e-15,0.7101254279791768,0.8,0.2,0.21,0.79
0,0.848939565,1134,296.18,449.0567514,101724.686,0.315656733,0.2,0.0056696792029925225,4.868314646083915e-12,7.553329812516084e-05,0.015708774105957304,1.5750824545297952e-13,2.4142274417455842e-11,3.28910058405155e-11,1.5546434643065274e-13,0.2703942862092667,3.6660461321954233e-07,-2.569339449200369e-16,-3.0269294974559567e-16,-2.895019757617494e-16,-3.337691206627142e-16,1.818816890447149e-15,4.2237014289221383e-13,3.995706979231062e-15,3.387735921178188e-08,2.1217051607679658e-07,0.00015392361229653952,4.824347440239416e-05,1.053463440031235e-08,3.5021228868330016e-15,1.4694754550125474e-06,3.310962746395691e-07,-6.635118994816474e-17,-5.72093484190219e-17,-5.955852441308949e-17,-6.232001446228929e-17,-1.667542530417956e-15,-1.5426950922074924e-15,0.7079471362754652,0.8,0.2,0.21,0.79
0,0.900395628,1177,295.6,458.2683521,101724.686,0.33755166,0.2,0.005403823326156554,4.925049680681025e-11,0.0002705794432593316,0.006758865494940788,3.1572197786543313e-10,6.216785464543948e-10,1.2498630459387752e-09,1.0593984835659321e-10,0.2826674387141986,5.430225510779715e-07,1.4796068437335423e-16,3.20429592828022e-17,3.408104230381879e-17,3.067257689878256e-17,3.755452983866232e-14,7.691011677027906e-11,1.3532726312378422e-12,5.328570732656666e-07,1.970541715168636e-07,5.935093954795837e-05,6.347635731792912e-05,1.4113720025139514e-08,3.956753637842482e-14,1.1825378218407532e-06,3.864014849766528e-07,1.1885859930141935e-16,3.0971645831742647e-16,7.138140745570353e-17,1.1471464980032056e-16,-5.6297463108875185e-15,-5.783651773892739e-15,0.7047736073169723,0.8,0.2,0.21,0.79
0,0.945390252,1139,297.6387974,473.2779517,102071.3232,0.240919822,0.2,0.0050345840755052895,7.232562083935823e-10,0.000854744420316357,0.0016109581272149437,1.1411444194719115e-07,1.0471789745630207e-09,4.518998811455775e-08,8.886368240978945e-09,0.29018480168372107,2.4627161714108105e-07,6.82388635626275e-13,-2.9725218798973067e-16,-2.104887024044626e-16,6.056330325811067e-16,1.4490590776331424e-12,3.899368132371371e-09,1.3139221655028525e-10,4.572028428456908e-06,1.901172217269078e-07,1.0688100081520867e-05,7.16026508926433e-05,1.4256490043328726e-08,1.331626448425428e-14,2.95110052388741e-07,1.0395966061801353e-06,8.746092194726979e-16,8.16524799969576e-15,9.501123881512846e-18,2.2990872679724837e-15,7.723881228778876e-15,5.254404535876753e-15,0.7022260895676893,0.8,0.2,0.21,0.79
0,0.952058541,1142,297.607429,473.207429,102071.3232,0.240061319,0.2,0.004921742020212272,2.49924731175476e-09,0.001277781391881777,0.0009496346623553352,3.540402957067172e-07,1.0222900656166447e-09,8.009544124691155e-08,1.6515142143727887e-08,0.29098439165161066,1.6180451229959724e-07,2.612185325803426e-12,3.129407556671878e-16,1.1712840810157237e-16,4.049693508534657e-15,3.3564986784030874e-12,6.4208092952671385e-09,2.714165884901886e-10,6.661079428196752e-06,1.8900580152115995e-07,6.525671780691328e-06,7.119732774278803e-05,1.3625877238973008e-08,9.000435131114905e-15,1.8078822643974387e-07,1.5192622013745175e-06,2.2146814948201024e-17,2.1083968266635073e-14,5.643772335582478e-17,3.059303867642959e-15,8.0335271113452115e-16,-4.526573699350858e-16,0.7017795408377203,0.8,0.2,0.21,0.79
0,1.000031381,1184,296.399322,475.3188136,102071.3232,0.254376387,0.2,0.0038744942130021446,7.048076110580753e-08,0.00885113590379809,1.5518749549767366e-05,2.8500660707803655e-06,6.091725884648947e-11,1.1915515841797974e-08,2.6672876488523236e-09,0.2899106913985642,4.6831827555266915e-09,7.598739034620177e-12,5.223331747560905e-15,8.228811900309016e-16,3.466315102083665e-14,3.14501557096414e-12,8.26832927730562e-09,5.217887438157885e-10,9.612784777306962e-06,1.812905548115363e-07,1.091934916491477e-07,8.532202111121478e-06,1.7438939365326467e-09,8.230588103715115e-16,2.758059065897231e-10,2.2318328296002846e-06,2.1883305153620585e-15,3.6472505583297e-13,7.987543189802104e-16,3.4984737103778146e-15,1.2270948469428815e-14,1.1708444652656054e-14,0.6973245417365875,0.8,0.2,0.21,0.79
0,1.044810754,1122,297.2,477.8405844,101724.686,0.399093947,0.2,0.0023899361610731345,2.370232576139725e-07,0.019384685755177808,2.235535277440819e-06,1.4814933704086291e-05,1.733798313849476e-10,1.2018691514664371e-08,2.8632690630911435e-09,0.2862132856311786,1.5654657304834825e-09,5.357682216454437e-12,3.530447957458974e-14,1.3073530174737807e-15,1.8172315584393986e-13,4.2050917931055276e-12,4.7201515978380185e-09,4.272124853457353e-10,7.593107776472186e-06,1.802517786944749e-07,1.5981645626009553e-08,3.2711802583569294e-06,7.073466844970183e-10,1.1325366012624493e-16,4.0223731789968807e-11,1.4937092609910238e-06,1.6377022271229546e-15,1.5069721636979817e-12,1.3135218415386874e-16,7.470171068115654e-16,-2.4966929343164925e-15,-2.142388082683352e-15,0.6919822282025845,0.8,0.2,0.21,0.79
0,1.049323311,1104,298.1900998,585.9600943,102071.3232,0.24247845,0.2,0.0025991960699565907,1.5171158762469343e-07,0.01866804350623561,1.6533604970020548e-06,9.62135887843975e-06,9.028144640887176e-11,7.705766344226991e-09,9.616451416848874e-10,0.2883081123589292,9.99025191485911e-10,3.9912540005792934e-11,2.807953917022599e-13,4.764651012849208e-15,4.0811690342285284e-13,2.7851902884520452e-12,2.5257994557888394e-09,3.145569947578743e-10,4.793004522654275e-06,1.8024765466523236e-07,8.513198821701797e-09,2.626835252431362e-06,5.570601542138224e-10,-3.7954943282305173e-16,1.5690170808899673e-11,1.4465228508337927e-06,8.112417955295964e-16,6.290333123736881e-13,-3.624573896120721e-16,7.997187103090603e-16,-6.60400185932831e-15,-6.154424084805338e-15,0.6904041532966025,0.8,0.2,0.21,0.79
0,1.053619005,1081,297.24,480.1584582,101724.686,0.405951996,0.2,0.0021313186275653375,2.640793642849321e-07,0.021152898323926545,1.6352642073295607e-06,1.809768548042711e-05,2.0143002977902364e-10,1.1409352511333873e-08,2.73899094202733e-09,0.2856656070268447,1.290150198771726e-09,5.149229349603209e-12,4.7550635407986045e-14,2.012972677276546e-15,2.2856311912913187e-13,4.21257988070386e-12,4.205214415072127e-09,3.895194431112433e-10,6.88500823998313e-06,1.8155668973115402e-07,1.1317690415323828e-08,2.7016969671384497e-06,5.873408360416325e-10,-3.339632701948032e-16,2.962752236499302e-11,1.3284958141365533e-06,1.4659067744253093e-15,1.7720844594771282e-12,-3.3350942564159583e-16,3.9039748858870945e-16,-5.512288433926661e-15,-4.919816720575314e-15,0.6910190500541813,0.8,0.2,0.21,0.79
0,1.07438295,1031,297.0366815,475.6795387,102071.3232,0.264841378,0.2,0.0019018579180546868,2.8647575797193417e-07,0.022954633210873127,7.265806246988824e-07,9.226084347464581e-06,3.3305054847291616e-11,3.136717629133478e-09,7.531742917535258e-10,0.2855509882694459,7.260101187182038e-10,3.812217974592645e-12,1.938722833214647e-14,6.193383307319618e-16,1.0766697829234384e-13,3.4320134415815785e-12,3.770124129967777e-09,3.325780516295194e-10,5.961372500366565e-06,1.847050475562387e-07,5.35339241458315e-09,1.7923977564050917e-06,3.8126449537378395e-10,1.8088665665937816e-16,9.257518510866686e-12,1.143383656158353e-06,1.5787624574167898e-15,1.0733748256659233e-12,2.1577571560285397e-16,4.090127491876637e-16,-2.6401095847642007e-15,-2.534558495978845e-15,0.6895731850976693,0.8,0.2,0.21,0.79
0,1.077042108,1029,297.0077519,474.9684109,102071.3232,0.264314906,0.2,0.0018344708979274014,2.974790023746805e-07,0.023450461486016493,6.645703645345654e-07,9.637312757728085e-06,3.413570725880829e-11,3.0776799651876466e-09,7.422618611749853e-10,0.28538799711057816,6.91674095323043e-10,3.6192430131549784e-12,1.9774939657659034e-14,4.441687744537125e-16,1.1090566838851568e-13,3.452720479003253e-12,3.6642355035176476e-09,3.240174557713879e-10,5.819087932409217e-06,1.8514842214574375e-07,4.8984933320437075e-09,1.7051559289440614e-06,3.6258061953548905e-10,-1.1443216874461797e-16,8.613628387894372e-12,1.1029618576520295e-06,1.539739676127193e-15,1.115365517551262e-12,-8.921007228622968e-17,3.068330170894285e-16,-1.8642099608604465e-15,-1.7932918011817524e-15,0.6893076449772035,0.8,0.2,0.21,0.79
0,1.09802846,1037,297.19,478.0343468,101724.686,0.406418289,0.2,0.0009578192437108184,5.239753893690589e-07,0.02958502388563328,3.1461862073405645e-07,3.968924594637966e-05,3.4887788792584306e-10,7.290037331530115e-09,1.6946491368459339e-09,0.2829135027956943,4.762614992540227e-10,2.374526906033641e-12,1.151380481687666e-13,3.1369421241242677e-14,4.815845254481723e-13,5.327205867939588e-12,2.10114677196663e-09,1.9440655600655554e-10,3.489898114736872e-06,1.9016551628243948e-07,1.5553163236896913e-09,8.528112427499888e-07,1.887959256618828e-10,-5.826902612065008e-18,6.095975027535184e-12,5.644549870815068e-07,1.6335334196071381e-15,3.4976395758087898e-12,1.8570381885754477e-17,2.417572391042607e-16,6.268390564076922e-15,3.890593016642168e-15,0.6864980150377172,0.8,0.2,0.21,0.79
0,1.101303302,1039,297.21,478.9139327,101724.686,0.409270326,0.2,0.0008631726718171289,7.491345247147709e-07,0.030259074757346776,2.727759257945917e-07,4.321599805954257e-05,3.8388866890540883e-10,7.160016082121514e-09,1.624524595099406e-09,0.28269105522935195,4.374999589805785e-10,2.208662984189942e-12,1.3013344343132843e-13,4.3869487814352464e-14,5.308113324468304e-13,7.49325975963769e-12,1.900367004151993e-09,1.762188800401126e-10,3.15790280838142e-06,1.9097278180008816e-07,1.2450827918240787e-09,7.476785149140987e-07,1.6605558675249077e-10,1.0754177620232161e-16,5.274089726965967e-12,5.370187770494176e-07,3.1350557360925945e-15,4.049504245885876e-12,1.2476265796980372e-16,3.5637106957255425e-16,-1.1902746838297898e-15,-8.523734579839347e-16,0.6861378127467065,0.8,0.2,0.21,0.79
0,1.144506611,999,297.21,447.7755,101724.686,0.381853677,0.2,4.54305670855577e-05,0.0005429604879929926,0.03696632105109462,1.2136413711007995e-07,5.143674802852075e-05,2.0009700652282853e-08,4.5517389279601054e-09,1.6765984108072401e-09,0.27996739989214203,1.5830251099525536e-10,1.8617790712502812e-13,2.327939743441284e-13,8.768386771313285e-10,3.3640319697296525e-13,3.1519000440681016e-09,1.34231881908328e-10,1.1063750827296172e-11,2.1337389242955896e-07,2.00627119913538e-07,1.510957527153026e-10,3.005057966913667e-08,6.467132370785719e-12,-2.0570889655719333e-14,2.301675520635339e-13,1.0010116362955552e-05,1.1561036899229292e-09,1.2069480180846214e-07,5.541215888549694e-13,3.901159718002524e-12,-3.639615936898513e-14,-2.9915086125251335e-14,0.682415723137367,0.8,0.2,0.21,0.79
0,1.240922069,887,297.3282392,466.8547619,102071.3232,0.238367546,0.2,2.841327759645776e-06,0.006450828176929958,0.04795207772097298,3.652861429306043e-07,9.159026353302053e-06,3.1066708798761905e-08,1.1480988844678047e-09,4.189495631118079e-09,0.2748567725418861,2.3244594049223437e-10,9.159621944030269e-12,3.0085159863778743e-10,1.207522148576647e-07,9.011548460062446e-14,7.2661324837778115e-09,1.431247620665727e-11,4.813080337648797e-12,1.1894623879991481e-08,2.2113955306271612e-07,8.438632710158993e-11,9.636077378619757e-10,1.8939888646159515e-13,1.6425679028085343e-15,1.735870928044018e-14,3.9095977514964695e-06,8.341607125158467e-08,7.87271358782681e-07,5.586252783995522e-12,2.0967847911634833e-10,1.2144410035913132e-15,1.1566224037057934e-15,0.6707227763528035,0.8,0.2,0.21,0.79
