,phi,grid,T_in,T,P,vel,blend,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,OHEX,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,N,NO,NO2,N2O,NH3,HNO,H2NO,NNH,NH2,NH,N2H2,N2H3,N2H4,H2NN,HONO,HNOH,HNO2,HONO2,NO3,HON,CN,HCN,HNC,H2CN,HCNH,NCN,HCNN,HNCN,NCO,HNCO,HOCN,HCNO,fuel.NH3,fuel.H2,oxidizer.O2,oxidizer.N2
0,0.737818465,1062,296.5586735,508.0607143,100791.432,0.240693564,0.2,0.7147705193323531,2.7491970550762253e-14,1.845397718302943e-14,3.524795606167369e-16,0.037210041359971274,3.30703650110781e-11,-2.211905785861055e-15,8.939310937665178e-06,0.2421953233398625,6.170829570130595e-15,2.058878110929584e-07,2.7808139140529524e-15,3.525803104399384e-12,-1.2688262251662217e-15,-1.1202622443870842e-15,-2.0928075983517006e-15,-1.4395505037658173e-15,1.5118778065802811e-15,-1.4176886159942054e-15,-1.1206812162109572e-15,3.350512111668286e-15,-1.6852922560449534e-15,-1.2946553247933282e-15,-1.2690094324911036e-15,-1.1288325236599278e-15,-1.1223130831601225e-15,-1.4399751136404821e-15,-3.6446691282416924e-15,-1.3163768222438723e-15,-1.7251931456214616e-15,2.7936351654914466e-14,-1.228851859239369e-15,4.983860283658981e-16,-1.1558124300680062e-15,-1.199364364731043e-15,-1.0381333214621907e-15,-9.590045875132676e-16,-1.5863454078911924e-15,-1.1230111577936707e-15,-1.0868239270763752e-15,-1.435002496960641e-15,-1.2811988158788711e-15,-1.6570648394971634e-15,-1.4697352381083212e-15,-1.6156106468803603e-15,-5.61418253240935e-15,-1.075917696037484e-15,-1.568186193364445e-15,-1.243313687168761e-15,-1.873507761458595e-15,3.3379384298512357e-15,-1.0415711516852975e-15,-1.2281227831427128e-15,-1.159266852792153e-15,-1.0228566335682175e-15,2.3646315602410288e-17,-1.1316758830599087e-15,7.963929672409379e-16,-1.32245360334113e-15,-1.2905607653548346e-15,0.005615969822025467,0.00012184126869971191,1.220329555867487e-06,1.3917173001327776e-13,2.282590428408173e-09,1.3591511768811194e-14,-1.1205281909477446e-15,-1.466251668526461e-15,-1.264223970675461e-15,-1.2072359739773957e-15,-1.1792110628161576e-15,-1.2453376532688912e-15,-1.5777345417479454e-15,7.582672269299695e-05,-1.108030130113544e-15,4.0163608250544925e-11,8.160634702989592e-11,-1.0804096491360666e-15,1.1018497554366317e-07,-1.1734872415947685e-15,-1.5459852015753793e-15,-1.333293517906718e-15,-1.1571378081164014e-15,-1.5657322228279428e-15,-1.0564089054009602e-15,-1.1533798271576784e-15,-1.172580082533555e-15,-9.926390113440642e-16,-1.791655566599349e-15,-1.3126516289202774e-15,-1.2536217712443168e-15,0.8,0.2,0.21,0.79
0,0.753396318,1059,296.5925,512.5994444,100791.432,0.244478419,0.2,0.7136026749346345,-9.445212976138007e-16,-8.919211075697942e-16,2.881645583756461e-15,0.03452531852092478,5.0043125888132486e-11,-1.3302941213173942e-15,1.0040424600038396e-05,0.24581667916367603,1.3758329462646485e-14,2.147402615312327e-07,1.2261862521915531e-14,-2.690142904549431e-13,-2.2142018715388184e-15,-2.2578760037262944e-15,-1.5299064305458483e-15,-1.7202583963806379e-15,3.4423667429582676e-15,-2.1792272709613637e-15,-2.258107693131407e-15,-5.792955960165551e-15,-1.4647000068063957e-15,-2.205432647997875e-15,-1.7489394994604456e-15,-2.2548882421429215e-15,-1.9118860718509153e-15,-2.1724720650706796e-15,3.252744937429112e-15,-2.2056920421642377e-15,-1.8805689506185438e-15,-1.4491239172148452e-15,-2.2277825615775964e-15,-1.6356523229088451e-15,-2.2459403977146746e-15,-2.2328064482801108e-15,-1.649014699754554e-15,-1.2342285079029482e-15,-2.1049986030751407e-15,-1.7036720445919764e-15,-1.648600360526256e-15,-2.1636547184653112e-15,-2.2199926147408875e-15,-1.7145696950799487e-15,-1.7273624212545076e-15,-1.7265968986982658e-15,-2.1907242556895838e-15,-1.6921870815688745e-15,-2.077759291136974e-15,-2.2208388505256206e-15,-1.941961560159732e-15,2.9654743977070626e-16,-1.894683310707477e-15,-2.226208737885462e-15,-2.2436350093353177e-15,-2.5110614322693915e-15,-1.198012401026798e-15,-2.2530540457590272e-15,-1.2335723887777754e-17,-2.2049420568719223e-15,-2.214411245191517e-15,0.0058419379678480675,0.00012331002525409212,4.139721101263584e-07,1.0466364780514268e-13,2.7857181988489943e-09,1.0885807048177142e-14,-2.2584183289484157e-15,-2.1480224774367413e-15,-2.220741615856427e-15,-1.725040408001644e-15,-1.6691622948203425e-15,-1.7437581798888796e-15,-1.7316892649446648e-15,7.92987718844838e-05,-1.556775947226973e-15,4.055926088453814e-11,7.139910456635685e-11,-2.103929733376547e-15,1.0853133168548043e-07,-2.2394186465922975e-15,-3.525699770010543e-16,-1.7493981752766578e-15,-1.7315685673418558e-15,-1.6748281717372569e-15,-1.6490266399869462e-15,-1.5682408154411542e-15,-1.6752472207020429e-15,-1.0055167846975616e-15,-2.520844220682599e-15,-1.5300712856547106e-15,-6.033954379495093e-16,0.8,0.2,0.21,0.79
0,0.789254238,1134,296.6725,517.4427083,100791.432,0.241887234,0.2,0.7110479297975955,-5.5803864550349605e-15,-6.745811590318748e-15,1.471746141029793e-14,0.028479828073512264,9.005437935426714e-11,-3.495163461731311e-15,1.3501186309199166e-05,0.25398850030545533,3.1616917634535026e-14,2.365016483039055e-07,-3.092358408537207e-14,2.0035579498227325e-13,-2.9513274888879947e-15,-2.301519985506919e-15,-3.411791248224202e-15,-3.1079465682301438e-15,-3.1080064340888827e-15,-3.617507443830888e-15,-2.3062758993635037e-15,-3.837382179855257e-15,-3.253493168188993e-15,-3.072369927159611e-15,-2.7570144263071072e-15,-2.342274283543828e-15,-3.1233406255991965e-15,-3.3512289113556295e-15,-8.883640456398084e-16,-3.1145559039916944e-15,-3.2256999362130815e-15,-4.18174895121464e-15,-2.7474026851710502e-15,-4.7715543700233385e-15,-2.4547631260585416e-15,-2.715584739785946e-15,-2.9489634520004076e-15,-2.2386213594407412e-15,-3.312255012706664e-15,-2.6839146738334824e-15,-3.2502760148643104e-15,-3.262313074123628e-15,-2.871203712026406e-15,-3.350728847430637e-15,-3.146941006066972e-15,-2.9740578477995593e-15,-1.1442018276853196e-15,-2.654033929483019e-15,-3.2468795696020904e-15,-2.89498093222031e-15,-3.684686238847236e-15,-2.4098035715163216e-15,-2.874052537108893e-15,-2.846971123264051e-15,-2.520089711917071e-15,3.57745125053082e-15,-3.5754103126598806e-15,-2.3843300971161125e-15,-4.942007495691351e-15,-3.124483704812743e-15,-2.9546263153949155e-15,0.006258654851983991,0.0001243054186893389,1.9862296753353918e-07,1.3291994922271834e-13,4.497120192893196e-09,1.2291766767446869e-14,-2.304144234538628e-15,-3.2347255914060152e-15,-2.872266529456248e-15,-2.8011235022167905e-15,-2.8322957960618417e-15,-2.6122119931977115e-15,-3.231933483318511e-15,8.67347731908234e-05,-2.5507642331538064e-15,4.0034112277796355e-11,5.117008895332121e-11,-2.4344890078808688e-15,1.0579012219399534e-07,-2.5905011556421126e-15,-5.702095951722876e-15,-2.627643262315522e-15,-2.7553903908023093e-15,-3.292178102880099e-15,-2.9812051742506128e-15,-3.0656642701471524e-15,-2.8278616827998987e-15,-3.246800098003473e-15,-3.833893591872741e-15,-3.2074844667073957e-15,-2.408406896824948e-15,0.8,0.2,0.21,0.79
0,0.805892891,1146,296.7090278,520.5979167,100791.432,0.236942403,0.2,0.7098910529369759,1.2451545883045618e-14,1.564819447337106e-14,3.7788671737854795e-14,0.025704873667508187,1.1968685579104562e-10,2.985904477118656e-15,1.5839739989474863e-05,0.2577716262923725,5.869903987418986e-14,2.4782901179144247e-07,-1.1195542383791857e-14,3.011168786495312e-12,8.53452722554411e-16,8.448087576327899e-16,1.344647981458444e-15,8.48150033863255e-16,1.3339311633438985e-15,9.420115218677694e-16,8.434882286301594e-16,3.6173902587799624e-16,1.0510573153796368e-15,9.693078697852371e-16,9.301419845434115e-16,8.379760785091339e-16,6.247730120433844e-16,1.029805990869657e-15,2.1731498306420108e-15,9.487857708995408e-16,1.151648155319308e-15,1.2476719301920242e-14,8.36112773603908e-16,3.3102161017605414e-16,8.283625204265822e-16,8.362669303385873e-16,9.457754550389364e-16,1.0110704060431271e-15,1.1184198379037266e-15,1.0112542740006103e-15,1.2019402585451929e-15,1.0613450491375868e-15,8.386524240211697e-16,1.1635011577406139e-15,1.1202986207818532e-15,1.10362226241838e-15,1.1885852812590576e-15,1.0259689222153654e-15,1.1321393211718215e-15,8.78734694321814e-16,1.40792647141677e-15,1.7991264312482414e-15,9.971337816013855e-16,8.607713824021254e-16,8.286242682513823e-16,9.952661185679364e-16,7.415069255776628e-16,8.434180788027685e-16,1.8901094447169673e-15,9.485817674027265e-16,8.743303150336813e-16,0.00640278369413884,0.0001232891341989547,1.8945576616681628e-07,1.6791738274630913e-13,5.753716196391763e-09,1.9202462026056907e-14,8.465075116901751e-16,1.0358630811490326e-15,8.549173302202018e-16,1.012314094765336e-15,8.385814296015995e-16,1.136556597973742e-15,1.13448847214832e-15,8.998635992621604e-05,1.4439246165703877e-15,3.894074168708005e-11,4.3529060749198087e-11,1.0034519964554685e-15,1.0493084651503907e-07,8.270215460388638e-16,-1.0877539018379416e-15,1.1051401336523386e-15,1.0417511988543099e-15,1.1598657870074075e-15,9.498581443483695e-16,1.0397693633474453e-15,9.52933975766454e-16,1.445329698859259e-15,-1.3388623421358214e-15,6.416120325712616e-16,1.795461392058326e-15,0.8,0.2,0.21,0.79
0,0.848939565,1162,296.18,449.0567514,101724.686,0.315656733,0.2,0.7076807020142188,2.5276878418014334e-14,2.486720533921293e-14,1.2520939075481412e-13,0.01720446380872963,3.938294184455574e-11,1.0505559913628134e-16,4.285445790753117e-05,0.26819695380863817,1.1606281677123085e-13,4.182884937901162e-07,-6.687212326729714e-15,3.2394184807770652e-12,-5.564350365711647e-16,-7.413207703099113e-16,-1.2968386284967108e-15,-1.2324869364966443e-15,-2.996633486898018e-16,-3.2701562022074117e-16,-7.416535601743181e-16,2.3957856456764213e-14,-1.017433017169047e-15,-5.321520531977387e-16,-8.851570106931778e-16,-7.30930141463295e-16,-1.013333073393553e-15,-4.903967702934544e-16,-3.9630691811131846e-15,-5.2177122054396335e-16,-9.72760949235456e-16,2.7277585645649586e-14,-6.067077437078026e-16,-6.169459915935366e-16,-6.905676118897305e-16,-5.853567770418679e-16,-1.51976041215484e-15,-1.234639840786518e-15,-1.0419570043297193e-15,-7.865789328736616e-16,-1.1759785671171468e-15,-6.739048818394228e-16,-5.245834672599316e-16,-3.2433531766369045e-15,-1.1164736049691152e-15,-2.5378974553389476e-15,-1.4080698895596798e-14,-7.584592484648251e-16,-7.509789665194598e-16,-5.415190009988369e-16,-6.46414980942664e-16,2.2012257737231297e-15,-1.3917993195757892e-15,-5.501276207035001e-16,-6.48045432617653e-16,1.1485420355270967e-15,-2.09448830736078e-15,-7.378772753108371e-16,-5.261264851590449e-15,-5.313734489092378e-16,-5.672762545715017e-16,0.006633615602030977,0.0001162879614030281,2.4989273459425464e-07,7.114803021162772e-13,2.7463719447969322e-08,4.9359478097426376e-14,-7.410438978703128e-16,-5.296936132869693e-16,-5.916788319612573e-16,-9.570034609767338e-16,-8.345852989420407e-16,-8.413763238163511e-16,-9.885483407214476e-16,0.00012432180303069822,9.861090401108755e-17,2.0816389444783405e-11,3.698346552565756e-11,-6.719080766227552e-16,1.047976496047102e-07,-6.26623789980397e-16,-3.1060255269140354e-15,-8.137902674478863e-16,-1.1130738843858357e-15,-6.429843029480761e-16,-9.460800664014557e-16,-1.4009200470494554e-15,-9.091380085368135e-16,-1.6076182448965036e-15,1.5050060871445476e-15,-1.1474423255034888e-15,-1.9422172421356286e-15,0.8,0.2,0.21,0.79
0,0.900395628,1132,295.6,458.2683521,101724.686,0.33755166,0.2,0.7044718944250585,5.336834390535309e-15,2.548846783970628e-15,6.388403549573858e-11,0.008160222892431911,4.5715524356674293e-10,2.1926395098041773e-14,0.00014294267489222033,0.2803926935540484,2.4482590165229245e-11,5.720108323792813e-07,-1.7431260966989653e-15,5.208814228966949e-13,1.035330883724748e-15,1.3228246089305036e-15,1.1559792702549001e-15,7.921234572727554e-16,1.6048270181521906e-16,5.592576316769028e-16,1.3219907167191144e-15,-6.4700225448292516e-15,1.1345741315714264e-15,9.230013872690428e-16,8.437810751060262e-16,1.3115689657176318e-15,6.101591845600413e-16,8.200390932987436e-16,5.173545709120452e-15,8.739961750575169e-16,1.0056135560160283e-15,5.705494459153812e-15,1.1508739414289142e-15,3.674534324152615e-16,1.265239771912751e-15,1.0093615711508234e-15,3.265123900141595e-16,8.963284181635135e-16,9.470725181235101e-16,9.13518183315939e-16,9.15609565357225e-16,9.268751998151755e-16,7.957703024897548e-16,8.791989711919232e-16,1.0118802728758663e-15,9.819159157742456e-16,1.7373966657659484e-15,8.985735935714195e-16,9.576202069584325e-16,9.355063796473661e-16,8.696924726004586e-16,1.351148132221273e-15,7.984906973239455e-16,9.511943954623269e-16,1.128793836359484e-15,1.235830494915838e-15,9.058114183338474e-16,1.3086417520881424e-15,8.358494040017674e-16,8.682957902582384e-16,1.076630566437029e-15,0.006613843867537959,6.222361074072448e-05,2.717903901185386e-07,4.5739551726721155e-12,2.612613056307762e-07,1.3653771509588106e-13,1.3235672609214957e-15,9.184074688597855e-16,1.1217573859912323e-15,8.820374158762263e-16,9.958245361323898e-16,1.0479463426135945e-15,9.921455803495734e-16,0.00015496824863879167,7.272266152535294e-15,6.528518490045762e-12,2.8070807748860726e-11,1.250101705961035e-15,1.0507867085019446e-07,1.0864515735986924e-15,-5.873476285297502e-16,9.890632844032107e-16,1.0329124661613543e-15,9.520069616595015e-16,8.286785781162568e-16,8.429830551304942e-16,8.067160702580307e-16,8.862556754219986e-16,1.2710646286882517e-15,7.72910012752301e-16,1.1299818617592935e-15,0.8,0.2,0.21,0.79
0,0.945390252,1136,297.6387974,473.2779517,102071.3232,0.240919822,0.2,0.7018590086743676,2.4861857656964575e-15,3.3185437741044798e-15,4.225299802996577e-08,0.002219409485859622,2.0386029111582754e-08,3.383894673973068e-13,0.0004992112907926859,0.28889262330580867,4.120750816595164e-09,3.557437186239321e-07,-2.1046256774047468e-14,2.2183772298876387e-12,-1.047722534966205e-14,-1.610432229372449e-14,-5.0140138892346295e-15,7.793412172557358e-16,3.356228882766541e-14,-1.0375386598217683e-15,-1.609099638319567e-14,-4.427778796070479e-15,-7.025686329898121e-15,-6.880409578138822e-15,-3.194976913071416e-15,-1.585683171370444e-14,-7.081885579030906e-15,-6.687522613702794e-15,4.493188163683308e-16,-9.13841259197962e-15,-7.070885190349857e-15,2.1646221511591203e-16,-1.2879464906531104e-14,-4.744312779762152e-15,-1.4962143730367824e-14,-8.025811539774051e-15,-7.317678000980555e-15,-4.032222929164855e-15,-5.997418078487494e-15,-5.048328701744612e-15,-7.569322647158165e-15,-6.471741371612766e-15,-8.196827692989435e-15,-4.861271537936012e-15,-6.169212929985986e-15,-6.998647757449423e-15,1.3686916177828576e-14,-4.849012885396962e-15,-6.650179772571636e-15,-7.337101827093244e-15,-5.843110086266613e-15,-9.535845146603799e-15,-7.06182810822524e-15,-7.418717220640746e-15,-9.59774077089532e-15,-1.2337508972838941e-14,-8.44588272523605e-15,-1.4828783921862383e-14,9.412621564611322e-15,-6.4661935182628585e-15,-1.1602028483068486e-14,0.006361547857521289,1.1920458083046297e-05,4.313517179227657e-07,4.1421242377610965e-11,3.6516250073014286e-06,1.2347298164051912e-13,-1.5611252031053703e-14,-7.957639399049979e-15,-1.2287199452418752e-14,-5.249477833817436e-15,-7.352462573880568e-15,-6.334470270721435e-15,-7.06845635543032e-15,0.00015166663779998037,3.578222945943717e-14,1.1625083096119374e-12,1.3405567055783111e-11,-1.4451979969202045e-14,1.0675126296965785e-07,-9.066958761074046e-15,1.3169799782027366e-15,-5.467843412575085e-15,-7.51905587887114e-15,-7.192735104855707e-15,-6.069602180516098e-15,-4.3126934304639e-15,-4.9023647399597975e-15,-4.660435579905611e-15,-1.2276313764408945e-14,-4.56995860474428e-15,6.537636749418831e-15,0.8,0.2,0.21,0.79
0,0.952058541,1113,297.607429,473.207429,102071.3232,0.240061319,0.2,0.7014435132880311,-7.917255075322152e-15,-1.0326939334956289e-14,1.6086687435815634e-07,0.0013741948732015393,4.549083040199014e-08,7.261819787149231e-13,0.0007638954732054245,0.2899756328342867,9.773260024723286e-09,2.534777232450436e-07,2.744329218455241e-13,-1.7611847997846542e-13,-2.8136471602538316e-14,-3.474109404479709e-14,2.1104357934793206e-14,1.6811664743840998e-14,8.974169183934742e-14,-1.1650572851424292e-14,-3.471134691369438e-14,1.5482783598341446e-14,2.4801795997497024e-15,-9.426284739954125e-15,-2.150712400956146e-14,-3.4551353713103934e-14,9.787358432208955e-15,-1.732005048774481e-14,5.378342059830881e-14,-2.9739439750250305e-14,2.417466558496837e-15,-6.735922121538161e-15,-3.1714743462877316e-14,4.107960514146963e-15,-3.387683227539394e-14,-1.9945905640160588e-14,1.3634212941067059e-14,5.713527562403956e-15,-1.4587241019629017e-14,7.135034176136881e-16,8.636513573174592e-15,-4.9006751109306925e-15,-2.4286933113620737e-14,5.41436571813295e-16,2.3676051447371672e-15,3.041770011009445e-15,-3.323893399452577e-14,-3.520388729450435e-16,-3.3739437190416463e-15,-1.5714130923081756e-14,6.46679883505607e-15,5.6076981598290684e-14,-3.1815859294333986e-16,-1.7677517337375815e-14,-2.430395941055632e-14,-3.4396885367850865e-15,4.1221209435711156e-14,-3.302821841432127e-14,9.818238566700622e-14,-9.837953951404169e-15,-3.001303545965301e-14,0.006283671204209891,7.5701479569570325e-06,6.466597299046154e-07,9.035473625327197e-11,6.441011197065879e-06,7.573893728239992e-14,-3.289327197802116e-14,-1.8882104540890107e-14,-3.083800928027846e-14,-4.481467485668279e-16,-2.5159605404995653e-14,2.4901441721732967e-15,3.699832370698964e-15,0.00014385761757669595,5.809685596975778e-14,6.409891966887654e-13,1.0201605862299002e-11,-3.34014107765291e-14,1.0717978297030384e-07,-2.3289819377031957e-14,1.066453242036273e-14,9.15588627415269e-16,4.3378884173692974e-15,4.998489554123716e-15,2.959529989640869e-15,2.228680160596201e-14,7.085276330616557e-16,5.114848534219106e-14,2.001279276842004e-14,-1.1186360165457284e-14,1.2444360171880506e-13,0.8,0.2,0.21,0.79
0,1.000031381,1111,296.399322,475.3188136,102071.3232,0.254376387,0.2,0.6969854584011547,7.76171672749101e-15,8.383964749398185e-15,2.4917813411101113e-06,1.4096974414116254e-05,8.138353255611544e-09,1.2045447700630208e-13,0.00792103515997517,0.2896239450853249,1.7436800145648311e-09,4.4122749525351754e-09,2.8933504539470837e-13,2.3281084358926093e-12,2.718631137643805e-15,2.6472286933470588e-15,9.6406837633204e-15,3.464019152265158e-14,1.9852369595924544e-14,4.092126125208199e-15,2.645451163346635e-15,1.728478104394021e-14,6.3049953445162505e-15,6.572937920703715e-15,4.9053870533459255e-15,2.6329861730421404e-15,9.991403539702038e-15,3.147778084117456e-15,8.692990132949075e-15,2.6090018971572676e-15,6.563815249665839e-15,7.242700569378164e-15,2.5280353248393225e-15,5.867048610138023e-15,2.5762818231706006e-15,5.842555489619416e-15,8.427866439359594e-15,7.569944363375271e-15,4.631847711903437e-15,8.259654678865596e-15,6.466254543550963e-15,6.017928131318834e-15,2.703486185998861e-15,7.31194122013141e-15,6.684122821625113e-15,5.6427561830514955e-15,1.0677665294043924e-14,7.637155806833241e-15,8.998537031174108e-15,9.885799207356073e-15,6.958449888449761e-15,8.693463361893844e-15,7.37363656457034e-15,-2.6540352817867497e-16,6.296396089743211e-15,7.808858713153546e-15,7.26555565419783e-15,4.601099475392064e-15,2.028394608140715e-14,6.9752656773700634e-15,2.5714159458100365e-15,0.005423532977551469,9.723512285739465e-08,1.5821958210015685e-06,1.167018177108464e-08,1.546445260214749e-05,6.885430261138877e-15,3.203973318897406e-14,5.101826524661546e-15,9.412594622933008e-15,8.445417092089904e-15,2.560777907559205e-15,7.549941678522187e-15,6.081832292557096e-15,1.2157801995646643e-05,1.455654668764913e-14,4.580278450789788e-14,2.2038113750152662e-13,2.5514833958641076e-15,1.1196660559044205e-07,4.607138486695282e-15,2.8891095363217614e-14,7.228760607632722e-15,7.33881639000477e-15,5.956202091357122e-15,6.342930887020645e-15,9.882626826382071e-15,8.549295195330621e-15,6.512021046917866e-15,2.0063980451723427e-14,7.382401028051497e-15,2.478667302776622e-14,0.8,0.2,0.21,0.79
0,1.044810754,1026,297.2,477.8405844,101724.686,0.399093947,0.2,0.6918414389454138,1.3695532740478603e-16,-9.051796068479811e-15,8.02191654739902e-06,2.0029962346562128e-06,5.0262551538724635e-09,2.0249206643363032e-13,0.01778116708547669,0.2863864241939421,1.0329186400487628e-09,1.301714773615844e-09,2.0481758639759506e-13,7.110589884104965e-13,-1.9338015743289e-15,-1.9825636932480036e-15,-1.0856616711282307e-15,7.124663984153675e-15,-1.9907977790213194e-17,-1.940642841944396e-15,-1.983786275463094e-15,-1.5598110155313045e-16,-1.4864831160417514e-15,-1.6858555156812494e-15,3.2265208970486387e-15,-1.9813762436372698e-15,-1.745935886208117e-15,-2.0148993557711113e-15,-1.2158877102664062e-15,-1.9588732156871996e-15,-1.4369253433941475e-15,2.7538995419182554e-16,-1.8921877431866566e-15,-1.6860063719673308e-15,-1.9244089139095334e-15,-1.6803510598476658e-15,-1.2452720000740991e-15,-1.2782056488017531e-15,-1.976271065394695e-15,-1.1309255362695794e-15,-1.4752899663911475e-15,-1.6222823149924468e-15,-1.931857348829673e-15,-1.4081319061617144e-15,-1.4954115691956888e-15,-1.7686314321072483e-15,-5.165394727678785e-16,-1.109480192938979e-15,-6.564846367186858e-16,-1.1095075320430218e-15,-1.4165732118864463e-15,-1.1267919252848533e-15,-2.1562015985170057e-15,-1.4191997958835395e-15,-1.2171234891005963e-15,-7.938898505456044e-16,-1.370834147755276e-15,-1.806799475867664e-15,-8.484055788101669e-16,-1.2166936494414857e-15,-1.7981481658577555e-15,0.003960195296622231,1.5322079006072183e-08,1.5099446095775751e-06,7.162064470204805e-08,1.4413894336239972e-05,-1.5374294740817124e-15,9.694956234002097e-14,5.9250338636043466e-15,3.218282119890573e-14,-9.646825979093956e-16,-1.9401650772956565e-15,-5.698886871548758e-16,-1.6252114284392937e-15,4.6113015380323165e-06,2.4782207872304967e-16,3.2448936567552623e-15,3.79430600010019e-14,-1.8824327909326174e-15,1.2012045247003125e-07,-1.92346016749402e-15,1.5003276313123235e-15,-1.5190154136502846e-15,-1.5006493702469734e-15,-1.4842454266670424e-15,-1.5555524092935322e-15,-1.1416574048409556e-15,-1.2816673168800258e-15,-1.5694960997354145e-15,1.1169849042010545e-15,-1.416185190815399e-15,6.171583167341173e-16,0.8,0.2,0.21,0.79
