,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,O,O2,HE,AR,OHEX,H,H2,OH,H2O,HO2,H2O2,HONO,HNOH,HNO2,HONO2,HNO,H2NO,H2NN,HON,N,N2,NO,NO2,NO3,N2O,NH3,NNH,NH2,NH,N2H2,N2H3,N2H4
0,0.584953739,940,294.8995868,502.7794766,101325,0.247490962,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",24.44771874,24.7490962,-1.26E-16,0.06615956,4.00E-15,4.32E-15,-4.94E-16,-1.81E-16,3.60E-06,4.58E-12,0.205122196,5.43E-15,1.47E-07,5.44E-05,1.39E-15,1.96E-08,6.61E-07,2.96E-10,1.33E-13,-2.58E-16,1.60E-07,-3.95E-16,0.723564059,0.004425269,0.0001091,-1.75E-16,0.000560814,8.87E-12,-4.93E-16,-2.87E-16,-4.03E-16,1.93E-15,-1.72E-16,-2.26E-16
0,0.599061882,932,294.9847107,501.838292,101325,0.249732594,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",24.8255619,24.9732594,-4.11E-15,0.063940161,6.16E-15,1.63E-14,-2.14E-15,-3.66E-15,3.34E-06,4.66E-12,0.208277579,8.38E-16,1.40E-07,5.54E-05,-2.76E-15,2.03E-08,6.27E-07,3.31E-10,7.69E-14,-4.13E-15,1.55E-07,-2.61E-15,0.722619109,0.004727366,0.000107919,-2.07E-15,0.000268172,4.81E-12,-2.13E-15,-3.25E-15,-2.57E-15,-3.39E-15,-4.29E-15,-3.67E-15
0,0.614689374,930,294.2471074,513.484022,101325,0.257189174,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",25.81515092,25.7189174,2.28E-16,0.061145052,4.24E-16,4.81E-16,6.25E-17,2.37E-16,3.35E-06,1.05E-11,0.212184089,9.51E-15,1.39E-07,5.73E-05,9.87E-16,2.13E-08,6.21E-07,4.09E-10,5.56E-14,2.18E-16,1.50E-07,7.44E-17,0.721357887,0.0050256,0.00010824,3.68E-16,0.00011752,2.53E-12,6.26E-17,1.00E-16,7.38E-17,3.57E-16,2.38E-16,2.36E-16
0,0.644781989,956,295.0371901,517.7053719,101325,0.267547427,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",27.19511469,26.7547427,4.21E-16,0.055765906,1.26E-15,1.46E-15,4.54E-16,6.30E-16,3.58E-06,1.96E-11,0.219463298,1.51E-14,1.43E-07,6.22E-05,6.86E-16,2.39E-08,6.44E-07,6.55E-10,3.99E-14,2.14E-16,1.41E-07,4.55E-16,0.719006259,0.005571442,0.000110776,7.70E-16,1.56E-05,5.10E-13,4.54E-16,3.71E-16,4.57E-16,1.62E-16,2.05E-16,1.67E-16
0,0.69938299,976,295.9326446,496.9161157,101325,0.283176905,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",29.37353788,28.3176905,-2.73E-16,0.045829619,-2.79E-15,-2.88E-15,-4.56E-16,2.74E-16,5.39E-06,1.91E-11,0.232595236,1.72E-14,1.79E-07,7.63E-05,8.97E-16,3.10E-08,8.36E-07,2.04E-09,8.45E-14,-3.10E-16,1.28E-07,-5.02E-16,0.714945691,0.006422999,0.000123363,-2.63E-16,2.76E-07,1.04E-13,-4.56E-16,-4.91E-16,-4.98E-16,-3.30E-16,-2.54E-16,-3.49E-16
0,0.700213756,972,294.1599174,494.6993113,101325,0.28183595,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",29.30122705,28.183595,4.80E-16,0.0456554,2.56E-15,2.11E-15,7.63E-16,1.05E-15,5.42E-06,1.72E-11,0.23282756,1.67E-14,1.79E-07,7.63E-05,1.52E-15,3.10E-08,8.40E-07,2.07E-09,8.59E-14,3.03E-16,1.28E-07,6.90E-16,0.714898826,0.006411686,0.000123336,9.46E-16,2.78E-07,1.05E-13,7.63E-16,5.37E-16,6.99E-16,2.66E-16,2.94E-16,2.59E-16
0,0.750132586,1005,294.4524793,504.3887052,101325,0.299947939,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",31.76678672,29.9947939,1.16E-15,0.03643948,1.29E-14,1.62E-14,-1.54E-16,9.09E-15,9.51E-06,7.43E-11,0.245116025,6.47E-14,2.32E-07,9.20E-05,3.46E-15,3.90E-08,1.10E-06,6.59E-09,2.34E-13,-6.91E-17,1.19E-07,-2.14E-16,0.71119382,0.007012366,0.00013513,5.05E-17,1.69E-07,2.29E-13,-1.52E-16,-1.04E-16,-2.14E-16,-3.01E-16,-2.55E-16,-3.32E-16
0,0.799253604,989,296.5227273,512.2807163,101325,0.304832403,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",32.42322608,30.4832403,2.24E-15,0.027652329,-2.57E-15,-3.31E-15,-6.27E-15,9.81E-14,1.74E-05,2.47E-10,0.256899159,2.55E-13,2.97E-07,0.000108328,6.96E-15,4.74E-08,1.36E-06,2.15E-08,6.99E-13,-4.47E-15,1.12E-07,-5.80E-15,0.707748587,0.007433201,0.000138997,-5.80E-15,1.81E-07,5.97E-13,-6.27E-15,-4.92E-15,-5.85E-15,-4.75E-15,-4.34E-15,-5.23E-15
0,0.85017298,975,294.7871901,523.6608815,101325,0.339452848,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",37.11595033,33.9452848,8.94E-14,0.018324171,-1.03E-14,-9.84E-15,2.90E-16,3.35E-12,4.09E-05,1.40E-09,0.269525561,2.73E-12,4.20E-07,0.000133054,7.41E-14,6.03E-08,1.68E-06,1.15E-07,3.64E-12,-1.43E-16,1.06E-07,8.94E-16,0.704240503,0.007607294,0.000125922,1.24E-15,2.17E-07,2.75E-12,2.92E-16,8.83E-16,8.67E-16,-3.13E-16,-3.42E-16,-1.26E-16
0,0.900337992,987,296.5417355,537.3706612,101325,0.372337488,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",41.40421221,37.2337488,1.87E-12,0.009397111,-9.21E-15,-1.01E-14,-4.89E-15,4.72E-10,0.000129319,9.89E-09,0.281748011,1.29E-10,5.86E-07,0.000165765,1.81E-12,7.62E-08,1.47E-06,1.15E-06,3.85E-11,-2.16E-15,1.03E-07,-6.03E-15,0.700935035,0.007546982,7.40E-05,-2.98E-15,3.34E-07,2.75E-11,-4.88E-15,-4.93E-15,-5.99E-15,-2.25E-15,-1.75E-15,-9.02E-16
