,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,H2,NH3,NO,N2O,O2,H,O,OH,HO2,H2O,H2O2,NO2,HNO,N,NNH,NH2,NH,H2NO,N2
0,0.7002137561,866,294.1599173554,494.6993112948,101325.0,0.2818359501,0.3,,,5.523245547339192e-06,1.082819120924274e-12,0.005028190478291941,9.101919045358176e-05,0.04378426956654702,1.7927365735542579e-10,2.4630196863281383e-09,1.1193033932359812e-05,3.013324061528223e-09,0.23573657980937948,6.556346911741627e-06,7.732764071415266e-05,1.1726389311835155e-09,-7.8630601501614e-16,-5.068879531660654e-16,-8.618733326777624e-16,-7.320209283537229e-16,9.061866643094244e-14,0.7152593338587955
0,0.7501325861,840,294.4524793388,504.3887052342,101325.0,0.2999479385,0.3,,,8.54945871553569e-06,1.5582361286402142e-13,0.005793772905745999,4.522481482051957e-06,0.03503319517448713,4.629007128837447e-10,3.733136642628469e-09,1.3772610959390002e-05,4.0861915031562276e-09,0.24751088951882008,7.498212664353349e-06,8.143914689737097e-05,2.5963309437791197e-09,2.7297384133773123e-15,2.709577167629145e-15,2.5728195537804423e-15,2.7456459998014136e-15,1.1705071089458273e-13,0.7115463496113846
0,0.7992536035,822,296.5227272727,512.2807162534,101325.0,0.3048324033,0.3,,,1.4335638477650183e-05,1.4889046260434373e-13,0.006326600355003781,1.931197605360978e-07,0.026525611877994005,1.2727170612591884e-09,5.4046577392241415e-09,1.638530685654845e-05,5.6465039604373616e-09,0.25892495964682233,8.50437619168926e-06,8.089973657228235e-05,6.037481790081698e-09,7.491320698252251e-17,-7.515843628578533e-17,2.3591523578933976e-16,4.4242382611582614e-17,1.86479679943217e-13,0.7081024915806251
0,0.8499536174,819,296.5123966942,524.6681818182,101325.0,0.3411800701,0.3,,,3.263519765505871e-05,5.854998706407379e-13,0.006623393010927845,1.514940445687713e-07,0.017400814116536517,6.222374009409598e-09,1.0228462761027092e-08,2.0938696674738967e-05,1.0449315440914237e-08,0.27126266874385535,1.0092671965586069e-05,7.178339594768652e-05,2.1506414915497794e-08,9.965925483646058e-16,1.1504384589201071e-15,1.2158364025093911e-15,9.91895648285107e-16,4.032079417988121e-13,0.7045774742648323
0,0.8501729796,823,294.7871900826,523.6608815427,101325.0,0.3394528477,0.3,,,3.2666933078176026e-05,5.858138693114269e-13,0.006604681491264192,1.5116118204780168e-07,0.01733966417518375,6.144033947812369e-09,9.97990830718563e-09,2.0825321402080526e-05,1.035941063397025e-08,0.2713539920820368,1.0109703970198794e-05,7.163577815475533e-05,2.1416512398998528e-08,1.2001363584652411e-17,2.1513145517446205e-16,1.4169290718109296e-16,1.7178906607751852e-17,4.0254701701326825e-13,0.7045662254528738
0,0.9003379917,818,296.5417355372,537.370661157,101325.0,0.3723374876,0.3,,,9.934917399017744e-05,4.145911118637222e-12,0.006579521576902705,2.3479493578035926e-07,0.008535001322432952,5.610816663774274e-08,1.8392698948873963e-08,2.5264379315992967e-05,2.588087277903391e-08,0.28343387777276585,1.1023295144549941e-05,4.448971233331899e-05,1.423001676045339e-07,4.311122097295628e-16,3.1770492918902412e-15,1.7859431316741445e-15,4.596350816240172e-16,1.4300085855328355e-12,0.7012709952846908
0,0.95007358,810,295.0202479339,550.9841597796,101325.0,0.3987996189,0.3,,,0.0012315163359560637,7.911593093662557e-10,0.006058567778292228,1.8081843190037798e-06,0.0009565783411675415,1.3337942648081772e-06,2.995791320097357e-10,2.3678938920453134e-06,4.890090613977962e-08,0.2937900301202144,4.074702116403074e-07,4.35133814826107e-06,1.360896838164607e-05,9.406551899244108e-18,1.0634079689934404e-13,2.434030257113212e-14,1.2275041132031538e-14,2.2394870113486572e-11,0.6979393797609702
0,0.9994480409,874,296.4640495868,565.4217630854,101325.0,0.4256860549,0.3,,,0.009165241849491317,8.459517695386704e-08,0.004972192609744396,3.0113394139572184e-06,2.0672805184350473e-05,1.3594905615375593e-06,3.1386825584521945e-12,1.3108102068732126e-08,1.2420036536036752e-09,0.2929087856686956,3.108371923500787e-09,8.490376069131013e-08,1.948561517771213e-05,1.847858992247487e-15,1.3235006549825648e-13,2.419681106655384e-14,3.5953846132334815e-14,1.1423254244108192e-10,0.6929090635467503
0,1.0003341351,872,294.1818181818,542.9409090909,101325.0,0.4244883971,0.3,,,0.009259080409742998,8.860367889076777e-08,0.004930702503583637,2.9995058776022644e-06,1.961552171642463e-05,1.1594740169510455e-06,1.2508066314600894e-12,1.1670831158553665e-08,1.0885497380344965e-09,0.2926271771661967,3.0335112306540613e-09,8.65769633281068e-08,2.0223719654552272e-05,-3.66695512588431e-15,8.837055734694726e-14,1.2104364870620933e-14,1.2295462492933957e-14,1.1637269279796893e-10,0.6931388506079442
0,1.0499704473,830,296.3446280992,578.5548209366,101325.0,0.4452224344,0.3,,,0.018952638151530574,4.113940788776546e-07,0.00344945579001779,2.524658246228882e-06,2.778288304753882e-06,2.9842231807475425e-06,3.511767379161469e-12,3.6466393431728383e-09,4.939632614390465e-10,0.29039120853215433,1.0639075457777237e-09,1.2128898647276262e-08,1.572291113433417e-05,3.9472244820059066e-16,3.165015948048154e-13,6.787927062798207e-14,1.3062664455086818e-13,1.844742593261738e-10,0.6871822585294423
0,1.0502380028,830,295.0607438017,576.852892562,101325.0,0.4436601141,0.3,,,0.01899408372368671,4.145689321223055e-07,0.003430293799333402,2.5116355110674403e-06,2.7395499310533056e-06,2.9590855679913903e-06,3.3324068719722097e-12,3.5603174932331034e-09,4.882332421553973e-10,0.29037323146227,1.05699757670911e-09,1.2046705321568128e-08,1.572246762711444e-05,3.4672675186239194e-16,3.094928791660427e-13,6.50859675752434e-14,1.2448285843683408e-13,1.8418423352675328e-10,0.6871780263668709
0,1.1004531704,813,295.0657024793,581.5351239669,101325.0,0.4429643273,0.3,,,0.028711204720503824,1.0391866691923698e-06,0.0018258166122874706,1.5371479343791325e-06,6.829736119264127e-07,8.608176656838471e-06,1.618920055257526e-11,3.891646229478261e-09,5.902261200186369e-10,0.28780166354572934,8.541098204408687e-10,3.156990917810307e-09,1.0368195564964958e-05,1.4846561796573335e-14,9.253822060586243e-13,2.2367373286720288e-13,5.541750416873348e-13,2.0198025551051055e-10,0.6816390707281814
0,1.1499367472,800,295.1190082645,583.3253443526,101325.0,0.4288611242,0.3,,,0.03801553478552144,0.00013813650244430786,0.00040903406436647695,3.4035279658093317e-06,1.3613954990161134e-07,3.5413181017177384e-05,3.639371221095037e-10,8.521957311862205e-09,7.621885736326494e-10,0.28511923814221424,7.804434891808703e-10,3.3930543569182587e-10,2.887055188647658e-06,3.68355121457976e-12,3.820314849904997e-12,2.2667848780015452e-11,3.983553257911981e-12,8.316790282635515e-08,0.676276122631842
