,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,AR,N2,HE,H2,H,O2,O,H2O,OH,H2O2,HO2,NO,N2O,NO2,HNO,HNO2,HONO,HONO2,N2H2,H2NN,NH2OH,HNOH,NH3,N2H4,N,NO3,NH,NNH,NH2,H2NO,N2H3
0,0.584953739,308,294.8995868,502.7794766,101325,0.247490962,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",23.805574563982645,24.7490962,-2.585052315910682e-15,0.7239880346591857,-2.2261237549728637e-15,3.4197678910756463e-06,1.8567587570369765e-14,0.06716855768069996,6.526710402633489e-14,0.20437048996510074,3.1809071140576696e-09,2.0685390487199792e-07,6.330286895451315e-13,0.0038915028455680724,0.00041910979206235627,0.00011550440766160831,1.484024207553746e-10,1.1306283086781197e-07,4.072374828512155e-05,2.333880713383176e-06,-1.372903633518567e-16,-1.0166065389114475e-15,4.566925986701387e-16,5.887849423259101e-16,6.006328009845941e-12,-7.24720458393839e-16,-1.2173504022836134e-15,8.993305116298604e-15,-1.2299761186245173e-15,-1.231714715396129e-15,-1.2010476702853796e-15,6.620242873903994e-14,-7.271230051399433e-16
0,0.584953739,1119,294.8995868,502.7794766,101325,0.247490962,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",24.34993111315191,24.7490962,-2.097272588008229e-15,0.724010292988723,-1.8701098057446563e-15,3.3912076047841944e-06,1.1986740698659614e-14,0.06686483329628606,3.169906513373519e-14,0.204660349954869,2.3811134523359656e-09,2.07187409735285e-07,4.0044409989206767e-13,0.0039479813533321575,0.0003538621487692158,0.00011545120321248523,1.534021003461236e-10,1.1438294447125715e-07,4.116970293650644e-05,2.344033683628539e-06,3.4657335342409623e-16,-1.0218593228314097e-16,9.313178543757441e-16,1.1328196077288207e-15,5.204694743471624e-12,-5.193906215734429e-17,-3.765711846327801e-17,8.217724571137635e-15,-7.170971274401002e-17,-6.511361795188952e-17,-2.2820708361966956e-17,5.824322356182364e-14,-5.349514112616584e-17
0,0.599061882,1128,294.9847107,501.838292,101325,0.249732594,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",24.740112298431086,24.9732594,4.472885758469901e-16,0.7230004928062279,1.04938044707429e-15,3.2981282131985047e-06,1.2338909148413017e-14,0.0645459898845782,3.2712075068681246e-14,0.20793136524278621,2.5587943065219173e-09,2.0392656125727272e-07,3.9969671455132827e-13,0.004189937145933351,0.0001685772736929366,0.00011525338100001028,1.8080521280854718e-10,1.1803319141866164e-07,4.247324851361773e-05,2.288186356886823e-06,-5.848014195876086e-16,-6.67354387894704e-16,-1.472292916962592e-16,9.115081547146897e-17,2.8623166093069224e-12,-6.812978063070058e-16,-7.998317808254781e-16,7.357680112514058e-15,-9.034414681449895e-16,-9.492645654687494e-16,-7.76092885879273e-16,3.553704690328362e-14,-6.783224194495458e-16
0,0.614689374,1123,294.2471074,513.484022,101325,0.257189174,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",25.726869941433506,25.718917400000002,2.519349648830825e-14,0.721752171804871,3.0950348706269375e-14,3.453847171661992e-06,2.781071629226543e-14,0.0617126178515368,7.585382230614098e-14,0.2118703211233726,4.284314856859017e-09,2.0815601604251767e-07,7.412559029169093e-13,0.004424581686030269,7.318377281139735e-05,0.00011672414080703788,2.373949142644938e-10,1.2351735207657108e-07,4.428241700097627e-05,2.3271588943718607e-06,-7.686416351390274e-16,-1.0159537481821767e-15,-5.18896786852864e-16,-2.8286124983493983e-16,1.505304904671246e-12,-7.967594656758985e-16,-2.2951147798631408e-15,9.461085109972163e-15,-2.943281547454048e-15,-3.1313976404297785e-15,-2.0103711946061456e-15,2.4667080523141063e-14,-7.957614392170262e-16
0,0.644781989,1108,295.0371901,517.7053719,101325,0.267547427,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",27.126277609427007,26.7547427,1.6426816275734035e-16,0.7194390055360385,-9.895818301387584e-17,3.929327044180553e-06,6.442137221516903e-14,0.05630149332427499,1.6055157671887551e-13,0.219225300950536,6.875603635672697e-09,2.2408869434773518e-07,1.2133535500201998e-12,0.004848238895386166,9.674648041966026e-06,0.00012108389726141207,4.090075759378502e-10,1.362209565348881e-07,4.8387841212293585e-05,2.517984140146825e-06,4.867858034887402e-16,4.5682324471309e-16,5.693301185304989e-16,8.859274081307431e-16,3.181178833210742e-13,5.046419293772171e-16,9.597702810127134e-16,1.8575937252748728e-14,1.2757468058955938e-15,1.3681647478077345e-15,8.1679319316033685e-16,1.9063975609821997e-14,5.067421372001755e-16
0,0.69938299,1121,295.9326446,496.9161157,101325,0.283176905,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",29.24589573440062,28.317690499999998,-1.605947233105894e-15,0.7155166352716402,-2.283403833010167e-15,6.112264738755933e-06,1.161981858808754e-13,0.046425942413729764,2.06290607448982e-13,0.2323658210467475,8.36004468151232e-09,2.887049312796755e-07,1.2627903227488856e-12,0.005488245396882184,2.6363427004553286e-07,0.0001347421351946678,1.2903742594083451e-09,1.6879923449430786e-07,5.8417747076376077e-05,3.3529333828880855e-06,2.9324551785552467e-16,2.967579298711552e-16,3.4796284432152156e-16,1.113708922118899e-15,9.939417395046755e-14,2.608144678122678e-16,6.56547856783347e-16,2.8225330627771985e-14,8.780561266954553e-16,9.457135955318176e-16,5.813694567917705e-16,3.819171340687372e-14,2.627319887947511e-16
0,0.700213756,1126,294.1599174,494.6993113,101325,0.28183595,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",29.171186860853368,28.183595,-3.827794687468991e-15,0.7154644590575115,-3.509440585616828e-15,6.146143481481152e-06,1.0725756119562567e-13,0.04625485875602536,1.8746393468353624e-13,0.23259653132086652,7.925614237684136e-09,2.897010720472702e-07,1.1708677427914852e-12,0.005480693389764386,2.636417911966072e-07,0.0001347456950248808,1.3044038790758725e-09,1.6898831621637323e-07,5.846743399848105e-05,3.3666405057283716e-06,-1.3065258219488528e-16,-1.3918120820777932e-16,-9.090363928935472e-17,7.338280311752459e-16,1.0000705332591959e-13,-1.3803839437011684e-16,2.5205538320901294e-16,2.6926319523310504e-14,3.8260317335309264e-16,3.954590934701751e-16,1.7502990157011214e-16,3.802285672010032e-14,-1.3597056891468977e-16
0,0.750132586,1108,294.4524793,504.3887052,101325,0.299947939,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",31.58337488163602,29.994793899999998,-3.107005358744329e-15,0.7118238407820259,-3.274427118593785e-15,1.0724336359841492e-05,7.526810910668313e-13,0.03711437414267789,9.894672591220335e-13,0.2449051321381436,2.0866166818833768e-08,3.804006069475281e-07,4.016387476564907e-12,0.005925457513935704,2.0101583823283228e-07,0.00014640564101484792,4.279669233312479e-09,2.060846247260974e-07,6.881455559060951e-05,4.438237171665715e-06,-3.4776054548657814e-16,-4.0250374478774647e-16,-2.053361440021261e-16,2.197805596632961e-15,2.3490405254723636e-13,-3.3615530543234176e-16,-5.881056090474674e-16,7.811081011977485e-14,-7.4899674919466e-16,-8.002540593800688e-16,-5.39928972241003e-16,1.1083079493532942e-13,-3.363263798226214e-16
0,0.799253604,1130,296.5227273,512.2807163,101325,0.304832403,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",32.26004728737007,30.4832403,2.0296544625311716e-15,0.7084330657236004,2.0043962463946866e-15,1.9333568363956474e-05,4.7511044991919415e-12,0.028417781598171314,4.061575285912418e-12,0.25666059021802007,4.658860214837311e-08,4.91979872096991e-07,1.2012659216080285e-11,0.006233925162754665,2.116476631793101e-07,0.0001495996322632051,1.4548583255448695e-08,2.5134586625785506e-07,7.919595386019934e-05,5.492010267090926e-06,1.199445323765866e-15,1.2459656188244953e-15,1.5571587043020994e-15,1.0192690402913163e-14,6.513999205526295e-13,1.2026381998223056e-15,7.773574684709933e-16,1.9670112694614634e-13,8.09070155659721e-16,8.457560027843657e-16,8.189554366372459e-16,4.147901894153906e-13,1.206465010018544e-15
0,0.85017298,1109,294.7871901,523.6608815,101325,0.339452848,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",36.89690150214233,33.945284799999996,-3.944536408573957e-15,0.7049672857955734,-3.853411720567289e-15,4.456289855610324e-05,7.245475687918765e-11,0.019163192184102715,3.437579105714024e-11,0.2692274421033594,1.4753587034778983e-07,7.05713483418772e-07,6.93643878973249e-11,0.006359464526489181,2.440569017935666e-07,0.0001354767158497723,8.709031370487746e-08,3.535648452534603e-07,9.418102963195164e-05,6.856600168573611e-06,-1.153324203779599e-16,-2.205936476937659e-16,2.2147396806238425e-15,8.260773216096414e-14,3.249606791375656e-12,-1.444110515800657e-16,-4.49765509477534e-16,7.169534615323319e-13,-7.994269539802607e-16,-9.304145509865862e-16,-3.2028885256451505e-16,4.618971045976023e-12,-1.46924005127226e-16
