,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,N2,H2,H,O2,O,H2O,OH,H2O2,HO2,NO,N2O,NO2,HNO,HONO,N2H2,NH3,N2H4,N,NH,NNH,NH2,H2NO
0,0.584953739,908,294.8995868,502.7794766,101325,0.247490962,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",24.44771874,24.7490962,0.724052477,3.27E-06,1.83E-14,0.066964225,3.95E-14,0.204513529,4.04E-09,2.02E-07,6.61E-13,0.003983138,0.000323836,0.000117203,2.41E-10,4.21E-05,5.07E-18,4.72E-12,-3.17E-16,-3.02E-16,-2.17E-16,-1.80E-16,-3.20E-16,5.33E-14
0,0.599061882,921,294.9847107,501.838292,101325,0.249732594,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",24.8255619,24.9732594,0.723045554,3.21E-06,1.97E-14,0.064619957,4.21E-14,0.207798883,4.27E-09,2.00E-07,6.53E-13,0.00421713,0.000154545,0.000117076,2.83E-10,4.34E-05,-1.51E-16,2.62E-12,-2.52E-16,-3.85E-16,-3.66E-16,-3.68E-16,-3.86E-16,3.36E-14
0,0.614689374,940,294.2471074,513.484022,101325,0.257189174,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",25.81515092,25.7189174,0.721757955,3.37E-06,4.31E-14,0.061747503,9.73E-14,0.211807025,6.84E-09,2.04E-07,1.16E-12,0.004454586,6.54E-05,0.000118644,3.63E-10,4.53E-05,5.76E-17,1.35E-12,7.60E-17,-7.08E-17,-1.71E-16,-1.78E-16,-1.30E-17,2.39E-14
0,0.644781989,986,295.0371901,517.7053719,101325,0.267547427,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",27.19511469,26.7547427,0.719409914,3.86E-06,9.11E-14,0.05632361,2.01E-13,0.219201263,1.06E-08,2.21E-07,1.84E-12,0.004879665,8.37E-06,0.000123494,6.19E-10,4.96E-05,1.29E-16,2.81E-13,1.35E-16,4.39E-17,1.91E-17,2.30E-17,6.13E-17,1.82E-14
0,0.69938299,1009,295.9326446,496.9161157,101325,0.283176905,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",29.37353788,28.3176905,0.715480848,6.09E-06,1.64E-13,0.046368364,2.58E-13,0.232420861,1.29E-08,2.86E-07,1.92E-12,0.005524517,2.47E-07,0.000138622,2.03E-09,6.02E-05,1.05E-16,9.86E-14,1.38E-16,-1.80E-16,-3.07E-16,-3.30E-16,-1.18E-16,3.81E-14
0,0.700213756,1011,294.1599174,494.6993113,101325,0.28183595,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",29.30122705,28.183595,0.715424179,6.12E-06,1.52E-13,0.046185467,2.34E-13,0.232668065,1.23E-08,2.87E-07,1.79E-12,0.005516778,2.47E-07,0.000138634,2.06E-09,6.02E-05,-1.64E-16,9.94E-14,-9.84E-17,-6.08E-16,-7.35E-16,-7.27E-16,-5.18E-16,3.81E-14
0,0.750132586,990,294.4524793,504.3887052,101325,0.299947939,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",31.76678672,29.9947939,0.711773287,1.08E-05,1.00E-12,0.037009398,1.22E-12,0.245021376,3.10E-08,3.78E-07,5.84E-12,0.0059618,1.99E-07,0.000151727,6.71E-09,7.10E-05,1.20E-17,2.36E-13,4.41E-17,2.75E-16,3.61E-16,3.79E-16,2.23E-16,1.14E-13
0,0.799253604,993,296.5227273,512.2807163,101325,0.304832403,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",32.42322608,30.4832403,0.708372585,1.95E-05,5.88E-12,0.028302986,4.88E-12,0.256798316,6.62E-08,4.90E-07,1.64E-11,0.006267877,2.11E-07,0.000156143,2.24E-08,8.18E-05,4.50E-16,6.54E-13,3.75E-16,6.47E-17,-1.03E-16,-1.65E-16,1.13E-16,4.47E-13
0,0.85017298,1003,294.7871901,523.6608815,101325,0.339452848,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",37.11595033,33.9452848,0.70486727,4.51E-05,8.04E-11,0.019017528,3.94E-11,0.269433004,1.93E-07,7.05E-07,8.30E-11,0.006395415,2.43E-07,0.000143124,1.27E-07,9.73E-05,-2.61E-15,3.25E-12,-2.76E-15,-4.49E-15,-5.09E-15,-5.23E-15,-4.09E-15,5.72E-12
0,0.900337992,987,296.5417355,537.3706612,101325,0.372337488,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",41.40421221,37.2337488,0.701547861,0.000135157,3.33E-09,0.010119085,3.90E-10,0.281640838,6.15E-07,1.01E-06,1.06E-09,0.006345717,3.57E-07,9.14E-05,1.16E-06,0.000116798,2.44E-16,3.48E-11,-3.08E-16,2.58E-15,3.01E-15,3.20E-15,4.93E-15,2.72E-10
