,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,AR,N2,H,H2,HE,O,OH,H2O,HO2,H2O2,O2,OH*,N,NH,NH2,NH3,NNH,N2H2,N2H3,N2H4,H2NN,NO,N2O,NO2,HNO,HON,HONO,H2NO,HNOH,NH2OH,HNO2,HONO2,NO3,HNO3,CO,CO2,CH4,C2H6
0,0.5849537388,892,294.8995867769,502.779476584,101325.0,0.2474909619,0.3,,,-2.6154660084660326e-15,0.7234676294486849,2.6531129769213193e-16,4.005383917823648e-06,-2.2679857271115905e-15,2.611425629422283e-13,3.672243811018279e-12,0.20553041095059355,1.090907218960075e-14,2.706901177688782e-07,0.06564140513447327,5.583375911525872e-16,4.602423982649121e-16,4.4393551216162397e-16,3.4422355289715804e-16,6.282148996666082e-13,5.574612868164729e-16,-1.7617272741472306e-16,-3.0876027428712786e-16,-1.8346573247684916e-16,-4.002853623061078e-16,0.004985950742573384,0.000197934217893102,0.00011410812748595082,8.134427038908022e-10,-1.8676996199218046e-16,5.622425020490881e-05,2.3382873732834818e-14,-1.812774387539421e-17,-7.303100902486176e-17,2.5293824651994312e-08,9.856421784155608e-07,6.121054809321326e-16,1.0493000275902797e-06,-2.6023254225656303e-15,-2.6440079719626032e-15,-2.6579251768742265e-15,-2.661440188272772e-15
0,0.5990618824,869,294.9847107438,501.838292011,101325.0,0.2497325936,0.3,,,2.3391452964823326e-15,0.7223648849153216,-4.221731317364173e-16,3.7775304057306696e-06,2.060479837825374e-15,2.59003507500112e-13,3.66759120053154e-12,0.2086447379838772,1.053471058836897e-14,2.624225571767756e-07,0.06337173640855462,-5.455972266546404e-16,-6.618177751811396e-16,-6.71836334217786e-16,-6.096512778872788e-16,3.347753014705468e-13,-5.469151548349639e-16,6.386255456877233e-17,2.3754684666531974e-17,6.422191763626056e-17,7.621203791790017e-18,0.005345168608583595,9.575212164797243e-05,0.00011406866467983517,8.968230815606349e-10,-1.0288133436756129e-16,5.763441644407325e-05,2.294668242772484e-14,1.5266976555943646e-16,1.8064347913246573e-16,2.6328515201535838e-08,9.431155568439564e-07,-5.061913932647409e-16,1.006582728106599e-06,2.320402975818886e-15,2.3952520174226384e-15,2.27602215712127e-15,2.3993687949987903e-15
0,0.6146893744,865,294.247107438,513.4840220386,101325.0,0.2571891743,0.3,,,-1.785736939479242e-15,0.7210244947196494,6.330495393127001e-16,3.904935974956202e-06,1.2771542579418622e-15,4.958415583767724e-13,8.625150721487306e-12,0.2125130957891881,1.754580179811448e-14,2.6505651502829236e-07,0.06055120589484002,1.2487586301961679e-15,1.0676285266657946e-15,1.0051254173984425e-15,7.183005178240466e-16,1.847541551056434e-13,1.2480187427628644e-15,6.841525121019357e-16,6.797765176759606e-16,6.848142645488795e-16,5.810674753977286e-16,0.005687076351078705,4.227877738219637e-05,0.00011563811083391669,1.0867589176644556e-09,5.207317917694146e-16,6.0054886477277914e-05,2.6235932970891406e-14,9.168396297866102e-16,6.961673402604548e-16,2.7877890135867606e-08,9.445337871577505e-07,1.3307514881333813e-15,1.011970269421202e-06,-1.7768652663921534e-15,-1.583745136143413e-15,-1.6484376447339482e-15,-1.4931864142474233e-15
0,0.6447819894,886,295.0371900826,517.7053719008,101325.0,0.2675474274,0.3,,,-3.16128240479416e-14,0.7185815441056572,-9.649102326417008e-17,4.372879431058794e-06,-3.5697713393383474e-14,8.734437485489071e-13,1.6770474843493128e-11,0.21980055927463332,2.5507877114186547e-14,2.7918228883043717e-07,0.055126547118106564,-1.3810373315821494e-15,-1.2313213870290366e-15,-1.180533353894944e-15,-9.340215472225387e-16,5.690316838856315e-14,-1.3798005410015007e-15,-1.2068831674721505e-15,-1.1878084321310268e-15,-1.2103327533686952e-15,-9.859764333246351e-16,0.006293265283929513,5.993438816227018e-06,0.00011962783940895058,1.6476052221694626e-09,-8.41817755106747e-16,6.571597639182311e-05,3.374991565386926e-14,-1.0151774921395356e-15,-1.1393045245122254e-15,3.149766424986161e-08,9.910582951520316e-07,-1.1810722311879025e-15,1.0706802278047223e-06,-3.3562437035977467e-14,-3.07348585510244e-14,-3.625147799492794e-14,-3.2567946416886045e-14
0,0.6993829903,936,295.9326446281,496.9161157025,101325.0,0.2831769049,0.3,,,-1.162212608980463e-15,0.7145202867097195,1.2233113911337583e-15,6.600465483327266e-06,-1.0294677230869352e-15,1.063568367964004e-12,1.6088324876033885e-11,0.23285312665474067,2.6227827169205324e-14,3.421554522503477e-07,0.04522699191417534,4.638519141980351e-16,3.788492246375319e-16,3.5203179933700357e-16,2.0481675537051452e-16,4.935361229321909e-14,4.630239035563181e-16,-9.413010481875433e-17,-9.741038641253783e-17,-9.083643791278763e-17,-9.713148008896747e-17,0.007179644726467357,2.725189299458433e-07,0.0001299999793253238,4.125293671611817e-09,-4.7150113805688425e-17,8.01011033993728e-05,7.350101012188041e-14,5.541311955146508e-16,-7.310899855909904e-17,4.0669930999836636e-08,1.2323136084231794e-06,5.902751735170505e-16,1.356646176360178e-06,-1.1597841144598675e-15,-1.178554864012494e-15,-1.153862811537113e-15,-1.192802980306494e-15
0,0.7002137561,939,294.1599173554,494.6993112948,101325.0,0.2818359501,0.3,,,2.653109704215977e-15,0.7144710312431464,1.1656903499268607e-15,6.64059692626013e-06,2.9492431059344034e-15,9.835772878877671e-13,1.4466356247260153e-11,0.23308381266220388,2.4617168644220973e-14,3.4327261364882505e-07,0.04505746758118806,1.5267604373012854e-16,1.3815894716943102e-16,1.3348193425131105e-16,1.0669620739946141e-16,4.992587349207608e-14,1.526070161780503e-16,2.0548879752484097e-17,2.4972424153584524e-17,2.0001111842242965e-17,3.370893375544685e-17,0.007167624358615163,2.730252984020054e-07,0.00012996476045689707,4.170372820709601e-09,4.7762185580795593e-17,8.019836443762002e-05,7.403154475333719e-14,6.649068508989889e-16,5.1273529501540264e-17,4.072894983966505e-08,1.2369340013163492e-06,2.8568795985748714e-16,1.3622861717676018e-06,2.6599532992861325e-15,2.682874826243701e-15,2.674036288516518e-15,2.698593713391615e-15
0,0.7501325861,958,294.4524793388,504.3887052342,101325.0,0.2999479385,0.3,,,2.345149302317064e-15,0.7107500543562792,1.7055939325234336e-14,1.1465257267652263e-05,1.9519080042688807e-15,4.054481435176252e-12,6.88912713351741e-11,0.24541033242938082,8.409887574222759e-14,4.3344014364195164e-07,0.03582798789594017,6.946464493561646e-16,6.598241090576677e-16,6.486195802172146e-16,5.938626674323461e-16,1.0554055292571595e-13,6.942820469932541e-16,3.658535941680715e-16,4.1690609283553273e-16,3.689868221859152e-16,5.009389802662404e-16,0.007763255751510528,2.1681197640776512e-07,0.00013709004940044286,1.057831690555989e-08,6.652890610077276e-16,9.583746741223598e-05,1.8383818655446884e-13,2.0283167230148662e-15,4.299843826545764e-16,5.075195574777296e-08,1.5374595146867514e-06,1.1189312502091345e-15,1.7276775430280416e-06,2.243295280342051e-15,2.390874089236548e-15,2.074351736535845e-15,2.2913257514772202e-15
0,0.7992536035,979,296.5227272727,512.2807162534,101325.0,0.3048324033,0.3,,,-1.2712312820445509e-15,0.7073340041728772,2.090743956126173e-13,2.0781768738782944e-05,-1.1370099783937521e-15,1.425642139784094e-11,2.543515829091908e-10,0.257192577444371,3.443087401404811e-13,5.427742685671332e-07,0.02707125571018525,1.7318087238247693e-16,5.265561826785201e-17,2.0060482607817468e-17,-1.034230517436842e-16,2.47009873102105e-13,1.7147319169393011e-16,-7.266806425697558e-18,5.045377416611587e-18,8.898133132544594e-18,-9.149404873998425e-18,0.008129462521341103,2.188162558347205e-07,0.00013516821998682462,2.7873280052304057e-08,7.331669050597811e-16,0.00011202869322079024,5.251458678228679e-13,4.934644526650925e-15,1.190756759526547e-16,6.120660250986889e-08,1.8018893898017785e-06,1.471627088936358e-15,2.068639548467248e-06,-1.2651759057253427e-15,-1.283036660680685e-15,-1.2566420910516629e-15,-1.2760455866012876e-15
0,0.8501729796,1025,294.7871900826,523.6608815427,101325.0,0.3394528477,0.3,,,2.2542818697496665e-16,0.7038605142600138,8.72819377044191e-12,5.0770471912402476e-05,-2.2358268416194112e-15,1.0415430698153546e-10,1.703271315923121e-09,0.2698140560739541,5.231450435125014e-12,7.499405168932276e-07,0.017819384439956454,-1.3275768518632596e-15,-1.8194476461789644e-16,1.936882652844609e-16,1.7542529423728237e-15,1.044240481233519e-12,-1.3105776926637098e-15,-1.1015385708434751e-15,-6.744201197790409e-16,-1.2353427702081695e-15,-9.719262743865883e-16,0.008196414124867255,2.3577303066729015e-07,0.0001154152301423796,1.2103808094168036e-07,1.7555239659520147e-14,0.00013769860573759776,3.423638545550691e-12,3.359105854102355e-14,-1.9364554520434647e-16,7.76180489584925e-08,2.0855781528980183e-06,6.991919529684711e-15,2.475019681146385e-06,-1.8966048728231935e-16,6.498477131140799e-16,-8.819578566134864e-16,4.880344548122182e-16
0,0.9003379917,1018,296.5417355372,537.370661157,101325.0,0.3723374876,0.3,,,-5.197905585117616e-14,0.7006009518386761,1.3503134824226843e-09,0.00016669785615725189,-4.820114336343454e-14,9.150226932497209e-10,1.5716582180549252e-08,0.2820625357140897,3.3096273838323715e-10,9.736135756997167e-07,0.008958264789019212,-5.323304462982863e-15,-9.417830804873498e-15,-1.0706953689739209e-14,-1.560190683913849e-14,1.2237712225342832e-11,-5.3438328924388804e-15,-2.6756167602687504e-14,-2.1269542762180207e-14,-2.7320587984022394e-14,-2.397437366391193e-14,0.007973337205045462,2.459695574211913e-07,6.269649030084341e-05,1.1592217942097772e-06,1.129329408220658e-12,0.00016931159777147078,9.983330367843517e-11,1.3863720018502298e-12,-3.867152071093735e-15,9.582797360058003e-08,1.6489807952630657e-06,3.36152950625627e-14,2.0624682011674575e-06,-5.197152189127226e-14,-5.240299606147773e-14,-5.197008929571372e-14,-5.27041509974321e-14
