,phi,grid,T_in,T,P,vel,blend,fuel,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,NO,N2O,NO2,NH3,HNO,N,N2H,NH2,NH,H2NO,oxidizer.O2,oxidizer.N2
0,0.648300715,54,296.3240741,484.7467078,100791.432,0.198093657,0.2NH3,"CH4: 0.612351787, NH3: 0.387648213",0.7353474710699304,4.120976704800693e-15,5.066642348618613e-15,3.922231554591075e-10,0.06619366656255982,7.800353057905472e-06,1.3249382360594113e-08,1.846110727388193e-06,0.13816813607845904,3.5968210485591352e-09,2.573811965625451e-06,6.412832583530386e-06,0.056252611514673555,1.0497122181884512e-15,1.6662394311209695e-15,7.335115948462675e-14,1.596417620068548e-14,9.8843630364682e-16,9.88638386659123e-16,1.7426070685445896e-15,1.0752474482009658e-15,1.0160828916661807e-15,9.55345957719648e-16,9.832462171514988e-16,1.0467618810293127e-15,1.0393371825388184e-15,8.97130371902632e-16,1.0118856443654178e-15,1.0200805265491652e-15,8.073999956115346e-07,1.018149967057262e-15,9.815091780062126e-16,1.0074936108607769e-15,1.0160697589877536e-15,5.821502054462772e-14,8.909612350830856e-16,1.025705810561483e-15,9.590265515511658e-16,1.0803349669694301e-15,1.032738706700199e-15,1.0300076372391542e-15,1.992598469250465e-15,1.0049585900086121e-15,1.1081203022799124e-15,1.311098648659501e-15,9.713762048217156e-16,1.0343194599911152e-15,1.0350058204912884e-15,1.0434448423521988e-15,3.000507665773393e-16,9.608975822707106e-16,1.0489626900158308e-15,1.0487512871970211e-15,4.9254184126158404e-15,5.508288774681771e-16,1.0576625025618249e-15,1.9547430058920604e-16,1.0253777723801822e-15,0.003947209716546624,1.616285357347356e-05,5.5283320550248826e-05,8.821632816726502e-14,1.136631843738733e-09,9.827723630055829e-16,1.01826051811368e-15,1.0131931266310573e-15,9.85751848638076e-16,2.4400185849446714e-14,0.21,0.79
0,0.687574701,48,296.4140845,493.613615,100791.432,0.218063218,0.2NH3,"CH4: 0.612351787, NH3: 0.387648214",0.7324667142419833,3.0551228034823043e-15,2.213318665275155e-15,7.502962191455852e-10,0.058542865085070235,9.990504413950417e-06,2.410779505291151e-08,2.2939506775088352e-06,0.1452996577037213,5.103254857066592e-09,2.767957810448154e-06,6.977992593033919e-06,0.05905114203882616,9.48410380777215e-16,1.9392017381493297e-15,7.199996359890047e-14,1.761279012586904e-14,8.543985427433903e-16,8.526849153567157e-16,-1.1571453170301074e-15,9.36392463272995e-16,8.660817928344356e-16,1.0920706188173191e-15,8.526117377978687e-16,1.0445621039697104e-15,8.717482047102984e-16,1.435502691868198e-15,8.619166693172597e-16,8.812973859339798e-16,7.133831567308821e-07,8.647890311559791e-16,1.066016482122596e-15,8.607225161271994e-16,8.663746222085543e-16,5.952584543075801e-14,1.1954114582589865e-15,8.680002289213119e-16,1.050396745673438e-15,8.295056184390175e-16,8.697852315853412e-16,8.6903830290995605e-16,1.2472268288278124e-15,9.54805499974386e-16,1.1260655854641845e-15,1.7891191309124505e-15,1.0969719923717963e-15,8.726785536846959e-16,8.747857451887368e-16,8.849256545174053e-16,2.0990476858204225e-15,1.037025796156149e-15,8.760320391874975e-16,8.757110599729005e-16,1.1180438631008734e-15,1.7929963570551345e-15,8.777250910849852e-16,1.995996173557891e-15,8.668672802222375e-16,0.004555865871248467,2.1131877956902347e-06,5.886627042016682e-05,3.2160938209484147e-14,1.8506746367245622e-09,8.543037030395926e-16,8.771825571719995e-16,8.700524260597081e-16,8.546246448455271e-16,3.0359668752114647e-14,0.21,0.79
0,0.701552633,50,296.23,427.830636,101724.686,0.246122148,0.2NH3,"CH4: 0.612351787, NH3: 0.387648215",0.731271726474226,6.824223183498486e-16,5.450626798574225e-16,7.705142310430396e-10,0.05585503606027413,1.0125596477001968e-05,1.6534711240772506e-08,2.957608213578887e-06,0.14732480921677496,4.960814767124121e-09,3.692995506545427e-06,9.316197289647317e-06,0.06070702858452094,6.117376187883895e-16,1.1700984297776315e-15,7.035282141598582e-14,1.611772452215383e-14,4.642942621080495e-16,4.6458949296692925e-16,3.331804441926446e-15,5.787297795034297e-16,4.844140852975641e-16,4.819813299664836e-16,4.607120203190752e-16,9.017563615294257e-16,4.997292691750664e-16,4.0466755403030474e-16,4.801389500060062e-16,4.846127190727288e-16,7.111208671802583e-07,4.842672941241737e-16,5.559179982408462e-16,4.77486614211034e-16,4.849362648734135e-16,6.144053242742393e-14,4.4154661275656697e-16,4.900530984378472e-16,4.670937452754643e-16,9.106629953178636e-16,4.949726313377131e-16,4.931568386648509e-16,1.9956805134293823e-15,5.021113272762036e-16,6.49724382254552e-16,9.36669526803934e-16,4.910640988161505e-16,4.958590736159932e-16,4.963423066257916e-16,5.016528269159129e-16,3.287925982757657e-17,4.588682027481066e-16,5.073196486747066e-16,5.076317787981771e-16,3.140433297337311e-15,5.758881841753591e-17,5.121672950526182e-16,-2.275105380263604e-16,4.901677276504496e-16,0.004747705327999396,1.5670064925868196e-06,6.529932520589551e-05,4.065444130072132e-14,2.2198533028229484e-09,4.600345758546866e-16,4.932093294376615e-16,4.763821901030952e-16,4.618012826522139e-16,3.880602172292705e-14,0.21,0.79
0,0.737818465,55,296.5586735,508.0607143,100791.432,0.240693564,0.2NH3,"CH4: 0.612351787, NH3: 0.387648216",0.7286409236446294,1.9513871295432949e-16,3.6761229837793267e-16,2.2416879439613364e-09,0.04842355281047262,1.3611953354465002e-05,5.1904552142297436e-08,3.863948058391879e-06,0.15465471499287264,8.807239915708624e-09,3.1159290464972873e-06,1.1014956652684876e-05,0.06298728735479645,1.2845858660409242e-15,2.2094812243190895e-15,7.139228887117256e-14,1.9002197245750376e-14,8.309650769789659e-16,8.304669275085341e-16,7.449798599768709e-16,9.084321318340437e-16,8.289845136808876e-16,7.049150186908785e-16,8.288104481275192e-16,5.609903798829755e-16,8.276955174953314e-16,6.318837713834125e-16,8.288229904113555e-16,8.2110902047864e-16,7.090585149161666e-07,8.248560368253494e-16,6.84262332183513e-16,8.290058970368063e-16,8.358345033066314e-16,6.88103282668285e-14,6.620739833347939e-16,8.28901349730305e-16,7.399180027077511e-16,8.101267890673106e-16,8.285394386510987e-16,8.290080587708797e-16,7.060486945086934e-17,7.560913730543531e-16,5.955469573346321e-16,9.594480331142923e-17,7.12430939281642e-16,8.28857042407856e-16,8.257462767297483e-16,8.251477075928843e-16,5.512805412353477e-16,7.667317724770314e-16,8.282988237646056e-16,8.28623485636822e-16,5.116635746536565e-18,6.034891644891966e-16,8.276044849787161e-16,6.855655911895508e-16,8.280391458283424e-16,0.005197175095461025,2.4602415726790564e-07,6.371705273573009e-05,3.6117449209842706e-14,4.225489712772015e-09,8.287713249693851e-16,8.90958789155125e-16,8.529491261959722e-16,8.296094061368572e-16,4.8584527745621627e-14,0.21,0.79
0,0.753396318,65,296.5925,512.5994444,100791.432,0.244478419,0.2NH3,"CH4: 0.612351787, NH3: 0.387648217",0.7274607241617211,1.3943704335006574e-15,1.6298161301056474e-15,3.1740174871030224e-09,0.04509261474414921,1.4870114446921681e-05,6.428060086622945e-08,4.632688176083339e-06,0.1576717207217802,1.0333997071549552e-08,3.232998699870451e-06,1.298630182382824e-05,0.06427294850748463,1.3827778575299552e-15,2.2390458853770332e-15,6.916868566775835e-14,2.096872742692606e-14,5.74626953265206e-16,5.734826984454012e-16,2.6869215187846478e-15,6.585320285583705e-16,5.73983557812703e-16,7.724038102808221e-16,5.7167542826001225e-16,1.2308199083917479e-15,5.717452203475238e-16,7.585634515590562e-16,5.714848946830842e-16,5.792726340858338e-16,6.915226231101588e-07,5.687096416547287e-16,8.766312536983436e-16,5.726720673249984e-16,5.806750579785646e-16,7.197163677678499e-14,8.228047620129008e-16,5.718313797319912e-16,7.021591799466095e-16,6.417677059062104e-16,5.71421747298762e-16,5.724145373119314e-16,2.583488829425716e-15,7.293694535120956e-16,1.0533225638495943e-15,1.878303813510569e-15,7.607581864280537e-16,5.741835724051082e-16,5.773559206919475e-16,5.74013832419726e-16,8.088474077786682e-16,6.435910134764309e-16,5.725203962768414e-16,5.726410526862305e-16,1.5844354044829837e-15,7.380408379905422e-16,5.70996058867314e-16,6.566959723405087e-16,5.727101082589867e-16,0.005400501518693744,1.96315262970536e-07,6.47970723530113e-05,4.666410300818244e-14,5.5438621912149e-09,5.731160321750014e-16,6.737304584371467e-16,6.092987797585967e-16,5.749393505390609e-16,5.835867480509169e-14,0.21,0.79
0,0.789254238,55,296.6725,517.4427083,100791.432,0.241887234,0.2NH3,"CH4: 0.612351787, NH3: 0.387648218",0.7250681954013882,1.5965320982312576e-15,1.081828183998573e-15,6.216916038138768e-09,0.03882174477748308,1.7581785826359838e-05,9.50974380259623e-08,6.660763278064948e-06,0.16369558136193385,1.4011344994466454e-08,3.516472608452223e-06,1.807740426740629e-05,0.06652240303625659,1.3795980992347544e-15,1.0530802414732156e-15,6.656023917636391e-14,2.236817316897586e-14,-1.1679149771287683e-15,-1.1715723494144311e-15,-7.646982996649093e-16,-1.0695752875063665e-15,-1.1593032195342172e-15,-6.454203250669194e-16,-1.1720625317163536e-15,4.7678714685501146e-17,-1.1707754869908602e-15,-6.519485453023986e-17,-1.169960323386636e-15,-1.1157738476837826e-15,6.86319531394165e-07,-1.1686377908073317e-15,-5.545839657534729e-16,-1.170991793997935e-15,-1.160411031296041e-15,7.636832768975733e-14,-4.0116835132710654e-16,-1.1707205170547891e-15,-7.697012664319957e-16,-1.0944989526463086e-15,-1.1700370453498503e-15,-1.170911020680035e-15,1.4120319785838231e-15,-7.301520161067187e-16,-2.596712570036034e-16,1.7988457850067625e-15,-6.659085999836917e-16,-1.1578389629689375e-15,-1.1295937247887638e-15,-1.15714335914299e-15,1.2208070326764e-16,-8.721375810061836e-16,-1.1590470187823736e-15,-1.1645934663258784e-15,6.0260385903940296e-15,-1.910686445649303e-16,-1.1702315215254328e-15,-8.610837356803587e-16,-1.1699666825471393e-15,0.005779226285318066,1.8428888824760137e-07,6.60173435421806e-05,7.98531887355331e-14,9.43367377896632e-09,-1.1696856525183732e-15,-9.202659430687056e-16,-1.0866988551388063e-15,-1.1574974531121206e-15,8.201296024236444e-14,0.21,0.79
0,0.805892891,77,296.7090278,520.5979167,100791.432,0.236942403,0.2NH3,"CH4: 0.612351787, NH3: 0.387648219",0.724096276397564,3.953585918167814e-15,2.0433894851310787e-15,9.5202521797406e-09,0.03432199944884625,1.9117315085838595e-05,1.167813013891652e-07,8.5155660487641e-06,0.16704401011407422,1.6646721610529643e-08,3.6824894731037066e-06,2.274398850408914e-05,0.06850236553264379,6.112194609888816e-15,2.8564307183579016e-15,6.888172291442796e-14,2.3829093179318857e-14,5.993442591112488e-16,5.967191678533821e-16,1.3052238433704767e-15,6.989576583629461e-16,6.026314636965261e-16,7.431231757017446e-16,5.966140271834145e-16,1.0343463146704344e-15,5.964642387330773e-16,8.915448241608867e-16,5.968899838003915e-16,6.150068609768109e-16,6.984618067905558e-07,5.963784893165908e-16,7.927999688725835e-16,5.976054664797179e-16,6.108802708978221e-16,8.2189279767231e-14,8.147560030496472e-16,5.96763129965597e-16,7.087717379914894e-16,6.235215873096432e-16,5.981361771004837e-16,5.960185845260905e-16,1.3336487936011292e-15,7.463303937289791e-16,8.456729745534893e-16,1.3815811308915637e-15,7.348610125042791e-16,6.00931457567321e-16,6.102517827365696e-16,5.998023603317734e-16,9.13419314397959e-16,6.78911025375887e-16,6.014519892650028e-16,5.999749197827922e-16,2.8768899662673272e-15,8.054258309879161e-16,5.968155687748907e-16,6.359574705540403e-16,5.968929354189542e-16,0.005915224754216047,1.811917919706414e-07,6.502847742277583e-05,1.1882596935569311e-13,1.3313801050613306e-08,5.980589029269498e-16,1.0380020659635064e-15,7.220445211187691e-16,6.204462207743862e-16,1.0490165372197595e-13,0.21,0.79
0,0.848939565,71,296.18,449.0567514,101724.686,0.315656733,0.2NH3,"CH4: 0.612351787, NH3: 0.387648220",0.7210344672614494,3.373543201642471e-15,1.0509733204260224e-15,3.376533624554913e-08,0.026321810271272773,2.674126134478895e-05,2.2587232477827635e-07,1.8578776837474496e-05,0.17426891045436585,3.395190441046188e-08,5.373420158193043e-06,4.491057670629426e-05,0.07201994837718619,5.337482918007237e-14,2.8451868743017695e-15,7.934477377850402e-14,3.032170785899477e-14,-6.132953626144901e-17,-6.578415515754532e-17,-1.3955221443727685e-15,1.2064403564618788e-16,-8.683244061448275e-17,-4.497480599496691e-16,-6.769109022384584e-17,-1.0325865181323731e-15,-6.807877126743558e-17,-9.804297368312926e-16,-7.081245023701481e-17,-1.2140987471819956e-16,7.161982998947662e-07,-7.153465799998927e-17,-4.9427987759044235e-16,-6.809601968876477e-17,-3.4683371486722287e-17,1.1466104549953502e-13,-5.86691292575501e-16,-6.667810609946164e-17,-3.422198794962301e-16,-1.4484553219518273e-16,-6.872660369083688e-17,-6.836522891198908e-17,-2.133261400693214e-15,-6.019605437360832e-16,-7.45055537540552e-16,-2.1891545349409286e-15,-4.249876249400408e-16,-8.407066867497434e-17,-1.1989792373009158e-16,-7.741533407666191e-17,-1.032341969846669e-15,-2.590263536148285e-16,-8.278973376622016e-17,-7.80311582288105e-17,-4.223663153836478e-15,-7.327082369150569e-16,-6.809428480896733e-17,-1.9281617478120775e-16,-6.786705504074908e-17,0.006194092870413967,1.876530105664336e-07,6.393269428041977e-05,3.3360695710733513e-13,3.659427927447305e-08,-6.725926655612619e-17,1.8761809717554943e-15,4.1529589401067905e-16,8.66552344713327e-17,2.263748311409601e-13,0.21,0.79
0,0.900395628,62,295.6,458.2683521,101724.686,0.33755166,0.2NH3,"CH4: 0.612351787, NH3: 0.387648221",0.7174857212188273,8.108115445151845e-15,4.059798051907403e-15,1.6799636811585452e-07,0.01671275648932714,3.5050056168997105e-05,4.7577532138936163e-07,4.466614277912278e-05,0.1833609450411494,7.421804717211365e-08,6.050579789376815e-06,9.721690486325206e-05,0.07585637482234782,8.50414013757602e-13,5.302882165465327e-15,1.1230620198619941e-13,5.0627513319509474e-14,-1.0444413730544736e-15,-1.0724537550485335e-15,2.4562376940329578e-15,-7.697077682499955e-16,-1.058634634272379e-15,-8.560336662164761e-16,-1.0704606625237308e-15,-1.1852562335053383e-16,-1.0729371446186812e-15,-5.486088069530015e-16,-1.0713304677233223e-15,-1.0441534733806946e-15,7.580438869034829e-07,-1.0755348005824713e-15,-7.048611976729903e-16,-1.072438979093361e-15,-9.593564236481264e-16,1.7470445877897904e-13,-7.703011378399167e-16,-1.0745547789672184e-15,-9.29006465895723e-16,-1.0028176708922853e-15,-1.0717503496062602e-15,-1.0720209568800851e-15,8.795229707106321e-16,-3.5167564065148415e-16,-6.032705671003868e-16,4.463638015462455e-16,-8.74626654275062e-16,-1.0638962051544439e-15,-1.0443991347949791e-15,-1.0707579547931986e-15,-5.144064763157977e-16,-9.9169351424701e-16,-1.066107631553407e-15,-1.0648083028427705e-15,1.7975726865696455e-15,-8.8727479069511765e-16,-1.0735480675677253e-15,-1.0518396162915487e-15,-1.0726082483333191e-15,0.006349209146628406,2.3143906602429453e-07,5.0170374055010676e-05,1.509012604215518e-12,1.317480920983444e-07,-1.0699138258204017e-15,1.3974948643974833e-14,2.0761509419400467e-15,1.4410073888327091e-15,5.796951197563581e-13,0.21,0.79
0,0.945390252,81,297.6387974,473.2779517,102071.3232,0.240919822,0.2NH3,"CH4: 0.612351787, NH3: 0.387648222",0.7147407638167179,-7.99693591890038e-15,-8.645190457038871e-15,6.897490501319134e-07,0.007054486509034406,2.8645713838946664e-05,3.26902116318432e-07,0.00011894047357769308,0.191703269325013,1.0547017657733422e-07,5.1437723391486826e-06,0.00022449561790883888,0.07989721628455451,1.7812256432633944e-11,9.923327863640299e-15,2.5209378923093314e-13,1.2657439261019575e-13,-3.9578024968946964e-16,-4.699980116697987e-16,-3.701765761277315e-15,-6.752110333594853e-17,-5.363402210002768e-16,-7.912845399662655e-16,-4.707477822924796e-16,-1.6539661184139577e-15,-4.714078223346682e-16,-1.0313635539014246e-15,-4.769937896164146e-16,-5.477160288332833e-16,8.658527026002326e-07,-4.762255033905849e-16,-8.645913063267593e-16,-4.716837274732818e-16,-1.427733464323922e-16,2.728109849108594e-13,-8.946003616227402e-16,-4.702404200104368e-16,-6.843745072596952e-16,-5.403374400550361e-16,-4.738453719037873e-16,-4.703306356510787e-16,-1.9614486597397617e-15,-1.329671511754041e-15,-9.086480288983104e-16,-2.518535962671667e-15,-7.429455899637025e-16,-5.215370130013039e-16,-5.773147697016347e-16,-4.7432465317526635e-16,-1.0196074059774788e-15,-6.125802924233867e-16,-4.795788969200955e-16,-4.881141353204341e-16,-2.2476935368591635e-15,-5.980410579492002e-16,-4.702553882996871e-16,-4.957296353000137e-16,-4.724828212370253e-16,0.006200891779021222,5.005956308224994e-07,2.301919894026013e-05,9.73831560918696e-12,6.389090525457882e-07,-4.3017991400093457e-16,7.996431138006242e-14,1.4341477390823138e-14,2.776737536781298e-14,2.0399804178960386e-12,0.21,0.79
