,base_case
H + O2 <=> O + OH,0.0
H2 + O <=> H + OH,0.0
H2 + OH <=> H + H2O,0.0
2 OH <=> H2O + O,0.0
2 H + M <=> H2 + M,0.0
2 O + M <=> O2 + M,0.0
H + O + M <=> OH + M,0.0
H + OH + M <=> H2O + M,0.0
H + O2 (+M) <=> HO2 (+M),0.0
H + HO2 <=> H2 + O2,0.0
H + HO2 <=> 2 OH,0.0
HO2 + O <=> O2 + OH,0.0
HO2 + OH <=> H2O + O2,0.0
2 HO2 <=> H2O2 + O2,0.0
2 HO2 <=> H2O2 + O2,0.0
2 OH (+M) <=> H2O2 (+M),0.0
H + H2O2 <=> H2O + OH,0.0
H + H2O2 <=> H2 + HO2,0.0
H2O2 + O <=> HO2 + OH,0.0
H2O2 + OH <=> H2O + HO2,0.0
H2O2 + OH <=> H2O + HO2,0.0
NH3 + O <=> NH2 + OH,0.0
H + NH3 <=> H2 + NH2,0.0
NH3 + OH <=> H2O + NH2,0.0
HO2 + NH3 <=> H2O2 + NH2,0.0
NH3 + NO <=> HNO + NH2,0.0
NH + NH3 + M <=> N2H4 + M,0.0
NH2 + O <=> NH + OH,0.0
NH2 + O <=> NH + OH,0.0
H + HNO <=> NH2 + O,0.0
H2 + NH <=> H + NH2,0.0
NH2 + OH <=> H2O + NH,0.0
NH2 + O2 <=> H2NO + O,0.0
NH2 + O2 <=> HNO + OH,0.0
H2NO + NH2 <=> HNO + NH3,0.0
NH2 + NO2 <=> H2O + N2O,6.480139815370801e-08
NH2 + NO2 <=> H2NO + NO,0.0
NH2 + NO <=> H2O + N2,0.0
NH2 + NO <=> NNH + OH,0.0
H + H2NO <=> NH2 + OH,0.0
HO2 + NH2 <=> H2NO + OH,0.0
HO2 + NH2 <=> NH3 + O2,0.0
NH + NH2 <=> N + NH3,0.0
NH + NH2 <=> N2H3,0.0
NH + NH2 <=> H + N2H2,0.0
2 NH2 <=> NH + NH3,0.0
2 NH2 (+M) <=> N2H4 (+M),0.0
2 NH2 <=> H + N2H3,0.0
2 NH2 <=> H2 + N2H2,0.0
2 NH2 <=> H2 + H2NN,0.0
N + NH2 <=> 2 H + N2,0.0
H + NH <=> H2 + N,0.0
N + NH <=> H + N2,0.0
