,base_case
H + O2 <=> O + OH,0.0
H2 + O <=> H + OH,0.0
H2 + OH <=> H + H2O,0.0
H2O + O <=> 2 OH,0.0
2 H + M <=> H2 + M,0.0
H + OH + M <=> H2O + M,0.0
2 O + M <=> O2 + M,0.0
H + O + M <=> OH + M,0.0
H + O2 (+M) <=> HO2 (+M),0.0
H + HO2 <=> 2 OH,0.0
H + HO2 <=> H2 + O2,0.0
H + HO2 <=> H2O + O,0.0
HO2 + O <=> O2 + OH,0.0
HO2 + OH <=> H2O + O2,0.0
HO2 + OH <=> H2O + O2,0.0
2 OH (+M) <=> H2O2 (+M),0.0
2 HO2 <=> H2O2 + O2,0.0
2 HO2 <=> H2O2 + O2,0.0
H + H2O2 <=> H2 + HO2,0.0
H + H2O2 <=> H2O + OH,0.0
H2O2 + OH <=> H2O + HO2,0.0
H2O2 + OH <=> H2O + HO2,0.0
H2O2 + O <=> HO2 + OH,0.0
HO2 + NH2 <=> NH3 + O2,0.0
NH2 + O2 <=> H2NO + O,0.0
H2NO + O <=> HNO + OH,0.0
H2NO + O2 <=> HNO + HO2,0.0
NH3 + M <=> H + NH2 + M,0.0
H + NH3 <=> H2 + NH2,0.0
NH3 + O <=> NH2 + OH,0.0
NH3 + OH <=> H2O + NH2,0.0
H + NH2 <=> H2 + NH,0.0
N + NH2 <=> 2 H + N2,0.0
NH2 + O <=> H + HNO,0.0
NH2 + OH <=> H2O + NH,0.0
NH2 + NO <=> H2O + N2,0.0
NH2 + NO <=> NNH + OH,0.0
H + NH <=> H2 + N,0.0
NH + O <=> H + NO,0.0
NH + OH <=> H + HNO,0.0
NH + OH <=> H2O + N,0.0
NH + O2 <=> HNO + O,0.0
NH + NO <=> H + N2O,0.00015531768809146822
NH + NO <=> N2 + OH,0.0
NNH (+M) <=> H + N2 (+M),0.0
H + NNH <=> H2 + N2,0.0
NNH + O <=> H + N2O,-3.2252794239249446e-06
NNH + OH <=> H2O + N2,0.0
NNH + O2 <=> HO2 + N2,0.0
N2 + O <=> N + NO,0.0
HO2 + NO <=> NO2 + OH,0.0
H + NO (+M) <=> HNO (+M),0.0
H + NO2 <=> NO + OH,0.0
NO2 + O <=> NO + O2,0.0
NO2 + M <=> NO + O + M,0.0
HNO + OH <=> H2O + NO,0.0
H + HNO <=> H2 + NO,0.0
N + O2 <=> NO + O,0.0
N + OH <=> H + NO,0.0
N2O (+M) <=> N2 + O (+M),-1.7596540079551715e-06
N2O + O <=> 2 NO,-2.594377367102156e-07
H + N2O <=> N2 + OH,-3.421194762071849e-07
H + N2O <=> N2 + OH,-0.0001498178390456338
