,base_case
H2 + M <=> 2 H + M,0.0
H2 + O <=> H + OH,0.0
H2 + OH <=> H + H2O,0.0
2 O + M <=> O2 + M,0.0
H + O2 <=> O + OH,0.0
H + OH + M <=> H2O + M,0.0
H2O + O <=> 2 OH,0.0
H + O + M <=> OH + M,0.0
H + O + M <=> OHV + M,0.0
H2O + OHV <=> H2O + OH,0.0
H2 + OHV <=> H2 + OH,0.0
N2 + OHV <=> N2 + OH,0.0
OH + OHV <=> 2 OH,0.0
H + OHV <=> H + OH,0.0
AR + OHV <=> AR + OH,0.0
OHV <=> OH,0.0
O2 + OHV <=> O2 + OH,0.0
CO2 + OHV <=> CO2 + OH,0.0
CO + OHV <=> CO + OH,0.0
CH4 + OHV <=> CH4 + OH,0.0
H2O2 (+M) <=> 2 OH (+M),0.0
H + H2O2 <=> H2O + OH,0.0
H + H2O2 <=> H2 + HO2,0.0
H2O2 + O <=> HO2 + OH,0.0
H2O2 + OH <=> H2O + HO2,0.0
H2O2 + OH <=> H2O + HO2,0.0
H + HO2 <=> 2 OH,0.0
H + HO2 <=> H2 + O2,0.0
HO2 + O <=> O2 + OH,0.0
HO2 + OH <=> H2O + O2,0.0
HO2 + OH <=> H2O + O2,0.0
2 HO2 <=> H2O2 + O2,0.0
2 HO2 <=> H2O2 + O2,0.0
H + O2 (+M) <=> HO2 (+M),0.0
NH + O2 <=> HNO + O,0.0
NH + O2 <=> NO + OH,0.0
2 NH <=> 2 H + N2,0.0
NH + OH <=> H + HNO,0.0
NH + OH <=> H2O + N,0.0
N + NH <=> H + N2,0.0
H + NH <=> H2 + N,0.0
NH + O <=> H + NO,0.0
NH + NO <=> H + N2O,4.8508423584055144e-05
NH + NO <=> N2 + OH,0.0
NH + NO2 <=> N2O + OH,9.899258437466994e-08
H + N2O <=> N2 + OH,-1.8065889613488782e-07
H + N2O <=> N2 + OH,-4.0872823768445626e-05
H + N2O <=> N2 + OHV,-4.507572360637219e-10
N2O (+M) <=> N2 + O (+M),-4.820743252987879e-06
N + N2O <=> N2 + NO,-3.889965873864765e-09
N2O + NO <=> N2 + NO2,-3.1793785651128117e-09
N2O + O <=> N2 + O2,-9.370781037610796e-07
N2O + O <=> 2 NO,-5.787876987531894e-07
N2O + OH <=> HO2 + N2,-1.7584596332181581e-09
NH2 + O <=> H + HNO,0.0
NH2 + O <=> NH + OH,0.0
NH2 + OH <=> H2O + NH,0.0
H + NH2 <=> H2 + NH,0.0
N + NH2 <=> 2 H + N2,0.0
NH2 + O2 <=> HNO + OH,0.0
NH2 + O2 <=> H2NO + O,0.0
NH2 + NO2 <=> H2O + N2O,2.1632497618437773e-07
NH2 + NO2 <=> H2NO + NO,0.0
2 NH2 <=> NH + NH3,0.0
NH + NH2 <=> N + NH3,0.0
NH2 + NO <=> NNH + OH,0.0
NH2 + NO <=> H2O + N2,0.0
NH2 + NO <=> H2O + N2,0.0
NH3 + OH <=> H2O + NH2,0.0
H + NH3 <=> H2 + NH2,0.0
NH3 + O <=> NH2 + OH,0.0
NH3 + M <=> H + NH2 + M,0.0
HO2 + NH3 <=> H2O2 + NH2,0.0
HO2 + NH2 <=> H2NO + OH,0.0
HO2 + NH2 <=> NH3 + O2,0.0
NNH + M <=> H + N2 + M,0.0
NNH <=> H + N2,0.0
H + NNH <=> H2 + N2,0.0
NNH + OH <=> H2O + N2,0.0
NNH + O <=> H + N2O,-1.5211413197903025e-07
NNH + O <=> N2 + OH,0.0
NNH + O <=> NH + NO,0.0
NNH + O2 <=> HO2 + N2,0.0
NH + NNH <=> N2 + NH2,0.0
NH2 + NNH <=> N2 + NH3,0.0
NNH + NO <=> HNO + N2,0.0
H + NO + M <=> HNO + M,0.0
HNO + O2 <=> HO2 + NO,0.0
HNO + O <=> NO + OH,0.0
HNO + OH <=> H2O + NO,0.0
H + HNO <=> H2 + NO,0.0
HNO + NO2 <=> HONO + NO,0.0
2 HNO <=> H2O + N2O,1.8360316899848716e-07
HNO + NO <=> N2O + OH,-2.4765375201866416e-09
HNO + N <=> NH + NO,0.0
N2 + O <=> N + NO,0.0
N + O2 <=> NO + O,0.0
N + OH <=> H + NO,0.0
N + NO2 <=> N2O + O,1.234813882428407e-09
HO2 + NO <=> NO2 + OH,0.0
H2 + NO2 <=> H + HONO,0.0
H + NO2 <=> NO + OH,0.0
NO2 + O <=> NO + O2,0.0
NO2 + M <=> NO + O + M,0.0
2 NO2 <=> 2 NO + O2,0.0
HO2 + NO2 <=> HONO + O2,0.0
NO2 + OH (+M) <=> HONO2 (+M),0.0
NO + NO2 <=> N2O + O2,-5.51166142714617e-11
NH + NH2 <=> H + N2H2,0.0
2 NH2 <=> H2 + N2H2,0.0
2 NH2 <=> H2 + H2NN,0.0
2 NNH <=> N2 + N2H2,0.0
NH2 + NH3 <=> H2 + N2H3,0.0
N2H2 <=> H + NNH,0.0
N2H2 + M <=> 2 NH + M,0.0
H + N2H2 <=> H2 + NNH,0.0
N + N2H2 <=> NH + NNH,0.0
N2H2 + NH <=> NH2 + NNH,0.0
N2H2 + NH2 <=> NH3 + NNH,0.0
N2H2 + O <=> NH2 + NO,0.0
N2H2 + O <=> NNH + OH,0.0
N2H2 + OH <=> H2O + NNH,0.0
HO2 + N2H2 <=> H2O2 + NNH,0.0
N2H2 + NO <=> N2O + NH2,1.0822532007049636e-07
N2H2 <=> H2NN,0.0
N2H3 + NH <=> N2H2 + NH2,0.0
2 N2H2 <=> N2H3 + NNH,0.0
N2H3 + M <=> NH + NH2 + M,0.0
N2H3 <=> H + N2H2,0.0
H + N2H3 <=> H2 + N2H2,0.0
H + N2H3 <=> NH + NH3,0.0
N + N2H3 <=> N2H2 + NH,0.0
N2H3 + NH2 <=> N2H2 + NH3,0.0
N2H3 + NH2 <=> H2NN + NH3,0.0
N2H2 + N2H3 <=> N2H4 + NNH,0.0
2 N2H3 <=> N2 + 2 NH3,0.0
2 N2H3 <=> N2H2 + N2H4,0.0
N2H3 + O <=> N2H2 + OH,0.0
N2H3 + O <=> H2O + NNH,0.0
N2H3 + O <=> HNO + NH2,0.0
N2H3 + OH <=> H2O + N2H2,0.0
N2H3 + OH <=> HNO + NH3,0.0
N2H3 + OH <=> H2NN + H2O,0.0
N2H3 + O2 <=> HO2 + N2H2,0.0
HO2 + N2H3 <=> H2O2 + N2H2,0.0
HO2 + N2H3 <=> N2H4 + O2,0.0
N2H3 + NO <=> HNO + N2H2,0.0
H + N2H3 <=> 2 NH2,0.0
N2H4 (+M) <=> 2 NH2 (+M),0.0
N2H4 + M <=> H + N2H3 + M,0.0
H + N2H4 <=> H2 + N2H3,0.0
H + N2H4 <=> NH2 + NH3,0.0
N + N2H4 <=> N2H3 + NH,0.0
N2H4 + NH <=> N2H3 + NH2,0.0
N2H4 + NH2 <=> N2H3 + NH3,0.0
N2H4 + O <=> H2O + N2H2,0.0
N2H4 + O <=> N2H3 + OH,0.0
N2H4 + OH <=> H2O + N2H3,0.0
N2H4 + OH <=> H2NO + NH3,0.0
HO2 + N2H4 <=> H2O2 + N2H3,0.0
N2H4 <=> H2 + H2NN,0.0
H2NN <=> H + NNH,0.0
H2NN + O2 <=> NH2 + NO2,0.0
H + H2NN <=> H + N2H2,0.0
H + H2NN <=> H2 + NNH,0.0
H2NN + O <=> NH2 + NO,0.0
H2NN + O <=> NNH + OH,0.0
H2NN + OH <=> H2O + NNH,0.0
H2NN + NH2 <=> NH3 + NNH,0.0
H2NN + HO2 <=> H2O2 + NNH,0.0
N2H4 + NO2 <=> HONO + N2H3,0.0
N2H4 + NO2 <=> HONO + N2H3,0.0
N2H3 + NO2 <=> HNO2 + N2H2,0.0
N2H2 + NO2 <=> HONO + NNH,0.0
NNH + NO2 <=> HONO + N2,0.0
N2H4 + NO <=> HNO + N2H3,0.0
H + HONO <=> HNO + OH,0.0
H + HONO <=> H2O + NO,0.0
HONO + O <=> NO2 + OH,0.0
HONO + OH <=> H2O + NO2,0.0
2 HONO <=> H2O + NO + NO2,0.0
HONO + NH2 <=> NH3 + NO2,0.0
HON + M <=> H + NO + M,0.0
H + HON <=> H + HNO,0.0
H + HON <=> NH + OH,0.0
HON + O <=> NO + OH,0.0
HON + OH <=> H + HONO,0.0
HON + O2 <=> NO2 + OH,0.0
HNOH + M <=> H + HNO + M,0.0
H + HNOH <=> NH2 + OH,0.0
H + HNOH <=> H2 + HNO,0.0
HNOH + O <=> HNO + OH,0.0
HNOH + O <=> HNO + OH,0.0
HNOH + OH <=> H2O + HNO,0.0
HNOH + HO2 <=> H2O2 + HNO,0.0
HNOH + O2 <=> HNO + HO2,0.0
HNOH + NH2 <=> N2H3 + OH,0.0
HNOH + NH2 <=> H2NN + H2O,0.0
HNOH + NH2 <=> HNO + NH3,0.0
HNOH + NO2 <=> HNO + HONO,0.0
H2NO + M <=> H2 + NO + M,0.0
H2NO + M <=> H + HNO + M,0.0
H2NO + M <=> HNOH + M,0.0
H + H2NO <=> H2 + HNO,0.0
H + H2NO <=> NH2 + OH,0.0
H2NO + O <=> HNO + OH,0.0
H2NO + OH <=> H2O + HNO,0.0
H2NO + HO2 <=> H2O2 + HNO,0.0
H2NO + O2 <=> HNO + HO2,0.0
H2NO + NO <=> 2 HNO,0.0
H2NO + NH2 <=> HNO + NH3,0.0
H2NO + NO2 <=> HNO + HONO,0.0
H + HNO2 <=> H2 + NO2,0.0
HNO2 + O <=> NO2 + OH,0.0
HNO2 + OH <=> H2O + NO2,0.0
HNO2 <=> HONO,0.0
NO + OH (+M) <=> HONO (+M),0.0
N + O + M <=> NO + M,0.0
N2 + M <=> 2 N + M,0.0
NO2 + O (+M) <=> NO3 (+M),0.0
2 NO2 <=> NO + NO3,0.0
H + NO3 <=> NO2 + OH,0.0
NO3 + O <=> NO2 + O2,0.0
NO3 + OH <=> HO2 + NO2,0.0
HO2 + NO3 <=> NO2 + O2 + OH,0.0
NO3 + NO2 <=> NO + O2 + NO2,0.0
NO3 <=> NO + O2,0.0
2 NO3 <=> 2 NO2 + O2,0.0
N2O4 (+M) <=> 2 NO2 (+M),0.0
N2O4 + O <=> N2O3 + O2,0.0
N2O3 + O <=> 2 NO2,0.0
HO2 + NO + M <=> HONO2 + M,0.0
