,base_case
H2 + M <=> 2 H + M,0.0
H2 + O <=> H + OH,0.0
H2 + OH <=> H + H2O,0.0
2 O + M <=> O2 + M,0.0
H + O2 <=> O + OH,0.0
H + OH + M <=> H2O + M,0.0
H2O + O <=> 2 OH,0.0
H + O + M <=> OH + M,0.0
H2O2 (+M) <=> 2 OH (+M),0.0
H + H2O2 <=> H2O + OH,0.0
H + H2O2 <=> H2 + HO2,0.0
H2O2 + O <=> HO2 + OH,0.0
H2O2 + OH <=> H2O + HO2,0.0
H2O2 + OH <=> H2O + HO2,0.0
H + HO2 <=> 2 OH,0.0
H + HO2 <=> H2 + O2,0.0
HO2 + O <=> O2 + OH,0.0
HO2 + OH <=> H2O + O2,0.0
HO2 + OH <=> H2O + O2,0.0
2 HO2 <=> H2O2 + O2,0.0
2 HO2 <=> H2O2 + O2,0.0
H + O2 (+M) <=> HO2 (+M),0.0
CO + O (+M) <=> CO2 (+M),0.0
CO + OH <=> CO2 + H,0.0
CO + OH <=> CO2 + H,0.0
CO + HO2 <=> CO2 + OH,0.0
CO + O2 <=> CO2 + O,0.0
CO2 + H <=> OCHO,0.0
HOCO <=> CO + OH,0.0
HOCO <=> CO2 + H,0.0
CH3 + H (+M) <=> CH4 (+M),0.0
CH4 + H <=> CH3 + H2,0.0
CH4 + O <=> CH3 + OH,0.0
CH4 + OH <=> CH3 + H2O,0.0
CH4 + HO2 <=> CH3 + H2O2,0.0
CH3O2 + CH4 <=> CH3 + CH3O2H,0.0
CH3 + HO2 <=> CH4 + O2,0.0
CH2 + CH4 <=> 2 CH3,0.0
CH2(S) + N2 <=> CH2 + N2,0.0
AR + CH2(S) <=> AR + CH2,0.0
CH2(S) + H2O <=> CH2 + H2O,0.0
CH2(S) + CO <=> CH2 + CO,0.0
CH2(S) + CO2 <=> CH2 + CO2,0.0
CH2(S) + O2 => CO + H + OH,0.0
CH2(S) + O2 <=> CO + H2O,0.0
CH2(S) + O <=> CO + H2,0.0
CH2(S) + O <=> H + HCO,0.0
CH2(S) + H2 <=> CH3 + H,0.0
CH2(S) + H <=> CH + H2,0.0
CH2(S) + OH <=> CH2O + H,0.0
CH2(S) + CO2 <=> CH2O + CO,0.0
CH2 + H (+M) <=> CH3 (+M),0.0
CH2 + O2 <=> HCO + OH,0.0
CH2 + O2 => CO2 + 2 H,0.0
CH2 + O => CO + 2 H,0.0
CH2 + H <=> CH + H2,0.0
CH2 + OH <=> CH + H2O,0.0
CH + O2 <=> HCO + O,0.0
CH + O <=> CO + H,0.0
CH + H <=> C + H2,0.0
CH + OH <=> H + HCO,0.0
CH + H2O <=> CH2O + H,0.0
CH + CO2 <=> CO + HCO,0.0
C + OH <=> CO + H,0.0
C + O2 <=> CO + O,0.0
CH3 + O2 (+M) <=> CH3O2 (+M),0.0
CH3 + O2 <=> CH3O + O,0.0
CH3 + O2 <=> CH2O + OH,0.0
CH3 + O <=> CH2O + H,0.0
CH3 + OH <=> CH2(S) + H2O,0.0
CH3 + OH <=> CH2O + H2,0.0
CH3 + OH <=> CH2OH + H,0.0
CH3 + OH <=> CH3O + H,0.0
CH3 + OH <=> CH2 + H2O,0.0
CH3 + HO2 <=> CH3O + OH,0.0
CH3O2 + O <=> CH3O + O2,0.0
CH3O2 + H <=> CH3O + OH,0.0
CH3O2 + OH <=> CH3OH + O2,0.0
CH3O2 + HO2 <=> CH3O2H + O2,0.0
CH3O2 + H2O2 <=> CH3O2H + HO2,0.0
CH3 + CH3O2 <=> 2 CH3O,0.0
2 CH3O2 => CH2O + CH3OH + O2,0.0
2 CH3O2 => 2 CH3O + O2,0.0
CH3O2 + H2 <=> CH3O2H + H,0.0
CH3O2H <=> CH3O + OH,0.0
CH3OH (+M) <=> CH3 + OH (+M),0.0
CH3OH (+M) <=> CH2(S) + H2O (+M),0.0
CH3OH (+M) <=> CH2OH + H (+M),0.0
CH3OH + H <=> CH3O + H2,0.0
CH3OH + H <=> CH2OH + H2,0.0
CH3OH + O <=> CH3O + OH,0.0
CH3OH + O <=> CH2OH + OH,0.0
CH3OH + OH <=> CH3O + H2O,0.0
CH3OH + OH <=> CH2OH + H2O,0.0
CH3OH + O2 <=> CH3O + HO2,0.0
CH3OH + O2 <=> CH2OH + HO2,0.0
CH3OH + HO2 <=> CH3O + H2O2,0.0
CH3OH + HO2 <=> CH2OH + H2O2,0.0
CH3 + CH3OH <=> CH2OH + CH4,0.0
CH3 + CH3OH <=> CH3O + CH4,0.0
CH3OH + HCO <=> CH2O + CH2OH,0.0
CH3O + CH3OH <=> CH2OH + CH3OH,0.0
CH3O2 + CH3OH <=> CH2OH + CH3O2H,0.0
CH2OH + O2 <=> CH2O + HO2,0.0
CH2OH + O2 <=> CH2O + HO2,0.0
CH2OH + H <=> CH2O + H2,0.0
CH2OH + HO2 <=> CH2O + H2O2,0.0
CH2OH + HCO <=> 2 CH2O,0.0
CH2OH + HCO <=> CH3OH + CO,0.0
CH2OH + CH3O <=> CH2O + CH3OH,0.0
CH2OH + OH <=> CH2O + H2O,0.0
CH2OH + O <=> CH2O + OH,0.0
2 CH2OH <=> CH2O + CH3OH,0.0
CH3O + O2 <=> CH2O + HO2,0.0
CH3O + H <=> CH2O + H2,0.0
CH3O + HO2 <=> CH2O + H2O2,0.0
CH3 + CH3O <=> CH2O + CH4,0.0
2 CH3O <=> CH2O + CH3OH,0.0
H + HCO (+M) <=> CH2O (+M),0.0
CO + H2 (+M) <=> CH2O (+M),0.0
CH2O + O2 <=> HCO + HO2,0.0
CH2O + O <=> HCO + OH,0.0
CH2O + H <=> H2 + HCO,0.0
CH2O + OH <=> H2O + HCO,0.0
CH2O + HO2 <=> H2O2 + HCO,0.0
CH2O + CH3 <=> CH4 + HCO,0.0
CH2O + OCHO <=> HCO + HOCHO,0.0
CH2O + CH3O <=> CH3OH + HCO,0.0
CH2O + CH3O2 <=> CH3O2H + HCO,0.0
HCO + M <=> CO + H + M,0.0
HCO + O2 <=> CO + HO2,0.0
HCO + O <=> CO + OH,0.0
H + HCO <=> CO + H2,0.0
HCO + OH <=> CO + H2O,0.0
CH3 + HCO <=> CH4 + CO,0.0
2 HCO <=> CH2O + CO,0.0
HCO + O <=> CO2 + H,0.0
HCO + HO2 => CO2 + H + OH,0.0
2 HCO => 2 CO + H2,0.0
CH2O + H (+M) <=> CH2OH (+M),0.0
CH3O (+M) <=> CH2O + H (+M),0.0
HOCHO <=> CO + H2O,0.0
HOCHO <=> CO2 + H2,0.0
HO2 + OCHO <=> HOCHO + O2,0.0
H2O2 + OCHO <=> HO2 + HOCHO,0.0
HOCHO + H => CO2 + H2 + H,0.0
H + HOCHO => CO + H2 + OH,0.0
HOCHO + O => CO + 2 OH,0.0
HOCHO + OH => CO2 + H + H2O,0.0
HOCHO + OH => CO + H2O + OH,0.0
CH3 + HOCHO => CH4 + CO + OH,0.0
HO2 + HOCHO => CO + H2O2 + OH,0.0
OCHO + OH <=> HO2CHO,0.0
2 CH3 (+M) <=> C2H6 (+M),0.0
C2H5 + H (+M) <=> C2H6 (+M),0.0
C2H6 + O2 <=> C2H5 + HO2,0.0
C2H6 + O <=> C2H5 + OH,0.0
C2H6 + H <=> C2H5 + H2,0.0
C2H6 + OH <=> C2H5 + H2O,0.0
C2H6 + HO2 <=> C2H5 + H2O2,0.0
C2H6 + CH <=> C2H5 + CH2,0.0
C2H6 + CH2(S) <=> C2H5 + CH3,0.0
C2H6 + CH3 <=> C2H5 + CH4,0.0
C2H6 + CH3O <=> C2H5 + CH3OH,0.0
C2H6 + CH3O2 <=> C2H5 + CH3O2H,0.0
C2H5O2 + C2H6 <=> C2H5 + C2H5O2H,0.0
C2H4 + H (+M) <=> C2H5 (+M),0.0
C2H5 + H <=> C2H4 + H2,0.0
2 C2H4 <=> C2H3 + C2H5,0.0
C2H5 + CH3 <=> C2H4 + CH4,0.0
C2H5 + O <=> CH3CHO + H,0.0
C2H5 + HO2 <=> C2H5O + OH,0.0
C2H5 + CH3O2 <=> C2H5O + CH3O,0.0
2 CH3 <=> C2H5 + H,0.0
C2H5 + O2 <=> C2H5O2,0.0
C2H5 + O2 <=> C2H4O2H,0.0
C2H5 + O2 <=> C2H4 + HO2,0.0
C2H5 + O2 <=> C2H4O1-2 + OH,0.0
C2H5 + O2 <=> CH3CHO + OH,0.0
C2H4O2H <=> C2H5O2,0.0
C2H5O2 <=> CH3CHO + OH,0.0
C2H5O2 <=> C2H4 + HO2,0.0
C2H5O2 <=> C2H4O1-2 + OH,0.0
C2H4O2H <=> C2H4O1-2 + OH,0.0
C2H4O2H <=> C2H4 + HO2,0.0
C2H4O2H <=> CH3CHO + OH,0.0
C2H5O2 + H2 <=> C2H5O2H + H,0.0
C2H5O2 + HO2 <=> C2H5O2H + O2,0.0
C2H5O2 + CH2O <=> C2H5O2H + HCO,0.0
C2H5O2 + CH4 <=> C2H5O2H + CH3,0.0
C2H5O2 + CH3OH <=> C2H5O2H + CH2OH,0.0
C2H5O2H <=> C2H5O + OH,0.0
C2H4O1-2 <=> CH3 + HCO,0.0
C2H4O1-2 <=> CH3CHO,0.0
C2H4O1-2 + H <=> C2H3O1-2 + H2,0.0
C2H4O1-2 + OH <=> C2H3O1-2 + H2O,0.0
C2H4O1-2 + HO2 <=> C2H3O1-2 + H2O2,0.0
C2H4O1-2 + CH3 <=> C2H3O1-2 + CH4,0.0
C2H4O1-2 + CH3O <=> C2H3O1-2 + CH3OH,0.0
C2H4O1-2 + CH3O2 <=> C2H3O1-2 + CH3O2H,0.0
C2H4O1-2 + C2H5O2 <=> C2H3O1-2 + C2H5O2H,0.0
C2H3O1-2 <=> CH3CO,0.0
C2H3O1-2 <=> CH2CHO,0.0
C2H3 + H (+M) <=> C2H4 (+M),0.0
C2H4 + M <=> C2H2 + H2 + M,0.0
C2H4 + O2 <=> C2H3 + HO2,0.0
C2H4 + H <=> C2H3 + H2,0.0
C2H4 + OH <=> C2H3 + H2O,0.0
C2H4 + CH3O <=> C2H3 + CH3OH,0.0
C2H4 + CH3O2 <=> C2H3 + CH3O2H,0.0
C2H4 + C2H5O2 <=> C2H3 + C2H5O2H,0.0
C2H4 + CH3 <=> C2H3 + CH4,0.0
C2H4 + CH3 <=> C2H3 + CH4,0.0
C2H4 + O <=> CH3 + HCO,0.0
C2H4 + O <=> CH2CHO + H,0.0
CH + CH4 <=> C2H4 + H,0.0
CH2(S) + CH3 <=> C2H4 + H,0.0
C2H4 + OH <=> CH2O + CH3,0.0
C2H4 + OH <=> CH3CHO + H,0.0
C2H4 + OH <=> PC2H4OH,0.0
C2H4 + HO2 <=> C2H4O1-2 + OH,0.0
C2H4 + CH3O2 <=> C2H4O1-2 + CH3O,0.0
C2H4 + C2H5O2 <=> C2H4O1-2 + C2H5O,0.0
C2H2 + H (+M) <=> C2H3 (+M),0.0
C2H3 + O2 <=> CH2CHO + O,0.0
C2H3 + O2 <=> CH2CHO + O,0.0
C2H3 + O2 <=> C2H2 + HO2,0.0
C2H3 + O2 <=> C2H2 + HO2,0.0
C2H3 + O2 <=> CH2CO + OH,0.0
C2H3 + O2 <=> CH2CO + OH,0.0
C2H3 + O2 <=> CH2O + HCO,0.0
C2H3 + O2 <=> CH2O + HCO,0.0
C2H3 + O2 => CH2O + CO + H,0.0
C2H3 + O2 => CH2O + CO + H,0.0
C2H3 + O2 <=> CH3O + CO,0.0
C2H3 + O2 <=> CH3O + CO,0.0
C2H3 + O2 <=> CH3 + CO2,0.0
C2H3 + O2 <=> CH3 + CO2,0.0
C2H3 + H <=> C2H2 + H2,0.0
C2H3 + OH <=> C2H2 + H2O,0.0
C2H3 + CH3 <=> C2H2 + CH4,0.0
2 C2H3 <=> C2H2 + C2H4,0.0
C2H + H (+M) <=> C2H2 (+M),0.0
C2H2 + O <=> CH2 + CO,0.0
C2H2 + O <=> H + HCCO,0.0
C2H2 + HO2 <=> CH2CO + OH,0.0
C2H2 + HCO <=> C2H3 + CO,0.0
C2H2 + CH2 <=> C3H3 + H,0.0
C2H2 + CH2(S) <=> C3H3 + H,0.0
C2H2 + HCCO <=> C3H3 + CO,0.0
C2H2 + OH <=> C2H + H2O,0.0
C2H2 + OH <=> CH2CO + H,0.0
C2H2 + OH <=> CH3 + CO,0.0
C2H + O2 <=> CO + HCO,0.0
C2H + O <=> CH + CO,0.0
C2H + H2 <=> C2H2 + H,0.0
C2H + OH <=> H + HCCO,0.0
CH3CHO (+M) <=> CH3 + HCO (+M),0.0
CH3CHO (+M) <=> CH4 + CO (+M),0.0
CH3CHO + O2 <=> CH3CO + HO2,0.0
CH3CHO + O <=> CH3CO + OH,0.0
CH3CHO + OH <=> CH3CO + H2O,0.0
CH3CHO + HO2 <=> CH3CO + H2O2,0.0
CH3CHO + CH3O2 <=> CH3CO + CH3O2H,0.0
CH3CHO + H <=> CH2CHO + H2,0.0
CH3CHO + OH <=> CH2CHO + H2O,0.0
CH3CHO + OH <=> CH3 + HOCHO,0.0
CH3CO <=> CH3 + CO,0.0
CH3CO + O2 <=> CH3CO3,0.0
CH3CO + O2 <=> CH2CO + HO2,0.0
CH3CO (+M) <=> CH2CO + H (+M),0.0
