,base_case
2 O + M <=> O2 + M,0.0
H + O + M <=> OH + M,0.0
H2 + O <=> H + OH,0.0
HO2 + O <=> O2 + OH,0.0
H2O2 + O <=> HO2 + OH,0.0
CH + O <=> CO + H,0.0
CH2 + O <=> H + HCO,0.0
CH2(S) + O <=> CO + H2,0.0
CH2(S) + O <=> H + HCO,0.0
CH3 + O <=> CH2O + H,0.0
CH3 + O => CO + H + H2,0.0
CH4 + O <=> CH3 + OH,0.0
CO + O (+M) <=> CO2 (+M),0.0
HCO + O <=> CO + OH,0.0
HCO + O <=> CO2 + H,0.0
CH2O + O <=> HCO + OH,0.0
CH2OH + O <=> CH2O + OH,0.0
CH3O + O <=> CH2O + OH,0.0
CH3OH + O <=> CH2OH + OH,0.0
CH3OH + O <=> CH3O + OH,0.0
C2H + O <=> CH + CO,0.0
C2H2 + O <=> H + HCCO,0.0
C2H2 + O <=> C2H + OH,0.0
C2H2 + O <=> CH2 + CO,0.0
C2H3 + O <=> CH2CO + H,0.0
C2H4 + O <=> CH3 + HCO,0.0
C2H5 + O <=> CH2O + CH3,0.0
C2H6 + O <=> C2H5 + OH,0.0
HCCO + O <=> 2 CO + H,0.0
CH2CO + O <=> HCCO + OH,0.0
CH2CO + O <=> CH2 + CO2,0.0
CO + O2 <=> CO2 + O,0.0
CH2O + O2 <=> HCO + HO2,0.0
H + O2 + M <=> HO2 + M,0.0
H + O2 + O2 <=> HO2 + O2,0.0
H + O2 + H2O <=> HO2 + H2O,0.0
H + O2 + N2 <=> HO2 + N2,0.0
H + O2 + AR <=> HO2 + AR,0.0
H + O2 <=> O + OH,0.0
2 H + M <=> H2 + M,0.0
2 H + H2 <=> H2 + H2,0.0
2 H + H2O <=> H2 + H2O,0.0
2 H + CO2 <=> H2 + CO2,0.0
H + OH + M <=> H2O + M,0.0
H + HO2 <=> H2O + O,0.0
H + HO2 <=> H2 + O2,0.0
H + HO2 <=> 2 OH,0.0
H + H2O2 <=> H2 + HO2,0.0
H + H2O2 <=> H2O + OH,0.0
CH + H <=> C + H2,0.0
CH2 + H (+M) <=> CH3 (+M),0.0
CH2(S) + H <=> CH + H2,0.0
CH3 + H (+M) <=> CH4 (+M),0.0
CH4 + H <=> CH3 + H2,0.0
H + HCO (+M) <=> CH2O (+M),0.0
H + HCO <=> CO + H2,0.0
CH2O + H (+M) <=> CH2OH (+M),0.0
CH2O + H (+M) <=> CH3O (+M),0.0
CH2O + H <=> H2 + HCO,0.0
CH2OH + H (+M) <=> CH3OH (+M),0.0
CH2OH + H <=> CH2O + H2,0.0
CH2OH + H <=> CH3 + OH,0.0
