,base_case
H + O2 <=> O + OH,0.3107359224518303
H2 + O <=> H + OH,-0.01770610578209923
H2 + OH <=> H + H2O,0.034039386113018835
H2O + O <=> 2 OH,-0.011944171139934514
2 H + M <=> H2 + M,-0.000645608085889894
H + OH + M <=> H2O + M,-0.05451054779500426
2 O + M <=> O2 + M,0.0014724772514510282
H + O + M <=> OH + M,-0.0023275953053029682
H + O2 (+M) <=> HO2 (+M),-0.056354670135552704
H + HO2 <=> 2 OH,0.004829722083764379
H + HO2 <=> H2 + O2,-0.0004340078155820975
H + HO2 <=> H2O + O,0.0037644220140165656
HO2 + O <=> O2 + OH,-0.0005876131931613042
HO2 + OH <=> H2O + O2,0.0001503534277999968
HO2 + OH <=> H2O + O2,-0.00046230898448462645
2 OH (+M) <=> H2O2 (+M),0.0006505797179466884
2 HO2 <=> H2O2 + O2,0.0011433590824937137
2 HO2 <=> H2O2 + O2,0.0011479430639195162
H + H2O2 <=> H2 + HO2,0.0010734084169310315
H + H2O2 <=> H2O + OH,0.0010315940856275036
H2O2 + OH <=> H2O + HO2,0.001084725123944739
H2O2 + OH <=> H2O + HO2,0.0006670240647456046
H2O2 + O <=> HO2 + OH,0.0009800229517166726
HO2 + NH2 <=> NH3 + O2,0.0010840990187451945
NH2 + O2 <=> H2NO + O,0.0014340006181063172
H2NO + O <=> HNO + OH,0.0012152591879742987
H2NO + O2 <=> HNO + HO2,0.0011426026020790387
NH3 + M <=> H + NH2 + M,-0.015490892864283342
H + NH3 <=> H2 + NH2,-0.011475347377315072
NH3 + O <=> NH2 + OH,-0.02393593046260107
NH3 + OH <=> H2O + NH2,-0.05286574942173023
H + NH2 <=> H2 + NH,-0.054004269166115254
N + NH2 <=> 2 H + N2,0.016113524665621878
NH2 + O <=> H + HNO,0.14438255993510027
NH2 + OH <=> H2O + NH,-0.029303298214216095
NH2 + NO <=> H2O + N2,-0.05941531345237525
NH2 + NO <=> NNH + OH,-0.050442062248311485
H + NH <=> H2 + N,-0.05200372179770218
NH + O <=> H + NO,0.11450269711185715
NH + OH <=> H + HNO,0.252464440781299
NH + OH <=> H2O + N,-0.019124501319073804
NH + O2 <=> HNO + O,0.017459485656226684
NH + NO <=> H + N2O,0.08744399889677926
NH + NO <=> N2 + OH,-0.07701002691733222
NNH (+M) <=> H + N2 (+M),0.006654785056358624
H + NNH <=> H2 + N2,0.0008562366568048597
NNH + O <=> H + N2O,-0.012040326838864565
NNH + OH <=> H2O + N2,0.0010073180520938202
NNH + O2 <=> HO2 + N2,-0.003731217748286153
N2 + O <=> N + NO,-0.21752257492490348
HO2 + NO <=> NO2 + OH,0.0018187586988615938
H + NO (+M) <=> HNO (+M),-0.007563753189082649
H + NO2 <=> NO + OH,0.0009437380360535515
NO2 + O <=> NO + O2,0.0011331308633256614
NO2 + M <=> NO + O + M,-0.0018447533590486061
HNO + OH <=> H2O + NO,0.005623611123141087
H + HNO <=> H2 + NO,0.0028421936378826233
N + O2 <=> NO + O,0.06025707018528748
N + OH <=> H + NO,0.1162906122794007
N2O (+M) <=> N2 + O (+M),-0.10999230083244596
N2O + O <=> 2 NO,0.14692924283185557
H + N2O <=> N2 + OH,0.0006412564177465128
H + N2O <=> N2 + OH,-0.35693091621647366
