,base_case
2 O + M <=> O2 + M,0.003702003823543579
H + O + M <=> OH + M,0.003542234264783791
H2 + O <=> H + OH,-0.16273870943847105
HO2 + O <=> O2 + OH,0.0007631474475923553
H2O2 + O <=> HO2 + OH,0.003808989197194883
CH + O <=> CO + H,0.003164417357422368
CH2 + O <=> H + HCO,0.005040309610514577
CH2(S) + O <=> CO + H2,0.003494478810774491
CH2(S) + O <=> H + HCO,0.0035728195479526803
CH3 + O <=> CH2O + H,0.10929636413856525
CH3 + O => CO + H + H2,0.1074351907533262
CH4 + O <=> CH3 + OH,-0.012295598931087458
CO + O (+M) <=> CO2 (+M),0.00023676832950987833
HCO + O <=> CO + OH,0.0029208870645176083
HCO + O <=> CO2 + H,0.0027593406480232504
CH2O + O <=> HCO + OH,-0.0006283178124297941
CH2OH + O <=> CH2O + OH,0.003430710161928882
CH3O + O <=> CH2O + OH,0.0035023466583672352
CH3OH + O <=> CH2OH + OH,0.003052246467223824
CH3OH + O <=> CH3O + OH,0.0035080041581537
C2H + O <=> CH + CO,0.0035713410515480735
C2H2 + O <=> H + HCCO,0.018526479460290225
C2H2 + O <=> C2H + OH,0.004654253265637523
C2H2 + O <=> CH2 + CO,0.011191866603703542
C2H3 + O <=> CH2CO + H,0.003440084854404061
C2H4 + O <=> CH3 + HCO,0.0012237532648407027
C2H5 + O <=> CH2O + CH3,0.002712440810011051
C2H6 + O <=> C2H5 + OH,-0.0007556399413474172
HCCO + O <=> 2 CO + H,0.0048528774718700025
CH2CO + O <=> HCCO + OH,0.003485888616007836
CH2CO + O <=> CH2 + CO2,0.0033641648393751443
CO + O2 <=> CO2 + O,0.0035596994998016236
CH2O + O2 <=> HCO + HO2,0.0036956921980667253
H + O2 + M <=> HO2 + M,-0.002397770336522646
H + O2 + O2 <=> HO2 + O2,0.0026251285910740734
H + O2 + H2O <=> HO2 + H2O,-0.0597272216904018
H + O2 + N2 <=> HO2 + N2,-0.014832869716005536
H + O2 + AR <=> HO2 + AR,0.0031081850049922834
