,base_case
H + O2 <=> O + OH,-0.06387641916053176
H2 + O <=> H + OH,-0.012787878367754545
H2 + OH <=> H + H2O,-0.009185707489620689
2 OH <=> H2O + O,-0.0025468691375785716
2 H + M <=> H2 + M,0.0006019951848611373
2 O + M <=> O2 + M,-4.024668865262528e-08
H + O + M <=> OH + M,-5.3736650343911416e-05
H + OH + M <=> H2O + M,0.0005040840066433605
H + O2 (+M) <=> HO2 (+M),-0.0022198438277252464
H + HO2 <=> H2 + O2,0.0008480740674521764
H + HO2 <=> 2 OH,-0.0016967081451378782
HO2 + O <=> O2 + OH,5.9157452799881557e-05
HO2 + OH <=> H2O + O2,0.00028757505339353963
2 HO2 <=> H2O2 + O2,-5.608677091225781e-07
2 HO2 <=> H2O2 + O2,-1.0521214236206954e-05
2 OH (+M) <=> H2O2 (+M),-1.3699807121105911e-05
H + H2O2 <=> H2O + OH,-5.74072842373326e-07
H + H2O2 <=> H2 + HO2,-1.8657369200947264e-05
H2O2 + O <=> HO2 + OH,5.941401822444183e-07
H2O2 + OH <=> H2O + HO2,-2.6642023347804943e-07
H2O2 + OH <=> H2O + HO2,-4.004375223860616e-07
CO + O (+M) <=> CO2 (+M),-6.422791288618323e-05
CO + O2 <=> CO2 + O,-9.411651001757925e-06
CO + OH <=> CO2 + H,-0.009668104590225952
CO + HO2 <=> CO2 + OH,-5.5196329068067694e-05
HCO (+M) <=> CO + H (+M),0.020813111924903812
HCO + O2 <=> CO + HO2,-0.0011898320983079417
H + HCO <=> CO + H2,-0.005114867524151637
HCO + O <=> CO + OH,-1.4029892352294585e-05
HCO + O <=> CO2 + H,-2.2080606190563328e-05
HCO + OH <=> CO + H2O,-0.0003448900130296783
HCO + HO2 => CO2 + H + OH,-1.3658052685265208e-05
2 HCO => 2 CO + H2,-4.616342219179381e-06
H + O + M <=> OHEX + M,-3.465312368158241e-08
H2O + OHEX <=> H2O + OH,-4.4373306765994395e-10
H2 + OHEX <=> H2 + OH,-4.961306187570499e-11
N2 + OHEX <=> N2 + OH,-2.8980695095304868e-11
OH + OHEX <=> 2 OH,-2.005192756122415e-12
H + OHEX <=> H + OH,-1.0983112022202964e-12
AR + OHEX <=> AR + OH,0.0
OHEX => OH,-8.137462771150765e-13
O2 + OHEX <=> O2 + OH,-2.42115277976153e-12
CO2 + OHEX <=> CO2 + OH,-3.639590984756008e-11
CO + OHEX <=> CO + OH,-5.962908040812765e-11
CH3 + HCO <=> CH4 + CO,9.137317593947529e-05
H + HCO (+M) <=> CH2O (+M),-2.561718054028687e-05
CH2O + H <=> H2 + HCO,0.0010508152782070575
CH2O + O <=> HCO + OH,-0.00034523020663978685
CH2O + OH <=> H2O + HCO,-0.0007838549320131095
CH2O + O2 <=> HCO + HO2,-8.086881616140284e-06
CH2O + HO2 <=> H2O2 + HCO,-1.0564229312676824e-05
CH4 + H <=> CH3 + H2,0.0120999749340702
CH4 + OH <=> CH3 + H2O,0.0023296839154931014
CH4 + O <=> CH3 + OH,-0.0016027067248740744
CH4 + O2 <=> CH3 + HO2,3.3941928486696774e-05
CH4 + HO2 <=> CH3 + H2O2,-4.54648508361102e-06
CH3 + H <=> H2 + T-CH2,-0.00010266040843399708
CH3 + H <=> H2 + S-CH2,-5.695016407093419e-05
CH3 + OH <=> H2O + S-CH2,-0.001387604914026985
CH3 + O <=> CH2O + H,0.009965683482316143
CH3 + T-CH2 <=> C2H4 + H,0.0002736519992311216
CH3 + HO2 <=> CH3O + OH,-0.00026257307665464796
CH3 + O2 <=> CH2O + OH,-0.0019153955134370566
CH3 + O2 <=> CH3O + O,-9.506769968092186e-05
2 CH3 <=> C2H4 + H2,3.990711868445468e-06
2 CH3 <=> C2H5 + H,9.41392196611256e-05
CH3 + H (+M) <=> CH4 (+M),-0.005858748807525658
2 CH3 (+M) <=> C2H6 (+M),0.0014387256971620857
OH + S-CH2 <=> CH2O + H,2.7825577675648523e-05
O2 + S-CH2 <=> CO + H + OH,-0.0003520104992273657
CO2 + S-CH2 <=> CH2O + CO,0.00019448637697940107
S-CH2 + M <=> T-CH2 + M,-0.00011333684955466926
H + T-CH2 <=> CH + H2,0.0004876085964275655
OH + T-CH2 <=> CH2O + H,0.0005056274662214059
OH + T-CH2 <=> CH + H2O,2.9783563001992502e-05
O + T-CH2 <=> CO + 2 H,0.00018017707354935788
O + T-CH2 <=> CO + H2,-2.3495259148387877e-05
O2 + T-CH2 <=> CO2 + H2,-0.0008557049999052449
O2 + T-CH2 <=> CO + H + OH,-0.0010479687048263345
2 T-CH2 <=> C2H2 + 2 H,4.050312418509941e-05
C2H2 + HO2 <=> CHCHO + OH,-5.913768955140371e-07
CHCHO + O2 <=> CH2O + CO + O,-6.572560208503365e-10
CH + O <=> CO + H,-3.0194786939816686e-06
CH + O2 <=> HCO + O,-9.98725028523237e-05
CH + H2O <=> CH2O + H,0.0006304410308301012
CH + CO2 <=> CO + HCO,0.0007291441236992212
CH3O + H <=> CH2O + H2,-6.736842607237047e-07
CH3O + H <=> H2O + S-CH2,3.186626743625779e-05
CH3O + OH <=> CH2O + H2O,-2.61187895070289e-07
CH3O + O <=> CH2O + OH,-4.061786587909458e-08
CH3O + O2 <=> CH2O + HO2,-2.4972223604075086e-05
CH3O + M <=> CH2O + H + M,8.986294516342981e-05
C2H6 + H <=> C2H5 + H2,0.0009096374265951611
C2H6 + O <=> C2H5 + OH,-0.0004265034196072275
C2H6 + OH <=> C2H5 + H2O,-0.00010170217251223294
C2H6 + CH3 <=> C2H5 + CH4,-5.255416705796251e-05
C2H6 (+M) <=> C2H5 + H (+M),0.0001047488711112714
C2H6 + HO2 <=> C2H5 + H2O2,-1.0315535172022982e-06
C2H5 + H <=> C2H4 + H2,9.028400755968747e-05
C2H5 + O <=> C2H4 + OH,1.3233287198707494e-06
C2H5 + O <=> CH2O + CH3,2.350896173678653e-05
C2H5 + O2 <=> C2H4 + HO2,-2.828086517805224e-05
C2H5 + O2 <=> C2H4OOH,-4.7307327079138764e-07
C2H4OOH <=> C2H4 + HO2,-1.2800308922141163e-05
C2H4OOH + O2 <=> OC2H3OOH + OH,-3.179160718255533e-07
OC2H3OOH <=> CH2O + HCO + OH,1.9492937761747565e-09
C2H5 (+M) <=> C2H4 + H (+M),-0.00035110542380500606
C2H4 + H <=> C2H3 + H2,0.0006332720401349422
C2H4 + OH <=> C2H3 + H2O,-0.00016016235782931098
C2H4 + O <=> CH3 + HCO,0.0006099774926156405
C2H4 + O <=> CH2CHO + H,0.00031269570086068046
2 C2H4 <=> C2H3 + C2H5,6.037933034426729e-06
C2H4 + O2 <=> C2H3 + HO2,1.3499044947206046e-06
C2H4 + HO2 <=> C2H4O + OH,3.575824564006842e-06
C2H4O + HO2 <=> CH3 + CO + H2O2,-1.1397195921827128e-08
C2H4 + M <=> C2H3 + H + M,-2.1786494520232477e-05
C2H4 + M <=> C2H2 + H2 + M,4.2264229985403145e-05
C2H3 + H <=> C2H2 + H2,-0.0002104452731651895
C2H3 (+M) <=> C2H2 + H (+M),0.0009268662007068419
C2H3 + O2 <=> CH2O + HCO,0.00010797602495070704
C2H3 + O2 <=> CH2CHO + O,-0.0007804803725115243
C2H3 + O2 <=> C2H2 + HO2,-8.412453923190401e-05
C2H2 + O <=> H + HCCO,-0.0005697900839058471
C2H2 + O <=> CO + T-CH2,7.960360409976289e-05
C2H2 + O2 <=> CH2O + CO,1.2883748917275188e-06
C2H2 + OH <=> CH2CO + H,0.0014234284593441788
C2H2 + OH <=> C2H + H2O,-7.934562317180177e-06
CH2CO + H <=> CH3 + CO,-0.0001989146158709666
CH2CO + O <=> CO2 + T-CH2,-0.00013275875979513102
CH2CO + O <=> HCCO + OH,-7.651975103347385e-05
CH2CO + CH3 <=> C2H5 + CO,-1.24081498375007e-05
H + HCCO <=> CO + S-CH2,0.000307156511987671
HCCO + OH <=> CO + H + HCO,8.705685174346165e-06
HCCO + O <=> 2 CO + H,2.669474628617293e-05
HCCO + O2 <=> 2 CO + OH,7.925995096944022e-05
HCCO + O2 <=> CO + CO2 + H,-5.523103214760009e-05
C2H + OH <=> H + HCCO,-8.585257226708388e-07
C2H + O <=> CH + CO,8.720694003417707e-08
C2H + O2 <=> HCCO + O,-2.527938738542322e-06
C2H + O2 <=> CH + CO2,-1.0629675803152679e-05
C2H + O2 <=> CO + HCO,3.121127911311108e-06
CH2OH + H <=> CH2O + H2,-0.00020969602368496295
CH3 + OH <=> CH2OH + H,0.010911332290377204
CH2OH + OH <=> CH2O + H2O,-8.127430671284522e-05
CH2OH + O2 <=> CH2O + HO2,-0.0005342113618781954
CH2OH (+M) <=> CH2O + H (+M),0.0032058394493635527
CH3O + M <=> CH2OH + M,5.516558046652631e-06
CH2CO + OH <=> CH2OH + CO,0.0006116257786793153
CH3OH + OH <=> CH2OH + H2O,-2.277950967518943e-05
CH3OH + OH <=> CH3O + H2O,4.144292575952333e-05
CH3OH + H <=> CH2OH + H2,4.911903950980916e-05
CH3OH + H <=> CH3O + H2,2.673258519931306e-05
CH3OH + O <=> CH2OH + OH,-6.893770126580508e-05
CH3OH + HO2 <=> CH2OH + H2O2,-1.4349657997783013e-06
CH3OH + O2 <=> CH2OH + HO2,3.294752352259982e-08
CH3OH (+M) <=> CH3 + OH (+M),0.001469510158286188
CH2CHO <=> CH2CO + H,-2.0713494424603094e-06
CH2CHO + H <=> CH3 + HCO,8.105420809325741e-08
CH2CHO + H <=> CH2CO + H2,1.2250597404144395e-06
CH2CHO + O <=> CH2O + HCO,1.0388115412825962e-06
CH2CHO + OH <=> CH2CO + H2O,1.3959310116992724e-07
CH2CHO + O2 <=> CH2O + CO + OH,-1.4305859122775683e-06
CH2CHO + CH3 <=> C2H5 + CO + H,-2.5243243447999124e-06
CH2CHO + HO2 <=> CH2O + HCO + OH,-7.232330290701448e-08
CH2CHO + HO2 <=> CH3CHO + O2,6.98113031847254e-08
CH2CHO <=> CH3 + CO,1.5537371229801652e-06
CH3CHO <=> CH3 + HCO,2.9164011477927482e-05
CH3CO (+M) <=> CH3 + CO (+M),-3.556387754155088e-11
CH3CHO + OH <=> CH3CO + H2O,1.0081993668135167e-06
CH3CHO + OH <=> CH2CHO + H2O,4.8867866881855856e-08
CH3CHO + O <=> CH3CO + OH,-4.619906952603787e-08
CH3CHO + O <=> CH2CHO + OH,-3.5636090280830256e-07
CH3CHO + H <=> CH3CO + H2,3.992883527278862e-06
CH3CHO + H <=> CH2CHO + H2,9.48809267256307e-06
CH3 + CH3CHO <=> CH3CO + CH4,5.377432503548987e-07
CH3 + CH3CHO <=> CH2CHO + CH4,-1.8495565232007538e-08
