,base_case
H + O2 <=> O + OH,-1.4107356206024082
H2 + O <=> H + OH,-0.02705827428315276
H2 + OH <=> H + H2O,-0.12086979810357706
H2O + O <=> 2 OH,-0.02902491613800846
2 H + M <=> H2 + M,0.0019802652505620175
H + OH + M <=> H2O + M,0.2628995825360331
2 O + M <=> O2 + M,0.0153333669037678
H + O + M <=> OH + M,0.015776416221069667
H + O2 (+M) <=> HO2 (+M),1.7557668841014726
H + HO2 <=> 2 OH,0.02948575236272957
H + HO2 <=> H2 + O2,0.007469544140502887
H + HO2 <=> H2O + O,0.009160703641685955
HO2 + O <=> O2 + OH,0.023535363146126975
HO2 + OH <=> H2O + O2,0.06080970186394818
HO2 + OH <=> H2O + O2,0.09628426962644035
2 OH (+M) <=> H2O2 (+M),0.014905771437680737
2 HO2 <=> H2O2 + O2,-0.0031464032240204136
2 HO2 <=> H2O2 + O2,0.0007612755684237862
H + H2O2 <=> H2 + HO2,0.004023345456714853
H + H2O2 <=> H2O + OH,0.005936724303325227
H2O2 + OH <=> H2O + HO2,0.008243022321000262
H2O2 + OH <=> H2O + HO2,0.027718126377187558
H2O2 + O <=> HO2 + OH,0.01104296483502779
HO2 + NH2 <=> NH3 + O2,0.015722110074605847
NH2 + O2 <=> H2NO + O,0.0061618543491316685
H2NO + O <=> HNO + OH,0.006031056401416981
H2NO + O2 <=> HNO + HO2,0.0066392567877810935
NH3 + M <=> H + NH2 + M,0.22594824998614918
H + NH3 <=> H2 + NH2,0.18668117864015252
NH3 + O <=> NH2 + OH,0.008929030148595554
NH3 + OH <=> H2O + NH2,-0.18464690841364922
H + NH2 <=> H2 + NH,0.0735446180764604
N + NH2 <=> 2 H + N2,-0.3190649560284283
NH2 + O <=> H + HNO,-0.18413731545389203
NH2 + OH <=> H2O + NH,0.40912025290485854
NH2 + NO <=> H2O + N2,-0.018358959029249753
NH2 + NO <=> NNH + OH,-1.079358476438535
H + NH <=> H2 + N,-0.3062743000760635
NH + O <=> H + NO,0.10433718596097906
NH + OH <=> H + HNO,-0.2878533880301775
NH + OH <=> H2O + N,-0.1350823828611991
NH + O2 <=> HNO + O,-0.19963461408217162
NH + NO <=> H + N2O,0.8150435221403372
NH + NO <=> N2 + OH,-0.03108622311231651
NNH (+M) <=> H + N2 (+M),-0.5222102406903998
H + NNH <=> H2 + N2,-0.00039114119739871414
NNH + O <=> H + N2O,-0.021745230430354257
NNH + OH <=> H2O + N2,0.0022775932051397356
NNH + O2 <=> HO2 + N2,0.5333598606474086
N2 + O <=> N + NO,0.07692629456677783
HO2 + NO <=> NO2 + OH,0.029296243110935767
H + NO (+M) <=> HNO (+M),-1.0808700736053898
H + NO2 <=> NO + OH,0.00617206676552038
NO2 + O <=> NO + O2,0.0035153238737047265
NO2 + M <=> NO + O + M,0.12765818395722636
HNO + OH <=> H2O + NO,0.8325599279968642
H + HNO <=> H2 + NO,0.319295627294022
N + O2 <=> NO + O,0.21218081795395277
N + OH <=> H + NO,0.07799898730738812
N2O (+M) <=> N2 + O (+M),-0.5430549708294984
N2O + O <=> 2 NO,-0.04146327947374546
H + N2O <=> N2 + OH,-0.00724093478585375
H + N2O <=> N2 + OH,-1.5690266665594952
