,base_case
H2 + M <=> 2 H + M,-2.3799517656229507e-05
H2 + O <=> H + OH,0.024427001171451006
H2 + OH <=> H + H2O,0.08260876766373798
2 O + M <=> O2 + M,3.0412656053845956e-05
H + O2 <=> O + OH,0.22271164392396467
H + OH + M <=> H2O + M,0.002359935807841761
H2O + O <=> 2 OH,0.016886109030567194
H + O + M <=> OH + M,8.23887717320196e-05
H + O + M <=> OHV + M,5.171620147542667e-08
H2O + OHV <=> H2O + OH,1.0202010685273806e-09
H2 + OHV <=> H2 + OH,-3.238914561879291e-12
N2 + OHV <=> N2 + OH,6.484003511164584e-11
OH + OHV <=> 2 OH,1.1862509686125691e-11
H + OHV <=> H + OH,9.475920281955232e-14
AR + OHV <=> AR + OH,0.0
OHV <=> OH,2.880678168137554e-12
O2 + OHV <=> O2 + OH,7.515142605171906e-11
CO2 + OHV <=> CO2 + OH,-5.308199593552184e-21
CO + OHV <=> CO + OH,-4.172914325748775e-21
CH4 + OHV <=> CH4 + OH,-5.918151710973409e-21
H2O2 (+M) <=> 2 OH (+M),0.002614590255338763
H + H2O2 <=> H2O + OH,-0.000536929453490077
H + H2O2 <=> H2 + HO2,-0.00036463110662002376
H2O2 + O <=> HO2 + OH,-2.664478395234904e-05
H2O2 + OH <=> H2O + HO2,6.577012056890617e-05
H2O2 + OH <=> H2O + HO2,0.0009499031141615995
H + HO2 <=> 2 OH,0.004652743190196608
H + HO2 <=> H2 + O2,-0.004318527635346271
HO2 + O <=> O2 + OH,-0.0014427475865170152
HO2 + OH <=> H2O + O2,-0.001986615213145267
HO2 + OH <=> H2O + O2,-0.0014073549969900031
2 HO2 <=> H2O2 + O2,4.029801595300789e-05
2 HO2 <=> H2O2 + O2,4.3495086501073736e-06
H + O2 (+M) <=> HO2 (+M),-0.009022099758676384
NH + O2 <=> HNO + O,0.0016831286519383508
NH + O2 <=> NO + OH,0.0013036032261614947
2 NH <=> 2 H + N2,0.00017287306491086174
NH + OH <=> H + HNO,-0.004863607681806148
NH + OH <=> H2O + N,-0.004862733468681878
N + NH <=> H + N2,-7.948074632138843e-05
H + NH <=> H2 + N,-0.013045958783724575
NH + O <=> H + NO,-0.0007806003826492039
NH + NO <=> H + N2O,0.03119272237081013
NH + NO <=> N2 + OH,-0.01696980763023708
NH + NO2 <=> N2O + OH,5.2432120977487016e-05
H + N2O <=> N2 + OH,-0.0005226043224863177
H + N2O <=> N2 + OH,-0.13469039030314348
H + N2O <=> N2 + OHV,-1.8121602647839797e-06
N2O (+M) <=> N2 + O (+M),-0.1269278308894522
N + N2O <=> N2 + NO,-6.895623405814016e-06
N2O + NO <=> N2 + NO2,-8.232382337332176e-05
N2O + O <=> N2 + O2,-0.006066386249845667
N2O + O <=> 2 NO,-0.0028027130533906488
N2O + OH <=> HO2 + N2,-2.2685806547862718e-05
NH2 + O <=> H + HNO,-0.0154941727888602
NH2 + O <=> NH + OH,0.005745367980818176
NH2 + OH <=> H2O + NH,0.011832507120953791
H + NH2 <=> H2 + NH,-0.009648987743708063
N + NH2 <=> 2 H + N2,0.0020367513017473153
NH2 + O2 <=> HNO + OH,0.0005020657238651344
NH2 + O2 <=> H2NO + O,-0.00023082331307726537
NH2 + NO2 <=> H2O + N2O,0.00011059018593166474
NH2 + NO2 <=> H2NO + NO,-0.0002532550781134033
2 NH2 <=> NH + NH3,0.002226389182038151
NH + NH2 <=> N + NH3,-2.308447575275369e-05
NH2 + NO <=> NNH + OH,0.02758509580938474
NH2 + NO <=> H2O + N2,-0.07030411206481672
NH2 + NO <=> H2O + N2,0.030023416749464002
NH3 + OH <=> H2O + NH2,-0.055771222568948293
H + NH3 <=> H2 + NH2,-0.019626830769757877
NH3 + O <=> NH2 + OH,0.004346793245714463
NH3 + M <=> H + NH2 + M,-0.003413939981091967
HO2 + NH3 <=> H2O2 + NH2,-2.2138584620327538e-05
HO2 + NH2 <=> H2NO + OH,-0.0006003470314161107
HO2 + NH2 <=> NH3 + O2,-0.0006329317729006379
NNH + M <=> H + N2 + M,0.006863962170233018
NNH <=> H + N2,0.00192991921499649
H + NNH <=> H2 + N2,-1.4233244790953005e-05
NNH + OH <=> H2O + N2,-1.4866732901786006e-05
NNH + O <=> H + N2O,-0.0006655841910595987
NNH + O <=> N2 + OH,-2.851207390470559e-06
NNH + O <=> NH + NO,-9.648707869020252e-05
NNH + O2 <=> HO2 + N2,-0.008596098100304242
NH + NNH <=> N2 + NH2,-7.621891509219774e-07
NH2 + NNH <=> N2 + NH3,-1.2469243712629878e-05
NNH + NO <=> HNO + N2,-9.341375278718141e-05
H + NO + M <=> HNO + M,0.004065027435336211
HNO + O2 <=> HO2 + NO,0.002398250788376285
HNO + O <=> NO + OH,0.0012289367440714157
HNO + OH <=> H2O + NO,0.0012485803642625494
H + HNO <=> H2 + NO,-0.013522870320635922
HNO + NO2 <=> HONO + NO,0.00015645337194991263
2 HNO <=> H2O + N2O,0.00024285137599662602
HNO + NO <=> N2O + OH,-6.242564518387696e-05
HNO + N <=> NH + NO,1.4530317755230146e-05
N2 + O <=> N + NO,-0.009480498651438801
N + O2 <=> NO + O,0.0062542997602323385
N + OH <=> H + NO,0.001286770548214303
N + NO2 <=> N2O + O,-1.6994080624309539e-06
HO2 + NO <=> NO2 + OH,0.0030376205070222124
H2 + NO2 <=> H + HONO,1.0662316170640766e-06
H + NO2 <=> NO + OH,0.001573758728770414
NO2 + O <=> NO + O2,2.1616011212820756e-05
NO2 + M <=> NO + O + M,0.007531062043760705
2 NO2 <=> 2 NO + O2,-5.86174306458264e-08
HO2 + NO2 <=> HONO + O2,2.530157573089653e-07
NO2 + OH (+M) <=> HONO2 (+M),0.0
NO + NO2 <=> N2O + O2,-1.117767515936636e-06
NH + NH2 <=> H + N2H2,0.0036993653240787014
2 NH2 <=> H2 + N2H2,0.004866438059823348
2 NH2 <=> H2 + H2NN,8.958365345254975e-05
2 NNH <=> N2 + N2H2,3.221863732344833e-08
NH2 + NH3 <=> H2 + N2H3,-0.000529636384165328
N2H2 <=> H + NNH,0.0002483280035314894
N2H2 + M <=> 2 NH + M,-9.224634827109867e-05
H + N2H2 <=> H2 + NNH,-0.004127845773949995
N + N2H2 <=> NH + NNH,8.702791579035132e-06
N2H2 + NH <=> NH2 + NNH,3.645658593641271e-06
N2H2 + NH2 <=> NH3 + NNH,0.0005645537854468884
N2H2 + O <=> NH2 + NO,-0.00451094151041253
N2H2 + O <=> NNH + OH,0.003217196022749469
N2H2 + OH <=> H2O + NNH,0.0012077002283052997
HO2 + N2H2 <=> H2O2 + NNH,0.0033187953845691745
N2H2 + NO <=> N2O + NH2,-0.00017238262774198806
N2H2 <=> H2NN,-5.563596044139347e-06
N2H3 + NH <=> N2H2 + NH2,-2.219013141998045e-06
2 N2H2 <=> N2H3 + NNH,0.0002660740794242588
N2H3 + M <=> NH + NH2 + M,-0.00018441322203517301
N2H3 <=> H + N2H2,-0.00024042388100413772
H + N2H3 <=> H2 + N2H2,-1.234271722365342e-05
H + N2H3 <=> NH + NH3,-9.955766654628632e-08
N + N2H3 <=> N2H2 + NH,-6.618982197376988e-09
N2H3 + NH2 <=> N2H2 + NH3,-6.7037502008980166e-06
N2H3 + NH2 <=> H2NN + NH3,-5.444269405341458e-05
N2H2 + N2H3 <=> N2H4 + NNH,-9.339623422998396e-07
2 N2H3 <=> N2 + 2 NH3,-1.0601510435790258e-08
2 N2H3 <=> N2H2 + N2H4,-2.2623993617708007e-08
N2H3 + O <=> N2H2 + OH,-3.2800341423267124e-06
N2H3 + O <=> H2O + NNH,-1.1935564876985791e-06
N2H3 + O <=> HNO + NH2,-1.2190207597442241e-05
N2H3 + OH <=> H2O + N2H2,-3.967690771201132e-06
N2H3 + OH <=> HNO + NH3,-1.8535939065410576e-08
N2H3 + OH <=> H2NN + H2O,-3.683178447963794e-05
N2H3 + O2 <=> HO2 + N2H2,0.0008013231433573642
HO2 + N2H3 <=> H2O2 + N2H2,1.3629224115123431e-06
HO2 + N2H3 <=> N2H4 + O2,1.5821563284333663e-05
N2H3 + NO <=> HNO + N2H2,0.0015877836306146603
H + N2H3 <=> 2 NH2,-2.640504058745948e-05
N2H4 (+M) <=> 2 NH2 (+M),-0.0036969510032685594
N2H4 + M <=> H + N2H3 + M,-2.5237426954407096e-06
H + N2H4 <=> H2 + N2H3,1.586915547785657e-05
H + N2H4 <=> NH2 + NH3,-1.3100995116286425e-08
N + N2H4 <=> N2H3 + NH,9.240535696233526e-07
N2H4 + NH <=> N2H3 + NH2,2.563039965131521e-05
N2H4 + NH2 <=> N2H3 + NH3,6.268244118447644e-05
N2H4 + O <=> H2O + N2H2,6.587353532575132e-05
N2H4 + O <=> N2H3 + OH,1.865328566085302e-05
N2H4 + OH <=> H2O + N2H3,4.465675215099487e-05
N2H4 + OH <=> H2NO + NH3,-0.0012602513043029624
HO2 + N2H4 <=> H2O2 + N2H3,0.0009326486087451576
N2H4 <=> H2 + H2NN,6.838369702343238e-06
H2NN <=> H + NNH,2.942645199460102e-05
H2NN + O2 <=> NH2 + NO2,-2.9881995819871138e-05
H + H2NN <=> H + N2H2,-6.586980290056027e-07
H + H2NN <=> H2 + NNH,-2.7924454863504432e-05
H2NN + O <=> NH2 + NO,-3.5517936153615897e-06
H2NN + O <=> NNH + OH,1.6369669494079338e-05
H2NN + OH <=> H2O + NNH,1.7858681530847057e-06
H2NN + NH2 <=> NH3 + NNH,8.155036533940714e-06
H2NN + HO2 <=> H2O2 + NNH,1.9293088290268424e-05
N2H4 + NO2 <=> HONO + N2H3,1.0684414597524761e-07
N2H4 + NO2 <=> HONO + N2H3,6.74178627819591e-08
N2H3 + NO2 <=> HNO2 + N2H2,-4.7350672923676776e-08
N2H2 + NO2 <=> HONO + NNH,1.9544527249984012e-06
NNH + NO2 <=> HONO + N2,-2.8082246746386705e-12
N2H4 + NO <=> HNO + N2H3,-3.3572610267405913e-07
H + HONO <=> HNO + OH,0.0006631156748994053
H + HONO <=> H2O + NO,7.331037467695624e-06
HONO + O <=> NO2 + OH,7.612582176382164e-05
HONO + OH <=> H2O + NO2,0.009476460949146531
2 HONO <=> H2O + NO + NO2,1.2841322721590568e-09
HONO + NH2 <=> NH3 + NO2,-6.282715558130217e-05
HON + M <=> H + NO + M,1.4189002904334763e-09
H + HON <=> H + HNO,1.163719869598e-08
H + HON <=> NH + OH,3.2226151257802027e-08
HON + O <=> NO + OH,3.6375485487268066e-09
HON + OH <=> H + HONO,-3.47187234208814e-11
HON + O2 <=> NO2 + OH,3.822567393946771e-09
HNOH + M <=> H + HNO + M,-1.9576014331378937e-06
H + HNOH <=> NH2 + OH,2.756381939484452e-05
H + HNOH <=> H2 + HNO,-2.9625810513875733e-05
HNOH + O <=> HNO + OH,-8.583460705339589e-07
HNOH + O <=> HNO + OH,4.7234658196412544e-08
HNOH + OH <=> H2O + HNO,-7.112033995870435e-06
HNOH + HO2 <=> H2O2 + HNO,1.3258420257169092e-05
HNOH + O2 <=> HNO + HO2,2.3373211393703722e-07
HNOH + NH2 <=> N2H3 + OH,2.846433764714548e-05
HNOH + NH2 <=> H2NN + H2O,0.00013842597500533855
HNOH + NH2 <=> HNO + NH3,-4.930126187996614e-06
HNOH + NO2 <=> HNO + HONO,4.1426698791036353e-07
H2NO + M <=> H2 + NO + M,8.021517393923844e-08
H2NO + M <=> H + HNO + M,-4.8325442323773255e-06
H2NO + M <=> HNOH + M,6.301309693480697e-05
H + H2NO <=> H2 + HNO,-0.0006359642398694335
H + H2NO <=> NH2 + OH,0.00103334156961181
H2NO + O <=> HNO + OH,5.6494936823234634e-05
H2NO + OH <=> H2O + HNO,-0.00035798924577638174
H2NO + HO2 <=> H2O2 + HNO,0.00014887305674109378
H2NO + O2 <=> HNO + HO2,8.775808862447936e-06
H2NO + NO <=> 2 HNO,4.3834768003163695e-06
H2NO + NH2 <=> HNO + NH3,1.288430233529471e-05
H2NO + NO2 <=> HNO + HONO,5.8919235536404335e-05
H + HNO2 <=> H2 + NO2,6.228716791260243e-10
HNO2 + O <=> NO2 + OH,2.4938875554690013e-07
HNO2 + OH <=> H2O + NO2,2.777572749447903e-06
HNO2 <=> HONO,3.905205560770581e-06
NO + OH (+M) <=> HONO (+M),0.000463604762752171
N + O + M <=> NO + M,-4.4235364172496365e-07
N2 + M <=> 2 N + M,-5.266199664022217e-09
NO2 + O (+M) <=> NO3 (+M),1.112584582396818e-06
2 NO2 <=> NO + NO3,4.3946684282671526e-07
H + NO3 <=> NO2 + OH,3.5354834979162915e-08
NO3 + O <=> NO2 + O2,1.9626483177987405e-08
