,base_case
H + O2 <=> O + OH,0.174015543471861
H2 + O <=> H + OH,0.028662736351868244
H2 + OH <=> H + H2O,0.018714097774323854
2 OH <=> H2O + O,0.005936832578924881
2 H + M <=> H2 + M,0.006141066765827438
2 O + M <=> O2 + M,1.8908465965933393e-08
H + O + M <=> OH + M,0.00018649159076537136
H + OH + M <=> H2O + M,0.03139639571849925
H + O2 (+M) <=> HO2 (+M),0.0028796898486109462
H + HO2 <=> H2 + O2,-0.0020992517408646555
H + HO2 <=> 2 OH,0.0037509247871906717
HO2 + O <=> O2 + OH,-0.00015227870983262353
HO2 + OH <=> H2O + O2,-0.0007387401288682292
2 HO2 <=> H2O2 + O2,1.4561957746585303e-06
2 HO2 <=> H2O2 + O2,3.602150920443909e-05
2 OH (+M) <=> H2O2 (+M),3.888121931265693e-05
H + H2O2 <=> H2O + OH,7.476603532285179e-06
H + H2O2 <=> H2 + HO2,6.177658963017986e-05
H2O2 + O <=> HO2 + OH,-1.3937582311984923e-06
H2O2 + OH <=> H2O + HO2,2.9221871603977575e-06
H2O2 + OH <=> H2O + HO2,1.5584585517854723e-05
CO + O (+M) <=> CO2 (+M),0.000490497961338954
CO + O2 <=> CO2 + O,2.5579728632853533e-05
CO + OH <=> CO2 + H,0.013061916780059194
CO + HO2 <=> CO2 + OH,0.00012317239915683473
HCO (+M) <=> CO + H (+M),0.0005526157870965282
HCO + O2 <=> CO + HO2,0.0010230128737804493
H + HCO <=> CO + H2,0.001199189672942872
HCO + O <=> CO + OH,4.891948414285838e-06
HCO + O <=> CO2 + H,2.384411036790231e-05
HCO + OH <=> CO + H2O,0.000687570863173776
HCO + HO2 => CO2 + H + OH,3.0698818204534585e-05
2 HCO => 2 CO + H2,-3.463570275483251e-07
H + O + M <=> OHEX + M,1.214751190607185e-07
H2O + OHEX <=> H2O + OH,1.575762089366754e-09
H2 + OHEX <=> H2 + OH,1.8372881198753036e-10
N2 + OHEX <=> N2 + OH,1.02397982568694e-10
OH + OHEX <=> 2 OH,4.8977957339434376e-12
H + OHEX <=> H + OH,2.642204648330236e-12
AR + OHEX <=> AR + OH,0.0
OHEX => OH,2.463388330933284e-11
O2 + OHEX <=> O2 + OH,2.612080426053861e-12
CO2 + OHEX <=> CO2 + OH,1.4003339937980862e-10
CO + OHEX <=> CO + OH,2.0469698936144447e-10
CH3 + HCO <=> CH4 + CO,-0.0007986743157325556
H + HCO (+M) <=> CH2O (+M),-8.363543391296394e-07
CH2O + H <=> H2 + HCO,-0.002260605481839211
CH2O + O <=> HCO + OH,0.0007512795238540629
CH2O + OH <=> H2O + HCO,0.0016116972732793662
CH2O + O2 <=> HCO + HO2,1.925738797600505e-05
CH2O + HO2 <=> H2O2 + HCO,2.6496960897025805e-05
CH4 + H <=> CH3 + H2,-0.027977620545556435
CH4 + OH <=> CH3 + H2O,-0.005746577276785837
CH4 + O <=> CH3 + OH,0.003379254371053323
CH4 + O2 <=> CH3 + HO2,-7.970828621195585e-05
CH4 + HO2 <=> CH3 + H2O2,1.1961004408452046e-05
CH3 + H <=> H2 + T-CH2,2.9895399639728504e-05
CH3 + H <=> H2 + S-CH2,4.314701928775421e-05
CH3 + OH <=> H2O + S-CH2,0.0028680293273712467
CH3 + O <=> CH2O + H,-0.026591607105165917
CH3 + T-CH2 <=> C2H4 + H,-0.0012821030152314955
CH3 + HO2 <=> CH3O + OH,0.0008533653577678722
CH3 + O2 <=> CH2O + OH,0.004227362779517816
CH3 + O2 <=> CH3O + O,0.0004412376647311029
2 CH3 <=> C2H4 + H2,-1.885485979740603e-05
2 CH3 <=> C2H5 + H,0.0003027468701091342
CH3 + H (+M) <=> CH4 (+M),-0.0008555398898983714
2 CH3 (+M) <=> C2H6 (+M),-0.0037843478392705883
OH + S-CH2 <=> CH2O + H,-8.214930690123514e-05
O2 + S-CH2 <=> CO + H + OH,0.0009503959118291609
CO2 + S-CH2 <=> CH2O + CO,-0.0005260407418036121
S-CH2 + M <=> T-CH2 + M,-9.306715734254711e-05
H + T-CH2 <=> CH + H2,-0.0015849648485400589
OH + T-CH2 <=> CH2O + H,-0.0014461046028123935
OH + T-CH2 <=> CH + H2O,-0.00015874136468445053
O + T-CH2 <=> CO + 2 H,-0.0004715176628607844
O + T-CH2 <=> CO + H2,-0.0001871680855132135
O2 + T-CH2 <=> CO2 + H2,0.0004382005379750734
O2 + T-CH2 <=> CO + H + OH,0.002994092858573103
2 T-CH2 <=> C2H2 + 2 H,-8.619990616646839e-05
C2H2 + HO2 <=> CHCHO + OH,2.0973320861756657e-06
CHCHO + O2 <=> CH2O + CO + O,1.532852682029159e-09
CH + O <=> CO + H,6.468940641544051e-07
CH + O2 <=> HCO + O,0.00026354076839707653
CH + H2O <=> CH2O + H,-0.0016307218086996397
CH + CO2 <=> CO + HCO,-0.0018568108119165372
CH3O + H <=> CH2O + H2,-6.6298864184244265e-06
CH3O + H <=> H2O + S-CH2,-5.988427352229204e-05
CH3O + OH <=> CH2O + H2O,-1.7213434336963673e-07
CH3O + O <=> CH2O + OH,-1.7713158723523162e-07
CH3O + O2 <=> CH2O + HO2,1.0305589429564069e-05
CH3O + M <=> CH2O + H + M,-6.276363059152126e-05
C2H6 + H <=> C2H5 + H2,-0.002093017762712912
C2H6 + O <=> C2H5 + OH,0.0008861633898999042
C2H6 + OH <=> C2H5 + H2O,0.00014329828303702286
C2H6 + CH3 <=> C2H5 + CH4,0.00010517038372258902
C2H6 (+M) <=> C2H5 + H (+M),-0.0003365606838982986
C2H6 + HO2 <=> C2H5 + H2O2,2.4639041172214765e-06
C2H5 + H <=> C2H4 + H2,-0.00033082185546976477
C2H5 + O <=> C2H4 + OH,-1.4478721586682392e-05
C2H5 + O <=> CH2O + CH3,-6.67408423148037e-05
C2H5 + O2 <=> C2H4 + HO2,2.422858935547934e-05
C2H5 + O2 <=> C2H4OOH,7.381111980270558e-07
C2H4OOH <=> C2H4 + HO2,1.4769635503965594e-05
C2H4OOH + O2 <=> OC2H3OOH + OH,6.245596330862281e-07
OC2H3OOH <=> CH2O + HCO + OH,-3.960956594474982e-09
C2H5 (+M) <=> C2H4 + H (+M),0.0015183791390437588
C2H4 + H <=> C2H3 + H2,-0.0016564909115400605
C2H4 + OH <=> C2H3 + H2O,0.00021853671387008598
C2H4 + O <=> CH3 + HCO,-0.0012746075580327388
C2H4 + O <=> CH2CHO + H,-0.000509891200683265
2 C2H4 <=> C2H3 + C2H5,-1.9200385798850334e-05
C2H4 + O2 <=> C2H3 + HO2,-3.1493709340199846e-06
C2H4 + HO2 <=> C2H4O + OH,-1.7126932307339255e-05
C2H4O + HO2 <=> CH3 + CO + H2O2,5.034367828072186e-08
C2H4 + M <=> C2H3 + H + M,-3.824623573543514e-05
C2H4 + M <=> C2H2 + H2 + M,-4.755096016924092e-05
C2H3 + H <=> C2H2 + H2,-0.0013389714816184534
C2H3 (+M) <=> C2H2 + H (+M),-0.0006287978919552324
C2H3 + O2 <=> CH2O + HCO,-0.00020756438385423684
C2H3 + O2 <=> CH2CHO + O,0.002750979828345506
C2H3 + O2 <=> C2H2 + HO2,0.00010238106722972426
C2H2 + O <=> H + HCCO,0.0012345876650783523
C2H2 + O <=> CO + T-CH2,-0.000413724430579587
C2H2 + O2 <=> CH2O + CO,-4.043020391831621e-06
C2H2 + OH <=> CH2CO + H,-0.0035213810842172027
C2H2 + OH <=> C2H + H2O,2.1571749921406438e-05
CH2CO + H <=> CH3 + CO,8.869548082926984e-05
CH2CO + O <=> CO2 + T-CH2,0.0002854833867037829
CH2CO + O <=> HCCO + OH,0.0001847252561389402
CH2CO + CH3 <=> C2H5 + CO,4.4951700546431314e-05
H + HCCO <=> CO + S-CH2,-0.0007870300638230946
HCCO + OH <=> CO + H + HCO,-1.6196239016949637e-05
HCCO + O <=> 2 CO + H,-7.205674013702849e-05
HCCO + O2 <=> 2 CO + OH,-0.00025620671930020347
HCCO + O2 <=> CO + CO2 + H,9.223899251856832e-05
C2H + OH <=> H + HCCO,4.5841855336437874e-07
C2H + O <=> CH + CO,-3.259533141633147e-07
C2H + O2 <=> HCCO + O,6.273236366285475e-06
C2H + O2 <=> CH + CO2,2.3695567837845093e-05
C2H + O2 <=> CO + HCO,-1.1150788940983172e-05
CH2OH + H <=> CH2O + H2,3.1407105019514785e-05
CH3 + OH <=> CH2OH + H,-0.019595739620714828
CH2OH + OH <=> CH2O + H2O,5.032047923636969e-05
CH2OH + O2 <=> CH2O + HO2,0.0005139716350880071
CH2OH (+M) <=> CH2O + H (+M),-0.004841191519421871
CH3O + M <=> CH2OH + M,-4.645016248764132e-05
CH2CO + OH <=> CH2OH + CO,-0.001052978088956567
CH3OH + OH <=> CH2OH + H2O,2.99418309603815e-05
CH3OH + OH <=> CH3O + H2O,-5.3442605799795305e-05
CH3OH + H <=> CH2OH + H2,-0.00020873110430647527
CH3OH + H <=> CH3O + H2,-4.688523431604268e-05
CH3OH + O <=> CH2OH + OH,0.00014089787882707046
CH3OH + HO2 <=> CH2OH + H2O2,3.6597429779659892e-06
CH3OH + O2 <=> CH2OH + HO2,-6.641887685582219e-08
CH3OH (+M) <=> CH3 + OH (+M),-0.004482291939432657
CH2CHO <=> CH2CO + H,8.792637284625436e-06
CH2CHO + H <=> CH3 + HCO,-1.7452686444762494e-06
CH2CHO + H <=> CH2CO + H2,-6.149245664017582e-06
CH2CHO + O <=> CH2O + HCO,-2.7158584296663434e-06
CH2CHO + OH <=> CH2CO + H2O,-2.116920277996972e-06
CH2CHO + O2 <=> CH2O + CO + OH,3.0345274565194192e-06
CH2CHO + CH3 <=> C2H5 + CO + H,8.552366135003467e-06
CH2CHO + HO2 <=> CH2O + HCO + OH,1.887751723582262e-07
CH2CHO + HO2 <=> CH3CHO + O2,-1.39019818516939e-07
CH2CHO <=> CH3 + CO,-4.385775563369904e-06
CH3CHO <=> CH3 + HCO,-6.972065393189098e-05
CH3CO (+M) <=> CH3 + CO (+M),-2.2172716011259925e-10
CH3CHO + OH <=> CH3CO + H2O,-5.493757368834599e-06
CH3CHO + OH <=> CH2CHO + H2O,-4.0112990549386406e-07
CH3CHO + O <=> CH3CO + OH,-2.7081435808025104e-08
CH3CHO + O <=> CH2CHO + OH,2.008869616501159e-07
CH3CHO + H <=> CH3CO + H2,-1.3483695519591454e-05
CH3CHO + H <=> CH2CHO + H2,-3.547140609739315e-05
CH3 + CH3CHO <=> CH3CO + CH4,-5.705977304636532e-06
CH3 + CH3CHO <=> CH2CHO + CH4,-1.363588687093406e-07
CH3CHO + HO2 <=> CH3CO + H2O2,6.534767763295362e-08
CH3CHO + HO2 <=> CH2CHO + H2O2,5.389260991474652e-08
CH3CHO + O2 <=> CH3CO + HO2,9.068341076429015e-08
C2H5OH (+M) <=> CH2OH + CH3 (+M),-3.854994814803609e-07
C2H5OH (+M) <=> C2H4 + H2O (+M),1.2480191658012581e-06
C2H5OH + OH <=> CH2CH2OH + H2O,1.5585317640804691e-07
C2H5OH + OH <=> CH3CHOH + H2O,-8.640236924914407e-08
C2H5OH + OH <=> CH3CH2O + H2O,-8.658761098915642e-07
C2H5OH + H <=> CH2CH2OH + H2,-1.225685663699547e-07
C2H5OH + H <=> CH3CHOH + H2,-6.151685799750549e-07
C2H5OH + H <=> CH3CH2O + H2,-8.795165924567364e-07
C2H5OH + O <=> CH2CH2OH + OH,2.6434192190617986e-07
C2H5OH + O <=> CH3CHOH + OH,2.822148597591825e-07
C2H5OH + O <=> CH3CH2O + OH,-4.4787988758422147e-07
C2H5OH + CH3 <=> CH2CH2OH + CH4,1.799113126230929e-07
C2H5OH + CH3 <=> CH3CHOH + CH4,7.586502227300386e-10
C2H5OH + CH3 <=> CH3CH2O + CH4,-1.0090607885695396e-07
C2H5OH + HO2 <=> CH3CHOH + H2O2,3.4809431623142683e-09
C2H5OH + HO2 <=> CH2CH2OH + H2O2,2.4439762485041478e-09
