,base_case
H + O2 <=> O + OH,-0.02976145839452163
H2 + O <=> H + OH,-0.02989835102154132
H2 + OH <=> H + H2O,-0.0031447351888777716
2 OH <=> H2O + O,-0.0011916301471412562
2 H + M <=> H2 + M,-0.00022411932620906115
2 O + M <=> O2 + M,-3.872328474722001e-10
H + O + M <=> OH + M,-0.0005614317048409563
H + OH + M <=> H2O + M,-0.0016941746968698569
H + O2 (+M) <=> HO2 (+M),0.0006938604776449424
H + HO2 <=> H2 + O2,0.0004250514591772097
H + HO2 <=> 2 OH,-0.001982277246230061
HO2 + O <=> O2 + OH,2.7340270602175998e-05
HO2 + OH <=> H2O + O2,0.0001385668578596935
2 HO2 <=> H2O2 + O2,-2.620734472699621e-07
2 HO2 <=> H2O2 + O2,-6.4841100086708215e-06
2 OH (+M) <=> H2O2 (+M),1.8899293068630447e-06
H + H2O2 <=> H2O + OH,-7.032300498835758e-06
H + H2O2 <=> H2 + HO2,8.52270543918054e-06
H2O2 + O <=> HO2 + OH,2.6605072344423845e-07
H2O2 + OH <=> H2O + HO2,3.955627521351982e-07
H2O2 + OH <=> H2O + HO2,1.334855543964208e-06
CO + O (+M) <=> CO2 (+M),-0.0031911436263249294
CO + O2 <=> CO2 + O,-4.322398025316125e-06
CO + OH <=> CO2 + H,-0.00883037404769676
CO + HO2 <=> CO2 + OH,-2.1892308410375427e-05
HCO (+M) <=> CO + H (+M),0.03134599705546575
HCO + O2 <=> CO + HO2,0.0002589808385014355
H + HCO <=> CO + H2,-0.0077414863740169326
HCO + O <=> CO + OH,-0.0004712225357289607
HCO + O <=> CO2 + H,-0.0004719977193063337
HCO + OH <=> CO + H2O,-5.2537446011479806e-05
HCO + HO2 => CO2 + H + OH,-1.508788108313656e-05
2 HCO => 2 CO + H2,-8.823462471110332e-06
H + O + M <=> OHEX + M,-1.7699220088303604e-08
H2O + OHEX <=> H2O + OH,-1.5294484557394962e-10
H2 + OHEX <=> H2 + OH,-1.7530731368884304e-11
N2 + OHEX <=> N2 + OH,-9.923023848539608e-12
OH + OHEX <=> 2 OH,-5.652356863443101e-13
H + OHEX <=> H + OH,-3.073518733946882e-13
AR + OHEX <=> AR + OH,0.0
OHEX => OH,-1.5013057725707143e-12
O2 + OHEX <=> O2 + OH,-3.050779456101367e-13
CO2 + OHEX <=> CO2 + OH,-1.3269057335847119e-11
CO + OHEX <=> CO + OH,-2.0041457497572216e-11
CH3 + HCO <=> CH4 + CO,0.00015845343381705096
H + HCO (+M) <=> CH2O (+M),-0.00011245972939902218
CH2O + H <=> H2 + HCO,0.00037379198580740744
CH2O + O <=> HCO + OH,-0.00012746487813459503
CH2O + OH <=> H2O + HCO,-0.0002456104371620585
CH2O + O2 <=> HCO + HO2,-3.2721577632387133e-06
CH2O + HO2 <=> H2O2 + HCO,-4.55540241205461e-06
CH4 + H <=> CH3 + H2,0.004238531880881576
CH4 + OH <=> CH3 + H2O,0.0008948206269954121
CH4 + O <=> CH3 + OH,-0.0004799406267496519
CH4 + O2 <=> CH3 + HO2,1.3774212000278088e-05
CH4 + HO2 <=> CH3 + H2O2,-2.100314773238606e-06
CH3 + H <=> H2 + T-CH2,-5.262150216458677e-05
CH3 + H <=> H2 + S-CH2,-3.178166106084458e-05
CH3 + OH <=> H2O + S-CH2,-0.0005349017550987075
CH3 + O <=> CH2O + H,0.0033132096717495667
CH3 + T-CH2 <=> C2H4 + H,0.00017158454548256546
CH3 + HO2 <=> CH3O + OH,-0.0001854278410316035
CH3 + O2 <=> CH2O + OH,-0.000846482059173622
CH3 + O2 <=> CH3O + O,-9.877565995566228e-05
2 CH3 <=> C2H4 + H2,2.075534298989801e-06
2 CH3 <=> C2H5 + H,-9.172725923786811e-05
CH3 + H (+M) <=> CH4 (+M),0.0007474164977378418
2 CH3 (+M) <=> C2H6 (+M),0.0005997381825307491
OH + S-CH2 <=> CH2O + H,9.852619562140513e-06
O2 + S-CH2 <=> CO + H + OH,-0.00022017647287592035
CO2 + S-CH2 <=> CH2O + CO,6.884668002562785e-05
S-CH2 + M <=> T-CH2 + M,-4.305293568340002e-05
H + T-CH2 <=> CH + H2,0.00017436182378111574
OH + T-CH2 <=> CH2O + H,0.000177635561726556
OH + T-CH2 <=> CH + H2O,1.3090242191448608e-05
O + T-CH2 <=> CO + 2 H,5.7737702761445994e-05
O + T-CH2 <=> CO + H2,2.5441954845215362e-05
O2 + T-CH2 <=> CO2 + H2,-7.969855946670633e-05
O2 + T-CH2 <=> CO + H + OH,-0.0006629504592329246
2 T-CH2 <=> C2H2 + 2 H,1.1667760283889356e-05
C2H2 + HO2 <=> CHCHO + OH,-5.031108803980881e-07
CHCHO + O2 <=> CH2O + CO + O,-3.166259886549788e-10
CH + O <=> CO + H,-1.483494188285939e-07
CH + O2 <=> HCO + O,-7.269136619027327e-05
CH + H2O <=> CH2O + H,0.00021027207744016066
CH + CO2 <=> CO + HCO,0.00024942839447011206
CH3O + H <=> CH2O + H2,8.367500137536836e-07
CH3O + H <=> H2O + S-CH2,1.2679880532334633e-05
CH3O + OH <=> CH2O + H2O,5.431434943867086e-08
CH3O + O <=> CH2O + OH,-9.07611072502806e-08
CH3O + O2 <=> CH2O + HO2,9.657167336191226e-07
CH3O + M <=> CH2O + H + M,1.148993301717734e-06
C2H6 + H <=> C2H5 + H2,0.00030845100047865136
C2H6 + O <=> C2H5 + OH,-0.0001359089372571843
C2H6 + OH <=> C2H5 + H2O,-2.651336901492758e-05
C2H6 + CH3 <=> C2H5 + CH4,-1.767548182445054e-05
C2H6 (+M) <=> C2H5 + H (+M),6.324404192662467e-05
C2H6 + HO2 <=> C2H5 + H2O2,-4.3051138187163157e-07
C2H5 + H <=> C2H4 + H2,5.97516532557465e-05
C2H5 + O <=> C2H4 + OH,3.2077658755024214e-06
C2H5 + O <=> CH2O + CH3,1.1308429134242202e-05
C2H5 + O2 <=> C2H4 + HO2,-1.1081378845744844e-06
C2H5 + O2 <=> C2H4OOH,-8.813557492105928e-08
C2H4OOH <=> C2H4 + HO2,-1.1870732172619945e-06
