,base_case
H2 + M <=> 2 H + M,-0.0011357659384432066
H2 + O <=> H + OH,0.008420078740951721
H2 + OH <=> H + H2O,0.002794267962880752
2 O + M <=> O2 + M,-1.1053881070657384e-06
H + O2 <=> O + OH,0.2935306980046513
H + OH + M <=> H2O + M,-0.007443638811858781
H2O + O <=> 2 OH,0.002734431466143719
H + O + M <=> OH + M,-0.0003052362154794105
H2O2 (+M) <=> 2 OH (+M),0.00019969055082164788
H + H2O2 <=> H2O + OH,-0.00010486517950032744
H + H2O2 <=> H2 + HO2,0.0004171043707288075
H2O2 + O <=> HO2 + OH,-4.8625893018051335e-06
H2O2 + OH <=> H2O + HO2,2.4129022074419894e-05
H2O2 + OH <=> H2O + HO2,0.0001438394378353991
H + HO2 <=> 2 OH,0.000326034680219684
H + HO2 <=> H2 + O2,-0.008094924060055336
HO2 + O <=> O2 + OH,-0.0009212140511247294
HO2 + OH <=> H2O + O2,-0.0008800329879031734
HO2 + OH <=> H2O + O2,-0.0016071531317347783
2 HO2 <=> H2O2 + O2,6.935949582011988e-05
2 HO2 <=> H2O2 + O2,0.00014333711386616528
H + O2 (+M) <=> HO2 (+M),-0.015003412325911231
CO + O (+M) <=> CO2 (+M),-0.0005068349064885675
CO + OH <=> CO2 + H,0.00986945669033275
CO + OH <=> CO2 + H,0.0009693512201001666
CO + HO2 <=> CO2 + OH,2.588263630024485e-05
CO + O2 <=> CO2 + O,1.0896016789045277e-05
CO2 + H <=> OCHO,5.762519484884639e-13
HOCO <=> CO + OH,1.489721519315082e-06
HOCO <=> CO2 + H,3.758587530751609e-07
CH3 + H (+M) <=> CH4 (+M),-0.10832617565282826
CH4 + H <=> CH3 + H2,-0.018751012629299797
CH4 + O <=> CH3 + OH,-0.0035642888648839193
CH4 + OH <=> CH3 + H2O,-0.011530090456364021
CH4 + HO2 <=> CH3 + H2O2,0.00013289911013179023
CH3O2 + CH4 <=> CH3 + CH3O2H,9.387357818072535e-08
CH3 + HO2 <=> CH4 + O2,-0.0020220236001672657
CH2 + CH4 <=> 2 CH3,2.5075490371463805e-05
CH2(S) + N2 <=> CH2 + N2,0.0008233197663327619
AR + CH2(S) <=> AR + CH2,0.0
CH2(S) + H2O <=> CH2 + H2O,0.0005215849169674403
CH2(S) + CO <=> CH2 + CO,3.7697169258652506e-05
CH2(S) + CO2 <=> CH2 + CO2,1.4472473467478017e-05
CH2(S) + O2 => CO + H + OH,0.0027892849051994097
CH2(S) + O2 <=> CO + H2O,-0.002114405645276239
CH2(S) + O <=> CO + H2,-2.0910847350037397e-05
CH2(S) + O <=> H + HCO,-5.536057459832457e-07
CH2(S) + H2 <=> CH3 + H,0.0017506124299802518
CH2(S) + H <=> CH + H2,-5.923900263903878e-05
CH2(S) + OH <=> CH2O + H,-2.738059726885515e-06
CH2(S) + CO2 <=> CH2O + CO,-0.0005233180773170902
CH2 + H (+M) <=> CH3 (+M),-0.0004950963212651811
CH2 + O2 <=> HCO + OH,0.008025283320110058
CH2 + O2 => CO2 + 2 H,0.003736703147997081
CH2 + O => CO + 2 H,7.155977068312353e-05
CH2 + H <=> CH + H2,-0.001201129785587009
CH2 + OH <=> CH + H2O,-0.000297868020714123
CH + O2 <=> HCO + O,0.0012041793007546969
CH + O <=> CO + H,-4.846289382051086e-05
CH + H <=> C + H2,-0.0011591972965661521
CH + OH <=> H + HCO,4.1356751377507354e-05
CH + H2O <=> CH2O + H,0.00046120285700792444
CH + CO2 <=> CO + HCO,4.08203452074481e-05
C + OH <=> CO + H,-7.561376077009259e-05
C + O2 <=> CO + O,-7.296990007003768e-05
CH3 + O2 (+M) <=> CH3O2 (+M),-0.0006366026302706688
CH3 + O2 <=> CH3O + O,0.0015527788876366902
CH3 + O2 <=> CH2O + OH,0.002969095756953635
CH3 + O <=> CH2O + H,-0.003657361868772123
CH3 + OH <=> CH2(S) + H2O,0.0017891446717312094
CH3 + OH <=> CH2O + H2,-1.4412805396697541e-05
CH3 + OH <=> CH2OH + H,0.039063929026874375
CH3 + OH <=> CH3O + H,0.000608397152391323
CH3 + OH <=> CH2 + H2O,0.0015234194426116453
CH3 + HO2 <=> CH3O + OH,0.009347000565088762
CH3O2 + O <=> CH3O + O2,2.931613663417356e-05
CH3O2 + H <=> CH3O + OH,0.00022321313686906477
CH3O2 + OH <=> CH3OH + O2,0.00021196796134030616
CH3O2 + HO2 <=> CH3O2H + O2,0.00019028461584663734
CH3O2 + H2O2 <=> CH3O2H + HO2,-2.494889158059707e-08
CH3 + CH3O2 <=> 2 CH3O,0.00035415992864756536
2 CH3O2 => CH2O + CH3OH + O2,6.722339718300152e-06
2 CH3O2 => 2 CH3O + O2,2.2398942032708362e-05
CH3O2 + H2 <=> CH3O2H + H,4.3076719267241355e-06
CH3O2H <=> CH3O + OH,-6.684394287480229e-05
CH3OH (+M) <=> CH3 + OH (+M),-0.004782635630636772
CH3OH (+M) <=> CH2(S) + H2O (+M),-0.0012280712881539639
CH3OH (+M) <=> CH2OH + H (+M),-3.5882308139897416e-06
CH3OH + H <=> CH3O + H2,0.00039623631711002634
CH3OH + H <=> CH2OH + H2,-0.00045203252705157886
CH3OH + O <=> CH3O + OH,3.865933781376918e-05
CH3OH + O <=> CH2OH + OH,-4.629703666280946e-05
CH3OH + OH <=> CH3O + H2O,9.880407105731847e-05
CH3OH + OH <=> CH2OH + H2O,-0.00020214222695813253
CH3OH + O2 <=> CH3O + HO2,0.001920128650297822
CH3OH + O2 <=> CH2OH + HO2,4.939998941680771e-09
CH3OH + HO2 <=> CH3O + H2O2,-2.6890806148392877e-07
CH3OH + HO2 <=> CH2OH + H2O2,3.044796988299169e-06
CH3 + CH3OH <=> CH2OH + CH4,2.712259949510834e-07
CH3 + CH3OH <=> CH3O + CH4,-2.5925110437246215e-06
CH3OH + HCO <=> CH2O + CH2OH,5.227151429626146e-07
CH3O + CH3OH <=> CH2OH + CH3OH,-1.3553266916013374e-07
